+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Charact | Actor   | Actor_l | Rank1   | Rank2   | Rank2_l | Role1   | Role2   | Role2_ |
| /en.wik | John Mc | Rogers  | /en.wik |         |         |         |         |         |        |
| ipedia. | Intyre  |         | ipedia. |         |         |         |         |         |        |
| org/wik |  (seaso |         | org/wik |         |         |         |         |         |        |
| i/M*A*S | ns      |         | i/Wayne |         |         |         |         |         |        |
| *H_(TV_ | 1–3);   |         | _Rogers |         |         |         |         |         |        |
| series) | Trapper |         |         |         |         |         |         |         |        |
|         | John Mc |         |         |         |         |         |         |         |        |
|         | Intyre; |         |         |         |         |         |         |         |        |
|         | (season |         |         |         |         |         |         |         |        |
|         | s 1–3)  |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Henry   | McLean  | https:/ | Lieuten | Lieuten | https:/ | Command | Command | https: |
| /en.wik | Blake   | Stevens | /en.wik | ant     | ant     | /en.wik | ing off | ing     | //en.w |
| ipedia. |  (seaso | on      | ipedia. | colonel | colonel | ipedia. | icer,   | officer | ikiped |
| org/wik | ns      |         | org/wik |         |         | org/wik | surgeon |         | ia.org |
| i/M*A*S | 1–3);   |         | i/McLea |         |         | i/Lieut |         |         | /wiki/ |
| *H_(TV_ | Henry   |         | n_Steve |         |         | enant_c |         |         | Comman |
| series) | Blake;  |         | nson    |         |         | olonel_ |         |         | ding_o |
|         | (season |         |         |         |         | (United |         |         | fficer |
|         | s 1–3)  |         |         |         |         | _States |         |         |        |
|         |         |         |         |         |         | )       |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Frank   | Larry L | https:/ | Major,  |         |         | Surgeon | executi | https: |
| /en.wik | Burns   | inville | /en.wik |  later  |         |         | , execu | ve      | //en.w |
| ipedia. |  (seaso |         | ipedia. | lieuten |         |         | tive    | officer | ikiped |
| org/wik | ns      |         | org/wik | ant     |         |         | officer |         | ia.org |
| i/M*A*S | 1–5);   |         | i/Larry | colonel |         |         |  tempor |         | /wiki/ |
| *H_(TV_ | Frank   |         | _Linvil | (off-   |         |         | ary com |         | Execut |
| series) | Burns;  |         | le      | screen) |         |         | manding |         | ive_of |
|         | (season |         |         |         |         |         | officer |         | ficer  |
|         | s 1–5)  |         |         |         |         |         | (follow |         |        |
|         |         |         |         |         |         |         | ing the |         |        |
|         |         |         |         |         |         |         | death   |         |        |
|         |         |         |         |         |         |         | of      |         |        |
|         |         |         |         |         |         |         | Henry   |         |        |
|         |         |         |         |         |         |         | Blake)  |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Radar O | Gary Bu | https:/ | Corpora | second  | https:/ | Company | bugler  | https: |
| /en.wik | 'Reilly | rghoff  | /en.wik | l       | lieuten | /en.wik | clerk,  |         | //en.w |
| ipedia. |  (seaso |         | ipedia. |  (one   | ant     | ipedia. |  bugler |         | ikiped |
| org/wik | ns      |         | org/wik | episode |         | org/wik |         |         | ia.org |
| i/M*A*S | 1–8);   |         | i/Gary_ | as      |         | i/Secon |         |         | /wiki/ |
| *H_(TV_ | Radar O |         | Burghof | second  |         | d_lieut |         |         | Bugler |
| series) | 'Reilly |         | f       | lieuten |         | enant   |         |         |        |
|         | ; (seas |         |         | ant due |         |         |         |         |        |
|         | ons     |         |         | to fals |         |         |         |         |        |
|         | 1–8)    |         |         | ified p |         |         |         |         |        |
|         |         |         |         | romotio |         |         |         |         |        |
|         |         |         |         | n)      |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | B. J. H | Mike    | https:/ | Captain |         |         | Surgeon |         |        |
| /en.wik | unnicut | Farrell | /en.wik |         |         |         |         |         |        |
| ipedia. | t       |         | ipedia. |         |         |         |         |         |        |
| org/wik |  (repla |         | org/wik |         |         |         |         |         |        |
| i/M*A*S | ced Tra |         | i/Mike_ |         |         |         |         |         |        |
| *H_(TV_ | pper;   |         | Farrell |         |         |         |         |         |        |
| series) | seasons |         |         |         |         |         |         |         |        |
|         | 4–11);  |         |         |         |         |         |         |         |        |
|         | B. J. H |         |         |         |         |         |         |         |        |
|         | unnicut |         |         |         |         |         |         |         |        |
|         | t; (rep |         |         |         |         |         |         |         |        |
|         | laced T |         |         |         |         |         |         |         |        |
|         | rapper; |         |         |         |         |         |         |         |        |
|         | ;       |         |         |         |         |         |         |         |        |
|         | seasons |         |         |         |         |         |         |         |        |
|         | 4–11)   |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Sherman | Harry   | https:/ | Colonel | Colonel | https:/ | Command |         |        |
| /en.wik | Potter  | Morgan  | /en.wik |         |         | /en.wik | ing     |         |        |
| ipedia. |  (repla |         | ipedia. |         |         | ipedia. | officer |         |        |
| org/wik | ced     |         | org/wik |         |         | org/wik | (after  |         |        |
| i/M*A*S | Henry   |         | i/Harry |         |         | i/Colon | Lt.     |         |        |
| *H_(TV_ | Blake;  |         | _Morgan |         |         | el_(Uni | Col.    |         |        |
| series) | Seasons |         |         |         |         | ted_Sta | Blake), |         |        |
|         | 4–11);  |         |         |         |         | tes)    | surgeon |         |        |
|         | Sherman |         |         |         |         |         |         |         |        |
|         | Potter; |         |         |         |         |         |         |         |        |
|         | (replac |         |         |         |         |         |         |         |        |
|         | ed      |         |         |         |         |         |         |         |        |
|         | Henry   |         |         |         |         |         |         |         |        |
|         | Blake;; |         |         |         |         |         |         |         |        |
|         | Seasons |         |         |         |         |         |         |         |        |
|         | 4–11)   |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| https:/ | Charles | David   | https:/ | Major   |         |         | Surgeon |         |        |
| /en.wik | Emerson | Ogden   | /en.wik |         |         |         | , execu |         |        |
| ipedia. | Winches | Stiers  | ipedia. |         |         |         | tive    |         |        |
| org/wik | ter III |         | org/wik |         |         |         | officer |         |        |
| i/M*A*S |  (repla |         | i/David |         |         |         | (after  |         |        |
| *H_(TV_ | ced     |         | _Ogden_ |         |         |         | Major   |         |        |
| series) | Frank   |         | Stiers  |         |         |         | Burns)  |         |        |
|         | Burns;  |         |         |         |         |         |         |         |        |
|         | seasons |         |         |         |         |         |         |         |        |
|         | 6–11);  |         |         |         |         |         |         |         |        |
|         | Charles |         |         |         |         |         |         |         |        |
|         | Emerson |         |         |         |         |         |         |         |        |
|         | Winches |         |         |         |         |         |         |         |        |
|         | ter     |         |         |         |         |         |         |         |        |
|         | III; (r |         |         |         |         |         |         |         |        |
|         | eplaced |         |         |         |         |         |         |         |        |
|         | Frank   |         |         |         |         |         |         |         |        |
|         | Burns;; |         |         |         |         |         |         |         |        |
|         | seasons |         |         |         |         |         |         |         |        |
|         | 6–11)   |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
