+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| url     | Number | Number_ | Start_o | End_of_ | Image   | Image_a | Image_l | Name    | Name_li |
| United_ |        | rson    |         |         | e/Thoma |         | embrand |         |         |
| States  |        |         |         |         | s_Jeffe |         | t_Peale |         |         |
|         |        |         |         |         | rson_by |         | ,_1800. |         |         |
|         |        |         |         |         | _Rembra |         | jpg     |         |         |
|         |        |         |         |         | ndt_Pea |         |         |         |         |
|         |        |         |         |         | le%2C_1 |         |         |         |         |
|         |        |         |         |         | 800.jpg |         |         |         |         |
|         |        |         |         |         | /165px- |         |         |         |         |
|         |        |         |         |         | Thomas_ |         |         |         |         |
|         |        |         |         |         | Jeffers |         |         |         |         |
|         |        |         |         |         | on_by_R |         |         |         |         |
|         |        |         |         |         | embrand |         |         |         |         |
|         |        |         |         |         | t_Peale |         |         |         |         |
|         |        |         |         |         | %2C_180 |         |         |         |         |
|         |        |         |         |         | 0.jpg   |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 3      | https:/ | March   | March   | https:/ | Thomas  | https:/ | Thomas  | https:/ |
| /en.wik |        | /en.wik | 4, 1801 | 4, 1809 | /upload | Jeffers | /en.wik | Jeffers | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | on by R | ipedia. | on      | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | embrand | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | t       | i/File: |         | i/Thoma |
| of_Pres |        | dency_o |         |         | dia/com | Peale,  | Thomas_ |         | s_Jeffe |
| idents_ |        | f_Thoma |         |         | mons/th | 1800.jp | Jeffers |         | rson    |
| of_the_ |        | s_Jeffe |         |         | umb/1/1 | g       | on_by_R |         |         |
| United_ |        | rson    |         |         | e/Thoma |         | embrand |         |         |
| States  |        |         |         |         | s_Jeffe |         | t_Peale |         |         |
|         |        |         |         |         | rson_by |         | ,_1800. |         |         |
|         |        |         |         |         | _Rembra |         | jpg     |         |         |
|         |        |         |         |         | ndt_Pea |         |         |         |         |
|         |        |         |         |         | le%2C_1 |         |         |         |         |
|         |        |         |         |         | 800.jpg |         |         |         |         |
|         |        |         |         |         | /165px- |         |         |         |         |
|         |        |         |         |         | Thomas_ |         |         |         |         |
|         |        |         |         |         | Jeffers |         |         |         |         |
|         |        |         |         |         | on_by_R |         |         |         |         |
|         |        |         |         |         | embrand |         |         |         |         |
|         |        |         |         |         | t_Peale |         |         |         |         |
|         |        |         |         |         | %2C_180 |         |         |         |         |
|         |        |         |         |         | 0.jpg   |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 4      | https:/ | March   | March   | https:/ | James M | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1809 | 4, 1817 | /upload | adison. | /en.wik | Madison | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | jpg     | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | James_M |         | _Madiso |
| idents_ |        | f_James |         |         | mons/th |         | adison. |         | n       |
| of_the_ |        | _Madiso |         |         | umb/1/1 |         | jpg     |         |         |
| United_ |        | n       |         |         | d/James |         |         |         |         |
| States  |        |         |         |         | _Madiso |         |         |         |         |
|         |        |         |         |         | n.jpg/1 |         |         |         |         |
|         |        |         |         |         | 65px-Ja |         |         |         |         |
|         |        |         |         |         | mes_Mad |         |         |         |         |
|         |        |         |         |         | ison.jp |         |         |         |         |
|         |        |         |         |         | g       |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 4      | https:/ | March   | March   | https:/ | James M | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1809 | 4, 1817 | /upload | adison. | /en.wik | Madison | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | jpg     | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | James_M |         | _Madiso |
| idents_ |        | f_James |         |         | mons/th |         | adison. |         | n       |
| of_the_ |        | _Madiso |         |         | umb/1/1 |         | jpg     |         |         |
| United_ |        | n       |         |         | d/James |         |         |         |         |
| States  |        |         |         |         | _Madiso |         |         |         |         |
|         |        |         |         |         | n.jpg/1 |         |         |         |         |
|         |        |         |         |         | 65px-Ja |         |         |         |         |
|         |        |         |         |         | mes_Mad |         |         |         |         |
|         |        |         |         |         | ison.jp |         |         |         |         |
|         |        |         |         |         | g       |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 4      | https:/ | March   | March   | https:/ | James M | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1809 | 4, 1817 | /upload | adison. | /en.wik | Madison | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | jpg     | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | James_M |         | _Madiso |
| idents_ |        | f_James |         |         | mons/th |         | adison. |         | n       |
| of_the_ |        | _Madiso |         |         | umb/1/1 |         | jpg     |         |         |
| United_ |        | n       |         |         | d/James |         |         |         |         |
| States  |        |         |         |         | _Madiso |         |         |         |         |
|         |        |         |         |         | n.jpg/1 |         |         |         |         |
|         |        |         |         |         | 65px-Ja |         |         |         |         |
|         |        |         |         |         | mes_Mad |         |         |         |         |
|         |        |         |         |         | ison.jp |         |         |         |         |
|         |        |         |         |         | g       |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 4      | https:/ | March   | March   | https:/ | James M | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1809 | 4, 1817 | /upload | adison. | /en.wik | Madison | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | jpg     | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | James_M |         | _Madiso |
| idents_ |        | f_James |         |         | mons/th |         | adison. |         | n       |
| of_the_ |        | _Madiso |         |         | umb/1/1 |         | jpg     |         |         |
| United_ |        | n       |         |         | d/James |         |         |         |         |
| States  |        |         |         |         | _Madiso |         |         |         |         |
|         |        |         |         |         | n.jpg/1 |         |         |         |         |
|         |        |         |         |         | 65px-Ja |         |         |         |         |
|         |        |         |         |         | mes_Mad |         |         |         |         |
|         |        |         |         |         | ison.jp |         |         |         |         |
|         |        |         |         |         | g       |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 5      | https:/ | March   | March   | https:/ | James   | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1817 | 4, 1825 | /upload | Monroe  | /en.wik | Monroe  | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | White   | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | House p | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ortrait | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com | 1819.gi | James_M |         | _Monroe |
| idents_ |        | f_James |         |         | mons/th | f       | onroe_W |         |         |
| of_the_ |        | _Monroe |         |         | umb/9/9 |         | hite_Ho |         |         |
| United_ |        |         |         |         | 5/James |         | use_por |         |         |
| States  |        |         |         |         | _Monroe |         | trait_1 |         |         |
|         |        |         |         |         | _White_ |         | 819.gif |         |         |
|         |        |         |         |         | House_p |         |         |         |         |
|         |        |         |         |         | ortrait |         |         |         |         |
|         |        |         |         |         | _1819.g |         |         |         |         |
|         |        |         |         |         | if/165p |         |         |         |         |
|         |        |         |         |         | x-James |         |         |         |         |
|         |        |         |         |         | _Monroe |         |         |         |         |
|         |        |         |         |         | _White_ |         |         |         |         |
|         |        |         |         |         | House_p |         |         |         |         |
|         |        |         |         |         | ortrait |         |         |         |         |
|         |        |         |         |         | _1819.g |         |         |         |         |
|         |        |         |         |         | if      |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 5      | https:/ | March   | March   | https:/ | James   | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1817 | 4, 1825 | /upload | Monroe  | /en.wik | Monroe  | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | White   | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | House p | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | ortrait | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com | 1819.gi | James_M |         | _Monroe |
| idents_ |        | f_James |         |         | mons/th | f       | onroe_W |         |         |
| of_the_ |        | _Monroe |         |         | umb/9/9 |         | hite_Ho |         |         |
| United_ |        |         |         |         | 5/James |         | use_por |         |         |
| States  |        |         |         |         | _Monroe |         | trait_1 |         |         |
|         |        |         |         |         | _White_ |         | 819.gif |         |         |
|         |        |         |         |         | House_p |         |         |         |         |
|         |        |         |         |         | ortrait |         |         |         |         |
|         |        |         |         |         | _1819.g |         |         |         |         |
|         |        |         |         |         | if/165p |         |         |         |         |
|         |        |         |         |         | x-James |         |         |         |         |
|         |        |         |         |         | _Monroe |         |         |         |         |
|         |        |         |         |         | _White_ |         |         |         |         |
|         |        |         |         |         | House_p |         |         |         |         |
|         |        |         |         |         | ortrait |         |         |         |         |
|         |        |         |         |         | _1819.g |         |         |         |         |
|         |        |         |         |         | if      |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 6      | https:/ | March   | March   | https:/ | John    | https:/ | John    | https:/ |
| /en.wik |        | /en.wik | 4, 1825 | 4, 1829 | /upload | Quincy  | /en.wik | Quincy  | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | Adams c | ipedia. | Adams   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | ropped. | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | jpg     | i/File: |         | i/John_ |
| of_Pres |        | dency_o |         |         | dia/com |         | John_Qu |         | Quincy_ |
| idents_ |        | f_John_ |         |         | mons/th |         | incy_Ad |         | Adams   |
| of_the_ |        | Quincy_ |         |         | umb/2/2 |         | ams_cro |         |         |
| United_ |        | Adams   |         |         | 5/John_ |         | pped.jp |         |         |
| States  |        |         |         |         | Quincy_ |         | g       |         |         |
|         |        |         |         |         | Adams_c |         |         |         |         |
|         |        |         |         |         | ropped. |         |         |         |         |
|         |        |         |         |         | jpg/165 |         |         |         |         |
|         |        |         |         |         | px-John |         |         |         |         |
|         |        |         |         |         | _Quincy |         |         |         |         |
|         |        |         |         |         | _Adams_ |         |         |         |         |
|         |        |         |         |         | cropped |         |         |         |         |
|         |        |         |         |         | .jpg    |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 7      | https:/ | March   | March   | https:/ | Andrew  | https:/ | Andrew  | https:/ |
| /en.wik |        | /en.wik | 4, 1829 | 4, 1837 | /upload | jackson | /en.wik | Jackson | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | head.jp | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | g       | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/Andre |
| of_Pres |        | dency_o |         |         | dia/com |         | Andrew_ |         | w_Jacks |
| idents_ |        | f_Andre |         |         | mons/th |         | jackson |         | on      |
| of_the_ |        | w_Jacks |         |         | umb/4/4 |         | _head.j |         |         |
| United_ |        | on      |         |         | 3/Andre |         | pg      |         |         |
| States  |        |         |         |         | w_jacks |         |         |         |         |
|         |        |         |         |         | on_head |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-And |         |         |         |         |
|         |        |         |         |         | rew_jac |         |         |         |         |
|         |        |         |         |         | kson_he |         |         |         |         |
|         |        |         |         |         | ad.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 7      | https:/ | March   | March   | https:/ | Andrew  | https:/ | Andrew  | https:/ |
| /en.wik |        | /en.wik | 4, 1829 | 4, 1837 | /upload | jackson | /en.wik | Jackson | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | head.jp | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | g       | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/Andre |
| of_Pres |        | dency_o |         |         | dia/com |         | Andrew_ |         | w_Jacks |
| idents_ |        | f_Andre |         |         | mons/th |         | jackson |         | on      |
| of_the_ |        | w_Jacks |         |         | umb/4/4 |         | _head.j |         |         |
| United_ |        | on      |         |         | 3/Andre |         | pg      |         |         |
| States  |        |         |         |         | w_jacks |         |         |         |         |
|         |        |         |         |         | on_head |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-And |         |         |         |         |
|         |        |         |         |         | rew_jac |         |         |         |         |
|         |        |         |         |         | kson_he |         |         |         |         |
|         |        |         |         |         | ad.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 7      | https:/ | March   | March   | https:/ | Andrew  | https:/ | Andrew  | https:/ |
| /en.wik |        | /en.wik | 4, 1829 | 4, 1837 | /upload | jackson | /en.wik | Jackson | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | head.jp | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | g       | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/Andre |
| of_Pres |        | dency_o |         |         | dia/com |         | Andrew_ |         | w_Jacks |
| idents_ |        | f_Andre |         |         | mons/th |         | jackson |         | on      |
| of_the_ |        | w_Jacks |         |         | umb/4/4 |         | _head.j |         |         |
| United_ |        | on      |         |         | 3/Andre |         | pg      |         |         |
| States  |        |         |         |         | w_jacks |         |         |         |         |
|         |        |         |         |         | on_head |         |         |         |         |
|         |        |         |         |         | .jpg/16 |         |         |         |         |
|         |        |         |         |         | 5px-And |         |         |         |         |
|         |        |         |         |         | rew_jac |         |         |         |         |
|         |        |         |         |         | kson_he |         |         |         |         |
|         |        |         |         |         | ad.jpg  |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 8      | https:/ | March   | March   | https:/ | Martin  | https:/ | Martin  | https:/ |
| /en.wik |        | /en.wik | 4, 1837 | 4, 1841 | /upload | Van     | /en.wik | Van     | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime | Buren e | ipedia. | Buren   | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | dit.jpg | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/Marti |
| of_Pres |        | dency_o |         |         | dia/com |         | Martin_ |         | n_Van_B |
| idents_ |        | f_Marti |         |         | mons/th |         | Van_Bur |         | uren    |
| of_the_ |        | n_Van_B |         |         | umb/9/9 |         | en_edit |         |         |
| United_ |        | uren    |         |         | 4/Marti |         | .jpg    |         |         |
| States  |        |         |         |         | n_Van_B |         |         |         |         |
|         |        |         |         |         | uren_ed |         |         |         |         |
|         |        |         |         |         | it.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-M |         |         |         |         |
|         |        |         |         |         | artin_V |         |         |         |         |
|         |        |         |         |         | an_Bure |         |         |         |         |
|         |        |         |         |         | n_edit. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ |        |         | March   | April   | https:/ | William | https:/ | William | https:/ |
| /en.wik |        |         | 4, 1841 | 4, 1841 | /upload | Henry H | /en.wik | Henry H | /en.wik |
| ipedia. |        |         |         |         | .wikime | arrison | ipedia. | arrison | ipedia. |
| org/wik |        |         |         |         | dia.org | daguerr | org/wik |         | org/wik |
| i/List_ |        |         |         |         | /wikipe | eotype  | i/File: |         | i/Willi |
| of_Pres |        |         |         |         | dia/com | edit.jp | William |         | am_Henr |
| idents_ |        |         |         |         | mons/th | g       | _Henry_ |         | y_Harri |
| of_the_ |        |         |         |         | umb/c/c |         | Harriso |         | son     |
| United_ |        |         |         |         | 5/Willi |         | n_dague |         |         |
| States  |        |         |         |         | am_Henr |         | rreotyp |         |         |
|         |        |         |         |         | y_Harri |         | e_edit. |         |         |
|         |        |         |         |         | son_dag |         | jpg     |         |         |
|         |        |         |         |         | uerreot |         |         |         |         |
|         |        |         |         |         | ype_edi |         |         |         |         |
|         |        |         |         |         | t.jpg/1 |         |         |         |         |
|         |        |         |         |         | 65px-Wi |         |         |         |         |
|         |        |         |         |         | lliam_H |         |         |         |         |
|         |        |         |         |         | enry_Ha |         |         |         |         |
|         |        |         |         |         | rrison_ |         |         |         |         |
|         |        |         |         |         | daguerr |         |         |         |         |
|         |        |         |         |         | eotype_ |         |         |         |         |
|         |        |         |         |         | edit.jp |         |         |         |         |
|         |        |         |         |         | g       |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 10     | https:/ | April   | March   | https:/ | Tyler D | https:/ | John    | https:/ |
| /en.wik |        | /en.wik | 4, 1841 | 4, 1845 | /upload | aguerre | /en.wik | Tyler   | /en.wik |
| ipedia. |        | ipedia. |  [k]    |         | .wikime | otype   | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | crop (r | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | estorat | i/File: |         | i/John_ |
| of_Pres |        | dency_o |         |         | dia/com | ion).jp | Tyler_D |         | Tyler   |
| idents_ |        | f_John_ |         |         | mons/th | g       | aguerre |         |         |
| of_the_ |        | Tyler   |         |         | umb/2/2 |         | otype_c |         |         |
| United_ |        |         |         |         | f/Tyler |         | rop_(re |         |         |
| States  |        |         |         |         | _Daguer |         | storati |         |         |
|         |        |         |         |         | reotype |         | on).jpg |         |         |
|         |        |         |         |         | _crop_% |         |         |         |         |
|         |        |         |         |         | 28resto |         |         |         |         |
|         |        |         |         |         | ration% |         |         |         |         |
|         |        |         |         |         | 29.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-T |         |         |         |         |
|         |        |         |         |         | yler_Da |         |         |         |         |
|         |        |         |         |         | guerreo |         |         |         |         |
|         |        |         |         |         | type_cr |         |         |         |         |
|         |        |         |         |         | op_%28r |         |         |         |         |
|         |        |         |         |         | estorat |         |         |         |         |
|         |        |         |         |         | ion%29. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 10     | https:/ | April   | March   | https:/ | Tyler D | https:/ | John    | https:/ |
| /en.wik |        | /en.wik | 4, 1841 | 4, 1845 | /upload | aguerre | /en.wik | Tyler   | /en.wik |
| ipedia. |        | ipedia. |  [k]    |         | .wikime | otype   | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org | crop (r | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe | estorat | i/File: |         | i/John_ |
| of_Pres |        | dency_o |         |         | dia/com | ion).jp | Tyler_D |         | Tyler   |
| idents_ |        | f_John_ |         |         | mons/th | g       | aguerre |         |         |
| of_the_ |        | Tyler   |         |         | umb/2/2 |         | otype_c |         |         |
| United_ |        |         |         |         | f/Tyler |         | rop_(re |         |         |
| States  |        |         |         |         | _Daguer |         | storati |         |         |
|         |        |         |         |         | reotype |         | on).jpg |         |         |
|         |        |         |         |         | _crop_% |         |         |         |         |
|         |        |         |         |         | 28resto |         |         |         |         |
|         |        |         |         |         | ration% |         |         |         |         |
|         |        |         |         |         | 29.jpg/ |         |         |         |         |
|         |        |         |         |         | 165px-T |         |         |         |         |
|         |        |         |         |         | yler_Da |         |         |         |         |
|         |        |         |         |         | guerreo |         |         |         |         |
|         |        |         |         |         | type_cr |         |         |         |         |
|         |        |         |         |         | op_%28r |         |         |         |         |
|         |        |         |         |         | estorat |         |         |         |         |
|         |        |         |         |         | ion%29. |         |         |         |         |
|         |        |         |         |         | jpg     |         |         |         |         |
+---------+--------+---------+---------+---------+---------+---------+---------+---------+---------+
| https:/ | 11     | https:/ | March   | March   | https:/ | JKP.tif | https:/ | James   | https:/ |
| /en.wik |        | /en.wik | 4, 1845 | 4, 1849 | /upload |         | /en.wik | K. Polk | /en.wik |
| ipedia. |        | ipedia. |         |         | .wikime |         | ipedia. |         | ipedia. |
| org/wik |        | org/wik |         |         | dia.org |         | org/wik |         | org/wik |
| i/List_ |        | i/Presi |         |         | /wikipe |         | i/File: |         | i/James |
| of_Pres |        | dency_o |         |         | dia/com |         | JKP.tif |         | _K._Pol |
| idents_ |        | f_James |         |         | mons/th |         |         |         | k       |
| of_the_ |        | _K._Pol |         |         | umb/3/3 |         |         |         |         |
| United_ |        | k       |         |         | 2/JKP.t |         |         |         |         |
| States  |        |         |         |         | if/loss |         |         |         |         |
