+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| url     | Country | Country | Populat | Yearly_ | Net_Cha | Density | Land_Ar | Migrant | Fert_R |
| -by-cou |         | ion/    |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Indones | http:// | 266,794 | 1.06 %  | 2,803,6 | 147     | 1,811,5 | -167,00 | 2.500  |
| www.wor | ia      | www.wor | ,980    |         | 01      |         | 70      | 0       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ind |         |         |         |         |         |         |        |
| ulation |         | onesia- |         |         |         |         |         |         |        |
| -by-cou |         | populat |         |         |         |         |         |         |        |
| ntry/   |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Brazil  | http:// | 210,867 | 0.75 %  | 1,579,6 | 25      | 8,358,1 | 3,185   | 1.800  |
| www.wor |         | www.wor | ,954    |         | 76      |         | 40      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/bra |         |         |         |         |         |         |        |
| ulation |         | zil-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Pakista | http:// | 200,813 | 1.93 %  | 3,797,8 | 260     | 770,880 | -236,38 | 3.700  |
| www.wor | n       | www.wor | ,818    |         | 63      |         |         | 4       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/pak |         |         |         |         |         |         |        |
| ulation |         | istan-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Nigeria | http:// | 195,875 | 2.61 %  | 4,988,9 | 215     | 910,770 | -60,000 | 5.700  |
| www.wor |         | www.wor | ,237    |         | 26      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/nig |         |         |         |         |         |         |        |
| ulation |         | eria-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Banglad | http:// | 166,368 | 1.03 %  | 1,698,3 | 1,278   | 130,170 | -505,29 | 2.200  |
| www.wor | esh     | www.wor | ,149    |         | 98      |         |         | 7       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ban |         |         |         |         |         |         |        |
| ulation |         | gladesh |         |         |         |         |         |         |        |
| -by-cou |         | -popula |         |         |         |         |         |         |        |
| ntry/   |         | tion/   |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Russia  | http:// | 143,964 | -0.02 % | -25,045 | 9       | 16,376, | 203,577 | 1.700  |
| www.wor |         | www.wor | ,709    |         |         |         | 870     |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/rus |         |         |         |         |         |         |        |
| ulation |         | sia-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Mexico  | http:// | 130,759 | 1.24 %  | 1,595,7 | 67      | 1,943,9 | -60,000 | 2.300  |
| www.wor |         | www.wor | ,074    |         | 98      |         | 50      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/mex |         |         |         |         |         |         |        |
| ulation |         | ico-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Japan   | http:// | 127,185 | -0.23 % | -299,11 | 349     | 364,555 | 71,627  | 1.400  |
| www.wor |         | www.wor | ,332    |         | 8       |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/jap |         |         |         |         |         |         |        |
| ulation |         | an-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Ethiopi | http:// | 107,534 | 2.46 %  | 2,577,4 | 108     | 1,000,0 | -12,000 | 4.600  |
| www.wor | a       | www.wor | ,882    |         | 44      |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/eth |         |         |         |         |         |         |        |
| ulation |         | iopia-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Philipp | http:// | 106,512 | 1.52 %  | 1,593,9 | 357     | 298,170 | -130,00 | 3.100  |
| www.wor | ines    | www.wor | ,074    |         | 84      |         |         | 0       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/phi |         |         |         |         |         |         |        |
| ulation |         | lippine |         |         |         |         |         |         |        |
| -by-cou |         | s-popul |         |         |         |         |         |         |        |
| ntry/   |         | ation/  |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Egypt   | http:// | 99,375, | 1.87 %  | 1,822,5 | 100     | 995,450 | -55,005 | 3.400  |
| www.wor |         | www.wor | 741     |         | 90      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/egy |         |         |         |         |         |         |        |
| ulation |         | pt-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Viet    | http:// | 96,491, | 0.99 %  | 950,346 | 311     | 310,070 | -40,000 | 2      |
| www.wor | Nam     | www.wor | 146     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/vie |         |         |         |         |         |         |        |
| ulation |         | tnam-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | DR      | http:// | 84,004, | 3.28 %  | 2,665,0 | 37      | 2,267,0 | 3,012   | 6.400  |
| www.wor | Congo   | www.wor | 989     |         | 01      |         | 50      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/dem |         |         |         |         |         |         |        |
| ulation |         | ocratic |         |         |         |         |         |         |        |
| -by-cou |         | -republ |         |         |         |         |         |         |        |
| ntry/   |         | ic-of-  |         |         |         |         |         |         |        |
|         |         | the-    |         |         |         |         |         |         |        |
|         |         | congo-p |         |         |         |         |         |         |        |
|         |         | opulati |         |         |         |         |         |         |        |
|         |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Germany | http:// | 82,293, | 0.22 %  | 179,233 | 236     | 348,560 | 355,425 | 1.400  |
| www.wor |         | www.wor | 457     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ger |         |         |         |         |         |         |        |
| ulation |         | many-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Iran    | http:// | 82,011, | 1.05 %  | 848,947 | 50      | 1,628,5 | -80,000 | 1.700  |
| www.wor |         | www.wor | 735     |         |         |         | 50      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ira |         |         |         |         |         |         |        |
| ulation |         | n-popul |         |         |         |         |         |         |        |
| -by-cou |         | ation/  |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Turkey  | http:// | 81,916, | 1.45 %  | 1,171,8 | 106     | 769,630 | 325,434 | 2.100  |
| www.wor |         | www.wor | 871     |         | 51      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/tur |         |         |         |         |         |         |        |
| ulation |         | key-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Thailan | http:// | 69,183, | 0.21 %  | 145,660 | 135     | 510,890 | 33,463  | 1.500  |
| www.wor | d       | www.wor | 173     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/tha |         |         |         |         |         |         |        |
| ulation |         | iland-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | U.K.    | http:// | 66,573, | 0.59 %  | 391,919 | 275     | 241,930 | 198,000 | 1.900  |
| www.wor |         | www.wor | 504     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/uk- |         |         |         |         |         |         |        |
| ulation |         | populat |         |         |         |         |         |         |        |
| -by-cou |         | ion/    |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | France  | http:// | 65,233, | 0.39 %  | 253,723 | 119     | 547,557 | 72,344  | 2      |
| www.wor |         | www.wor | 271     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/fra |         |         |         |         |         |         |        |
| ulation |         | nce-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Italy   | http:// | 59,290, | -0.12 % | -68,931 | 202     | 294,140 | 52,829  | 1.400  |
| www.wor |         | www.wor | 969     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ita |         |         |         |         |         |         |        |
| ulation |         | ly-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Tanzani | http:// | 59,091, | 3.11 %  | 1,781,3 | 67      | 885,800 | -40,000 | 5.200  |
| www.wor | a       | www.wor | 392     |         | 73      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/tan |         |         |         |         |         |         |        |
| ulation |         | zania-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | South   | http:// | 57,398, | 1.20 %  | 681,265 | 47      | 1,213,0 | 161,300 | 2.600  |
| www.wor | Africa  | www.wor | 421     |         |         |         | 90      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sou |         |         |         |         |         |         |        |
| ulation |         | th-     |         |         |         |         |         |         |        |
| -by-cou |         | africa- |         |         |         |         |         |         |        |
| ntry/   |         | populat |         |         |         |         |         |         |        |
|         |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Myanmar | http:// | 53,855, | 0.91 %  | 485,126 | 82      | 653,290 | -94,856 | 2.300  |
| www.wor |         | www.wor | 735     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/mya |         |         |         |         |         |         |        |
| ulation |         | nmar-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | South   | http:// | 51,164, | 0.36 %  | 182,223 | 526     | 97,230  | 33,927  | 1.200  |
| www.wor | Korea   | www.wor | 435     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sou |         |         |         |         |         |         |        |
| ulation |         | th-     |         |         |         |         |         |         |        |
| -by-cou |         | korea-p |         |         |         |         |         |         |        |
| ntry/   |         | opulati |         |         |         |         |         |         |        |
|         |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Kenya   | http:// | 50,950, | 2.52 %  | 1,251,0 | 90      | 569,140 | -10,000 | 4.100  |
| www.wor |         | www.wor | 879     |         | 17      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ken |         |         |         |         |         |         |        |
| ulation |         | ya-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Colombi | http:// | 49,464, | 0.81 %  | 399,068 | 45      | 1,109,5 | -29,000 | 1.900  |
| www.wor | a       | www.wor | 683     |         |         |         | 00      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/col |         |         |         |         |         |         |        |
| ulation |         | ombia-p |         |         |         |         |         |         |        |
| -by-cou |         | opulati |         |         |         |         |         |         |        |
| ntry/   |         | on/     |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Spain   | http:// | 46,397, | 0.09 %  | 43,131  | 93      | 498,800 | -114,00 | 1.300  |
| www.wor |         | www.wor | 452     |         |         |         |         | 0       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/spa |         |         |         |         |         |         |        |
| ulation |         | in-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Argenti | http:// | 44,688, | 0.94 %  | 417,823 | 16      | 2,736,6 | 6,000   | 2.300  |
| www.wor | na      | www.wor | 864     |         |         |         | 90      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/arg |         |         |         |         |         |         |        |
| ulation |         | entina- |         |         |         |         |         |         |        |
| -by-cou |         | populat |         |         |         |         |         |         |        |
| ntry/   |         | ion/    |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Uganda  | http:// | 44,270, | 3.28 %  | 1,407,6 | 222     | 199,810 | -30,000 | 5.900  |
| www.wor |         | www.wor | 563     |         | 05      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/uga |         |         |         |         |         |         |        |
| ulation |         | nda-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Ukraine | http:// | 44,009, | -0.48 % | -213,73 | 76      | 579,320 | -40,000 | 1.500  |
| www.wor |         | www.wor | 214     |         | 3       |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ukr |         |         |         |         |         |         |        |
| ulation |         | aine-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Algeria | http:// | 42,008, | 1.67 %  | 689,912 | 18      | 2,381,7 | -28,654 | 3      |
| www.wor |         | www.wor | 054     |         |         |         | 40      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/alg |         |         |         |         |         |         |        |
| ulation |         | eria-po |         |         |         |         |         |         |        |
| -by-cou |         | pulatio |         |         |         |         |         |         |        |
| ntry/   |         | n/      |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Sudan   | http:// | 41,511, | 2.41 %  | 978,196 | 24      | 1,765,0 | -117,87 | 4.800  |
| www.wor |         | www.wor | 526     |         |         |         | 48      | 7       |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/sud |         |         |         |         |         |         |        |
| ulation |         | an-popu |         |         |         |         |         |         |        |
| -by-cou |         | lation/ |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Iraq    | http:// | 39,339, | 2.78 %  | 1,065,1 | 91      | 434,320 | 92,733  | 4.600  |
| www.wor |         | www.wor | 753     |         | 35      |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/ira |         |         |         |         |         |         |        |
| ulation |         | q-popul |         |         |         |         |         |         |        |
| -by-cou |         | ation/  |         |         |         |         |         |         |        |
| ntry/   |         |         |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Poland  | http:// | 38,104, | -0.17 % | -65,880 | 124     | 306,230 | -14,799 | 1.300  |
| www.wor |         | www.wor | 832     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/pol |         |         |         |         |         |         |        |
| ulation |         | and-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Canada  | http:// | 36,953, | 0.90 %  | 329,566 | 4       | 9,093,5 | 229,144 | 1.600  |
| www.wor |         | www.wor | 765     |         |         |         | 10      |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/can |         |         |         |         |         |         |        |
| ulation |         | ada-pop |         |         |         |         |         |         |        |
| -by-cou |         | ulation |         |         |         |         |         |         |        |
| ntry/   |         | /       |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Afghani | http:// | 36,373, | 2.37 %  | 843,095 | 56      | 652,860 | 89,601  | 5.300  |
| www.wor | stan    | www.wor | 176     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/afg |         |         |         |         |         |         |        |
| ulation |         | hanista |         |         |         |         |         |         |        |
| -by-cou |         | n-popul |         |         |         |         |         |         |        |
| ntry/   |         | ation/  |         |         |         |         |         |         |        |
+---------+---------+---------+---------+---------+---------+---------+---------+---------+--------+
| http:// | Morocco | http:// | 36,191, | 1.27 %  | 452,225 | 81      | 446,300 | -61,422 | 2.600  |
| www.wor |         | www.wor | 805     |         |         |         |         |         |        |
| ldomete |         | ldomete |         |         |         |         |         |         |        |
| rs.info |         | rs.info |         |         |         |         |         |         |        |
| /world- |         | /world- |         |         |         |         |         |         |        |
| populat |         | populat |         |         |         |         |         |         |        |
| ion/pop |         | ion/mor |         |         |         |         |         |         |        |
