+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| url      | State    | Portrait | Portrait | Governor | Party    | Prior_pu | Inaugrat | End_of_t |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/e/e |          |          |          |          |          |          |
| tes_gove |          | 4/Dannel |          |          |          |          |          |          |
| rnors    |          | _Malloy_ |          |          |          |          |          |          |
|          |          | 2016.jpg |          |          |          |          |          |          |
|          |          | /100px-D |          |          |          |          |          |          |
|          |          | annel_Ma |          |          |          |          |          |          |
|          |          | lloy_201 |          |          |          |          |          |          |
|          |          | 6.jpg    |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Delaware | https:// | John C.  | John     | Democrat | U.S.     | January  | 2021     |
| en.wikip |          | upload.w | Carney   | Carney   | ic       | House, L | 17, 2017 |          |
| edia.org |          | ikimedia | Jr.      |          |          | ieutenan |          |          |
| /wiki/Li |          | .org/wik | official |          |          | t        |          |          |
| st_of_cu |          | ipedia/c | portrait |          |          | Governor |          |          |
| rrent_Un |          | ommons/t | 112th Co |          |          | of       |          |          |
| ited_Sta |          | humb/3/3 | ngress.j |          |          | Delaware |          |          |
| tes_gove |          | c/John_C | pg       |          |          |          |          |          |
| rnors    |          | ._Carney |          |          |          |          |          |          |
|          |          | _Jr._off |          |          |          |          |          |          |
|          |          | icial_po |          |          |          |          |          |          |
|          |          | rtrait_1 |          |          |          |          |          |          |
|          |          | 12th_Con |          |          |          |          |          |          |
|          |          | gress.jp |          |          |          |          |          |          |
|          |          | g/100px- |          |          |          |          |          |          |
|          |          | John_C._ |          |          |          |          |          |          |
|          |          | Carney_J |          |          |          |          |          |          |
|          |          | r._offic |          |          |          |          |          |          |
|          |          | ial_port |          |          |          |          |          |          |
|          |          | rait_112 |          |          |          |          |          |          |
|          |          | th_Congr |          |          |          |          |          |          |
|          |          | ess.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Florida  | https:// | Rick     | Rick     | Republic | No prior | January  | 2019     |
| en.wikip |          | upload.w | Scott (c | Scott    | an       | public e | 4, 2011  | (term    |
| edia.org |          | ikimedia | ropped). |          |          | xperienc |          | limits)  |
| /wiki/Li |          | .org/wik | jpg      |          |          | e        |          |          |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/1/1 |          |          |          |          |          |          |
| tes_gove |          | d/Rick_S |          |          |          |          |          |          |
| rnors    |          | cott_%28 |          |          |          |          |          |          |
|          |          | cropped% |          |          |          |          |          |          |
|          |          | 29.jpg/1 |          |          |          |          |          |          |
|          |          | 00px-Ric |          |          |          |          |          |          |
|          |          | k_Scott_ |          |          |          |          |          |          |
|          |          | %28cropp |          |          |          |          |          |          |
|          |          | ed%29.jp |          |          |          |          |          |          |
|          |          | g        |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Georgia  | https:// | Nathan   | Nathan   | Republic | U.S.     | January  | 2019     |
| en.wikip |          | upload.w | Deal,    | Deal     | an       | House,   | 10, 2011 | (term    |
| edia.org |          | ikimedia | official |          |          | Georgia  |          | limits)  |
| /wiki/Li |          | .org/wik | 110th    |          |          | Senate   |          |          |
| st_of_cu |          | ipedia/c | Congress |          |          |          |          |          |
| rrent_Un |          | ommons/t | photo.jp |          |          |          |          |          |
| ited_Sta |          | humb/e/e | g        |          |          |          |          |          |
| tes_gove |          | 7/Nathan |          |          |          |          |          |          |
| rnors    |          | _Deal%2C |          |          |          |          |          |          |
|          |          | _officia |          |          |          |          |          |          |
|          |          | l_110th_ |          |          |          |          |          |          |
|          |          | Congress |          |          |          |          |          |          |
|          |          | _photo.j |          |          |          |          |          |          |
|          |          | pg/100px |          |          |          |          |          |          |
|          |          | -Nathan_ |          |          |          |          |          |          |
|          |          | Deal%2C_ |          |          |          |          |          |          |
|          |          | official |          |          |          |          |          |          |
|          |          | _110th_C |          |          |          |          |          |          |
|          |          | ongress_ |          |          |          |          |          |          |
|          |          | photo.jp |          |          |          |          |          |          |
|          |          | g        |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Hawaii   | https:// | Governor | David    | Democrat | Hawaii   | December | 2018     |
| en.wikip |          | upload.w | David    | Ige      | ic       | Senate,  | 1, 2014  |          |
| edia.org |          | ikimedia | Ige.jpg  |          |          | Hawaii   |          |          |
| /wiki/Li |          | .org/wik |          |          |          | House    |          |          |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/e/e |          |          |          |          |          |          |
| tes_gove |          | e/Govern |          |          |          |          |          |          |
| rnors    |          | or_David |          |          |          |          |          |          |
|          |          | _Ige.jpg |          |          |          |          |          |          |
|          |          | /100px-G |          |          |          |          |          |          |
|          |          | overnor_ |          |          |          |          |          |          |
|          |          | David_Ig |          |          |          |          |          |          |
|          |          | e.jpg    |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Idaho    | https:// | Butchott | Butch    | Republic | U.S.     | January  | 2019 (re |
| en.wikip |          | upload.w | er.jpg   | Otter    | an       | House, L | 1, 2007  | tiring)  |
| edia.org |          | ikimedia |          |          |          | ieutenan |          |          |
| /wiki/Li |          | .org/wik |          |          |          | t Govern |          |          |
| st_of_cu |          | ipedia/c |          |          |          | or,      |          |          |
| rrent_Un |          | ommons/t |          |          |          | Idaho    |          |          |
| ited_Sta |          | humb/1/1 |          |          |          | House    |          |          |
| tes_gove |          | 1/Butcho |          |          |          |          |          |          |
| rnors    |          | tter.jpg |          |          |          |          |          |          |
|          |          | /100px-B |          |          |          |          |          |          |
|          |          | utchotte |          |          |          |          |          |          |
|          |          | r.jpg    |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Illinois | https:// | Bruce    | Bruce    | Republic | No prior | January  | 2019     |
| en.wikip |          | upload.w | Rauner   | Rauner   | an       | public e | 12, 2015 |          |
| edia.org |          | ikimedia | 2016     |          |          | xperienc |          |          |
| /wiki/Li |          | .org/wik | cropped  |          |          | e        |          |          |
| st_of_cu |          | ipedia/c | (cropped |          |          |          |          |          |
| rrent_Un |          | ommons/t | ).jpg    |          |          |          |          |          |
| ited_Sta |          | humb/0/0 |          |          |          |          |          |          |
| tes_gove |          | 4/Bruce_ |          |          |          |          |          |          |
| rnors    |          | Rauner_2 |          |          |          |          |          |          |
|          |          | 016_crop |          |          |          |          |          |          |
|          |          | ped_%28c |          |          |          |          |          |          |
|          |          | ropped%2 |          |          |          |          |          |          |
|          |          | 9.jpg/10 |          |          |          |          |          |          |
|          |          | 0px-Bruc |          |          |          |          |          |          |
|          |          | e_Rauner |          |          |          |          |          |          |
|          |          | _2016_cr |          |          |          |          |          |          |
|          |          | opped_%2 |          |          |          |          |          |          |
|          |          | 8cropped |          |          |          |          |          |          |
|          |          | %29.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Indiana  | https:// | Eric     | Eric     | Republic | Lieutena | January  | 2021     |
| en.wikip |          | upload.w | Holcomb  | Holcomb  | an       | nt Gover | 9, 2017  |          |
| edia.org |          | ikimedia | Grissom. |          |          | nor,     |          |          |
| /wiki/Li |          | .org/wik | jpg      |          |          | Chair of |          |          |
| st_of_cu |          | ipedia/c |          |          |          | the      |          |          |
| rrent_Un |          | ommons/t |          |          |          | Indiana  |          |          |
| ited_Sta |          | humb/9/9 |          |          |          | Republic |          |          |
| tes_gove |          | f/Eric_H |          |          |          | an Party |          |          |
| rnors    |          | olcomb_G |          |          |          |          |          |          |
|          |          | rissom.j |          |          |          |          |          |          |
|          |          | pg/100px |          |          |          |          |          |          |
|          |          | -Eric_Ho |          |          |          |          |          |          |
|          |          | lcomb_Gr |          |          |          |          |          |          |
|          |          | issom.jp |          |          |          |          |          |          |
|          |          | g        |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Iowa     | https:// | Kim      | Kim      | Republic | Lieutena | May 24,  | 2019     |
| en.wikip |          | upload.w | Reynolds | Reynolds | an       | nt Gover | 2017     |          |
| edia.org |          | ikimedia | by Gage  |          |          | nor,     |          |          |
| /wiki/Li |          | .org/wik | Skidmore |          |          | Iowa     |          |          |
| st_of_cu |          | ipedia/c | (cropped |          |          | Senate   |          |          |
| rrent_Un |          | ommons/t | ).jpg    |          |          |          |          |          |
| ited_Sta |          | humb/0/0 |          |          |          |          |          |          |
| tes_gove |          | b/Kim_Re |          |          |          |          |          |          |
| rnors    |          | ynolds_b |          |          |          |          |          |          |
|          |          | y_Gage_S |          |          |          |          |          |          |
|          |          | kidmore_ |          |          |          |          |          |          |
|          |          | %28cropp |          |          |          |          |          |          |
|          |          | ed%29.jp |          |          |          |          |          |          |
|          |          | g/100px- |          |          |          |          |          |          |
|          |          | Kim_Reyn |          |          |          |          |          |          |
|          |          | olds_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore_%2 |          |          |          |          |          |          |
|          |          | 8cropped |          |          |          |          |          |          |
|          |          | %29.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Kansas   | https:// | Jeff Col | Jeff     | Republic | Lieutena | January  | 2019     |
| en.wikip |          | upload.w | yer.jpg  | Colyer   | an       | nt Gover | 31, 2018 |          |
| edia.org |          | ikimedia |          |          |          | nor,     |          |          |
| /wiki/Li |          | .org/wik |          |          |          | Kansas   |          |          |
| st_of_cu |          | ipedia/c |          |          |          | Senate,  |          |          |
| rrent_Un |          | ommons/t |          |          |          | Kansas   |          |          |
| ited_Sta |          | humb/6/6 |          |          |          | House    |          |          |
| tes_gove |          | 9/Jeff_C |          |          |          |          |          |          |
| rnors    |          | olyer.jp |          |          |          |          |          |          |
|          |          | g/100px- |          |          |          |          |          |          |
|          |          | Jeff_Col |          |          |          |          |          |          |
|          |          | yer.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Kentucky | https:// | Matt     | Matt     | Republic | No prior | December | 2019     |
| en.wikip |          | upload.w | Bevin by | Bevin    | an       | public e | 8, 2015  |          |
| edia.org |          | ikimedia | Gage     |          |          | xperienc |          |          |
| /wiki/Li |          | .org/wik | Skidmore |          |          | e        |          |          |
| st_of_cu |          | ipedia/c | 2.jpg    |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/b/b |          |          |          |          |          |          |
| tes_gove |          | 3/Matt_B |          |          |          |          |          |          |
| rnors    |          | evin_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore_2. |          |          |          |          |          |          |
|          |          | jpg/100p |          |          |          |          |          |          |
|          |          | x-Matt_B |          |          |          |          |          |          |
|          |          | evin_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore_2. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Louisian | https:// | John Bel | John Bel | Democrat | Minority | January  | 2020     |
| en.wikip | a        | upload.w | Edwards  | Edwards  | ic       | Leader   | 11, 2016 |          |
| edia.org |          | ikimedia |          |          |          | of the L |          |          |
| /wiki/Li |          | .org/wik |          |          |          | ouisiana |          |          |
| st_of_cu |          | ipedia/c |          |          |          | House of |          |          |
| rrent_Un |          | ommons/t |          |          |          | Represen |          |          |
| ited_Sta |          | humb/9/9 |          |          |          | tatives  |          |          |
| tes_gove |          | e/John_B |          |          |          |          |          |          |
| rnors    |          | el_Edwar |          |          |          |          |          |          |
|          |          | ds_2015. |          |          |          |          |          |          |
|          |          | jpg/100p |          |          |          |          |          |          |
|          |          | x-John_B |          |          |          |          |          |          |
|          |          | el_Edwar |          |          |          |          |          |          |
|          |          | ds_2015. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Maine    | https:// | Paul     | Paul     | Republic | Mayor of | January  | 2019     |
| en.wikip |          | upload.w | LePage   | LePage   | an       | Watervil | 5, 2011  | (term    |
| edia.org |          | ikimedia | by Gage  |          |          | le       |          | limits)  |
| /wiki/Li |          | .org/wik | Skidmore |          |          |          |          |          |
| st_of_cu |          | ipedia/c | .jpg     |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/5/5 |          |          |          |          |          |          |
| tes_gove |          | 0/Paul_L |          |          |          |          |          |          |
| rnors    |          | ePage_by |          |          |          |          |          |          |
|          |          | _Gage_Sk |          |          |          |          |          |          |
|          |          | idmore.j |          |          |          |          |          |          |
|          |          | pg/100px |          |          |          |          |          |          |
|          |          | -Paul_Le |          |          |          |          |          |          |
|          |          | Page_by_ |          |          |          |          |          |          |
|          |          | Gage_Ski |          |          |          |          |          |          |
|          |          | dmore.jp |          |          |          |          |          |          |
|          |          | g        |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Maryland | https:// | Larry-Ho | Larry    | Republic | Maryland | January  | 2019     |
| en.wikip |          | upload.w | gan.JPG  | Hogan    | an       | Secretar | 21, 2015 |          |
| edia.org |          | ikimedia |          |          |          | y of App |          |          |
| /wiki/Li |          | .org/wik |          |          |          | ointment |          |          |
| st_of_cu |          | ipedia/c |          |          |          | s        |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/7/7 |          |          |          |          |          |          |
| tes_gove |          | d/Larry- |          |          |          |          |          |          |
| rnors    |          | Hogan.JP |          |          |          |          |          |          |
|          |          | G/100px- |          |          |          |          |          |          |
|          |          | Larry-Ho |          |          |          |          |          |          |
|          |          | gan.JPG  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Massachu | https:// | Charlie  | Charlie  | Republic | Swampsco | January  | 2019     |
| en.wikip | setts    | upload.w | Baker    | Baker    | an       | tt Selec | 8, 2015  |          |
| edia.org |          | ikimedia | official |          |          | tman, Ma |          |          |
| /wiki/Li |          | .org/wik | portrait |          |          | ssachuse |          |          |
| st_of_cu |          | ipedia/c | (cropped |          |          | tts Secr |          |          |
| rrent_Un |          | ommons/t | ).jpg    |          |          | etary of |          |          |
| ited_Sta |          | humb/b/b |          |          |          | Administ |          |          |
| tes_gove |          | e/Charli |          |          |          | ration   |          |          |
| rnors    |          | e_Baker_ |          |          |          | and      |          |          |
|          |          | official |          |          |          | Finance, |          |          |
|          |          | _portrai |          |          |          |  Massach |          |          |
|          |          | t_%28cro |          |          |          | usetts S |          |          |
|          |          | pped%29. |          |          |          | ecretary |          |          |
|          |          | jpg/100p |          |          |          | of       |          |          |
|          |          | x-Charli |          |          |          | Health   |          |          |
|          |          | e_Baker_ |          |          |          | and      |          |          |
|          |          | official |          |          |          | Human    |          |          |
|          |          | _portrai |          |          |          | Services |          |          |
|          |          | t_%28cro |          |          |          |          |          |          |
|          |          | pped%29. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Michigan | https:// | Rick     | Rick     | Republic | No prior | January  | 2019     |
| en.wikip |          | upload.w | Snyder   | Snyder   | an       | public e | 1, 2011  | (term    |
| edia.org |          | ikimedia | in       |          |          | xperienc |          | limits)  |
| /wiki/Li |          | .org/wik | 2013.jpg |          |          | e        |          |          |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/5/5 |          |          |          |          |          |          |
| tes_gove |          | 0/Rick_S |          |          |          |          |          |          |
| rnors    |          | nyder_in |          |          |          |          |          |          |
|          |          | _2013.jp |          |          |          |          |          |          |
|          |          | g/100px- |          |          |          |          |          |          |
|          |          | Rick_Sny |          |          |          |          |          |          |
|          |          | der_in_2 |          |          |          |          |          |          |
|          |          | 013.jpg  |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Minnesot | https:// | Mark     | Mark     | Democrat | U.S.     | January  | 2019 (re |
| en.wikip | a        | upload.w | Dayton   | Dayton   | ic-      | Senate,  | 3, 2011  | tiring)  |
| edia.org |          | ikimedia | official |          | Farmer-  | Auditor  |          |          |
| /wiki/Li |          | .org/wik | photo.jp |          | Labor    |          |          |          |
| st_of_cu |          | ipedia/c | g        |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/0/0 |          |          |          |          |          |          |
| tes_gove |          | c/Mark_D |          |          |          |          |          |          |
| rnors    |          | ayton_of |          |          |          |          |          |          |
|          |          | ficial_p |          |          |          |          |          |          |
|          |          | hoto.jpg |          |          |          |          |          |          |
|          |          | /100px-M |          |          |          |          |          |          |
|          |          | ark_Dayt |          |          |          |          |          |          |
|          |          | on_offic |          |          |          |          |          |          |
|          |          | ial_phot |          |          |          |          |          |          |
|          |          | o.jpg    |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Mississi | https:// | Secretar | Phil     | Republic | Lieutena | January  | 2020     |
| en.wikip | ppi      | upload.w | y Perry  | Bryant   | an       | nt Gover | 10, 2012 | (term    |
| edia.org |          | ikimedia | with     |          |          | nor,     |          | limits)  |
| /wiki/Li |          | .org/wik | Govt     |          |          | Auditor, |          |          |
| st_of_cu |          | ipedia/c | Phil     |          |          | Mississi |          |          |
| rrent_Un |          | ommons/t | Bryant   |          |          | ppi      |          |          |
| ited_Sta |          | humb/b/b | KSS2455  |          |          | House    |          |          |
| tes_gove |          | 9/Secret | (3274309 |          |          |          |          |          |
| rnors    |          | ary_Perr | 7363) (c |          |          |          |          |          |
|          |          | y_with_G | ropped). |          |          |          |          |          |
|          |          | ovt_Phil | jpg      |          |          |          |          |          |
|          |          | _Bryant_ |          |          |          |          |          |          |
|          |          | KSS2455_ |          |          |          |          |          |          |
|          |          | %2832743 |          |          |          |          |          |          |
|          |          | 097363%2 |          |          |          |          |          |          |
|          |          | 9_%28cro |          |          |          |          |          |          |
|          |          | pped%29. |          |          |          |          |          |          |
|          |          | jpg/100p |          |          |          |          |          |          |
|          |          | x-Secret |          |          |          |          |          |          |
|          |          | ary_Perr |          |          |          |          |          |          |
|          |          | y_with_G |          |          |          |          |          |          |
|          |          | ovt_Phil |          |          |          |          |          |          |
|          |          | _Bryant_ |          |          |          |          |          |          |
|          |          | KSS2455_ |          |          |          |          |          |          |
|          |          | %2832743 |          |          |          |          |          |          |
|          |          | 097363%2 |          |          |          |          |          |          |
|          |          | 9_%28cro |          |          |          |          |          |          |
|          |          | pped%29. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Missouri | https:// | Eric Gre | Eric     | Republic | No prior | January  | 2021     |
| en.wikip |          | upload.w | itens.jp | Greitens | an       | public e | 9, 2017  |          |
| edia.org |          | ikimedia | g        |          |          | xperienc |          |          |
| /wiki/Li |          | .org/wik |          |          |          | e        |          |          |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/b/b |          |          |          |          |          |          |
| tes_gove |          | f/Eric_G |          |          |          |          |          |          |
| rnors    |          | reitens. |          |          |          |          |          |          |
|          |          | jpg/100p |          |          |          |          |          |          |
|          |          | x-Eric_G |          |          |          |          |          |          |
|          |          | reitens. |          |          |          |          |          |          |
|          |          | jpg      |          |          |          |          |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Montana  | https:// | Steve Bu | Steve    | Democrat | Attorney | January  | 2021     |
| en.wikip |          | upload.w | llock.jp | Bullock  | ic       | General  | 7, 2013  | (term    |
| edia.org |          | ikimedia | g        |          |          |          |          | limits)  |
| /wiki/Li |          | .org/wik |          |          |          |          |          |          |
| st_of_cu |          | ipedia/c |          |          |          |          |          |          |
| rrent_Un |          | ommons/t |          |          |          |          |          |          |
| ited_Sta |          | humb/0/0 |          |          |          |          |          |          |
| tes_gove |          | f/Steve_ |          |          |          |          |          |          |
