+--------------------------------+--------------------------------+--------------------------------+
| url                            | Steps_to_lower_taxes           | Description                    |
|                                |                                | return. Otherwise, the IRS     |
|                                |                                | will deny the personal         |
|                                |                                | exemption of $4,050 in 2017    |
|                                |                                | for each dependent and the     |
|                                |                                | $1,000 child tax credit for    |
|                                |                                | each child under age 17.       |
+--------------------------------+--------------------------------+--------------------------------+
| https://turbotax.intuit.com/ta | 8. File and pay on time        | If you can’t finish your       |
| x-tips/tax-planning-and-       |                                | return on time, make sure you  |
| checklists/tax-tips-after-     |                                | file Form 4868 by April 17,    |
| january-1st/L8fY6OyFl          |                                | 2018. Form 4868 gives you a    |
|                                |                                | six-month extension of the     |
|                                |                                | filing deadline until October  |
|                                |                                | 15, 2018. On the form, you     |
|                                |                                | need to make a reasonable      |
|                                |                                | estimate of your tax liability |
|                                |                                | for 2017 and pay any balance   |
|                                |                                | due with your request.         |
+--------------------------------+--------------------------------+--------------------------------+
| https://turbotax.intuit.com/ta | 9. File electronically         | Electronic filing works best   |
| x-tips/tax-planning-and-       |                                | if you expect a tax refund.    |
| checklists/tax-tips-after-     |                                | Because the IRS processes      |
| january-1st/L8fY6OyFl          |                                | electronic returns faster than |
|                                |                                | paper ones, you can expect to  |
|                                |                                | get your refund three to six   |
|                                |                                | weeks earlier. If you have all |
|                                |                                | your documents in order, go    |
|                                |                                | ahead and file electronically  |
|                                |                                | in January using software like |
|                                |                                | one of the TurboTax programs.  |
|                                |                                | If you have your refund        |
|                                |                                | deposited directly into your   |
|                                |                                | bank account or IRA, the       |
|                                |                                | waiting time is even less.     |
+--------------------------------+--------------------------------+--------------------------------+
| https://turbotax.intuit.com/ta | 10. Decide if you need help    | TurboTax can handle the most   |
| x-tips/tax-planning-and-       |                                | complex returns with ease (and |
| checklists/tax-tips-after-     |                                | allow you to file your taxes   |
| january-1st/L8fY6OyFl          |                                | electronically for a faster    |
|                                |                                | refund). You just need to      |
|                                |                                | answer simple questions, such  |
|                                |                                | as whether you've had a baby,  |
|                                |                                | bought a home or had some      |
|                                |                                | other life-changing event in   |
|                                |                                | the past year.                 |
+--------------------------------+--------------------------------+--------------------------------+
