Table_1
url,Years,Years_link,Seconds
https://www.calculateme.com/Time/Years/toSeconds.htm,0.009,https://www.calculateme.com/time/years/to-seconds/0.009,"284,013"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.01,https://www.calculateme.com/time/years/to-seconds/0.01,"315,570"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.02,https://www.calculateme.com/time/years/to-seconds/0.02,"631,139"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.03,https://www.calculateme.com/time/years/to-seconds/0.03,"946,709"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.04,https://www.calculateme.com/time/years/to-seconds/0.04,"1,262,278"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.05,https://www.calculateme.com/time/years/to-seconds/0.05,"1,577,848"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.06,https://www.calculateme.com/time/years/to-seconds/0.06,"1,893,417"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.07,https://www.calculateme.com/time/years/to-seconds/0.07,"2,208,987"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.08,https://www.calculateme.com/time/years/to-seconds/0.08,"2,524,556"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.09,https://www.calculateme.com/time/years/to-seconds/0.09,"2,840,126"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.1,https://www.calculateme.com/time/years/to-seconds/0.1,"3,155,695"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.2,https://www.calculateme.com/time/years/to-seconds/0.2,"6,311,390"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.3,https://www.calculateme.com/time/years/to-seconds/0.3,"9,467,086"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.4,https://www.calculateme.com/time/years/to-seconds/0.4,"12,622,781"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.5,https://www.calculateme.com/time/years/to-seconds/0.5,"15,778,476"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.6,https://www.calculateme.com/time/years/to-seconds/0.6,"18,934,171"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.7,https://www.calculateme.com/time/years/to-seconds/0.7,"22,089,866"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.8,https://www.calculateme.com/time/years/to-seconds/0.8,"25,245,562"
https://www.calculateme.com/Time/Years/toSeconds.htm,0.9,https://www.calculateme.com/time/years/to-seconds/0.9,"28,401,257"
https://www.calculateme.com/Time/Years/toSeconds.htm,1,https://www.calculateme.com/time/years/to-seconds/1,"31,556,952"
https://www.calculateme.com/Time/Years/toSeconds.htm,2,https://www.calculateme.com/time/years/to-seconds/2,"63,113,904"
https://www.calculateme.com/Time/Years/toSeconds.htm,3,https://www.calculateme.com/time/years/to-seconds/3,"94,670,856"
https://www.calculateme.com/Time/Years/toSeconds.htm,4,https://www.calculateme.com/time/years/to-seconds/4,"126,227,808"
https://www.calculateme.com/Time/Years/toSeconds.htm,5,https://www.calculateme.com/time/years/to-seconds/5,"157,784,760"
https://www.calculateme.com/Time/Years/toSeconds.htm,6,https://www.calculateme.com/time/years/to-seconds/6,"189,341,712"
https://www.calculateme.com/Time/Years/toSeconds.htm,7,https://www.calculateme.com/time/years/to-seconds/7,"220,898,664"
https://www.calculateme.com/Time/Years/toSeconds.htm,8,https://www.calculateme.com/time/years/to-seconds/8,"252,455,616"
https://www.calculateme.com/Time/Years/toSeconds.htm,9,https://www.calculateme.com/time/years/to-seconds/9,"284,012,568"
https://www.calculateme.com/Time/Years/toSeconds.htm,10,https://www.calculateme.com/time/years/to-seconds/10,"315,569,520"
https://www.calculateme.com/Time/Years/toSeconds.htm,11,https://www.calculateme.com/time/years/to-seconds/11,"347,126,472"
https://www.calculateme.com/Time/Years/toSeconds.htm,12,https://www.calculateme.com/time/years/to-seconds/12,"378,683,424"
https://www.calculateme.com/Time/Years/toSeconds.htm,13,https://www.calculateme.com/time/years/to-seconds/13,"410,240,376"
https://www.calculateme.com/Time/Years/toSeconds.htm,14,https://www.calculateme.com/time/years/to-seconds/14,"441,797,328"
https://www.calculateme.com/Time/Years/toSeconds.htm,15,https://www.calculateme.com/time/years/to-seconds/15,"473,354,280"
https://www.calculateme.com/Time/Years/toSeconds.htm,16,https://www.calculateme.com/time/years/to-seconds/16,"504,911,232"
https://www.calculateme.com/Time/Years/toSeconds.htm,17,https://www.calculateme.com/time/years/to-seconds/17,"536,468,184"
https://www.calculateme.com/Time/Years/toSeconds.htm,18,https://www.calculateme.com/time/years/to-seconds/18,"568,025,136"
https://www.calculateme.com/Time/Years/toSeconds.htm,19,https://www.calculateme.com/time/years/to-seconds/19,"599,582,088"
https://www.calculateme.com/Time/Years/toSeconds.htm,20,https://www.calculateme.com/time/years/to-seconds/20,"631,139,040"
https://www.calculateme.com/Time/Years/toSeconds.htm,21,https://www.calculateme.com/time/years/to-seconds/21,"662,695,992"
https://www.calculateme.com/Time/Years/toSeconds.htm,22,https://www.calculateme.com/time/years/to-seconds/22,"694,252,944"
https://www.calculateme.com/Time/Years/toSeconds.htm,23,https://www.calculateme.com/time/years/to-seconds/23,"725,809,896"
https://www.calculateme.com/Time/Years/toSeconds.htm,24,https://www.calculateme.com/time/years/to-seconds/24,"757,366,848"
https://www.calculateme.com/Time/Years/toSeconds.htm,25,https://www.calculateme.com/time/years/to-seconds/25,"788,923,800"
https://www.calculateme.com/Time/Years/toSeconds.htm,26,https://www.calculateme.com/time/years/to-seconds/26,"820,480,752"
https://www.calculateme.com/Time/Years/toSeconds.htm,27,https://www.calculateme.com/time/years/to-seconds/27,"852,037,704"
https://www.calculateme.com/Time/Years/toSeconds.htm,28,https://www.calculateme.com/time/years/to-seconds/28,"883,594,656"
https://www.calculateme.com/Time/Years/toSeconds.htm,29,https://www.calculateme.com/time/years/to-seconds/29,"915,151,608"
https://www.calculateme.com/Time/Years/toSeconds.htm,30,https://www.calculateme.com/time/years/to-seconds/30,"946,708,560"
https://www.calculateme.com/Time/Years/toSeconds.htm,31,https://www.calculateme.com/time/years/to-seconds/31,"978,265,512"
https://www.calculateme.com/Time/Years/toSeconds.htm,32,https://www.calculateme.com/time/years/to-seconds/32,"1,009,822,464"
https://www.calculateme.com/Time/Years/toSeconds.htm,33,https://www.calculateme.com/time/years/to-seconds/33,"1,041,379,416"
https://www.calculateme.com/Time/Years/toSeconds.htm,34,https://www.calculateme.com/time/years/to-seconds/34,"1,072,936,368"
https://www.calculateme.com/Time/Years/toSeconds.htm,35,https://www.calculateme.com/time/years/to-seconds/35,"1,104,493,320"
