Computer_Science:_Abbreviations
url,Abbreviation,Full_Name
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DRAM,Dynamic RAM
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DSN,Distributed Systems Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DTS,Digital Theater System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,DVD,Digital Video/Versatile Disk
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EBCDIC,Extended Binary Coded Decimal Interchange Code
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EDSAC,Electronic Delay Storage Automatic Calculator
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EDVAC,Electronic Discrete Variable Automatic Calculator
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EFM,Eight-to-Fourteen Modulation
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ENIAC,Electronic Numerical Integrator And Calculator
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EPG,Electronic Programming Guide
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EPIC,Explicitly Parallel Instruction Computing
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,EPROM,Erasable Programmable Read-Only Memory
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FAT,File Allocation Table
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FDM,Frequency Division Multiplexing
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FEP,Front End Processor
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FLOPS,Floating Point Operations Per Second
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FM,Frequency Modulation
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FMS,File Management System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FORTRAN,FORmula TRANslation
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FSK,Frequency Shift Keying
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,FTP,File Transfer Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GB,Giga Bytes
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GFLOPS,Giga FLOPS
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GHz,Giga Hertz
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GNU,Gnu Not Unix
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GPRS,General Packet Radio Service
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GSM,Global System for Mobile communication
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,GUI,Graphical User Interface
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,HP,Hewlett Packard
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,HSS,Hierarchical Storage System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,HTML,HyperText Markup Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,HTTP,HyperText Transport Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,IBM,International Business Machine
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,IC,Integrated Circuit
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,IDN,Integrated Digital Networks
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,IP,Internet Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,IrDA,Infrared Data Association
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ISDN,Integrated Services Digital Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ISP,Internet Service Provider
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,JPEG,Joint Photographic Experts Group
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,JRE,Java Runtime Engine
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,JSP,Java Server Pages
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,KB,Kilo Bytes
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,KHz,Kilo Hertz
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,LAN,Local Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,LCD,Liquid Crystal Display
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,LED,Light Emitting Diode
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,LPM,Line Per Minute
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,LSI,Large Scael Integration
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MAN,Metropolitan Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MAR,Memory Address Register
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MB,Mega Bytes
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MBR,Memory Buffer Register
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MHz,Mega Hertz
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MIDI,Musical Instrument Digital Interface
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MIPS,Millions of Instructions Per Second
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MNP,Microcom Network Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MPEG,Moving Pictures Experts Group
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MS-DOS,MicroSoft Disk Operating System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,MVT,Multiprogramming with Variable Tasks
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,NIC,Network Interface Card
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,NICNET,National Informatics Center NETwork
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,NOS,Network Operating System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,OCR,Optical Character Recognition
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,OMR,Optical Mark Reader
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,OS,Operating System
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,OSI,Open System Interconnection
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,OSS,Open Source Software
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PAN,Personal Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PC,Personal Computer
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PDF,Portable Document Format
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PDL,Program Design Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PDP,Program Data Processor
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PIP,Peripheral Interchange Program
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,PROM,Programmable Read-Only Memory
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,QoS,Quality of Service
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,RAM,Random Access Memory
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ROM,Read Only Memory
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SDLC,Software Development Life Cycle
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SEQUEL,Structured English QUEry Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SGML,Syntax for Generalized Markup Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SIMM,Single In-line Memory Module
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SNA,Systems Network Architecture
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SNOBOL,StriNg Oriented and symBOlic Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SQL,Structured Query Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SRAM,Static RAM
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,SSI,Small Scale Integration
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,TB,Tera Bytes
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,TCP,Transport Control Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,TDM,Time Division Multiplexing
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,UDP,User Datagram Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,ULSI,Ultra Large Scale Integration
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,UPC,Universal Product Code
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,URL,Uniform Resource Locator
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,USB,Universal Serial Bus
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,UTF,Unicode Transformation Format
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VAN,Value Added Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VCR,Video Cassette Recorder
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VDT,Video Display Terminal
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VGA,Video Graphics Array
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VOD,Video-On-Demand
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VoIP,Voice over Internet Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,VSAT,Very Small Aperture Terminal
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WAN,Wide Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WAP,Wireless Application Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WiMAX,Worldwide Interoperability for Microwave Access
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WLAN,Wireless Local Area Network
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WLL,Wireless Local Loop
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WORM,Write Once Read Many
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,WWW,World Wide Web
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,XHTML,eXtensible HyperText Markup Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,XML,eXtensible Markup Language
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,X.400,Electronic Mail Protocol
https://www.tutorialspoint.com/basics_of_computer_science/basics_of_computer_science_abbreviations.htm,X.500,Directory Server Protocol
