US_Presidents
url,Presidency,President,Prior_Office,Party,Term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1961
 –
 November 22, 1963
 (Died in office)",John F. Kennedy,U.S. Senator,Democratic,"(1960)
 44
 (1961)
 (1963)
 [j]",Lyndon B. Johnson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"November 22, 1963
 –
 January 20, 1969",Lyndon B. Johnson,"37th
 Vice President of the United States",Democratic,"(1960)
 44
 (1961)
 (1963)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"November 22, 1963
 –
 January 20, 1969",Lyndon B. Johnson,"37th
 Vice President of the United States",Democratic,"(1964)
 45
 (1965)",Hubert Humphrey
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)",Richard Nixon,"36th
 Vice President of the United States",Republican,"(1968)
 46
 (1969)",Spiro Agnew
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)",Richard Nixon,"36th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]",Spiro Agnew
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)",Richard Nixon,"36th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)",Richard Nixon,"36th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]",Gerald Ford
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"August 9, 1974
 –
 January 20, 1977",Gerald Ford,"40th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"August 9, 1974
 –
 January 20, 1977",Gerald Ford,"40th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]",Nelson Rockefeller
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1977
 –
 January 20, 1981",Jimmy Carter,"76th
 Governor of Georgia",Democratic,"(1976)
 48
 (1977)",Walter Mondale
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1981
 –
 January 20, 1989",Ronald Reagan,"33rd
 Governor of California",Republican,"(1980)
 49
 (1981)",George H. W. Bush
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1981
 –
 January 20, 1989",Ronald Reagan,"33rd
 Governor of California",Republican,"(1984)
 50
 (1985)",George H. W. Bush
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1989
 –
 January 20, 1993",George H. W. Bush,"43rd
 Vice President of the United States",Republican,"(1988)
 51
 (1989)",Dan Quayle
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1993
 –
 January 20, 2001",Bill Clinton,"40th & 42nd
 Governor of Arkansas",Democratic,"(1992)
 52
 (1993)",Al Gore
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 1993
 –
 January 20, 2001",Bill Clinton,"40th & 42nd
 Governor of Arkansas",Democratic,"(1996)
 53
 (1997)",Al Gore
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 2001
 –
 January 20, 2009",George W. Bush,"46th
 Governor of Texas",Republican,"(2000)
 54
 (2001)",Dick Cheney
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 2001
 –
 January 20, 2009",George W. Bush,"46th
 Governor of Texas",Republican,"(2004)
 55
 (2005)",Dick Cheney
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 2009
 –
 January 20, 2017",Barack Obama,U.S. Senator,Democratic,"(2008)
 56
 (2009)",Joe Biden
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 2009
 –
 January 20, 2017",Barack Obama,U.S. Senator,Democratic,"(2012)
 57
 (2013)",Joe Biden
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,"January 20, 2017
 –
 Incumbent",Donald Trump,The Trump Organization,Republican,"(2016)
 58
 (2017)",Mike Pence
