Cryptocurrencies
url,Release_1,Status,Currency,Currency_link,Description
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,MazaCoin,https://en.wikipedia.org/wiki/MazaCoin,"2014
 
Active
 
MazaCoin
 
MZC
 
BTC Oyate Initiative
 
SHA-256d
 
C++[45]
 
PoW
 
The underlying software is derived from that of another cryptocurrency, ZetaCoin."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Monero,https://en.wikipedia.org/wiki/Monero_(cryptocurrency),"2014
 
Active
 
Monero
 
XMR
 
Monero Core Team
 
CryptoNight[46]
 
C++[47]
 
PoW
 
Privacy-centric coin using the CryptoNote protocol with improvements for scalability and decentralization."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,NEM,https://en.wikipedia.org/wiki/NEM_(cryptocurrency),"2014
 
Active
 
NEM
 
XEM
 
UtopianFuture (pseudonym)
 
SHA3-512
 
Java[48]
 
POI
 
The first hybrid public/private blockchain solution built from scratch, and first to use the Proof of Importance algorithm using EigenTrust++ reputation system."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2015; 2015,Active,Tether,https://en.wikipedia.org/wiki/Tether_(cryptocurrency),"2015
 
Active
 
Tether
 
USDT
 
Jan Ludovicus van der Velde[49]
 
Omnicore [50]
 
 
PoW
 
Tether is backed by the USD so that one tether is exactly equal to $1USD. It is commonly used to convert other cryptocurrencies to USD.[51]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,PotCoin,https://en.wikipedia.org/wiki/PotCoin,"2014
 
Active
 
PotCoin
 
POT
 
Potcoin core dev team
 
Scrypt
 
C++[52]
 
PoS
 
Developed to service the legalized cannabis industry"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Synereo AMP,https://en.wikipedia.org/wiki/Synereo,"2014
 
Active
 
Synereo AMP
 
AMP
 
Dor Konforty & Greg Meredith[53]
 
PoS
 
Scala, Java[54]
 
PoS
 
Trying to create a world computer, Synereo’s 2.0 tech stack incorporates all faculties needed to support decentralized computation without central servers.[55]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Titcoin,https://en.wikipedia.org/wiki/Titcoin,"2014
 
Active
 
Titcoin
 
TIT
 
Edward Mansfield & Richard Allen[56]
 
SHA-256d
 
TypeScript, C++[57]
 
PoW
 
The first cryptocurrency to be nominated for a major adult industry award.[58]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Verge,https://en.wikipedia.org/wiki/Verge_(cryptocurrency),"2014
 
Active
 
Verge
 
XVG
 
Sunerok
 
Scrypt, x17, groestl, blake2s, and lyra2rev2
 
C, C++[59]
 
PoW"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Stellar,https://en.wikipedia.org/wiki/Stellar_(payment_network),"2014
 
Active
 
Stellar
 
XLM
 
Jed McCaleb
 
Stellar Consensus Protocol (SCP) [60]
 
C, C++[61]
 
Stellar Consensus Protocol (SCP) [60]
 
Open-source, decentralized global financial network. The usage is for remittances, micropayments, services for the underbanked, mobile money/branches and professional setups."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2014; 2014,Active,Vertcoin,https://en.wikipedia.org/wiki/Vertcoin,"2014
 
Active
 
Vertcoin
 
VTC
 
Bushido
 
Lyra2RE[62]
 
C++[63]
 
PoW
 
Next-gen ASIC resistance and first to implement stealth addresses."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2015; 2015,Active,Ether,https://en.wikipedia.org/wiki/Ether_(currency),"2015
 
Active
 
Ether or ""Ethereum""
 
ETH
 
Vitalik Buterin[64]
 
Ethash[65]
 
C++, Go[66]
 
PoW
 
Supports Turing-complete smart contracts."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2015; 2015,Active,Ethereum Classic,https://en.wikipedia.org/wiki/Ethereum_Classic,"2015
 
Active
 
Ethereum Classic
 
ETC
 
 
Ethash[65]
 
 
PoW
 
An alternative version of Ethereum[67] whose blockchain does not include the DAO Hard-fork.[68][69] Supports Turing-complete smart contracts."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2015; 2015,Active,IOTA,https://en.wikipedia.org/wiki/IOTA_(cryptocurrency),"2015
 
Active
 
IOTA
 
IOT, MIOTA[70]
 
David Sønstebø, Sergey Ivancheglo, Dominik Schiener and Dr. Serguei Popov
 
SHA-3
 
Java[71]
 
Directed acyclic graph
 
The first cryptocurrency using the Tangle, a next generation blockchain, as distributed ledger technology."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2016; 2016,Active,Decred,https://en.wikipedia.org/wiki/Decred,"2016
 
Active
 
Decred
 
DCR
 
 
Blake-256
 
Go[72]
 
PoW/PoS Hybrid
 
Built in governance and hybrid PoW/PoS."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2016; 2016,Active,Waves Platform,https://en.wikipedia.org/wiki/Waves_Platform,"2016
 
Active
 
Waves Platform
 
WAVES
 
Sasha Ivanov
 
PoS
 
Scala, JavaScript[73]
 
PoS
 
Open blockchain platform, featuring token creation, distributed exchange and fast, high volume, transactions designed for ease of use[74] and mass adoption."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2016; 2016,Active,Zcash,https://en.wikipedia.org/wiki/Zcash,"2016
 
Active
 
Zcash
 
ZEC
 
Zooko Wilcox
 
Equihash
 
C++[75]
 
PoW
 
The first open, permissionless financial system employing zero-knowledge security."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2017; 2017,,BitConnect,https://en.wikipedia.org/wiki/BitConnect,"2017
 
Inactive
 
BitConnect
 
BCC"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2017; 2017,Active,Bitcoin Cash,https://en.wikipedia.org/wiki/Bitcoin_Cash,"2017
 
Active
 
Bitcoin Cash
 
BCH[76]
 
 
SHA-256d
 
 
PoW
 
Hard fork from Bitcoin, Increased Block size from 1mb to 8mb"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2017; 2017,Active,EOS.IO,https://en.wikipedia.org/wiki/EOS.IO,"2017
 
Active
 
EOS.IO
 
EOS
 
Dan Larimer
 
 
WebAssembly, Rust, C, C++[77]
 
delegated Proof-of-stake
 
Feeless Smart contract platform for decentralized applications and decentralized autonomous corporations with a block time of 500 ms.[78][77]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2018; 2018,Active,Cardano,https://en.wikipedia.org/wiki/Cardano_(cryptocurrency),"2018
 
Active
 
Cardano
 
ADA
 
Charles Hoskinson & Jeremy Wood
 
 
Haskell[79]"
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2018; 2018,,KodakCoin,https://en.wikipedia.org/wiki/KodakCoin,"2018
 
Inactive
 
KodakCoin
 
 
Kodak and WENN Digital
 
Ethash[80]
 
 
 
KodakCoin is a ""photographer-centric"" blockchain cryptocurrency used for payments for licensing photographs."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2018; 2018,Active,Petro,https://en.wikipedia.org/wiki/Petro_(cryptocurrency),"2018
 
Active
 
Petro
 
 
Venezuela Government
 
onixCoin[81]
 
C++[82]
 
 
First cryptocurrency backed by Venezuela's reserves of oil."
https://en.wikipedia.org/wiki/List_of_cryptocurrencies,2018; 2018,,Petro gold,https://en.wikipedia.org/wiki/Petro_gold,"2018
 
Proposed
 
Petro gold
 
 
Venezuela Government
 
 
 
 
Announced by President Nicolás Maduro February 21, 2018"
