Table_1
url,Current_Rank,Name,Previous_Rank,Peak_Position
https://www.billboard.com/charts/artist-100,42,The Chainsmokers,67,1
https://www.billboard.com/charts/artist-100,43,P!nk,39,1
https://www.billboard.com/charts/artist-100,44,BlocBoy JB,45,40
https://www.billboard.com/charts/artist-100,45,Luke Bryan,28,1
https://www.billboard.com/charts/artist-100,46,J Balvin,55,46
https://www.billboard.com/charts/artist-100,47,Portugal. The Man,43,16
https://www.billboard.com/charts/artist-100,48,Brett Young,48,28
https://www.billboard.com/charts/artist-100,49,Metallica,12,2
https://www.billboard.com/charts/artist-100,50,Maren Morris,44,15
https://www.billboard.com/charts/artist-100,51,Blake Shelton,40,1
https://www.billboard.com/charts/artist-100,52,Eminem,47,1
https://www.billboard.com/charts/artist-100,53,Carrie Underwood,22,3
https://www.billboard.com/charts/artist-100,54,Meghan Trainor,54,1
https://www.billboard.com/charts/artist-100,55,Ty Dolla $ign,76,36
https://www.billboard.com/charts/artist-100,56,Zedd,59,17
https://www.billboard.com/charts/artist-100,57,Rihanna,53,2
https://www.billboard.com/charts/artist-100,58,Prince,--,1
https://www.billboard.com/charts/artist-100,59,YoungBoy Never Broke Again,49,41
https://www.billboard.com/charts/artist-100,60,Lil Dicky,56,47
https://www.billboard.com/charts/artist-100,61,Anne-Marie,--,61
https://www.billboard.com/charts/artist-100,62,NF,52,8
https://www.billboard.com/charts/artist-100,63,G-Eazy,51,6
https://www.billboard.com/charts/artist-100,64,NCT,81,64
https://www.billboard.com/charts/artist-100,65,Lil Pump,50,12
https://www.billboard.com/charts/artist-100,66,Bad Bunny,66,59
https://www.billboard.com/charts/artist-100,67,Lil Uzi Vert,64,2
https://www.billboard.com/charts/artist-100,68,Chris Brown,57,1
https://www.billboard.com/charts/artist-100,69,twenty one pilots,65,1
https://www.billboard.com/charts/artist-100,70,Linkin Park,75,1
https://www.billboard.com/charts/artist-100,71,Sugarland,--,71
https://www.billboard.com/charts/artist-100,72,Adele,63,1
https://www.billboard.com/charts/artist-100,73,MercyMe,36,15
https://www.billboard.com/charts/artist-100,74,6ix9ine,62,13
https://www.billboard.com/charts/artist-100,75,Logic,58,1
https://www.billboard.com/charts/artist-100,76,Darius Rucker,83,17
https://www.billboard.com/charts/artist-100,77,Bad Wolves,84,48
https://www.billboard.com/charts/artist-100,78,Keith Urban,61,8
https://www.billboard.com/charts/artist-100,79,Famous Dex,68,68
https://www.billboard.com/charts/artist-100,80,Michael Jackson,70,20
https://www.billboard.com/charts/artist-100,81,Grey,80,69
https://www.billboard.com/charts/artist-100,82,Jordan Davis,71,41
https://www.billboard.com/charts/artist-100,83,Upchurch,--,83
https://www.billboard.com/charts/artist-100,84,Foster The People,91,82
https://www.billboard.com/charts/artist-100,85,Ozuna,73,44
https://www.billboard.com/charts/artist-100,86,Travis Scott,--,5
https://www.billboard.com/charts/artist-100,87,Breaking Benjamin,4,2
https://www.billboard.com/charts/artist-100,88,EXO,79,21
https://www.billboard.com/charts/artist-100,89,Bishop Briggs,--,89
https://www.billboard.com/charts/artist-100,90,Daddy Yankee,90,19
https://www.billboard.com/charts/artist-100,91,David Bowie,--,1
https://www.billboard.com/charts/artist-100,92,Rae Sremmurd,--,5
https://www.billboard.com/charts/artist-100,93,Dan + Shay,74,17
https://www.billboard.com/charts/artist-100,94,Justin Bieber,77,1
https://www.billboard.com/charts/artist-100,95,Ella Mai,--,95
https://www.billboard.com/charts/artist-100,96,Jon Pardi,--,28
https://www.billboard.com/charts/artist-100,97,Sam Hunt,86,5
https://www.billboard.com/charts/artist-100,98,Niall Horan,85,1
https://www.billboard.com/charts/artist-100,99,21 Savage,82,8
https://www.billboard.com/charts/artist-100,100,Sleep,--,100
