US_President
url,Number,Number_link,Presidency,Name,Prior_office,Party,Term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,7,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson,"March 4, 1829
 –
 March 4, 1837","Andrew Jackson
 1767–1845
 (Lived: 78 years)
 [21][22][23]","U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825); U.S. Senator",Democratic,"(1828)
 11
 (1829)","John C. Calhoun
 [i]
 March 4, 1829 – December 28, 1832
 (Resigned from office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,7,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson,"March 4, 1829
 –
 March 4, 1837","Andrew Jackson
 1767–1845
 (Lived: 78 years)
 [21][22][23]","U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825); U.S. Senator",Democratic,"(1828)
 11
 (1829)","Office vacant
 (Balance of Calhoun's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,7,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Jackson,"March 4, 1829
 –
 March 4, 1837","Andrew Jackson
 1767–1845
 (Lived: 78 years)
 [21][22][23]","U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825); U.S. Senator",Democratic,"(1832)
 12
 (1833)","Martin Van Buren
 March 4, 1833 – March 4, 1837"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,8,https://en.wikipedia.org/wiki/Presidency_of_Martin_Van_Buren,"March 4, 1837
 –
 March 4, 1841","Martin Van Buren
 1782–1862
 (Lived: 79 years)
 [24][25][26]","8th
 Vice President of the United States; 8th
 Vice President of the United States",Democratic,"(1836)
 13
 (1837)",Richard M. Johnson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,,,"March 4, 1841
 –
 April 4, 1841
 (Died in office)","William Henry Harrison
 1773–1841
 (Lived: 68 years)
 [27][28][29]","United States Minister to Colombia
 (1828–1829); United States Minister to Colombia",Whig,"(1840)
 14
 (1841)
 (1841)
 [j]","John Tyler
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,10,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler,"April 4, 1841
 [k]
 –
 March 4, 1845","John Tyler
 1790–1862
 (Lived: 71 years)
 [30][31][32]","10th
 Vice President of the United States; 10th
 Vice President of the United States",Whig,"(1840)
 14
 (1841)
 (1841)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,10,https://en.wikipedia.org/wiki/Presidency_of_John_Tyler,"April 4, 1841
 [k]
 –
 March 4, 1845","John Tyler
 1790–1862
 (Lived: 71 years)
 [30][31][32]","10th
 Vice President of the United States; 10th
 Vice President of the United States","Unaffiliated
 September 13, 1841 – March 4, 1845
 [l]","(1840)
 14
 (1841)
 (1841)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,11,https://en.wikipedia.org/wiki/Presidency_of_James_K._Polk,"March 4, 1845
 –
 March 4, 1849","James K. Polk
 1795–1849
 (Lived: 53 years)
 [33][34][35]","9th
 Governor of Tennessee
 (1839–1841); 9th
 Governor of Tennessee",Democratic,"(1844)
 15
 (1845)",George M. Dallas
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,,,"March 4, 1849
 –
 July 9, 1850
 (Died in office)","Zachary Taylor
 1784–1850
 (Lived: 65 years)
 [36][37][38]","Major General of the 1st Infantry Regiment
 United States Army
 (1846–1849)
 (No prior elected office); Major General",Whig,"(1848)
 16
 (1849)
 (1850)
 [j]","Millard Fillmore
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,13,https://en.wikipedia.org/wiki/Presidency_of_Millard_Fillmore,"July 9, 1850
 [m]
 –
 March 4, 1853","Millard Fillmore
 1800–1874
 (Lived: 74 years)
 [39][40][41]","12th
 Vice President of the United States; 12th
 Vice President of the United States",Whig,"(1848)
 16
 (1849)
 (1850)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,14,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce,"March 4, 1853
 –
 March 4, 1857","Franklin Pierce
 1804–1869
 (Lived: 64 years)
 [42][43][44]","Brigadier General of the 9th Infantry
 United States Army
 (1847–1848); Brigadier General",Democratic,"(1852)
 17
 (1853)","William R. King
 March 4 – April 18, 1853
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,14,https://en.wikipedia.org/wiki/Presidency_of_Franklin_Pierce,"March 4, 1853
 –
 March 4, 1857","Franklin Pierce
 1804–1869
 (Lived: 64 years)
 [42][43][44]","Brigadier General of the 9th Infantry
 United States Army
 (1847–1848); Brigadier General",Democratic,"(1852)
 17
 (1853)","Office vacant
 (Balance of King's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,15,https://en.wikipedia.org/wiki/Presidency_of_James_Buchanan,"March 4, 1857
 –
 March 4, 1861","James Buchanan
 1791–1868
 (Lived: 77 years)
 [45][46][47]","United States Minister to the
 Court of St James's
 (1853–1856); United States Minister",Democratic,"(1856)
 18
 (1857)",John C. Breckinridge
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,16,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln,"March 4, 1861
 –
 April 15, 1865
 (Died in office)","Abraham Lincoln
 1809–1865
 (Lived: 56 years)
 [48][49][50]","U.S. Representative for Illinois's 7th District
 (1847–1849); U.S. Representative",Republican,"(1860)
 19
 (1861)","Hannibal Hamlin
 March 4, 1861 – March 4, 1865"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,16,https://en.wikipedia.org/wiki/Presidency_of_Abraham_Lincoln,"March 4, 1861
 –
 April 15, 1865
 (Died in office)","Abraham Lincoln
 1809–1865
 (Lived: 56 years)
 [48][49][50]","U.S. Representative for Illinois's 7th District
 (1847–1849); U.S. Representative",Republican,"(1864)
 20
 (1865)
 (1865)
 [j]","Andrew Johnson
 March 4 – April 15, 1865
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,17,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson,"April 15, 1865
 –
 March 4, 1869","Andrew Johnson
 1808–1875
 (Lived: 66 years)
 [51][52][53]","16th
 Vice President of the United States; 16th
 Vice President of the United States",National Union,"(1864)
 20
 (1865)
 (1865)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,17,https://en.wikipedia.org/wiki/Presidency_of_Andrew_Johnson,"April 15, 1865
 –
 March 4, 1869","Andrew Johnson
 1808–1875
 (Lived: 66 years)
 [51][52][53]","16th
 Vice President of the United States; 16th
 Vice President of the United States",Democratic,"(1864)
 20
 (1865)
 (1865)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,18,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant,"March 4, 1869
 –
 March 4, 1877","Ulysses S. Grant
 1822–1885
 (Lived: 63 years)
 [54][55][56]","Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office); Commanding General of the U.S. Army",Republican,"(1868)
 21
 (1869)","Schuyler Colfax
 March 4, 1869 – March 4, 1873"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,18,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant,"March 4, 1869
 –
 March 4, 1877","Ulysses S. Grant
 1822–1885
 (Lived: 63 years)
 [54][55][56]","Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office); Commanding General of the U.S. Army",Republican,"(1872)
 22
 (1873)","Henry Wilson
 March 4, 1873 – November 22, 1875
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,18,https://en.wikipedia.org/wiki/Presidency_of_Ulysses_S._Grant,"March 4, 1869
 –
 March 4, 1877","Ulysses S. Grant
 1822–1885
 (Lived: 63 years)
 [54][55][56]","Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office); Commanding General of the U.S. Army",Republican,"(1872)
 22
 (1873)","Office vacant
 (Balance of Wilson's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,19,https://en.wikipedia.org/wiki/Presidency_of_Rutherford_B._Hayes,"March 4, 1877
 –
 March 4, 1881","Rutherford B. Hayes
 1822–1893
 (Lived: 70 years)
 [57][58][59]","29th & 32nd
 Governor of Ohio
 (1868–1872 & 1876–1877); 29th & 32nd
 Governor of Ohio",Republican,"(1876)
 23
 (1877)",William A. Wheeler
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,,,"March 4, 1881
 –
 September 19, 1881
 (Died in office)","James A. Garfield
 1831–1881
 (Lived: 49 years)
 [60][61][62]","U.S. Representative for Ohio's 19th District
 (1863–1881); U.S. Representative",Republican,"(1880)
 24
 (1881)
 (1881)
 [j]","Chester A. Arthur
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,21,https://en.wikipedia.org/wiki/Presidency_of_Chester_A._Arthur,"September 19, 1881
 [p]
 –
 March 4, 1885","Chester A. Arthur
 1829–1886
 (Lived: 57 years)
 [63][64][65]","20th
 Vice President of the United States; 20th
 Vice President of the United States",Republican,"(1880)
 24
 (1881)
 (1881)
 [j]",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,22,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland,"March 4, 1885
 –
 March 4, 1889","Grover Cleveland
 1837–1908
 (Lived: 71 years)
 [66][67]","28th
 Governor of New York
 (1883–1885); 28th
 Governor of New York",Democratic,"(1884)
 25
 (1885)","Thomas A. Hendricks
 March 4 – November 25, 1885
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,22,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland,"March 4, 1885
 –
 March 4, 1889","Grover Cleveland
 1837–1908
 (Lived: 71 years)
 [66][67]","28th
 Governor of New York
 (1883–1885); 28th
 Governor of New York",Democratic; Democratic,"(1884)
 25
 (1885)","Office vacant
 (Balance of Hendricks's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,23,https://en.wikipedia.org/wiki/Presidency_of_Benjamin_Harrison,"March 4, 1889
 –
 March 4, 1893","Benjamin Harrison
 1833–1901
 (Lived: 67 years)
 [68][69][70]","U.S. Senator (Class 1) from Indiana
 (1881–1887); U.S. Senator",Republican,"(1888)
 26
 (1889)",Levi P. Morton
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,24,https://en.wikipedia.org/wiki/Presidencies_of_Grover_Cleveland,"March 4, 1893
 –
 March 4, 1897","Grover Cleveland
 1837–1908
 (Lived: 71 years)
 [66][67]","22nd
 President of the United States
 (1885–1889); 22nd
 President of the United States",Democratic,"(1892)
 27
 (1893)",Adlai Stevenson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,25,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley,"March 4, 1897
 –
 September 14, 1901
 (Died in office)","William McKinley
 1843–1901
 (Lived: 58 years)
 [71][72][73]","39th
 Governor of Ohio
 (1892–1896); 39th
 Governor of Ohio",Republican,"(1896)
 28
 (1897)","Garret Hobart
 March 4, 1897 – November 21, 1899
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,25,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley,"March 4, 1897
 –
 September 14, 1901
 (Died in office)","William McKinley
 1843–1901
 (Lived: 58 years)
 [71][72][73]","39th
 Governor of Ohio
 (1892–1896); 39th
 Governor of Ohio",Republican,"(1896)
 28
 (1897)","Office vacant
 (Balance of Hobart's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,25,https://en.wikipedia.org/wiki/Presidency_of_William_McKinley,"March 4, 1897
 –
 September 14, 1901
 (Died in office)","William McKinley
 1843–1901
 (Lived: 58 years)
 [71][72][73]","39th
 Governor of Ohio
 (1892–1896); 39th
 Governor of Ohio",Republican,"(1900)
 29
 (1901)
 (1901)
 [j]","Theodore Roosevelt
 March 4 – September 14, 1901
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,26,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt,"September 14, 1901
 –
 March 4, 1909","Theodore Roosevelt
 1858–1919
 (Lived: 60 years)
 [74][75][76]","25th
 Vice President of the United States; 25th
 Vice President of the United States",Republican,"(1900)
 29
 (1901)
 (1901)
 [j]","Office vacant
 September 14, 1901 – March 4, 1905"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,26,https://en.wikipedia.org/wiki/Presidency_of_Theodore_Roosevelt,"September 14, 1901
 –
 March 4, 1909","Theodore Roosevelt
 1858–1919
 (Lived: 60 years)
 [74][75][76]","25th
 Vice President of the United States; 25th
 Vice President of the United States",Republican,"(1904)
 30
 (1905)","Charles W. Fairbanks
 March 4, 1905 – March 4, 1909"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,27,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft,"March 4, 1909
 –
 March 4, 1913","William Howard Taft
 1857–1930
 (Lived: 72 years)
 [77][78][79]","42nd
 United States Secretary of War
 (1904–1908); 42nd
 United States Secretary of War",Republican,"(1908)
 31
 (1909)","James S. Sherman
 March 4, 1909 – October 30, 1912
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,27,https://en.wikipedia.org/wiki/Presidency_of_William_Howard_Taft,"March 4, 1909
 –
 March 4, 1913","William Howard Taft
 1857–1930
 (Lived: 72 years)
 [77][78][79]","42nd
 United States Secretary of War
 (1904–1908); 42nd
 United States Secretary of War",Republican,"(1908)
 31
 (1909)","Office vacant
 (Balance of Sherman's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,28,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson,"March 4, 1913
 –
 March 4, 1921","Woodrow Wilson
 1856–1924
 (Lived: 67 years)
 [80][81][82]","34th
 Governor of New Jersey
 (1911–1913); 34th
 Governor of New Jersey",Democratic,"(1912)
 32
 (1913)",Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,28,https://en.wikipedia.org/wiki/Presidency_of_Woodrow_Wilson,"March 4, 1913
 –
 March 4, 1921","Woodrow Wilson
 1856–1924
 (Lived: 67 years)
 [80][81][82]","34th
 Governor of New Jersey
 (1911–1913); 34th
 Governor of New Jersey",Democratic,"(1916)
 33
 (1917)",Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,29,https://en.wikipedia.org/wiki/Presidency_of_Warren_G._Harding,"March 4, 1921
 –
 August 2, 1923
 (Died in office)","Warren G. Harding
 1865–1923
 (Lived: 57 years)
 [83][84][85]","U.S. Senator (Class 3) from Ohio
 (1915–1921); U.S. Senator",Republican,"(1920)
 34
 (1921)
 (1923)
 [j]","Calvin Coolidge
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,30,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge,"August 2, 1923
 [q]
 –
 March 4, 1929","Calvin Coolidge
 1872–1933
 (Lived: 60 years)
 [86][87][88]","29th
 Vice President of the United States; 29th
 Vice President of the United States",Republican,"(1920)
 34
 (1921)
 (1923)
 [j]","Office vacant
 August 2, 1923 – March 4, 1925"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,30,https://en.wikipedia.org/wiki/Presidency_of_Calvin_Coolidge,"August 2, 1923
 [q]
 –
 March 4, 1929","Calvin Coolidge
 1872–1933
 (Lived: 60 years)
 [86][87][88]","29th
 Vice President of the United States; 29th
 Vice President of the United States",Republican,"(1924)
 35
 (1925)","Charles G. Dawes
 March 4, 1925 – March 4, 1929"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,31,https://en.wikipedia.org/wiki/Presidency_of_Herbert_Hoover,"March 4, 1929
 –
 March 4, 1933","Herbert Hoover
 1874–1964
 (Lived: 90 years)
 [89][90][91]","3rd
 United States Secretary of Commerce
 (1921–1928)
 (No prior elected office); 3rd
 United States Secretary of Commerce",Republican,"(1928)
 36
 (1929)",Charles Curtis
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,32,https://en.wikipedia.org/wiki/Presidency_of_Franklin_D._Roosevelt,"March 4, 1933
 –
 April 12, 1945
 (Died in office)","Franklin D. Roosevelt
 1882–1945
 (Lived: 63 years)
 [92][93][94]","44th
 Governor of New York
 (1929–1932); 44th
 Governor of New York",Democratic,"(1932)
 37
 (1933)","John N. Garner
 March 4, 1933 – January 20, 1941
 [r]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,32,https://en.wikipedia.org/wiki/Presidency_of_Franklin_D._Roosevelt,"March 4, 1933
 –
 April 12, 1945
 (Died in office)","Franklin D. Roosevelt
 1882–1945
 (Lived: 63 years)
 [92][93][94]","44th
 Governor of New York
 (1929–1932); 44th
 Governor of New York",Democratic,"(1936)
 38
 (1937)","John N. Garner
 March 4, 1933 – January 20, 1941
 [r]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,32,https://en.wikipedia.org/wiki/Presidency_of_Franklin_D._Roosevelt,"March 4, 1933
 –
 April 12, 1945
 (Died in office)","Franklin D. Roosevelt
 1882–1945
 (Lived: 63 years)
 [92][93][94]","44th
 Governor of New York
 (1929–1932); 44th
 Governor of New York",Democratic; Democratic,"(1940)
 39
 (1941)","Henry A. Wallace
 January 20, 1941 – January 20, 1945"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,32,https://en.wikipedia.org/wiki/Presidency_of_Franklin_D._Roosevelt,"March 4, 1933
 –
 April 12, 1945
 (Died in office)","Franklin D. Roosevelt
 1882–1945
 (Lived: 63 years)
 [92][93][94]","44th
 Governor of New York
 (1929–1932); 44th
 Governor of New York",Democratic,"(1944)
 40
 (1945)
 (1945)
 [j]","Harry S. Truman
 January 20 – April 12, 1945
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,33,https://en.wikipedia.org/wiki/Presidency_of_Harry_S._Truman,"April 12, 1945
 –
 January 20, 1953","Harry S. Truman
 1884–1972
 (Lived: 88 years)
 [95][96][97]","34th
 Vice President of the United States; 34th
 Vice President of the United States",Democratic,"(1944)
 40
 (1945)
 (1945)
 [j]","Office vacant
 April 12, 1945 – January 20, 1949"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,33,https://en.wikipedia.org/wiki/Presidency_of_Harry_S._Truman,"April 12, 1945
 –
 January 20, 1953","Harry S. Truman
 1884–1972
 (Lived: 88 years)
 [95][96][97]","34th
 Vice President of the United States; 34th
 Vice President of the United States",Democratic,"(1948)
 41
 (1949)","Alben W. Barkley
 January 20, 1949 – January 20, 1953"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,34,https://en.wikipedia.org/wiki/Presidency_of_Dwight_D._Eisenhower,"January 20, 1953
 –
 January 20, 1961","Dwight D. Eisenhower
 1890–1969
 (Lived: 78 years)
 [98][99][100]","Supreme Allied Commander Europe
 (1949–1952)
 (No prior elected office); Supreme Allied Commander Europe",Republican,"(1952)
 42
 (1953)",Richard Nixon
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,34,https://en.wikipedia.org/wiki/Presidency_of_Dwight_D._Eisenhower,"January 20, 1953
 –
 January 20, 1961","Dwight D. Eisenhower
 1890–1969
 (Lived: 78 years)
 [98][99][100]","Supreme Allied Commander Europe
 (1949–1952)
 (No prior elected office); Supreme Allied Commander Europe",Republican,"(1956)
 43
 (1957)",Richard Nixon
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,35,https://en.wikipedia.org/wiki/Presidency_of_John_F._Kennedy,"January 20, 1961
 –
 November 22, 1963
 (Died in office)","John F. Kennedy
 1917–1963
 (Lived: 46 years)
 [101][102][103]","U.S. Senator (Class 1) from Massachusetts
 (1953–1960); U.S. Senator",Democratic,"(1960)
 44
 (1961)
 (1963)
 [j]","Lyndon B. Johnson
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,36,https://en.wikipedia.org/wiki/Presidency_of_Lyndon_B._Johnson,"November 22, 1963
 –
 January 20, 1969","Lyndon B. Johnson
 1908–1973
 (Lived: 64 years)
 [104][105]","37th
 Vice President of the United States; 37th
 Vice President of the United States",Democratic,"(1960)
 44
 (1961)
 (1963)
 [j]","Office vacant
 November 22, 1963 – January 20, 1965"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,36,https://en.wikipedia.org/wiki/Presidency_of_Lyndon_B._Johnson,"November 22, 1963
 –
 January 20, 1969","Lyndon B. Johnson
 1908–1973
 (Lived: 64 years)
 [104][105]","37th
 Vice President of the United States; 37th
 Vice President of the United States",Democratic,"(1964)
 45
 (1965)","Hubert Humphrey
 January 20, 1965 – January 20, 1969"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,37,https://en.wikipedia.org/wiki/Presidency_of_Richard_Nixon,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)","Richard Nixon
 1913–1994
 (Lived: 81 years)
 [106][107][108]","36th
 Vice President of the United States
 (1953–1961); 36th
 Vice President of the United States",Republican,"(1968)
 46
 (1969)","Spiro Agnew
 January 20, 1969 – October 10, 1973
 (Resigned from office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States#Presidents,37,https://en.wikipedia.org/wiki/Presidency_of_Richard_Nixon,"January 20, 1969
 –
 August 9, 1974
 (Resigned from office)","Richard Nixon
 1913–1994
 (Lived: 81 years)
 [106][107][108]","36th
 Vice President of the United States
 (1953–1961); 36th
 Vice President of the United States",Republican,"(1972)
 47
 (1973)
 (1974)
 [j]","Spiro Agnew
 January 20, 1969 – October 10, 1973
 (Resigned from office)"
