Table_1
url,Rank,Mountain,Height_[m],Height_[ft],Prominence_[m],Range,Coordinates,Parent_Mountain,First_Ascent,Ascents_(failed_attempts)_bef._2004,Country
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,11,"Gasherbrum I /
 Hidden Peak / K5","8,080","26,509","2,155",Baltoro Karakoram,35°43′28″N 76°41′47″E / 35.72444°N 76.69639°E / 35.72444; 76.69639 (11. Gasherbrum I / Hidden Peak / K5 (8080 m)),K2,1958,31 (16),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,12,Broad Peak,"8,051","26,414","1,701",Baltoro Karakoram,35°48′38″N 76°34′06″E / 35.81056°N 76.56833°E / 35.81056; 76.56833 (12. Broad Peak / K3 (8051 m)),Gasherbrum I,1957,39 (19),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,13,Gasherbrum II / K4,"8,035","26,362","1,524",Baltoro Karakoram,35°45′28″N 76°39′12″E / 35.75778°N 76.65333°E / 35.75778; 76.65333 (13. Gasherbrum II / K4 (8035 m)),Gasherbrum I,1956,54 (12),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,14,Shishapangma / Gosainthān,"8,027","26,335","2,897",Jugal Himalaya,28°21′12″N 85°46′43″E / 28.35333°N 85.77861°E / 28.35333; 85.77861 (14. Shishapangma (8027 m)),Cho Oyu,1964,43 (19),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,15,Gyachung Kang,"7,952","26,089",672,Mahalangur Himalaya,28°05′53″N 86°44′42″E / 28.09806°N 86.74500°E / 28.09806; 86.74500 (15. Gyachung Kang (7952 m)),Cho Oyu,1964,5 (3),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,110,Gasherbrum III / K3a,"7,946","26,070",355,Baltoro Karakoram,35°45′33″N 76°38′30″E / 35.75917°N 76.64167°E / 35.75917; 76.64167 (Gasherbrum III (7946 m)),Gasherbrum II,1975,2 (2),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,16,Annapurna II,"7,937","26,040","2,437",Annapurna Himalaya,28°32′05″N 84°07′19″E / 28.53472°N 84.12194°E / 28.53472; 84.12194 (16. Annapurna II (7937 m)),Annapurna I,1960,6 (19),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,17,Gasherbrum IV / K3,"7,932","26,024",712,Baltoro Karakoram,35°45′38″N 76°36′58″E / 35.76056°N 76.61611°E / 35.76056; 76.61611 (17. Gasherbrum IV (7932 m)),Gasherbrum III,1958,4 (11),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,18,Himalchuli,"7,893","25,896","1,633",Manaslu Himalaya,28°26′12″N 84°38′23″E / 28.43667°N 84.63972°E / 28.43667; 84.63972 (18. Himalchuli (7893 m)),Manaslu,1960,6 (12),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,19,Distaghil Sar,"7,884","25,866","2,525",Hispar Karakoram,36°19′33″N 75°11′16″E / 36.32583°N 75.18778°E / 36.32583; 75.18778 (19. Distaghil Sar (7884 m)),K2,1960,3 (5),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,20,Ngadi Chuli,"7,871","25,823","1,011",Manaslu Himalaya,28°30′12″N 84°34′00″E / 28.50333°N 84.56667°E / 28.50333; 84.56667 (20. Ngadi Chuli (7871 m)),Manaslu,1970,2 (6),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,111,Nuptse,"7,864","25,801",305,Mahalangur Himalaya,27°58′03″N 86°53′13″E / 27.96750°N 86.88694°E / 27.96750; 86.88694 (Nuptse (7864 m)),Lhotse,1961,5 (12),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,21,Khunyang Chhish,"7,823","25,666","1,765",Hispar Karakoram,36°12′19″N 75°12′28″E / 36.20528°N 75.20778°E / 36.20528; 75.20778 (21. Khunyang Chhish (7823 m)),Distaghil Sar,1971,2 (6),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,22,Masherbrum / K1,"7,821","25,659","2,457",Masherbrum Karakoram,35°38′28″N 76°18′21″E / 35.64111°N 76.30583°E / 35.64111; 76.30583 (22. Masherbrum / K1 (7821 m)),Gasherbrum I,1960,4 (9),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,23,Nanda Devi,"7,816","25,643","3,139",Garhwal Himalaya,30°22′33″N 79°58′15″E / 30.37583°N 79.97083°E / 30.37583; 79.97083 (23. Nanda Devi (7816 m)),Dhaulagiri,1936,14 (12),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,24,Chomo Lonzo,"7,804","25,604",590,Mahalangur Himalaya,27°55′50″N 87°06′28″E / 27.93056°N 87.10778°E / 27.93056; 87.10778 (24. Chomo Lonzo (7804 m)),Makalu,1954,3 (1),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,25,Batura Sar,"7,795","25,574","3,118",Batura Karakoram,36°30′37″N 74°31′21″E / 36.51028°N 74.52250°E / 36.51028; 74.52250 (25. Batura Sar (7795 m)),Distaghil Sar,1976,4 (6),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,26,Kanjut Sar,"7,790","25,558","1,660",Hispar Karakoram,36°12′20″N 75°25′01″E / 36.20556°N 75.41694°E / 36.20556; 75.41694 (26. Kanjut Sar (7790 m)),Khunyang Chhish,1959,2 (1),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,27,Rakaposhi,"7,788","25,551","2,818",Rakaposhi-Haramosh Karakoram,36°08′33″N 74°29′22″E / 36.14250°N 74.48944°E / 36.14250; 74.48944 (27. Rakaposhi (7788 m)),Khunyang Chhish,1958,8 (13),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,28,Namcha Barwa,"7,782","25,531","4,106",Assam Himalaya,29°37′52″N 95°03′19″E / 29.63111°N 95.05528°E / 29.63111; 95.05528 (28. Namcha Barwa (7782 m)),Kangchenjunga,1992,1 (2),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,29,Kamet,"7,756","25,446","2,825",Garhwal Himalaya,30°55′12″N 79°35′30″E / 30.92000°N 79.59167°E / 30.92000; 79.59167 (29. Kamet (7756 m)),Nanda Devi,1931,23 (14),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,30,Dhaulagiri II,"7,751","25,430","2,397",Dhaulagiri Himalaya,28°45′46″N 83°23′18″E / 28.76278°N 83.38833°E / 28.76278; 83.38833 (30. Dhaulagiri II (7751 m)),Dhaulagiri,1971,4 (11),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,31,Saltoro Kangri / K10,"7,742","25,400","2,160",Saltoro Karakoram,35°23′57″N 76°50′53″E / 35.39917°N 76.84806°E / 35.39917; 76.84806 (31. Saltoro Kangri / K10 (7742 m)),Gasherbrum I,1962,2 (1),India • Pakistan[dp 1][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,32,Kumbhakarna / Jannu,"7,711","25,299","1,036",Kangchenjunga Himalaya,27°40′56″N 88°02′40″E / 27.68222°N 88.04444°E / 27.68222; 88.04444 (32. Jannu (7711 m)),Kangchenjunga,1962,17 (12),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,33,Tirich Mir,"7,708","25,289","3,910",Hindu Kush,36°15′19″N 71°50′30″E / 36.25528°N 71.84167°E / 36.25528; 71.84167 (33. Tirich Mir (7708 m)),Batura Sar,1950,20 (11),Pakistan
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,112,Molamenqing,"7,703","25,272",433,Langtang Himalaya,28°21′18″N 85°48′35″E / 28.35500°N 85.80972°E / 28.35500; 85.80972 (Molamenqing (7703 m)),Shishapangma,1981,1 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,34,Gurla Mandhata,"7,694","25,243","2,788",Nalakankar Himalaya,30°26′19″N 81°17′48″E / 30.43861°N 81.29667°E / 30.43861; 81.29667 (34. Gurla Mandhata (7694 m)),Dhaulagiri,1985,6 (4),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,35,Saser Kangri I / K22,"7,672","25,171","2,304",Saser Karakoram,34°52′00″N 77°45′09″E / 34.86667°N 77.75250°E / 34.86667; 77.75250 (35. Saser Kangri I / K22 (7672 m)),Gasherbrum I,1973,6 (4),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,36,Chogolisa,"7,665","25,148","1,624",Masherbrum Karakoram,35°36′47″N 76°34′29″E / 35.61306°N 76.57472°E / 35.61306; 76.57472 (36. Chogolisa (7665 m)),Masherbrum,1975,4 (2),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,113,Dhaulagiri IV,"7,661","25,135",469,Dhaulagiri Himalaya,28°44′09″N 83°18′55″E / 28.73583°N 83.31528°E / 28.73583; 83.31528 (Dhaulagiri IV (7661 m)),Dhaulagiri II,1975,2 (10),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,37,Kongur Tagh,"7,649","25,095","3,585",Kongur Shan (Eastern Pamirs),38°35′36″N 75°18′48″E / 38.59333°N 75.31333°E / 38.59333; 75.31333 (37. Kongur Tagh (7649 m)),Distaghil Sar,1981,2 (4),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,114,Dhaulagiri V,"7,618","24,993",340,Dhaulagiri Himalaya,28°44′02″N 83°21′41″E / 28.73389°N 83.36139°E / 28.73389; 83.36139 (Dhaulagiri V (7618 m)),Dhaulagiri IV,1975,2 (3),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,38,Shispare,"7,611","24,970","1,240",Batura Karakoram,36°26′26″N 74°40′51″E / 36.44056°N 74.68083°E / 36.44056; 74.68083 (38. Shispare (7611 m)),Batura Sar,1974,3 (1),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,39,Trivor,"7,577","24,859",997,Hispar Karakoram,36°17′15″N 75°05′06″E / 36.28750°N 75.08500°E / 36.28750; 75.08500 (39. Trivor (7577 m)),Distaghil Sar,1960,2 (5),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,40,Gangkhar Puensum,"7,570","24,836","2,995",Kula Kangri Himalaya,28°02′50″N 90°27′19″E / 28.04722°N 90.45528°E / 28.04722; 90.45528 (40. Gangkhar Puensum (7570 m)),Kangchenjunga,unclimbed,0 (3),Bhutan • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,41,"Gongga Shan /
 Minya Konka","7,556","24,790","3,642",Daxue Shan (Hengduan Shan),29°35′43″N 101°52′47″E / 29.59528°N 101.87972°E / 29.59528; 101.87972 (41. Gongga Shan / Minya Konka (7556 m)),Mount Everest,1932,6 (7),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,42,Annapurna III,"7,555","24,787",703,Annapurna Himalaya,28°35′06″N 83°59′24″E / 28.58500°N 83.99000°E / 28.58500; 83.99000 (42. Annapurna III (7555 m)),Annapurna I,1961,10 (17),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,43,Skyang Kangri,"7,545","24,754","1,085",Baltoro Karakoram,35°55′35″N 76°34′03″E / 35.92639°N 76.56750°E / 35.92639; 76.56750 (43. Skyang Kangri (7545 m)),K2,1976,1 (2),Pakistan[dp 1] • China[dp 2]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,44,Changtse,"7,543","24,747",514,Mahalangur Himalaya,28°01′29″N 86°54′51″E / 28.02472°N 86.91417°E / 28.02472; 86.91417 (44. Changtse (7543 m)),Mount Everest,1982,9 (9),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,45,Kula Kangri,"7,538","24,731","1,654",Kula Kangri Himalaya,28°13′37″N 90°36′59″E / 28.22694°N 90.61639°E / 28.22694; 90.61639 (45. Kula Kangri (7538 m)),Gangkhar Puensum,1986,3 (2),China( • Bhutan)[dp 4]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,46,Kongur Tiube,"7,530","24,705",840,Kongur Shan (Eastern Pamirs),38°36′57″N 75°11′45″E / 38.61583°N 75.19583°E / 38.61583; 75.19583 (46. Kongur Tiube (7530 m)),Kongur Tagh,1956,2 (3),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,47,Mamostong Kangri,"7,516","24,659","1,803",Rimo Karakoram,35°08′31″N 77°34′39″E / 35.14194°N 77.57750°E / 35.14194; 77.57750 (47. Mamostong Kangri (7516 m)),Gasherbrum I,1984,5 (0),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,48,Saser Kangri II E,"7,513","24,649","1,458",Saser Karakoram,34°48′17″N 77°48′24″E / 34.80472°N 77.80667°E / 34.80472; 77.80667 (48. Saser Kangri II E (7513 m)),Saser Kangri,2011,0 (0)[11],India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,49,Muztagh Ata,"7,509","24,636","2,698",Muztagata (Eastern Pamirs),38°16′33″N 75°06′58″E / 38.27583°N 75.11611°E / 38.27583; 75.11611 (49. Muztagh Ata (7546 m)),Kongur Tagh,1956,Many,China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,50,Ismoil Somoni Peak,"7,495","24,590","3,402",Pamir (Academy of Sciences Range),38°56′35″N 72°00′57″E / 38.94306°N 72.01583°E / 38.94306; 72.01583 (50. Ismoil Somoni Peak (7495 m)),Muztagh Ata,1933,,Tajikistan
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,51,Saser Kangri III,"7,495","24,590",835,Saser Karakoram,34°50′44″N 77°47′06″E / 34.84556°N 77.78500°E / 34.84556; 77.78500 (51. Saser Kangri III (7495 m)),Saser Kangri,1986,1 (0),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,52,Noshaq,"7,492","24,580","2,024",Hindu Kush,36°25′56″N 71°49′43″E / 36.43222°N 71.82861°E / 36.43222; 71.82861 (52. Noshaq (7492 m)),Tirich Mir,1960,33 (3),Afghanistan • Pakistan
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,53,Pumari Chhish,"7,492","24,580",884,Hispar Karakoram,36°12′41″N 75°15′01″E / 36.21139°N 75.25028°E / 36.21139; 75.25028 (53. Pumari Chhish (7492 m)),Khunyang Chhish,1979,1 (2),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,54,Passu Sar,"7,476","24,528",647,Batura Karakoram,36°29′16″N 74°35′16″E / 36.48778°N 74.58778°E / 36.48778; 74.58778 (54. Passu Sar (7476 m)),Batura Sar,1994,1 (0),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,55,Yukshin Gardan Sar,"7,469","24,505","1,374",Hispar Karakoram,36°15′04″N 75°22′29″E / 36.25111°N 75.37472°E / 36.25111; 75.37472 (55. Yukshin Gardan Sar (7469 m)),Pumari Chhish,1984,4 (1),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,56,Teram Kangri I,"7,462","24,482","1,703",Siachen Karakoram,35°34′48″N 77°04′42″E / 35.58000°N 77.07833°E / 35.58000; 77.07833 (56. Teram Kangri I (7462 m)),Gasherbrum I,1975,2 (0),India • China[dp 2][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,57,Jongsong Peak,"7,462","24,482","1,298",Kangchenjunga Himalaya,27°52′54″N 88°08′09″E / 27.88167°N 88.13583°E / 27.88167; 88.13583 (57. Jongsong Peak (7462 m)),Kangchenjunga,1930,2 (3),India • China • Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,58,Malubiting,"7,458","24,469","2,193",Rakaposhi-Haramosh Karakoram,36°00′12″N 74°52′31″E / 36.00333°N 74.87528°E / 36.00333; 74.87528 (58. Malubiting (7458 m)),Rakaposhi,1971,2 (6),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,59,Gangapurna,"7,455","24,459",563,Annapurna Himalaya,28°36′18″N 83°57′49″E / 28.60500°N 83.96361°E / 28.60500; 83.96361 (59. Gangapurna (7455 m)),Annapurna III,1965,8 (13),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,60,"Jengish Chokusu /
 Tömür / Pk Pobeda","7,439","24,406","4,148",Tian Shan,42°02′05″N 80°07′47″E / 42.03472°N 80.12972°E / 42.03472; 80.12972 (60. Jengish Chokusu / Tömür / Pk Pobeda (7439 m)),Ismail Samani Peak,1956,,Kyrgyzstan • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,115,Sunanda Devi / Nanda Devi East,"7,434","24,390",229,Garhwal Himalaya,30°22′00″N 79°59′40″E / 30.36667°N 79.99444°E / 30.36667; 79.99444 (Sunanda Devi (7434 m)),Nanda Devi,1939,14 (12),India
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,61,K12,"7,428","24,370","1,978",Saltoro Karakoram,35°17′45″N 77°01′20″E / 35.29583°N 77.02222°E / 35.29583; 77.02222 (61. K12 (7428 m)),Saltoro Kangri,1974,4 (2),India • Pakistan[dp 1][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,62,"Yangra /
 Ganesh I","7,422","24,350","2,352",Ganesh Himalaya,28°23′29″N 85°07′38″E / 28.39139°N 85.12722°E / 28.39139; 85.12722 (62. Yangra / Ganesh I (7422 m)),Manaslu,1955,1 (6),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,63,Sia Kangri,"7,422","24,350",642,Siachen Karakoram,35°39′48″N 76°45′42″E / 35.66333°N 76.76167°E / 35.66333; 76.76167 (63. Sia Kangri (7422 m)),Gasherbrum I,1934,6 (0),Pakistan • India • China[dp 2][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,64,Momhil Sar,"7,414","24,324",907,Hispar Karakoram,36°19′04″N 75°02′11″E / 36.31778°N 75.03639°E / 36.31778; 75.03639 (64. Momhil Sar (7414 m)),Trivor,1964,2 (6),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,65,Kabru N,"7,412","24,318",720,Kangchenjunga Himalaya,27°38′02″N 88°07′00″E / 27.63389°N 88.11667°E / 27.63389; 88.11667 (65. Kabru N (7412 m)),Kangchenjunga,1994,1 (2)[12],India • Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,66,Skil Brum,"7,410","24,311","1,152",Baltoro Karakoram,35°51′03″N 76°25′43″E / 35.85083°N 76.42861°E / 35.85083; 76.42861 (66. Skil Brum (7410 m)),K2,1957,2 (1),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,67,Haramosh Peak,"7,409","24,308","2,277",Rakaposhi-Haramosh Karakoram,35°50′24″N 74°53′51″E / 35.84000°N 74.89750°E / 35.84000; 74.89750 (67. Haramosh Peak (7409 m)),Malubiting,1958,4 (3),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,68,Istor-o-Nal,"7,403","24,288","1,043",Hindu Kush,36°22′32″N 71°53′54″E / 36.37556°N 71.89833°E / 36.37556; 71.89833 (68. Istor-o-Nal (7403 m)),Noshaq,1969,4 (5),Pakistan
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,69,Ghent Kangri,"7,401","24,281","1,493",Saltoro Karakoram,35°31′04″N 76°48′02″E / 35.51778°N 76.80056°E / 35.51778; 76.80056 (69. Ghent Kangri (7401 m)),Saltoro Kangri,1961,4 (0),India • Pakistan[dp 1][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,70,Ultar,"7,388","24,239",688,Batura Karakoram,36°23′27″N 74°43′00″E / 36.39083°N 74.71667°E / 36.39083; 74.71667 (70. Ultar (7388 m)),Shispare,1996,2 (5),Pakistan[dp 1]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,71,Rimo I,"7,385","24,229","1,428",Rimo Karakoram,35°21′18″N 77°22′08″E / 35.35500°N 77.36889°E / 35.35500; 77.36889 (71. Rimo I (7385 m)),Teram Kangri,1988,1 (3),India[dp 5]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,72,Churen Himal,"7,385","24,229",650,Dhaulagiri Himalaya,28°44′05″N 83°13′03″E / 28.73472°N 83.21750°E / 28.73472; 83.21750 (72. Churen Himal (7385 m)),Dhaulagiri IV,1970,3 (0),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,73,Teram Kangri III,"7,382","24,219",520,Siachen Karakoram,35°35′59″N 77°02′53″E / 35.59972°N 77.04806°E / 35.59972; 77.04806 (73. Teram Kangri III (7382 m)),Teram Kangri,1979,1 (0),India • China[dp 2][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,74,Sherpi Kangri,"7,380","24,213","1,320",Saltoro Karakoram,35°27′58″N 76°46′53″E / 35.46611°N 76.78139°E / 35.46611; 76.78139 (74. Sherpi Kangri (7380 m)),Ghent Kangri,1976,1 (1),India • Pakistan[dp 1][dp 3]
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,75,Labuche Kang,"7,367","24,170","1,957",Labuche Himalaya,28°18′15″N 86°21′03″E / 28.30417°N 86.35083°E / 28.30417; 86.35083 (75. Labuche Kang (7367 m)),Cho Oyu,1987,1 (0),China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,76,Kirat Chuli,"7,362","24,153","1,168",Kangchenjunga Himalaya,27°47′16″N 88°11′43″E / 27.78778°N 88.19528°E / 27.78778; 88.19528 (76. Kirat Chuli (7362 m)),Kangchenjunga,1939,1 (6),India • Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,116,Abi Gamin,"7,355","24,131",217,Garhwal Himalaya,30°55′57″N 79°36′09″E / 30.93250°N 79.60250°E / 30.93250; 79.60250 (Abi Gamin (7355 m)),Kamet,1950,17 (2),India • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,117,Gimmigela / The Twins,"7,350","24,114",432,Kangchenjunga Himalaya,27°44′27″N 88°09′31″E / 27.74083°N 88.15861°E / 27.74083; 88.15861 (Gimmigela / The Twins (7350 m)),Kangchenjunga,1994,3 (1),India • Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,117,Nangpai Gosum,"7,350","24,114",427,Mahalangur Himalaya,28°04′24″N 86°36′51″E / 28.07333°N 86.61417°E / 28.07333; 86.61417 (Nangpai Gosum (7350 m)),Cho Oyu,1996,3 (1),Nepal • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,77,Saraghrar,"7,349","24,111","1,979",Hindu Kush,36°32′51″N 72°06′54″E / 36.54750°N 72.11500°E / 36.54750; 72.11500 (77. Saraghrar (7349 m)),Noshaq,1959,2 (3),Pakistan
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,78,Jomolhari / Chomo Lhari,"7,326","24,035","2,065",Jomolhari Himalaya,27°49′36″N 89°16′04″E / 27.82667°N 89.26778°E / 27.82667; 89.26778 (78. Jomolhari (7326 m)),Gangkhar Puensum,1937,4 (0),Bhutan • China
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,79,Chamlang,"7,321","24,019","1,241",Mahalangur Himalaya,27°46′30″N 86°58′47″E / 27.77500°N 86.97972°E / 27.77500; 86.97972 (79. Chamlang (7321 m)),Lhotse,1961,7 (1),Nepal
https://en.wikipedia.org/wiki/List_of_highest_mountains_on_Earth,80,Chongtar,"7,315","23,999","1,295",Baltoro Karakoram,35°54′55″N 76°25′45″E / 35.91528°N 76.42917°E / 35.91528; 76.42917 (80. Chongtar (7315 m)),Skil Brum,1994,1 (1),China[dp 2]
