Table_1
url,Country,Country_link,Population,Yearly_Change,Net_Change,Density_Pk_M,Land_Area_(km),Migrants_Net,Fert_Rate,Med_Age,Urban_Pop,World_Share
http://www.worldometers.info/world-population/population-by-country/,Japan,http://www.worldometers.info/world-population/japan-population/,"127,185,332",-0.23 %,"-299,118",349,"364,555","71,627",1.4,46,94 %,1.67 %
http://www.worldometers.info/world-population/population-by-country/,Ethiopia,http://www.worldometers.info/world-population/ethiopia-population/,"107,534,882",2.46 %,"2,577,444",108,"1,000,000","-12,000",4.6,19,20 %,1.41 %
http://www.worldometers.info/world-population/population-by-country/,Philippines,http://www.worldometers.info/world-population/philippines-population/,"106,512,074",1.52 %,"1,593,984",357,"298,170","-130,000",3.1,24,44 %,1.40 %
http://www.worldometers.info/world-population/population-by-country/,Egypt,http://www.worldometers.info/world-population/egypt-population/,"99,375,741",1.87 %,"1,822,590",100,"995,450","-55,005",3.4,25,38 %,1.30 %
http://www.worldometers.info/world-population/population-by-country/,Viet Nam,http://www.worldometers.info/world-population/vietnam-population/,"96,491,146",0.99 %,"950,346",311,"310,070","-40,000",2.0,30,34 %,1.26 %
http://www.worldometers.info/world-population/population-by-country/,DR Congo,http://www.worldometers.info/world-population/democratic-republic-of-the-congo-population/,"84,004,989",3.28 %,"2,665,001",37,"2,267,050","3,012",6.4,17,39 %,1.10 %
http://www.worldometers.info/world-population/population-by-country/,Germany,http://www.worldometers.info/world-population/germany-population/,"82,293,457",0.22 %,"179,233",236,"348,560","355,425",1.4,46,76 %,1.08 %
http://www.worldometers.info/world-population/population-by-country/,Iran,http://www.worldometers.info/world-population/iran-population/,"82,011,735",1.05 %,"848,947",50,"1,628,550","-80,000",1.7,30,74 %,1.07 %
http://www.worldometers.info/world-population/population-by-country/,Turkey,http://www.worldometers.info/world-population/turkey-population/,"81,916,871",1.45 %,"1,171,851",106,"769,630","325,434",2.1,30,71 %,1.07 %
http://www.worldometers.info/world-population/population-by-country/,Thailand,http://www.worldometers.info/world-population/thailand-population/,"69,183,173",0.21 %,"145,660",135,"510,890","33,463",1.5,38,52 %,0.91 %
http://www.worldometers.info/world-population/population-by-country/,U.K.,http://www.worldometers.info/world-population/uk-population/,"66,573,504",0.59 %,"391,919",275,"241,930","198,000",1.9,40,81 %,0.87 %
http://www.worldometers.info/world-population/population-by-country/,France,http://www.worldometers.info/world-population/france-population/,"65,233,271",0.39 %,"253,723",119,"547,557","72,344",2.0,41,80 %,0.85 %
http://www.worldometers.info/world-population/population-by-country/,Italy,http://www.worldometers.info/world-population/italy-population/,"59,290,969",-0.12 %,"-68,931",202,"294,140","52,829",1.4,46,72 %,0.78 %
http://www.worldometers.info/world-population/population-by-country/,Tanzania,http://www.worldometers.info/world-population/tanzania-population/,"59,091,392",3.11 %,"1,781,373",67,"885,800","-40,000",5.2,17,31 %,0.77 %
http://www.worldometers.info/world-population/population-by-country/,South Africa,http://www.worldometers.info/world-population/south-africa-population/,"57,398,421",1.20 %,"681,265",47,"1,213,090","161,300",2.6,26,62 %,0.75 %
http://www.worldometers.info/world-population/population-by-country/,Myanmar,http://www.worldometers.info/world-population/myanmar-population/,"53,855,735",0.91 %,"485,126",82,"653,290","-94,856",2.3,28,36 %,0.71 %
http://www.worldometers.info/world-population/population-by-country/,South Korea,http://www.worldometers.info/world-population/south-korea-population/,"51,164,435",0.36 %,"182,223",526,"97,230","33,927",1.2,41,81 %,0.67 %
http://www.worldometers.info/world-population/population-by-country/,Kenya,http://www.worldometers.info/world-population/kenya-population/,"50,950,879",2.52 %,"1,251,017",90,"569,140","-10,000",4.1,19,26 %,0.67 %
http://www.worldometers.info/world-population/population-by-country/,Colombia,http://www.worldometers.info/world-population/colombia-population/,"49,464,683",0.81 %,"399,068",45,"1,109,500","-29,000",1.9,30,79 %,0.65 %
http://www.worldometers.info/world-population/population-by-country/,Spain,http://www.worldometers.info/world-population/spain-population/,"46,397,452",0.09 %,"43,131",93,"498,800","-114,000",1.3,43,82 %,0.61 %
http://www.worldometers.info/world-population/population-by-country/,Argentina,http://www.worldometers.info/world-population/argentina-population/,"44,688,864",0.94 %,"417,823",16,"2,736,690","6,000",2.3,31,88 %,0.59 %
http://www.worldometers.info/world-population/population-by-country/,Uganda,http://www.worldometers.info/world-population/uganda-population/,"44,270,563",3.28 %,"1,407,605",222,"199,810","-30,000",5.9,16,16 %,0.58 %
http://www.worldometers.info/world-population/population-by-country/,Ukraine,http://www.worldometers.info/world-population/ukraine-population/,"44,009,214",-0.48 %,"-213,733",76,"579,320","-40,000",1.5,40,70 %,0.58 %
http://www.worldometers.info/world-population/population-by-country/,Algeria,http://www.worldometers.info/world-population/algeria-population/,"42,008,054",1.67 %,"689,912",18,"2,381,740","-28,654",3.0,28,72 %,0.55 %
http://www.worldometers.info/world-population/population-by-country/,Sudan,http://www.worldometers.info/world-population/sudan-population/,"41,511,526",2.41 %,"978,196",24,"1,765,048","-117,877",4.8,19,34 %,0.54 %
http://www.worldometers.info/world-population/population-by-country/,Iraq,http://www.worldometers.info/world-population/iraq-population/,"39,339,753",2.78 %,"1,065,135",91,"434,320","92,733",4.6,19,67 %,0.52 %
http://www.worldometers.info/world-population/population-by-country/,Poland,http://www.worldometers.info/world-population/poland-population/,"38,104,832",-0.17 %,"-65,880",124,"306,230","-14,799",1.3,40,61 %,0.50 %
http://www.worldometers.info/world-population/population-by-country/,Canada,http://www.worldometers.info/world-population/canada-population/,"36,953,765",0.90 %,"329,566",4,"9,093,510","229,144",1.6,41,81 %,0.48 %
http://www.worldometers.info/world-population/population-by-country/,Afghanistan,http://www.worldometers.info/world-population/afghanistan-population/,"36,373,176",2.37 %,"843,095",56,"652,860","89,601",5.3,17,25 %,0.48 %
http://www.worldometers.info/world-population/population-by-country/,Morocco,http://www.worldometers.info/world-population/morocco-population/,"36,191,805",1.27 %,"452,225",81,"446,300","-61,422",2.6,28,59 %,0.47 %
http://www.worldometers.info/world-population/population-by-country/,Saudi Arabia,http://www.worldometers.info/world-population/saudi-arabia-population/,"33,554,343",1.87 %,"616,130",16,"2,149,690","318,000",2.7,30,77 %,0.44 %
http://www.worldometers.info/world-population/population-by-country/,Peru,http://www.worldometers.info/world-population/peru-population/,"32,551,815",1.20 %,"386,330",25,"1,280,000","-48,000",2.5,27,78 %,0.43 %
http://www.worldometers.info/world-population/population-by-country/,Venezuela,http://www.worldometers.info/world-population/venezuela-population/,"32,381,221",1.26 %,"404,156",37,"882,050","-13,824",2.4,27,88 %,0.42 %
http://www.worldometers.info/world-population/population-by-country/,Uzbekistan,http://www.worldometers.info/world-population/uzbekistan-population/,"32,364,996",1.42 %,"454,355",76,"425,400","-13,294",2.4,26,34 %,0.42 %
http://www.worldometers.info/world-population/population-by-country/,Malaysia,http://www.worldometers.info/world-population/malaysia-population/,"32,042,458",1.32 %,"418,194",98,"328,550","156,330",2.1,28,75 %,0.42 %
http://www.worldometers.info/world-population/population-by-country/,Angola,http://www.worldometers.info/world-population/angola-population/,"30,774,205",3.32 %,"990,012",25,"1,246,700","17,464",6.0,16,36 %,0.40 %
http://www.worldometers.info/world-population/population-by-country/,Mozambique,http://www.worldometers.info/world-population/mozambique-population/,"30,528,673",2.90 %,"859,839",39,"786,380","-5,000",5.5,17,31 %,0.40 %
http://www.worldometers.info/world-population/population-by-country/,Nepal,http://www.worldometers.info/world-population/nepal-population/,"29,624,035",1.09 %,"319,037",207,"143,350","-74,474",2.3,23,19 %,0.39 %
http://www.worldometers.info/world-population/population-by-country/,Ghana,http://www.worldometers.info/world-population/ghana-population/,"29,463,643",2.18 %,"630,014",129,"227,540","-10,000",4.2,20,53 %,0.39 %
http://www.worldometers.info/world-population/population-by-country/,Yemen,http://www.worldometers.info/world-population/yemen-population/,"28,915,284",2.35 %,"664,864",55,"527,970","-15,002",4.4,19,33 %,0.38 %
http://www.worldometers.info/world-population/population-by-country/,Madagascar,http://www.worldometers.info/world-population/madagascar-population/,"26,262,810",2.71 %,"691,915",45,"581,795","-1,500",4.4,19,35 %,0.34 %
http://www.worldometers.info/world-population/population-by-country/,North Korea,http://www.worldometers.info/world-population/north-korea-population/,"25,610,672",0.47 %,"119,707",213,"120,410","-5,403",2.0,34,61 %,0.34 %
http://www.worldometers.info/world-population/population-by-country/,Côte d'Ivoire,http://www.worldometers.info/world-population/cote-d-ivoire-population/,"24,905,843",2.52 %,"611,093",78,"318,000","12,000",5.1,18,50 %,0.33 %
http://www.worldometers.info/world-population/population-by-country/,Australia,http://www.worldometers.info/world-population/australia-population/,"24,772,247",1.32 %,"321,686",3,"7,682,300","182,621",1.9,37,89 %,0.32 %
http://www.worldometers.info/world-population/population-by-country/,Cameroon,http://www.worldometers.info/world-population/cameroon-population/,"24,678,234",2.60 %,"624,507",52,"472,710","-7,200",5.0,18,55 %,0.32 %
http://www.worldometers.info/world-population/population-by-country/,Taiwan,http://www.worldometers.info/world-population/taiwan-population/,"23,694,089",0.29 %,"67,633",669,"35,410","34,000",1.1,40,77 %,0.31 %
http://www.worldometers.info/world-population/population-by-country/,Niger,http://www.worldometers.info/world-population/niger-population/,"22,311,375",3.88 %,"834,027",18,"1,266,700","-5,699",7.4,15,18 %,0.29 %
http://www.worldometers.info/world-population/population-by-country/,Sri Lanka,http://www.worldometers.info/world-population/sri-lanka-population/,"20,950,041",0.35 %,"73,124",334,"62,710","-96,954",2.1,32,19 %,0.27 %
http://www.worldometers.info/world-population/population-by-country/,Burkina Faso,http://www.worldometers.info/world-population/burkina-faso-population/,"19,751,651",2.91 %,"558,269",72,"273,600","-25,000",5.6,17,30 %,0.26 %
http://www.worldometers.info/world-population/population-by-country/,Romania,http://www.worldometers.info/world-population/romania-population/,"19,580,634",-0.50 %,"-98,672",85,"230,170","-59,999",1.5,41,60 %,0.26 %
http://www.worldometers.info/world-population/population-by-country/,Malawi,http://www.worldometers.info/world-population/malawi-population/,"19,164,728",2.91 %,"542,624",203,"94,280","-6,000",4.9,17,16 %,0.25 %
http://www.worldometers.info/world-population/population-by-country/,Mali,http://www.worldometers.info/world-population/mali-population/,"19,107,706",3.05 %,"565,726",16,"1,220,190","-60,490",6.4,16,38 %,0.25 %
http://www.worldometers.info/world-population/population-by-country/,Kazakhstan,http://www.worldometers.info/world-population/kazakhstan-population/,"18,403,860",1.10 %,"199,361",7,"2,699,700","31,961",2.7,29,49 %,0.24 %
http://www.worldometers.info/world-population/population-by-country/,Syria,http://www.worldometers.info/world-population/syria-population/,"18,284,407",0.08 %,"14,539",100,"183,630","-831,579",3.1,20,75 %,0.24 %
http://www.worldometers.info/world-population/population-by-country/,Chile,http://www.worldometers.info/world-population/chile-population/,"18,197,209",0.79 %,"142,483",24,"743,532","16,164",1.8,34,90 %,0.24 %
http://www.worldometers.info/world-population/population-by-country/,Zambia,http://www.worldometers.info/world-population/zambia-population/,"17,609,178",3.01 %,"515,048",24,"743,390","-6,898",5.2,17,39 %,0.23 %
http://www.worldometers.info/world-population/population-by-country/,Guatemala,http://www.worldometers.info/world-population/guatemala-population/,"17,245,346",1.96 %,"331,843",161,"107,160","-10,026",3.2,21,52 %,0.23 %
http://www.worldometers.info/world-population/population-by-country/,Netherlands,http://www.worldometers.info/world-population/netherlands-population/,"17,084,459",0.28 %,"48,521",507,"33,720","12,537",1.7,42,91 %,0.22 %
http://www.worldometers.info/world-population/population-by-country/,Zimbabwe,http://www.worldometers.info/world-population/zimbabwe-population/,"16,913,261",2.32 %,"383,357",44,"386,850","-50,000",4.0,19,30 %,0.22 %
http://www.worldometers.info/world-population/population-by-country/,Ecuador,http://www.worldometers.info/world-population/ecuador-population/,"16,863,425",1.44 %,"238,567",68,"248,360","-7,600",2.6,27,64 %,0.22 %
http://www.worldometers.info/world-population/population-by-country/,Senegal,http://www.worldometers.info/world-population/senegal-population/,"16,294,270",2.80 %,"443,703",85,"192,530","-19,999",5.0,18,43 %,0.21 %
http://www.worldometers.info/world-population/population-by-country/,Cambodia,http://www.worldometers.info/world-population/cambodia-population/,"16,245,729",1.50 %,"240,356",92,"176,520","-30,000",2.7,24,21 %,0.21 %
http://www.worldometers.info/world-population/population-by-country/,Chad,http://www.worldometers.info/world-population/chad-population/,"15,353,184",3.04 %,"453,190",12,"1,259,200","20,000",6.3,16,21 %,0.20 %
http://www.worldometers.info/world-population/population-by-country/,Somalia,http://www.worldometers.info/world-population/somalia-population/,"15,181,925",2.98 %,"439,402",24,"627,340","-45,374",6.6,17,31 %,0.20 %
http://www.worldometers.info/world-population/population-by-country/,Guinea,http://www.worldometers.info/world-population/guinea-population/,"13,052,608",2.64 %,"335,432",53,"245,720","-50,000",5.1,18,38 %,0.17 %
http://www.worldometers.info/world-population/population-by-country/,South Sudan,http://www.worldometers.info/world-population/south-sudan-population/,"12,919,053",2.73 %,"343,339",21,"610,952","85,000",5.2,19,19 %,0.17 %
http://www.worldometers.info/world-population/population-by-country/,Rwanda,http://www.worldometers.info/world-population/rwanda-population/,"12,501,156",2.40 %,"292,749",507,"24,670","-15,820",4.2,19,32 %,0.16 %
http://www.worldometers.info/world-population/population-by-country/,Tunisia,http://www.worldometers.info/world-population/tunisia-population/,"11,659,174",1.10 %,"127,047",75,"155,360","-13,193",2.3,31,66 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Belgium,http://www.worldometers.info/world-population/belgium-population/,"11,498,519",0.61 %,"69,183",380,"30,280","51,734",1.8,41,96 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Cuba,http://www.worldometers.info/world-population/cuba-population/,"11,489,082",0.04 %,"4,446",108,"106,440","-14,654",1.7,41,75 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Benin,http://www.worldometers.info/world-population/benin-population/,"11,485,674",2.77 %,"309,982",102,"112,760","-8,454",5.2,18,45 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Burundi,http://www.worldometers.info/world-population/burundi-population/,"11,216,450",3.24 %,"352,205",437,"25,680","-14,000",6.0,18,13 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Bolivia,http://www.worldometers.info/world-population/bolivia-population/,"11,215,674",1.48 %,"164,074",10,"1,083,300","-12,359",3.0,24,70 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Greece,http://www.worldometers.info/world-population/greece-population/,"11,142,161",-0.16 %,"-17,612",86,"128,900","-32,360",1.3,43,78 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Haiti,http://www.worldometers.info/world-population/haiti-population/,"11,112,945",1.20 %,"131,716",403,"27,560","-30,000",3.1,23,60 %,0.15 %
http://www.worldometers.info/world-population/population-by-country/,Dominican Republic,http://www.worldometers.info/world-population/dominican-republic-population/,"10,882,996",1.08 %,"115,998",225,"48,320","-30,602",2.5,26,81 %,0.14 %
http://www.worldometers.info/world-population/population-by-country/,Czech Republic,http://www.worldometers.info/world-population/czech-republic-population/,"10,625,250",0.07 %,"6,947",138,"77,240","11,999",1.5,41,74 %,0.14 %
http://www.worldometers.info/world-population/population-by-country/,Portugal,http://www.worldometers.info/world-population/portugal-population/,"10,291,196",-0.37 %,"-38,310",112,"91,590","-28,000",1.3,44,67 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,Sweden,http://www.worldometers.info/world-population/sweden-population/,"9,982,709",0.73 %,"72,008",24,"410,340","50,792",1.9,41,85 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,Azerbaijan,http://www.worldometers.info/world-population/azerbaijan-population/,"9,923,914",0.98 %,"96,325",120,"82,658",0,2.1,30,54 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,Jordan,http://www.worldometers.info/world-population/jordan-population/,"9,903,802",2.08 %,"201,449",112,"88,780","195,057",3.6,22,67 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,Hungary,http://www.worldometers.info/world-population/hungary-population/,"9,688,847",-0.34 %,"-32,712",107,"90,530","6,000",1.3,42,73 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,United Arab Emirates,http://www.worldometers.info/world-population/united-arab-emirates-population/,"9,541,615",1.50 %,"141,470",114,"83,600","96,000",1.8,33,90 %,0.13 %
http://www.worldometers.info/world-population/population-by-country/,Belarus,http://www.worldometers.info/world-population/belarus-population/,"9,452,113",-0.17 %,"-16,225",47,"202,910","15,160",1.6,40,75 %,0.12 %
http://www.worldometers.info/world-population/population-by-country/,Honduras,http://www.worldometers.info/world-population/honduras-population/,"9,417,167",1.64 %,"152,100",84,"111,890","-3,000",2.7,23,52 %,0.12 %
http://www.worldometers.info/world-population/population-by-country/,Tajikistan,http://www.worldometers.info/world-population/tajikistan-population/,"9,107,211",2.08 %,"185,868",65,"139,960","-20,000",3.5,22,27 %,0.12 %
http://www.worldometers.info/world-population/population-by-country/,Serbia,http://www.worldometers.info/world-population/serbia-population/,"8,762,027",-0.32 %,"-28,547",100,"87,460","-20,000",1.6,40,59 %,0.11 %
http://www.worldometers.info/world-population/population-by-country/,Austria,http://www.worldometers.info/world-population/austria-population/,"8,751,820",0.19 %,"16,367",106,"82,409","53,434",1.4,43,65 %,0.11 %
http://www.worldometers.info/world-population/population-by-country/,Switzerland,http://www.worldometers.info/world-population/switzerland-population/,"8,544,034",0.80 %,"68,029",216,"39,516","79,453",1.5,42,73 %,0.11 %
http://www.worldometers.info/world-population/population-by-country/,Israel,http://www.worldometers.info/world-population/israel-population/,"8,452,841",1.58 %,"131,271",391,"21,640","3,899",3.0,30,89 %,0.11 %
http://www.worldometers.info/world-population/population-by-country/,Papua New Guinea,http://www.worldometers.info/world-population/papua-new-guinea-population/,"8,418,346",2.03 %,"167,184",19,"452,860",-200,3.8,22,12 %,0.11 %
http://www.worldometers.info/world-population/population-by-country/,Togo,http://www.worldometers.info/world-population/togo-population/,"7,990,926",2.48 %,"193,232",147,"54,390","-1,999",4.7,19,39 %,0.10 %
http://www.worldometers.info/world-population/population-by-country/,Sierra Leone,http://www.worldometers.info/world-population/sierra-leone-population/,"7,719,729",2.15 %,"162,517",107,"72,180","-4,200",4.8,18,35 %,0.10 %
http://www.worldometers.info/world-population/population-by-country/,Hong Kong,http://www.worldometers.info/world-population/china-hong-kong-sar-population/,"7,428,887",0.87 %,"64,004","7,075","1,050","14,978",1.2,43,N.A.,0.10 %
http://www.worldometers.info/world-population/population-by-country/,Bulgaria,http://www.worldometers.info/world-population/bulgaria-population/,"7,036,848",-0.67 %,"-47,723",65,"108,560","-4,894",1.5,43,74 %,0.09 %
http://www.worldometers.info/world-population/population-by-country/,Laos,http://www.worldometers.info/world-population/laos-population/,"6,961,210",1.50 %,"103,050",30,"230,800","-35,498",2.9,23,42 %,0.09 %
http://www.worldometers.info/world-population/population-by-country/,Paraguay,http://www.worldometers.info/world-population/paraguay-population/,"6,896,908",1.26 %,"85,611",17,"397,300","-17,340",2.6,25,63 %,0.09 %
http://www.worldometers.info/world-population/population-by-country/,Libya,http://www.worldometers.info/world-population/libya-population/,"6,470,956",1.51 %,"96,340",4,"1,759,540","-86,681",2.4,27,79 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,El Salvador,http://www.worldometers.info/world-population/el-salvador-population/,"6,411,558",0.53 %,"33,705",309,"20,720","-48,083",2.2,26,69 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Nicaragua,http://www.worldometers.info/world-population/nicaragua-population/,"6,284,757",1.08 %,"67,176",52,"120,340","-27,000",2.3,25,61 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Kyrgyzstan,http://www.worldometers.info/world-population/kyrgyzstan-population/,"6,132,932",1.45 %,"87,815",32,"191,800","-27,580",3.1,25,35 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Lebanon,http://www.worldometers.info/world-population/lebanon-population/,"6,093,509",0.18 %,"11,152",596,"10,230","250,000",1.7,29,73 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Turkmenistan,http://www.worldometers.info/world-population/turkmenistan-population/,"5,851,466",1.62 %,"93,391",12,"469,930","-10,000",3.0,26,48 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Singapore,http://www.worldometers.info/world-population/singapore-population/,"5,791,901",1.45 %,"83,057","8,274",700,"67,586",1.2,40,N.A.,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Denmark,http://www.worldometers.info/world-population/denmark-population/,"5,754,356",0.36 %,"20,805",136,"42,430","21,368",1.7,42,87 %,0.08 %
http://www.worldometers.info/world-population/population-by-country/,Finland,http://www.worldometers.info/world-population/finland-population/,"5,542,517",0.35 %,"19,286",18,"303,890","16,283",1.8,42,84 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,Slovakia,http://www.worldometers.info/world-population/slovakia-population/,"5,449,816",0.04 %,"2,154",113,"48,088","2,269",1.4,39,54 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,Congo,http://www.worldometers.info/world-population/congo-population/,"5,399,895",2.64 %,"139,145",16,"341,500","-12,000",4.9,19,60 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,Norway,http://www.worldometers.info/world-population/norway-population/,"5,353,363",0.90 %,"47,980",15,"365,268","44,363",1.8,39,79 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,Eritrea,http://www.worldometers.info/world-population/eritrea-population/,"5,187,948",2.35 %,"119,117",51,"101,000","-32,000",4.4,19,32 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,State of Palestine,http://www.worldometers.info/world-population/state-of-palestine-population/,"5,052,776",2.68 %,"132,052",839,"6,020","-8,750",4.3,19,72 %,0.07 %
http://www.worldometers.info/world-population/population-by-country/,Costa Rica,http://www.worldometers.info/world-population/costa-rica-population/,"4,953,199",0.97 %,"47,430",97,"51,060","3,932",1.9,31,81 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Liberia,http://www.worldometers.info/world-population/liberia-population/,"4,853,516",2.57 %,"121,610",50,"96,320","-4,000",4.8,19,49 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Oman,http://www.worldometers.info/world-population/oman-population/,"4,829,946",4.18 %,"193,684",16,"309,500","163,500",2.9,29,72 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Ireland,http://www.worldometers.info/world-population/ireland-population/,"4,803,748",0.88 %,"42,091",70,"68,890","-27,999",2.0,37,64 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,New Zealand,http://www.worldometers.info/world-population/new-zealand-population/,"4,749,598",0.93 %,"43,780",18,"263,310","18,179",2.0,37,85 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Central African Republic,http://www.worldometers.info/world-population/central-african-republic-population/,"4,737,423",1.68 %,"78,343",8,"622,980","-79,226",5.1,18,43 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Mauritania,http://www.worldometers.info/world-population/mauritania-population/,"4,540,068",2.71 %,"119,884",4,"1,030,700","8,000",4.9,20,57 %,0.06 %
http://www.worldometers.info/world-population/population-by-country/,Kuwait,http://www.worldometers.info/world-population/kuwait-population/,"4,197,128",1.46 %,"60,600",236,"17,820","134,000",2.1,33,88 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Croatia,http://www.worldometers.info/world-population/croatia-population/,"4,164,783",-0.59 %,"-24,570",74,"55,960","-6,554",1.5,43,60 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Panama,http://www.worldometers.info/world-population/panama-population/,"4,162,618",1.56 %,"64,031",56,"74,340","5,621",2.6,28,66 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Moldova,http://www.worldometers.info/world-population/moldova-population/,"4,041,065",-0.25 %,"-10,147",123,"32,850","-1,906",1.3,36,38 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Georgia,http://www.worldometers.info/world-population/georgia-population/,"3,907,131",-0.13 %,"-4,930",56,"69,490","-61,054",2.0,38,59 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Puerto Rico,http://www.worldometers.info/world-population/puerto-rico-population/,"3,659,007",-0.11 %,"-4,124",413,"8,870","-20,706",1.5,36,94 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Bosnia & Herzegovina,http://www.worldometers.info/world-population/bosnia-and-herzegovina-population/,"3,503,554",-0.10 %,"-3,463",69,"51,000","-32,274",1.3,41,44 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Uruguay,http://www.worldometers.info/world-population/uruguay-population/,"3,469,551",0.37 %,"12,801",20,"175,020","-6,000",2.0,35,95 %,0.05 %
http://www.worldometers.info/world-population/population-by-country/,Mongolia,http://www.worldometers.info/world-population/mongolia-population/,"3,121,772",1.50 %,"46,125",2,"1,553,560","-3,000",2.8,27,71 %,0.04 %
http://www.worldometers.info/world-population/population-by-country/,Albania,http://www.worldometers.info/world-population/albania-population/,"2,934,363",0.14 %,"4,176",107,"27,400","-18,685",1.7,36,65 %,0.04 %
http://www.worldometers.info/world-population/population-by-country/,Armenia,http://www.worldometers.info/world-population/armenia-population/,"2,934,152",0.13 %,"3,702",103,"28,470","-6,107",1.7,34,64 %,0.04 %
http://www.worldometers.info/world-population/population-by-country/,Jamaica,http://www.worldometers.info/world-population/jamaica-population/,"2,898,677",0.29 %,"8,378",268,"10,830","-18,619",2.1,29,54 %,0.04 %
http://www.worldometers.info/world-population/population-by-country/,Lithuania,http://www.worldometers.info/world-population/lithuania-population/,"2,876,475",-0.48 %,"-13,822",46,"62,674","-29,243",1.6,43,69 %,0.04 %
http://www.worldometers.info/world-population/population-by-country/,Qatar,http://www.worldometers.info/world-population/qatar-population/,"2,694,849",2.11 %,"55,638",232,"11,610","120,400",2.0,31,91 %,0.04 %
