Table_1
url,State,Portrait,Portrait_alt,Governor,Party,Prior_public_experience,Inaugration,End_of_term
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Illinois,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Bruce_Rauner_2016_cropped_%28cropped%29.jpg/100px-Bruce_Rauner_2016_cropped_%28cropped%29.jpg,Bruce Rauner 2016 cropped (cropped).jpg,Bruce Rauner,Republican,No prior public experience,"January 12, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Indiana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Eric_Holcomb_Grissom.jpg/100px-Eric_Holcomb_Grissom.jpg,Eric Holcomb Grissom.jpg,Eric Holcomb,Republican,"Lieutenant Governor, Chair of the Indiana Republican Party","January 9, 2017",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Iowa,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Kim_Reynolds_by_Gage_Skidmore_%28cropped%29.jpg/100px-Kim_Reynolds_by_Gage_Skidmore_%28cropped%29.jpg,Kim Reynolds by Gage Skidmore (cropped).jpg,Kim Reynolds,Republican,"Lieutenant Governor, Iowa Senate","May 24, 2017",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Kansas,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Jeff_Colyer.jpg/100px-Jeff_Colyer.jpg,Jeff Colyer.jpg,Jeff Colyer,Republican,"Lieutenant Governor, Kansas Senate, Kansas House","January 31, 2018",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Kentucky,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Matt_Bevin_by_Gage_Skidmore_2.jpg/100px-Matt_Bevin_by_Gage_Skidmore_2.jpg,Matt Bevin by Gage Skidmore 2.jpg,Matt Bevin,Republican,No prior public experience,"December 8, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Louisiana,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/John_Bel_Edwards_2015.jpg/100px-John_Bel_Edwards_2015.jpg,John Bel Edwards,John Bel Edwards,Democratic,Minority Leader of the Louisiana House of Representatives,"January 11, 2016",2020
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Maine,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Paul_LePage_by_Gage_Skidmore.jpg/100px-Paul_LePage_by_Gage_Skidmore.jpg,Paul LePage by Gage Skidmore.jpg,Paul LePage,Republican,Mayor of Waterville,"January 5, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Maryland,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Larry-Hogan.JPG/100px-Larry-Hogan.JPG,Larry-Hogan.JPG,Larry Hogan,Republican,Maryland Secretary of Appointments,"January 21, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Massachusetts,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Charlie_Baker_official_portrait_%28cropped%29.jpg/100px-Charlie_Baker_official_portrait_%28cropped%29.jpg,Charlie Baker official portrait (cropped).jpg,Charlie Baker,Republican,"Swampscott Selectman, Massachusetts Secretary of Administration and Finance,
 Massachusetts Secretary of Health and Human Services","January 8, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Rick_Snyder_in_2013.jpg/100px-Rick_Snyder_in_2013.jpg,Rick Snyder in 2013.jpg,Rick Snyder,Republican,No prior public experience,"January 1, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Minnesota,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Mark_Dayton_official_photo.jpg/100px-Mark_Dayton_official_photo.jpg,Mark Dayton official photo.jpg,Mark Dayton,Democratic-Farmer-Labor,"U.S. Senate, Auditor","January 3, 2011",2019 (retiring)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Mississippi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Secretary_Perry_with_Govt_Phil_Bryant_KSS2455_%2832743097363%29_%28cropped%29.jpg/100px-Secretary_Perry_with_Govt_Phil_Bryant_KSS2455_%2832743097363%29_%28cropped%29.jpg,Secretary Perry with Govt Phil Bryant KSS2455 (32743097363) (cropped).jpg,Phil Bryant,Republican,"Lieutenant Governor, Auditor, Mississippi House","January 10, 2012",2020 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Missouri,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Eric_Greitens.jpg/100px-Eric_Greitens.jpg,Eric Greitens.jpg,Eric Greitens,Republican,No prior public experience,"January 9, 2017",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Montana,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Steve_Bullock.jpg/100px-Steve_Bullock.jpg,Steve Bullock.jpg,Steve Bullock,Democratic,Attorney General,"January 7, 2013",2021 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Nebraska,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Pete_Ricketts_by_Gage_Skidmore.jpg/100px-Pete_Ricketts_by_Gage_Skidmore.jpg,Pete Ricketts by Gage Skidmore.jpg,Pete Ricketts,Republican,No prior public experience,"January 8, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Nevada,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Brian_Sandoval_2010.jpg/100px-Brian_Sandoval_2010.jpg,Brian Sandoval 2010.jpg,Brian Sandoval,Republican,"U.S. District Court Judge, Attorney General, Nevada Assembly","January 3, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,New Hampshire,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Christopher_T_Sununu.jpg/100px-Christopher_T_Sununu.jpg,Christopher T Sununu.jpg,Chris Sununu,Republican,Member of the New Hampshire Executive Council,"January 5, 2017",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,New Jersey,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Philip_D._Murphy_%28cropped%29.jpg/100px-Philip_D._Murphy_%28cropped%29.jpg,Philip D. Murphy (cropped).jpg,Phil Murphy,Democratic,United States Ambassador,"January 16, 2018",2022
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,New Mexico,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Governor_NewMexico.jpg/100px-Governor_NewMexico.jpg,Governor NewMexico.jpg,Susana Martinez,Republican,District Attorney of Doña Ana County,"January 1, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,New York,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Andrew_Cuomo_by_Pat_Arnow_cropped.jpeg/100px-Andrew_Cuomo_by_Pat_Arnow_cropped.jpeg,Andrew Cuomo by Pat Arnow cropped.jpeg,Andrew Cuomo,Democratic,"Attorney General, U.S. Secretary of HUD","January 1, 2011",2018[1]
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,North Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/NC_Governor_Roy_Cooper.jpg/100px-NC_Governor_Roy_Cooper.jpg,NC Governor Roy Cooper.jpg,Roy Cooper,Democratic,"Attorney General, North Carolina Senate, North Carolina House","January 1, 2017",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,North Dakota,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Gov._Doug_Burgum_presents_an_award_%28cropped%29.jpg/100px-Gov._Doug_Burgum_presents_an_award_%28cropped%29.jpg,Gov. Doug Burgum presents an award (cropped).jpg,Doug Burgum,Republican,No prior public experience,"December 15, 2016",2020
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Ohio,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Governor_John_Kasich.jpg/100px-Governor_John_Kasich.jpg,Governor John Kasich.jpg,John Kasich,Republican,"U.S. House, Ohio Senate","January 10, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Oklahoma,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Governor_Mary_Fallin_May_2015.jpg/100px-Governor_Mary_Fallin_May_2015.jpg,Governor Mary Fallin May 2015.jpg,Mary Fallin,Republican,"U.S. House, Lieutenant Governor, Oklahoma House","January 10, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Oregon,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Kate_Brown_in_2017.jpg/100px-Kate_Brown_in_2017.jpg,Kate Brown in 2017.jpg,Kate Brown,Democratic,"Secretary of State, Oregon Senate, Oregon House","February 18, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Pennsylvania,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Governor_Tom_Wolf_official_portrait_2015_%28cropped2%29.jpg/100px-Governor_Tom_Wolf_official_portrait_2015_%28cropped2%29.jpg,Governor Tom Wolf official portrait 2015 (cropped2).jpg,Tom Wolf,Democratic,Pennsylvania Secretary of Revenue,"January 20, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Rhode Island,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/RI_Governor_Gina_Raimondo_Bristol_parade_%28cropped%29.jpg/100px-RI_Governor_Gina_Raimondo_Bristol_parade_%28cropped%29.jpg,RI Governor Gina Raimondo Bristol parade (cropped).jpg,Gina Raimondo,Democratic,General Treasurer,"January 6, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,South Carolina,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/South_Carolina_Governor_Henry_McMaster.jpg/100px-South_Carolina_Governor_Henry_McMaster.jpg,South Carolina Governor Henry McMaster.jpg,Henry McMaster,Republican,"Lieutenant Governor, Attorney General, Chair of the South Carolina Republican Party, U.S. Attorney","January 24, 2017",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,South Dakota,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Dennis_Daugaard_Berlin_2017-03-22.jpg/100px-Dennis_Daugaard_Berlin_2017-03-22.jpg,Dennis Daugaard Berlin 2017-03-22.jpg,Dennis Daugaard,Republican,"Lieutenant Governor, South Dakota Senate","January 8, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Tennessee,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Governor_Bill_Haslam_crop.jpg/100px-Governor_Bill_Haslam_crop.jpg,Governor Bill Haslam crop.jpg,Bill Haslam,Republican,Mayor of Knoxville,"January 15, 2011",2019 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Greg_Abbott_2015.jpg/100px-Greg_Abbott_2015.jpg,Greg Abbott 2015.jpg,Greg Abbott,Republican,"Attorney General, Associate Justice of the Texas Supreme Court","January 20, 2015",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Utah,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/2013-05-23_Gary_R_Herbert.JPG/100px-2013-05-23_Gary_R_Herbert.JPG,2013-05-23 Gary R Herbert.JPG,Gary Herbert,Republican,"Lieutenant Governor, Utah County Commissioner","August 11, 2009",2021 (retiring)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Vermont,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Phil_Scott_2017.jpg/100px-Phil_Scott_2017.jpg,Phil Scott 2017.jpg,Phil Scott,Republican,"Lieutenant Governor, Vermont Senate","January 5, 2017",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Virginia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Governor_Ralph_Northam_Gives_Inaugural_Address_%2839348612584%29_%28cropped%29.jpg/100px-Governor_Ralph_Northam_Gives_Inaugural_Address_%2839348612584%29_%28cropped%29.jpg,Governor Ralph Northam Gives Inaugural Address (39348612584) (cropped).jpg,Ralph Northam,Democratic,"Lieutenant Governor, Virginia Senate","January 13, 2018",2022 (term limits)
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Jay_Inslee_official_portrait_%28cropped%29.jpg/100px-Jay_Inslee_official_portrait_%28cropped%29.jpg,Jay Inslee official portrait (cropped).jpg,Jay Inslee,Democratic,"U.S. House, Washington House","January 16, 2013",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,West Virginia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Governor_Jim_Justice_2017.jpg/100px-Governor_Jim_Justice_2017.jpg,Governor Jim Justice 2017.jpg,Jim Justice,Republican,No prior public experience,"January 16, 2017",2021
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Wisconsin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Governor_Scott_Walker.jpg/100px-Governor_Scott_Walker.jpg,Governor Scott Walker.jpg,Scott Walker,Republican,"Executive of Milwaukee County, Wisconsin Assembly","January 3, 2011",2019
https://en.wikipedia.org/wiki/List_of_current_United_States_governors,Wyoming,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Matt_Mead.jpg/100px-Matt_Mead.jpg,Matt Mead.jpg,Matt Mead,Republican,United States Attorney,"January 3, 2011",2019 (term limits)
