Table_1
url,Team,Team_link,Coach,Season_Hired,Current_W,Current_L,Current_T,Current_W%,Career_W,Career_L,Career_T,Career_W%,Accomplishments
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,New Orleans Saints,https://en.wikipedia.org/wiki/New_Orleans_Saints,Sean Payton,2006,105,71,0,.597,105,71,0,.597,"1 Super Bowl Championship
 1 NFC Championship
 4 NFC South Championships
 6 Playoff Berths
 1 AP Coach of the Year Award"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,New York Giants,https://en.wikipedia.org/wiki/New_York_Giants,Pat Shurmur,2018,0,0,0,–,10,23,0,.303,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,New York Jets,https://en.wikipedia.org/wiki/New_York_Jets,Todd Bowles,2015,20,28,0,.417,22,29,0,.431,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Oakland Raiders,https://en.wikipedia.org/wiki/Oakland_Raiders,Jon Gruden,2018,0,0,0,–,95,81,0,.540,"1 Super Bowl Championship
 2 AFC West Championships
 2 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Philadelphia Eagles,https://en.wikipedia.org/wiki/Philadelphia_Eagles,Doug Pederson,2016,20,12,0,.625,20,12,0,.625,"1 Super Bowl Championship
 1 NFC Championship
 1 NFC East Championship
 1 Playoff Berth"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Pittsburgh Steelers,https://en.wikipedia.org/wiki/Pittsburgh_Steelers,Mike Tomlin,2007,116,60,0,.659,116,60,0,.659,"1 Super Bowl Championship
 2 AFC Championships
 6 AFC North Championships
 8 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,San Francisco 49ers,https://en.wikipedia.org/wiki/San_Francisco_49ers,Kyle Shanahan,2017,6,10,0,.375,6,10,0,.375,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Seattle Seahawks,https://en.wikipedia.org/wiki/Seattle_Seahawks,Pete Carroll,2010,79,48,1,.621,112,79,1,.586,"1 Super Bowl Championship
 2 NFC Championships
 4 NFC West Championships
 6 Playoff Berths"
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Tampa Bay Buccaneers,https://en.wikipedia.org/wiki/Tampa_Bay_Buccaneers,Dirk Koetter,2016,14,18,0,.438,14,18,0,.438,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Tennessee Titans,https://en.wikipedia.org/wiki/Tennessee_Titans,Mike Vrabel,2018,0,0,0,–,0,0,0,–,
https://en.wikipedia.org/wiki/List_of_current_National_Football_League_head_coaches,Washington Redskins,https://en.wikipedia.org/wiki/Washington_Redskins,Jay Gruden,2014,28,35,1,.445,28,35,1,.445,"1 NFC East Championship
 1 Playoff Berth"
