Table_1
url,Event,Date
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examinations suspended,November 18
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Scheduled Final examinations end,November 21
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examination period ends,November 22
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Grades and medians available on the web,December 5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term on-line check-in,January 2-5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term classes begin,January 3
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,First week of schedule adjustment. Permission to add is not necessary unless normally required,January 3-9
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to complete check-in without a $50 late registration fee - check-in must be completed by 11:59 p.m.,January 5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline for winter term prospective graduates in residence to elect or change a major or minor,January 10
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Second week of schedule adjustment. All courses require Instructor permission to add courses,January 10-16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for delayed check-in (with $50 late fee). Any student not checked-in by the end of this day, but still listed with the enrollment pattern letter R (Residence) for the winter term is liable for administrative withdrawal",January 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Martin Luther King Jr. Day. Courses regularly held in the 8-, 9-, 10-, 11-, 12-, and 2-sequences moved to their x-periods. Courses held in the 3A-period moved to the 3B-period on Tuesday, January 16. Laboratory sections meet as scheduled (unless otherwise notified by the instructor)",January 15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for each undergraduate to establish official and final two-, three-, or four-course load. Any registered student not officially enrolled in at least two courses becomes liable for administrative withdrawal.",January 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for electing use of the Non-Recording Option (NRO),January 17
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Enrollment Census,January 30
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Course Timetable available for the spring term,February 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term course election period,February 7-15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term housing applications due,February 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Date for submission of degree applications by prospective winter and spring graduates,February 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for students to change their enrollment pattern for spring term,February 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to be eligible for on-time college housing assignment,February 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for dropping a fourth course without a grade notation of ""W."" (Acknowledgment of instructor required. If dropping a fourth course after this date, one of four eligibilities for a fourth course without extra tuition is exhausted by such action.)",February 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day of spring term course election period,February 15
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Interim housing applications due for the break between winter and spring terms,February 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to withdraw from a course; any later request to withdraw from a course requires petition to a special committee.,February 20
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term course change period,February 23-March 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to alter grade limit filed under the Non-Recording Option (NRO),February 26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Last day in term for holding a major test or examination,February 26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Winter term classes end,March 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day, prior to the start of spring term classes, for making changes in spring term course elections",March 6
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Pre-Examination Break,March 7-8
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examinations begin,March 9
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Scheduled Final examinations end,March 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examination period ends,March 13
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Grades and medians available on the web,March 22
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term on-line check-in,March 25-28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term classes begin,March 26
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,First week of schedule adjustment. Permission to add is not necessary unless normally required,March 26-April 1
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to complete check-in without a $50 late registration fee - check-in must be completed by 11:59 p.m.,March 28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline for spring term prospective graduates in residence to elect or change a major or minor,April 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline for return of degree applications by prospective June graduates who were not in residence during the winter term,April 2
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Second week of schedule adjustment. All courses require Instructor permission to add courses,April 2-8
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for delayed check-in (with $50 late fee). Any student not checked-in by the end of this day, but still listed with the enrollment pattern letter R (Residence) for the spring term is liable for administrative withdrawal",April 4
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for sophomores to declare majors online and, if appropriate, revise enrollment patterns",April 4
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for each undergraduate to establish official and final two-, three-, or four-course load. Any registered student not officially enrolled in at least two courses becomes liable for administrative withdrawal.",April 8
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for electing use of the Non-Recording Option (NRO),April 9
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for first-year students to submit enrollment patterns,April 12
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Deadline to file completed transfer term applications for summer and fall terms,April 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Course Timetable available for summer term,April 20
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Enrollment Census,April 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day for students to change their enrollment pattern for summer and/or fall terms,April 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to be eligible for on-time college housing assignment,April 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Room draw for fall term housing,April 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term course election period,April 25-May 3
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day of summer term course election period,May 3
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Course Timetable available for fall term,May 4
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day for dropping a fourth course without a grade notation of ""W."" (Acknowledgment of instructor required. If dropping a fourth course after this date, one of four eligibilities for a fourth course without extra tuition is exhausted by such action. )",May 7
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term housing applications due,May 7
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall term course election period,May 9-17
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Interim housing applications due for the break between spring and summer terms,May 11
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Summer term course change period,May 11-30
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to withdraw from a course; any later request to withdraw from a course requires petition to a special committee.,May 16
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day of fall term course election period,May 17
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final day to alter grade limit filed under the Non-Recording Option (NRO),May 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Last day in term for holding a major test or examination,May 23
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Fall term course change period,May 25-30
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Memorial Day Holiday (no classes held),May 28
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Spring term classes end,May 30
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,"Final day, prior to the start of summer term classes, for making changes in summer and fall term course elections",May 30
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Pre-Examination Break,May 31
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examination period begin,June 1
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Scheduled Final examinations end,June 4
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Final examination period ends,June 5
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Class Day,June 9
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Commencement,June 10
http://www.dartmouth.edu/~reg/calendar/term/17_18_term_calendars.html#spring18,Grades and medians available on the web,June 15
