Table_1
url,Years,Dates,Lasting_Days,Animal_Signs
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1943,"Feb. 4, 1943 (Friday)",02-04-1943 ～ 01-24-1944,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1944,"Jan. 25, 1944 (Tuesday)",01-25-1944 ～ 02-12-1945,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1945,"Feb. 13, 1945 (Tuesday)",02-13-1945 ～ 01-31-1946,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1946,"Feb. 1, 1946 (Saturday)",02-01-1946 ～ 01-21-1947,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1947,"Jan. 22, 1947 (Wednesday)",01-22-1947 ～ 02-09-1948,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1948,"Feb. 10, 1948 (Tuesday)",02-10-1948 ～ 01-28-1949,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1949,"Jan. 29, 1949 (Saturday)",01-29-1949 ～ 02-16-1950,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1950,"Feb. 17, 1950 (Friday)",02-17-1950 ～ 02-05-1951,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1951,"Feb. 6, 1951 (Tuesday)",02-06-1951 ～ 01-26-1952,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1952,"Jan. 27, 1952 (Sunday)",01-27-1952 ～ 02-13-1953,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1953,"Feb. 14, 1953 (Saturday)",02-14-1953 ～ 02-02-1954,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1954,"Feb. 3, 1954 (Wednesday)",02-03-1954 ～ 01-23-1955,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1955,"Jan. 24, 1955 (Monday)",01-24-1955 ～ 02-11-1956,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1956,"Feb. 12, 1956 (Sunday)",02-12-1956 ～ 01-30-1957,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1957,"Jan. 31, 1957 (Thursday)",01-31-1957 ～ 02-17-1958,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1958,"Feb. 18, 1958 (Tuesday)",02-18-1958 ～ 02-07-1959,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1959,"Feb. 8, 1959 (Sunday)",02-08-1959 ～ 01-27-1960,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1960,"Jan. 28, 1960 (Thursday)",01-28-1960 ～ 02-14-1961,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1961,"Feb. 15, 1961 (Wednesday)",02-15-1961 ～ 02-04-1962,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1962,"Feb. 5, 1962 (Monday)",02-05-1962 ～ 01-24-1963,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1963,"Jan. 25, 1963 (Friday)",01-25-1963 ～ 02-12-1964,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1964,"Feb. 13, 1964 (Thursday)",02-13-1964 ～ 02-01-1965,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1965,"Feb. 2, 1965 (Tuesday)",02-02-1965 ～ 01-20-1966,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1966,"Jan. 21, 1966 (Friday)",01-21-1966 ～ 02-08-1967,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1967,"Feb. 9, 1967 (Thursday)",02-09-1967 ～ 01-29-1968,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1968,"Jan. 30, 1968 (Tuesday)",01-30-1968 ～ 02-16-1969,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1969,"Feb. 17, 1969 (Monday)",02-17-1969 ～ 02-05-1970,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1970,"Feb. 6, 1970 (Friday)",02-06-1970 ～ 01-26-1971,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1971,"Jan. 27, 1971 (Wednesday)",01-27-1971 ～ 02-14-1972,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1972,"Feb. 15, 1972 (Tuesday)",02-15-1972 ～ 02-02-1973,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1973,"Feb. 3, 1973 (Saturday)",02-03-1973 ～ 01-22-1974,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1974,"Jan. 23, 1974 (Wednesday)",01-23-1974 ～ 02-10-1975,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1975,"Feb. 11, 1975 (Tuesday)",02-11-1975 ～ 01-30-1976,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1976,"Jan. 31, 1976 (Saturday)",01-31-1976 ～ 02-17-1977,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1977,"Feb. 18, 1977 (Friday)",02-18-1977 ～ 02-06-1978,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1978,"Feb. 7, 1978 (Tuesday)",02-07-1978 ～ 01-27-1979,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1979,"Jan. 28, 1979 (Sunday)",01-28-1979 ～ 02-15-1980,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1980,"Feb. 16, 1980 (Saturday)",02-16-1980 ～ 02-04-1981,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1981,"Feb. 5, 1981 (Thursday)",02-05-1981 ～ 01-24-1982,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1982,"Jan. 25, 1982 (Monday)",01-25-1982 ～ 02-12-1983,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1983,"Feb. 13, 1983 (Sunday)",02-13-1983 ～ 02-01-1984,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1984,"Feb. 2, 1984 (Wednesday)",02-02-1984 ～ 02-19-1985,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1985,"Feb. 20, 1985 (Sunday)",02-20-1985 ～ 02-08-1986,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1986,"Feb. 9, 1986 (Sunday)",02-09-1986 ～ 01-28-1987,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1987,"Jan. 29, 1987 (Thursday)",01-29-1987 ～ 02-16-1988,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1988,"Feb. 17, 1988 (Wednesday)",02-17-1988 ～ 02-05-1989,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1989,"Feb. 6, 1989 (Monday)",02-06-1989 ～ 01-26-1990,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1990,"Jan. 27, 1990 (Friday)",01-27-1990 ～ 02-14-1991,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1991,"Feb. 15, 1991 (Friday)",02-15-1991 ～ 02-03-1992,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1992,"Feb. 4, 1992 (Tuesday)",02-04-1992 ～ 01-22-1993,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1993,"Jan. 23, 1993 (Saturday)",01-23-1993 ～ 02-09-1994,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1994,"Feb. 10, 1994 (Thursday)",02-10-1994 ～ 01-30-1995,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1995,"Jan. 31, 1995 (Tuesday)",01-31-1995 ～ 02-18-1996,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1996,"Feb. 19, 1996 (Monday)",02-19-1996 ～ 02-06-1997,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1997,"Feb. 7, 1997 (Friday)",02-07-1997 ～ 01-27-1998,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1998,"Jan. 28, 1998 (Wednesday)",01-28-1998 ～ 02-15-1999,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,1999,"Feb. 16, 1999 (Tuesday)",02-16-1999 ～ 02-04-2000,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2000,"Feb. 5, 2000(Friday)",02-05-2000 ～ 01-23-2001,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2001,"Jan. 24, 2001 (Wednesday)",01-24-2001 ～ 02-11-2002,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2002,"Feb. 12, 2002 (Tuesday)",02-12-2002 ～ 01-31-2003,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2003,"Feb. 1, 2003 (Friday)",02-01-2003 ～ 01-21-2004,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2004,"Jan. 22, 2004 (Thursday)",01-22-2004 ～ 02-08-2005,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2005,"Feb. 9, 2005 (Wednesday)",02-09-2005 ～ 01-28-2006,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2006,"Jan. 29, 2006 (Sunday)",01-29-2006 ～ 02-17-2007,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2007,"Feb. 18, 2007 (Sunday)",02-18-2007 ～ 02-06-2008,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2008,"Feb. 7, 2008 (Thursday)",02-07-2008 ～ 01-25-2009,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2009,"Jan. 26, 2009 (Monday)",01-26-2009 ～ 02-13-2010,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2010,"Feb. 14, 2010(Sunday)",02-14-2010 ～ 02-02-2011,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2011,"Feb. 3, 2011 (Thursday)",02-03-2011 ～ 01-22-2012,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2012,"Jan. 23, 2012 (Monday)",01-23-2012 ～ 02-09-2013,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2013,"Feb. 10, 2013 (Sunday)",02-10-2013 ～ 01-30-2014,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2014,"Jan. 31, 2014 (Friday)",01-31-2014 ～ 02-18-2015,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2015,"Feb. 19, 2015 (Thursday)",02-19-2015 ～ 02-07-2016,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2016,"Feb. 8, 2016 (Monday)",02-08-2016 ～ 01-27-2017,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2017,"Jan. 28, 2017 (Friday)",01-28-2017 ～ 02-15-2018,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2018,"Feb. 16, 2018 (Friday)",02-16-2018 ～ 02-04-2019,Dog
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2019,"Feb. 5, 2019 (Tuesday)",02-05-2019 ～ 01-24-2020,Pig
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2020,"Jan. 25, 2020 (Saturday)",01-25-2020 ～ 02-11-2021,Rat
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2021,"Feb. 12, 2021 (Friday)",02-12-2021 ～ 01-31-2022,Ox
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2022,"Feb. 1, 2022 (Tuesday)",02-01-2022 ～ 01-21-2023,Tiger
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2023,"Jan. 22, 2023 (Sunday)",01-22-2023 ～ 02-09-2024,Rabbit
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2024,"Feb. 10, 2024 (Saturday)",02-10-2024 ～ 01-28-2025,Dragon
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2025,"Jan. 29, 2025 (Wednesday)",01-29-2025 ～ 02-16-2026,Snake
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2026,"Feb. 17, 2026 (Tuesday)",02-17-2026 ～ 02-05-2027,Horse
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2027,"Feb. 6, 2027 (Saturday)",02-06-2027 ～ 01-25-2028,Sheep
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2028,"Jan. 26, 2028 (Wednesday)",01-26-2028 ～ 02-12-2029,Monkey
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2029,"Feb. 13, 2029 (Tuesday)",02-13-2029 ～ 02-02-2030,Rooster
https://www.travelchinaguide.com/essential/holidays/new-year/dates.htm,2030,"Feb. 3, 2030 (Sunday)",02-03-2030 ～ 01-22-2031,Dog
