Super_Bowl
url,Season,Team_one,Scores,Team_two
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXI,Green Bay Packers,35-21,New England Patriots
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXII,Denver Broncos,31-24,Green Bay Packers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXIII,Denver Broncos,34-19,Atlanta Falcons
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXIV,St. Louis Rams,23-16,Tennessee Titans
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXXV,Baltimore Ravens,34-7,New York Giants
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXXVI,New England Patriots,20-17,St. Louis Rams
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXXVII,Tampa Bay Buccaneers,48-21,Oakland Raiders
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXXVIII,New England Patriots,32-29,Carolina Panthers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XXXIX,New England Patriots,24-21,Philadelphia Eagles
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XL,Pittsburgh Steelers,21-10,Seattle Seahawks
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLI,Indianapolis Colts,29-17,Chicago Bears
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLII,New York Giants,17-14,New England Patriots
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLIII,Pittsburgh Steelers,27-23,Arizona Cardinals
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLIV,New Orleans Saints,31-17,Indianapolis Colts
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLV,Green Bay Packers,31-25,Pittsburgh Steelers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLVI,New York Giants,21-17,New England Patriots
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLVII,Baltimore Ravens,34-31,San Francisco 49ers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLVIII,Seattle Seahawks,43-8,Denver Broncos
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,XLIX,New England Patriots,28-24,Seattle Seahawks
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,50,Denver Broncos,24-10,Carolina Panthers
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,51,New England Patriots,34-28 (OT),Atlanta Falcons
https://www.seccountry.com/sec/super-bowl-2018-date-time-location-tv-location-new-england-patriots-philadelphia-eagles-1-22,52,New England Patriots,,Philadelphia Eagles
