BandLeadSingers
url,Lead_Singer,Lead_Singer_link,Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Bruce Dickinson,https://www.ranker.com/review/bruce-dickinson/635415?ref=node_name&pos=29&a=0&ltype=n&l=699213&g=1,Iron Maiden
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,David Gilmour,https://www.ranker.com/review/david-gilmour/823195?ref=node_name&pos=30&a=0&ltype=n&l=699213&g=1,Pink Floyd
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Roger Waters,https://www.ranker.com/review/roger-waters/1930837?ref=node_name&pos=31&a=0&ltype=n&l=699213&g=1,Pink Floyd
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,John Fogerty,https://www.ranker.com/review/john-fogerty/1306695?ref=node_name&pos=32&a=0&ltype=n&l=699213&g=1,Creedence Clearwater Revival
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Sting,https://www.ranker.com/review/sting/2099959?ref=node_name&pos=33&a=0&ltype=n&l=699213&g=1,The Police
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Debbie Harry,https://www.ranker.com/review/debbie-harry/832444?ref=node_name&pos=34&a=0&ltype=n&l=699213&g=1,Blondie
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Anthony Kiedis,https://www.ranker.com/review/anthony-kiedis/472807?ref=node_name&pos=35&a=0&ltype=n&l=699213&g=1,Red Hot Chili Peppers
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Iggy Pop,https://www.ranker.com/review/iggy-pop/1209124?ref=node_name&pos=36&a=0&ltype=n&l=699213&g=1,The Stooges
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ronnie Van Zant,https://www.ranker.com/review/ronnie-van-zant/1935892?ref=node_name&pos=37&a=0&ltype=n&l=699213&g=1,Lynyrd Skynyrd
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Janis Joplin,https://www.ranker.com/review/janis-joplin/1267603?ref=node_name&pos=38&a=0&ltype=n&l=699213&g=1,Big Brother and the Holding Company
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Joey Ramone,https://www.ranker.com/review/joey-ramone/1295933?ref=node_name&pos=39&a=0&ltype=n&l=699213&g=1,The Ramones
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Peter Gabriel,https://www.ranker.com/review/peter-gabriel/1785728?ref=node_name&pos=40&a=0&ltype=n&l=699213&g=1,Genesis
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Prince,https://www.ranker.com/review/prince/1837662?ref=node_name&pos=41&a=0&ltype=n&l=699213&g=1,The Revolution
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Neil Young,https://www.ranker.com/review/neil-young/1660007?ref=node_name&pos=42&a=0&ltype=n&l=699213&g=1,Buffalo Springfield
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Rob Halford,https://www.ranker.com/review/rob-halford/1925171?ref=node_name&pos=43&a=0&ltype=n&l=699213&g=1,Judas Priest
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Phil Collins,https://www.ranker.com/review/phil-collins/1795529?ref=node_name&pos=44&a=0&ltype=n&l=699213&g=1,Genesis
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Billy Idol,http://spoti.fi/2am1jFo,Generation X
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Geddy Lee,https://www.ranker.com/review/geddy-lee/1049796?ref=node_name&pos=46&a=0&ltype=n&l=699213&g=1,Rush
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Rod Stewart,https://www.ranker.com/review/rod-stewart/1929407?ref=node_name&pos=47&a=0&ltype=n&l=699213&g=1,The Jeff Beck Group / Faces
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Layne Staley,https://www.ranker.com/review/layne-staley/1420900?ref=node_name&pos=48&a=0&ltype=n&l=699213&g=1,Alice in Chains
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Sammy Hagar,https://www.ranker.com/review/sammy-hagar/1967075?ref=node_name&pos=49&a=0&ltype=n&l=699213&g=1,Van Halen
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Simon Le Bon,https://www.ranker.com/review/simon-le-bon/2034782?ref=node_name&pos=50&a=0&ltype=n&l=699213&g=1,Duran Duran
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Michael Hutchence,https://www.ranker.com/review/michael-hutchence/1574388?ref=node_name&pos=51&a=0&ltype=n&l=699213&g=1,INXS
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Carlos Santana,https://www.ranker.com/review/carlos-santana/673447?ref=node_name&pos=52&a=0&ltype=n&l=699213&g=1,Santana
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Don Henley,https://www.ranker.com/review/don-henley/879412?ref=node_name&pos=53&a=0&ltype=n&l=699213&g=1,The Eagles
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ann Wilson,https://www.ranker.com/review/ann-wilson/470256?ref=node_name&pos=54&a=0&ltype=n&l=699213&g=1,Heart
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Paul Stanley,https://www.ranker.com/review/paul-stanley/1769929?ref=node_name&pos=55&a=0&ltype=n&l=699213&g=1,KISS
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Paul Rodgers,https://www.ranker.com/review/paul-rodgers/1769581?ref=node_name&pos=56&a=0&ltype=n&l=699213&g=1,Bad Company
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Jack White,https://www.ranker.com/review/john-anthony-gillis/1254160?ref=node_name&pos=57&a=0&ltype=n&l=699213&g=1,"The White Stripes, The Raconteurs"
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Dave Gahan,https://www.ranker.com/review/dave-gahan/823073?ref=node_name&pos=58&a=0&ltype=n&l=699213&g=1,Depeche Mode
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Brian Wilson,https://www.ranker.com/review/brian-wilson/627089?ref=node_name&pos=59&a=0&ltype=n&l=699213&g=1,The Beach Boys
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,David Byrne,https://www.ranker.com/review/david-byrne/821886?ref=node_name&pos=60&a=0&ltype=n&l=699213&g=1,The Talking Heads
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Steve Miller,https://www.ranker.com/review/steve-miller/2097769?ref=node_name&pos=61&a=0&ltype=n&l=699213&g=1,Steve Miller Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Billy Gibbons,https://www.ranker.com/review/billy-gibbons/583619?ref=node_name&pos=62&a=0&ltype=n&l=699213&g=1,ZZ Top
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Frank Zappa,http://spoti.fi/2aGtGxh,The Mothers of Invention
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Billie Joe Armstrong,https://www.ranker.com/review/billie-joe-armstrong/582976?ref=node_name&pos=64&a=0&ltype=n&l=699213&g=1,Green Day
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Dave Mustaine,https://www.ranker.com/review/dave-mustaine/820231?ref=node_name&pos=65&a=0&ltype=n&l=699213&g=1,Megadeth
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,David Coverdale,https://www.ranker.com/review/david-coverdale/822265?ref=node_name&pos=66&a=0&ltype=n&l=699213&g=1,"Deep Purple, Whitesnake"
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Billy Joel,https://www.ranker.com/review/billy-joel/583753?ref=node_name&pos=67&a=0&ltype=n&l=699213&g=1,Billy Joel Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ian Gillan,https://www.ranker.com/review/ian-gillan/1204270?ref=node_name&pos=68&a=0&ltype=n&l=699213&g=1,Deep Purple
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Scott Weiland,https://www.ranker.com/review/scott-weiland/1991539?ref=node_name&pos=69&a=0&ltype=n&l=699213&g=1,Stone Temple Pilots
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Mark Knopfler,https://www.ranker.com/review/mark-knopfler/1527045?ref=node_name&pos=70&a=0&ltype=n&l=699213&g=1,Dire Straits
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Trent Reznor,https://www.ranker.com/review/trent-reznor/2275973?ref=node_name&pos=71&a=0&ltype=n&l=699213&g=1,Nine Inch Nails
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Lindsey Buckingham,https://www.ranker.com/review/lindsey-buckingham/1450974?ref=node_name&pos=72&a=0&ltype=n&l=699213&g=1,Fleetwood Mac
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Vince Neil,https://www.ranker.com/review/vince-neil/2340840?ref=node_name&pos=73&a=0&ltype=n&l=699213&g=1,Mötley Crüe
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Rob Zombie,http://spoti.fi/2aGod9r,White Zombie
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Gregg Allman,https://www.ranker.com/review/gregg-allman/1102202?ref=node_name&pos=75&a=0&ltype=n&l=699213&g=1,The Allman Brothers Band
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Joe Strummer,https://www.ranker.com/review/joe-strummer/1297925?ref=node_name&pos=76&a=0&ltype=n&l=699213&g=1,The Clash
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Gene Simmons,https://www.ranker.com/review/gene-simmons/1052804?ref=node_name&pos=77&a=0&ltype=n&l=699213&g=1,KISS
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ray Davies,https://www.ranker.com/review/ray-davies/1878689?ref=node_name&pos=78&a=0&ltype=n&l=699213&g=1,The Kinks
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Lou Reed,https://www.ranker.com/review/lou-reed/1478302?ref=node_name&pos=79&a=0&ltype=n&l=699213&g=1,The Velvet Underground
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ian Anderson,https://www.ranker.com/review/ian-anderson/1203922?ref=node_name&pos=80&a=0&ltype=n&l=699213&g=1,Jethro Tull
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,"Ian Fraser ""Lemmy"""" Kilmister",https://www.ranker.com/review/ian-fraser-kilmister/1431565?ref=node_name&pos=81&a=0&ltype=n&l=699213&g=1,Motörhead
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Michael Stipe,https://www.ranker.com/review/michael-stipe/1576548?ref=node_name&pos=82&a=0&ltype=n&l=699213&g=1,REM
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Sebastian Bach,https://www.ranker.com/review/sebastian-bach/1995626?ref=node_name&pos=83&a=0&ltype=n&l=699213&g=1,Skid Row
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Thom Yorke,https://www.ranker.com/review/thom-yorke/2239675?ref=node_name&pos=84&a=0&ltype=n&l=699213&g=1,Radiohead
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Robert Smith,https://www.ranker.com/review/robert-smith/1922686?ref=node_name&pos=85&a=0&ltype=n&l=699213&g=1,The Cure
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Lou Gramm,https://www.ranker.com/review/lou-gramm/1478186?ref=node_name&pos=86&a=0&ltype=n&l=699213&g=1,Foreigner
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Glenn Frey,https://www.ranker.com/review/glenn-frey/1077051?ref=node_name&pos=87&a=0&ltype=n&l=699213&g=1,The Eagles
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Daryl Hall,https://www.ranker.com/review/daryl-hall/817594?ref=node_name&pos=88&a=0&ltype=n&l=699213&g=1,Hall & Oates
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Billy Corgan,https://www.ranker.com/review/billy-corgan/583468?ref=node_name&pos=89&a=0&ltype=n&l=699213&g=1,Smashing Pumpkins
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Marc Bolan,https://www.ranker.com/review/marc-bolan/1517096?ref=node_name&pos=90&a=0&ltype=n&l=699213&g=1,T. Rex
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Ric Ocasek,https://www.ranker.com/review/ric-ocasek/1909385?ref=node_name&pos=91&a=0&ltype=n&l=699213&g=1,The Cars
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Henry Rollins,https://www.ranker.com/review/henry-rollins/1152164?ref=node_name&pos=92&a=0&ltype=n&l=699213&g=1,"Black Flag, Rollins Band"
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Jeff Lynne,https://www.ranker.com/review/jeff-lynne/1279900?ref=node_name&pos=93&a=0&ltype=n&l=699213&g=1,Electric Light Orchestra
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Amy Lee,https://www.ranker.com/review/amy-lee/453396?ref=node_name&pos=94&a=0&ltype=n&l=699213&g=1,Evanescence
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Robin Zander,https://www.ranker.com/review/robin-zander/1924444?ref=node_name&pos=95&a=0&ltype=n&l=699213&g=1,Cheap Trick
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Joe Elliott,https://www.ranker.com/review/joe-elliott/1296658?ref=node_name&pos=96&a=0&ltype=n&l=699213&g=1,Def Leppard
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Michael Jackson,https://www.ranker.com/review/michael-jackson/1574447?ref=node_name&pos=97&a=0&ltype=n&l=699213&g=1,The Jackson Five
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Phil Lynott,https://www.ranker.com/review/phil-lynott/1795852?ref=node_name&pos=98&a=0&ltype=n&l=699213&g=1,Thin Lizzy
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Marilyn Manson,https://www.ranker.com/review/marilyn-manson/62015482?ref=node_name&pos=99&a=0&ltype=n&l=699213&g=1,Marilyn Manson
https://www.ranker.com/crowdranked-list/top-10-lead-singers-in-rock-of-all-time,Bret Michaels,https://www.ranker.com/review/bret-michaels/625018?ref=node_name&pos=100&a=0&ltype=n&l=699213&g=1,Poison
