+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ur | Nu | Nu | St | En | Im | Im | Im | Na | Na | Li | Ag | Pr | Pa | Pa | Te | Te | Te | Vi | V |
| en |    | Ge |    |    | ns | sh | tu |    | to |    |    | 75 |    |    |    |    |    |    | r |
| ts |    | or |    |    | /t | in | ar |    | n  |    |    | –1 |    |    |    |    |    |    | g |
| _o |    | ge |    |    | hu | gt | t_ |    |    |    |    | 78 |    |    |    |    |    |    | / |
| f_ |    | _W |    |    | mb | on | Wi |    |    |    |    | 3) |    |    |    |    |    |    | w |
| th |    | as |    |    | /b | .j | ll |    |    |    |    |    |    |    |    |    |    |    | i |
| e_ |    | hi |    |    | /b | pg | ia |    |    |    |    |    |    |    |    |    |    |    | k |
| Un |    | ng |    |    | 6/ |    | ms |    |    |    |    |    |    |    |    |    |    |    | i |
| it |    | to |    |    | Gi |    | to |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    | n  |    |    | lb |    | wn |    |    |    |    |    |    |    |    |    |    |    | J |
| _S |    |    |    |    | er |    | _P |    |    |    |    |    |    |    |    |    |    |    | o |
| ta |    |    |    |    | t_ |    | or |    |    |    |    |    |    |    |    |    |    |    | h |
| te |    |    |    |    | St |    | tr |    |    |    |    |    |    |    |    |    |    |    | n |
| s  |    |    |    |    | ua |    | ai |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | rt |    | t_ |    |    |    |    |    |    |    |    |    |    |    | A |
|    |    |    |    |    | _W |    | of |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | il |    | _G |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | li |    | eo |    |    |    |    |    |    |    |    |    |    |    | m |
|    |    |    |    |    | am |    | rg |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | st |    | e_ |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | ow |    | Wa |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | n_ |    | sh |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Po |    | in |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    | gt |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    | on |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    | .j |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _o |    | pg |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | hi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Gi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lb |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | St |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ua |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | li |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | am |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | st |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ow |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Po |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _o |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | hi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 1  | ht | Ap | Ma | ht | Gi | ht | Ge | ht | 17 | (L | Co |    |    | (1 | 2  | (1 | Jo | h |
| tp |    | tp | ri | rc | tp | lb | tp | or | tp | 32 | iv | mm |    |    | 79 |    | 79 | hn | t |
| s: |    | s: | l  | h  | s: | er | s: | ge | s: | –1 | ed | an |    |    | 2) |    | 3) | Ad | t |
| // |    | // | 30 | 4, | // | t  | // | Wa | // | 79 | :  | de |    |    |    |    |    | am | p |
| en |    | en | ,  | 17 | up | St | en | sh | en | 9  | 67 | r- |    |    |    |    |    | s; | s |
| .w |    | .w | 17 | 97 | lo | ua | .w | in | .w |    | ye | in |    |    |    |    |    | [f | : |
| ik |    | ik | 89 |    | ad | rt | ik | gt | ik |    | ar | -C |    |    |    |    |    | ]; | / |
| ip |    | ip |    |    | .w | Wi | ip | on | ip |    | s) | hi |    |    |    |    |    | [g | / |
| ed |    | ed |    |    | ik | ll | ed |    | ed |    |    | ef |    |    |    |    |    | ]  | e |
| ia |    | ia |    |    | im | ia | ia |    | ia |    |    | of |    |    |    |    |    |    | n |
| .o |    | .o |    |    | ed | ms | .o |    | .o |    |    | th |    |    |    |    |    |    | . |
| rg |    | rg |    |    | ia | to | rg |    | rg |    |    | e  |    |    |    |    |    |    | w |
| /w |    | /w |    |    | .o | wn | /w |    | /w |    |    |  C |    |    |    |    |    |    | i |
| ik |    | ik |    |    | rg | Po | ik |    | ik |    |    | on |    |    |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | rt | i/ |    | i/ |    |    | ti |    |    |    |    |    |    | i |
| Li |    | Pr |    |    | ik | ra | Fi |    | Ge |    |    | ne |    |    |    |    |    |    | p |
| st |    | es |    |    | ip | it | le |    | or |    |    | nt |    |    |    |    |    |    | e |
| _o |    | id |    |    | ed | of | :G |    | ge |    |    | al |    |    |    |    |    |    | d |
| f_ |    | en |    |    | ia | Ge | il |    | _W |    |    | Ar |    |    |    |    |    |    | i |
| Pr |    | cy |    |    | /c | or | be |    | as |    |    | my |    |    |    |    |    |    | a |
| es |    | _o |    |    | om | ge | rt |    | hi |    |    |  ( |    |    |    |    |    |    | . |
| id |    | f_ |    |    | mo | Wa | _S |    | ng |    |    | 17 |    |    |    |    |    |    | o |
| en |    | Ge |    |    | ns | sh | tu |    | to |    |    | 75 |    |    |    |    |    |    | r |
| ts |    | or |    |    | /t | in | ar |    | n  |    |    | –1 |    |    |    |    |    |    | g |
| _o |    | ge |    |    | hu | gt | t_ |    |    |    |    | 78 |    |    |    |    |    |    | / |
| f_ |    | _W |    |    | mb | on | Wi |    |    |    |    | 3) |    |    |    |    |    |    | w |
| th |    | as |    |    | /b | .j | ll |    |    |    |    |    |    |    |    |    |    |    | i |
| e_ |    | hi |    |    | /b | pg | ia |    |    |    |    |    |    |    |    |    |    |    | k |
| Un |    | ng |    |    | 6/ |    | ms |    |    |    |    |    |    |    |    |    |    |    | i |
| it |    | to |    |    | Gi |    | to |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    | n  |    |    | lb |    | wn |    |    |    |    |    |    |    |    |    |    |    | J |
| _S |    |    |    |    | er |    | _P |    |    |    |    |    |    |    |    |    |    |    | o |
| ta |    |    |    |    | t_ |    | or |    |    |    |    |    |    |    |    |    |    |    | h |
| te |    |    |    |    | St |    | tr |    |    |    |    |    |    |    |    |    |    |    | n |
| s  |    |    |    |    | ua |    | ai |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | rt |    | t_ |    |    |    |    |    |    |    |    |    |    |    | A |
|    |    |    |    |    | _W |    | of |    |    |    |    |    |    |    |    |    |    |    | d |
|    |    |    |    |    | il |    | _G |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | li |    | eo |    |    |    |    |    |    |    |    |    |    |    | m |
|    |    |    |    |    | am |    | rg |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | st |    | e_ |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | ow |    | Wa |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | n_ |    | sh |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Po |    | in |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    | gt |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    | on |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    | .j |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _o |    | pg |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | hi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g/ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 16 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5p |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | x- |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Gi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | lb |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | er |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | St |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ua |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | li |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | am |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | st |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ow |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Po |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ra |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | it |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _o |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | f_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | or |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ge |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _W |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | as |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | hi |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ng |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | to |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 2  | ht | Ma | Ma | ht | Jo | ht | Jo | ht | 17 | (L | 1s | Fe | ht | (1 | 3  | (1 | Th | h |
| tp |    | tp | rc | rc | tp | hn | tp | hn | tp | 35 | iv | t  | de | tp | 79 |    | 79 | om | t |
| s: |    | s: | h  | h  | s: | Ad | s: | Ad | s: | –1 | ed |  V | ra | s: | 6) |    | 7) | as | t |
| // |    | // | 4, | 4, | // | am | // | am | // | 82 | :  | ic | li | // |    |    |    | Je | p |
| en |    | en | 17 | 18 | up | s, | en | s  | en | 6  | 90 | e  | st | en |    |    |    | ff | s |
| .w |    | .w | 97 | 01 | lo | Gi | .w |    | .w |    | ye | Pr |    | .w |    |    |    | er | : |
| ik |    | ik |    |    | ad | lb | ik |    | ik |    | ar | es |    | ik |    |    |    | so | / |
| ip |    | ip |    |    | .w | er | ip |    | ip |    | s) | id |    | ip |    |    |    | n; | / |
| ed |    | ed |    |    | ik | t  | ed |    | ed |    |    | en |    | ed |    |    |    | [h | e |
| ia |    | ia |    |    | im | St | ia |    | ia |    |    | t  |    | ia |    |    |    | ]  | n |
| .o |    | .o |    |    | ed | ua | .o |    | .o |    |    | of |    | .o |    |    |    |    | . |
| rg |    | rg |    |    | ia | rt | rg |    | rg |    |    | th |    | rg |    |    |    |    | w |
| /w |    | /w |    |    | .o | ,  | /w |    | /w |    |    | e  |    | /w |    |    |    |    | i |
| ik |    | ik |    |    | rg | c1 | ik |    | ik |    |    | Un |    | ik |    |    |    |    | k |
| i/ |    | i/ |    |    | /w | 80 | i/ |    | i/ |    |    | it |    | i/ |    |    |    |    | i |
| Li |    | Pr |    |    | ik | 0  | Fi |    | Jo |    |    | ed |    | Fe |    |    |    |    | p |
| st |    | es |    |    | ip | 18 | le |    | hn |    |    | St |    | de |    |    |    |    | e |
| _o |    | id |    |    | ed | 15 | :J |    | _A |    |    | at |    | ra |    |    |    |    | d |
| f_ |    | en |    |    | ia | .j | oh |    | da |    |    | es |    | li |    |    |    |    | i |
| Pr |    | cy |    |    | /c | pg | n_ |    | ms |    |    |    |    | st |    |    |    |    | a |
| es |    | _o |    |    | om |    | Ad |    |    |    |    |    |    | _P |    |    |    |    | . |
| id |    | f_ |    |    | mo |    | am |    |    |    |    |    |    | ar |    |    |    |    | o |
| en |    | Jo |    |    | ns |    | s, |    |    |    |    |    |    | ty |    |    |    |    | r |
| ts |    | hn |    |    | /t |    | _G |    |    |    |    |    |    |    |    |    |    |    | g |
| _o |    | _A |    |    | hu |    | il |    |    |    |    |    |    |    |    |    |    |    | / |
| f_ |    | da |    |    | mb |    | be |    |    |    |    |    |    |    |    |    |    |    | w |
| th |    | ms |    |    | /7 |    | rt |    |    |    |    |    |    |    |    |    |    |    | i |
| e_ |    |    |    |    | /7 |    | _S |    |    |    |    |    |    |    |    |    |    |    | k |
| Un |    |    |    |    | 0/ |    | tu |    |    |    |    |    |    |    |    |    |    |    | i |
| it |    |    |    |    | Jo |    | ar |    |    |    |    |    |    |    |    |    |    |    | / |
| ed |    |    |    |    | hn |    | t, |    |    |    |    |    |    |    |    |    |    |    | T |
| _S |    |    |    |    | _A |    | _c |    |    |    |    |    |    |    |    |    |    |    | h |
| ta |    |    |    |    | da |    | 18 |    |    |    |    |    |    |    |    |    |    |    | o |
| te |    |    |    |    | ms |    | 00 |    |    |    |    |    |    |    |    |    |    |    | m |
| s  |    |    |    |    | %2 |    | _1 |    |    |    |    |    |    |    |    |    |    |    | a |
|    |    |    |    |    | C_ |    | 81 |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | Gi |    | 5. |    |    |    |    |    |    |    |    |    |    |    | _ |
|    |    |    |    |    | lb |    | jp |    |    |    |    |    |    |    |    |    |    |    | J |
|    |    |    |    |    | er |    | g  |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | t_ |    |    |    |    |    |    |    |    |    |    |    |    |    | f |
|    |    |    |    |    | St |    |    |    |    |    |    |    |    |    |    |    |    |    | f |
|    |    |    |    |    | ua |    |    |    |    |    |    |    |    |    |    |    |    |    | e |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    | r |
|    |    |    |    |    | %2 |    |    |    |    |    |    |    |    |    |    |    |    |    | s |
|    |    |    |    |    | C_ |    |    |    |    |    |    |    |    |    |    |    |    |    | o |
|    |    |    |    |    | c1 |    |    |    |    |    |    |    |    |    |    |    |    |    | n |
|    |    |    |    |    | 80 |    |    |    |    |    |    |    |    |    |    |    |    |    | ; |
|    |    |    |    |    | 0_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 18 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 15 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | .j |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | pg |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | /1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 65 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | px |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | -J |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | oh |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | n_ |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | Ad |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | am |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | s% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _G |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | il |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | be |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | rt |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _S |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | tu |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | ar |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | t% |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 2C |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _c |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 18 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 00 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | _1 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 81 |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | 5. |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | jp |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
|    |    |    |    |    | g  |    |    |    |    |    |    |    |    |    |    |    |    |    |   |
+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+----+---+
| ht | 3  | ht | Ma | Ma | ht | Th | ht | Th | ht | 17 | (L | 2n | De | ht | (1 | 4  | (1 | Aa | h |
| tp |    | tp | rc | rc | tp | om | tp | om | tp | 43 | iv | d  | mo | tp | 80 |    | 80 | ro | t |
| s: |    | s: | h  | h  | s: | as | s: | as | s: | –1 | ed |  V | cr | s: | 0) |    | 1) | n  | t |
| // |    | // | 4, | 4, | // | Je | // | Je | // | 82 | :  | ic | at | // |    |    |    | Bu | p |
| en |    | en | 18 | 18 | up | ff | en | ff | en | 6  | 83 | e  | ic | en |    |    |    | rr | s |
| .w |    | .w | 01 | 09 | lo | er | .w | er | .w |    | ye | Pr | -  | .w |    |    |    |    | : |
| ik |    | ik |    |    | ad | so | ik | so | ik |    | ar | es |  R | ik |    |    |    |    | / |
| ip |    | ip |    |    | .w | n  | ip | n  | ip |    | s) | id | ep | ip |    |    |    |    | / |
| ed |    | ed |    |    | ik | by | ed |    | ed |    |    | en | ub | ed |    |    |    |    | e |
| ia |    | ia |    |    | im | Re | ia |    | ia |    |    | t  | li | ia |    |    |    |    | n |
