+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| url   | Rank | Mall_ | Mall_ | Locat | Locat | Metro | Metro | Retai | Stor | Anch | Year | Owne |
|       |      |       |       |       |       |       |       |       |      | rlin |      |      |
|       |      |       |       |       |       |       |       |       |      | gton |      |      |
|       |      |       |       |       |       |       |       |       |      | Coat |      |      |
|       |      |       |       |       |       |       |       |       |      | Fact |      |      |
|       |      |       |       |       |       |       |       |       |      | ory, |      |      |
|       |      |       |       |       |       |       |       |       |      | At H |      |      |
|       |      |       |       |       |       |       |       |       |      | ome, |      |      |
|       |      |       |       |       |       |       |       |       |      | T.J. |      |      |
|       |      |       |       |       |       |       |       |       |      | Maxx |      |      |
|       |      |       |       |       |       |       |       |       |      | , Se |      |      |
|       |      |       |       |       |       |       |       |       |      | ars  |      |      |
|       |      |       |       |       |       |       |       |       |      | Outl |      |      |
|       |      |       |       |       |       |       |       |       |      | et,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Pole |      |      |
|       |      |       |       |       |       |       |       |       |      | Posi |      |      |
|       |      |       |       |       |       |       |       |       |      | tion |      |      |
|       |      |       |       |       |       |       |       |       |      | Race |      |      |
|       |      |       |       |       |       |       |       |       |      | way, |      |      |
|       |      |       |       |       |       |       |       |       |      | Rega |      |      |
|       |      |       |       |       |       |       |       |       |      | l    |      |      |
|       |      |       |       |       |       |       |       |       |      | IMAX |      |      |
|       |      |       |       |       |       |       |       |       |      | thea |      |      |
|       |      |       |       |       |       |       |       |       |      | ter, |      |      |
|       |      |       |       |       |       |       |       |       |      | Rega |      |      |
|       |      |       |       |       |       |       |       |       |      | l Ci |      |      |
|       |      |       |       |       |       |       |       |       |      | nema |      |      |
|       |      |       |       |       |       |       |       |       |      | s, D |      |      |
|       |      |       |       |       |       |       |       |       |      | esti |      |      |
|       |      |       |       |       |       |       |       |       |      | ny   |      |      |
|       |      |       |       |       |       |       |       |       |      | USA  |      |      |
|       |      |       |       |       |       |       |       |       |      | Hote |      |      |
|       |      |       |       |       |       |       |       |       |      | l    |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 7    | The G | https | Houst | https | Houst | https | 2,400 | 375; | Nord | 1970 | Simo |
| ://en |      | aller | ://en | on,   | ://en | on    | ://en | ,000  | 375  | stro |      | n Pr |
| .wiki |      | ia    | .wiki | Texas | .wiki |       | .wiki | squar |      | m, M |      | oper |
| pedia |      |       | pedia |       | pedia |       | pedia | e     |      | acy' |      | ty G |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | s, N |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (220, |      | eima |      | , Wa |
| List_ |      |       | The_G |       | Houst |       | Houst | 000 m |      | n Ma |      | lton |
| of_la |      |       | aller |       | on,_T |       | on,_T |       |      | rcus |      | Stre |
| rgest |      |       | ia    |       | exas  |       | exas  |       |      | ,    |      | et   |
| _shop |      |       |       |       |       |       |       |       |      | Saks |      | Real |
| ping_ |      |       |       |       |       |       |       |       |      | Fift |      | Esta |
| malls |      |       |       |       |       |       |       |       |      | h Av |      | te F |
| _in_t |      |       |       |       |       |       |       |       |      | enue |      | unds |
| he_Un |      |       |       |       |       |       |       |       |      |      |      | ,    |
| ited_ |      |       |       |       |       |       |       |       |      |      |      | Sony |
| State |      |       |       |       |       |       |       |       |      |      |      | Corp |
| s     |      |       |       |       |       |       |       |       |      |      |      | orat |
|       |      |       |       |       |       |       |       |       |      |      |      | ion  |
|       |      |       |       |       |       |       |       |       |      |      |      | & Ca |
|       |      |       |       |       |       |       |       |       |      |      |      | lPER |
|       |      |       |       |       |       |       |       |       |      |      |      | S    |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 8    | Ala   | https | Honol | https | Honol | https | 2,400 | 330+ | Macy | 1959 | Gene |
| ://en |      | Moana | ://en | ulu,  | ://en | ulu   | ://en | ,000  | ;    | ’s,  |      | ral  |
| .wiki |      | Cente | .wiki | Hawai | .wiki |       | .wiki | squar | 330+ | Nord |      | Grow |
| pedia |      | r     | pedia | i     | pedia |       | pedia | e     |      | stro |      | th P |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | m, N |      | rope |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (220, |      | eima |      | rtie |
| List_ |      |       | Ala_M |       | Honol |       | Honol | 000 m |      | n Ma |      | s    |
| of_la |      |       | oana_ |       | ulu,_ |       | ulu   |       |      | rcus |      |      |
| rgest |      |       | Cente |       | Hawai |       |       |       |      | , Sh |      |      |
| _shop |      |       | r     |       | i     |       |       |       |      | irok |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | iya, |      |      |
| malls |      |       |       |       |       |       |       |       |      | Bloo |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | ming |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | dale |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | 's,  |      |      |
| State |      |       |       |       |       |       |       |       |      | Fore |      |      |
| s     |      |       |       |       |       |       |       |       |      | ver  |      |      |
|       |      |       |       |       |       |       |       |       |      | 21,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Saks |      |      |
|       |      |       |       |       |       |       |       |       |      | Fift |      |      |
|       |      |       |       |       |       |       |       |       |      | h Av |      |      |
|       |      |       |       |       |       |       |       |       |      | enue |      |      |
|       |      |       |       |       |       |       |       |       |      | Off  |      |      |
|       |      |       |       |       |       |       |       |       |      | 5th  |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 9    | Tyson | https | McLea | https | Washi | https | 2,400 | 300; | Bloo | 1968 | Mace |
| ://en |      | s Cor | ://en | n, Vi | ://en | ngton | ://en | ,000  | 300  | ming |      | rich |
| .wiki |      | ner C | .wiki | rgini | .wiki | ,     | .wiki | squar |      | dale |      |      |
| pedia |      | enter | pedia | a     | pedia | D.C.  | pedia | e     |      | ’s,  |      |      |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | Macy |      |      |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (220, |      | ’s,  |      |      |
| List_ |      |       | Tyson |       | McLea |       | Washi | 000 m |      | Nord |      |      |
| of_la |      |       | s_Cor |       | n,_Vi |       | ngton |       |      | stro |      |      |
| rgest |      |       | ner_C |       | rgini |       | ,_D.C |       |      | m,   |      |      |
| _shop |      |       | enter |       | a     |       | .     |       |      | Lord |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | & Ta |      |      |
| malls |      |       |       |       |       |       |       |       |      | ylor |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | ,    |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | AMC  |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | Thea |      |      |
| State |      |       |       |       |       |       |       |       |      | tres |      |      |
| s     |      |       |       |       |       |       |       |       |      | , L. |      |      |
|       |      |       |       |       |       |       |       |       |      | L. B |      |      |
|       |      |       |       |       |       |       |       |       |      | ean, |      |      |
|       |      |       |       |       |       |       |       |       |      | Barn |      |      |
|       |      |       |       |       |       |       |       |       |      | es   |      |      |
|       |      |       |       |       |       |       |       |       |      | and  |      |      |
|       |      |       |       |       |       |       |       |       |      | Nobl |      |      |
|       |      |       |       |       |       |       |       |       |      | e, A |      |      |
|       |      |       |       |       |       |       |       |       |      | meri |      |      |
|       |      |       |       |       |       |       |       |       |      | can  |      |      |
|       |      |       |       |       |       |       |       |       |      | Girl |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 10   | Roose | https | Garde | https | New   | https | 2,400 | 294; | Macy | 1956 | Simo |
| ://en |      | velt  | ://en | n     | ://en | York  | ://en | ,000  | 294  | ’s,  |      | n Pr |
| .wiki |      | Field | .wiki | City, | .wiki | City  | .wiki | squar |      | Bloo |      | oper |
| pedia |      |       | pedia | New   | pedia |       | pedia | e     |      | ming |      | ty G |
| .org/ |      |       | .org/ | York  | .org/ |       | .org/ | feet  |      | dale |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (220, |      | ’s,  |      |      |
| List_ |      |       | Roose |       | Garde |       | New_Y | 000 m |      | Nord |      |      |
| of_la |      |       | velt_ |       | n_Cit |       | ork_m |       |      | stro |      |      |
| rgest |      |       | Field |       | y,_Ne |       | etrop |       |      | m, J |      |      |
| _shop |      |       | _(Sho |       | w_Yor |       | olita |       |      | CPen |      |      |
| ping_ |      |       | pping |       | k     |       | n_are |       |      | ney, |      |      |
| malls |      |       | _Mall |       |       |       | a     |       |      | Dick |      |      |
| _in_t |      |       | )     |       |       |       |       |       |      | 's S |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | port |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | ing  |      |      |
| State |      |       |       |       |       |       |       |       |      | Good |      |      |
| s     |      |       |       |       |       |       |       |       |      | s, N |      |      |
|       |      |       |       |       |       |       |       |       |      | eima |      |      |
|       |      |       |       |       |       |       |       |       |      | n Ma |      |      |
|       |      |       |       |       |       |       |       |       |      | rcus |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | AMC, |      |      |
|       |      |       |       |       |       |       |       |       |      | X Sp |      |      |
|       |      |       |       |       |       |       |       |       |      | ort  |      |      |
|       |      |       |       |       |       |       |       |       |      | Fitn |      |      |
|       |      |       |       |       |       |       |       |       |      | ess, |      |      |
|       |      |       |       |       |       |       |       |       |      | Capi |      |      |
|       |      |       |       |       |       |       |       |       |      | tal  |      |      |
|       |      |       |       |       |       |       |       |       |      | Gril |      |      |
|       |      |       |       |       |       |       |       |       |      | l, S |      |      |
|       |      |       |       |       |       |       |       |       |      | easo |      |      |
|       |      |       |       |       |       |       |       |       |      | n's  |      |      |
|       |      |       |       |       |       |       |       |       |      | 52,  |      |      |
|       |      |       |       |       |       |       |       |       |      | Gran |      |      |
|       |      |       |       |       |       |       |       |       |      | de   |      |      |
|       |      |       |       |       |       |       |       |       |      | Lux  |      |      |
|       |      |       |       |       |       |       |       |       |      | Café |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ha |      |      |
|       |      |       |       |       |       |       |       |       |      | vana |      |      |
|       |      |       |       |       |       |       |       |       |      | Cent |      |      |
|       |      |       |       |       |       |       |       |       |      | ral, |      |      |
|       |      |       |       |       |       |       |       |       |      | Le   |      |      |
|       |      |       |       |       |       |       |       |       |      | Pain |      |      |
|       |      |       |       |       |       |       |       |       |      | Quot |      |      |
|       |      |       |       |       |       |       |       |       |      | idie |      |      |
|       |      |       |       |       |       |       |       |       |      | n,   |      |      |
|       |      |       |       |       |       |       |       |       |      | Game |      |      |
|       |      |       |       |       |       |       |       |       |      | Stop |      |      |
|       |      |       |       |       |       |       |       |       |      | ,    |      |      |
|       |      |       |       |       |       |       |       |       |      | Hot  |      |      |
|       |      |       |       |       |       |       |       |       |      | Topi |      |      |
|       |      |       |       |       |       |       |       |       |      | c    |      |      |
+-------+------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+
| https | 11   | Sawgr | https | Sunri | https | Fort  | https | 2,383 | 350; | P.F. | 1990 | Simo |
| ://en |      | ass   | ://en | se, F | ://en | Laude | ://en | ,906  | 350  | Chan |      | n Pr |
| .wiki |      | Mills | .wiki | lorid | .wiki | rdale | .wiki | squar |      | g's  |      | oper |
| pedia |      |       | pedia | a     | pedia |       | pedia | e     |      | Chin |      | ty G |
| .org/ |      |       | .org/ |       | .org/ |       | .org/ | feet  |      | a Bi |      | roup |
| wiki/ |      |       | wiki/ |       | wiki/ |       | wiki/ | (221, |      | stro |      |      |
| List_ |      |       | Sawgr |       | Sunri |       | Fort_ | 472.1 |      | , Vi |      |      |
| of_la |      |       | ass_M |       | se,_F |       | Laude |  m    |      | llag |      |      |
| rgest |      |       | ills  |       | lorid |       | rdale |       |      | o, G |      |      |
| _shop |      |       |       |       | a     |       |       |       |      | rand |      |      |
| ping_ |      |       |       |       |       |       |       |       |      | Lux  |      |      |
| malls |      |       |       |       |       |       |       |       |      | Cafe |      |      |
| _in_t |      |       |       |       |       |       |       |       |      | , Ma |      |      |
| he_Un |      |       |       |       |       |       |       |       |      | tchb |      |      |
| ited_ |      |       |       |       |       |       |       |       |      | ox,  |      |      |
| State |      |       |       |       |       |       |       |       |      | Last |      |      |
| s     |      |       |       |       |       |       |       |       |      | Call |      |      |
|       |      |       |       |       |       |       |       |       |      | by N |      |      |
|       |      |       |       |       |       |       |       |       |      | eima |      |      |
|       |      |       |       |       |       |       |       |       |      | n Ma |      |      |
|       |      |       |       |       |       |       |       |       |      | rcus |      |      |
|       |      |       |       |       |       |       |       |       |      | , Ma |      |      |
|       |      |       |       |       |       |       |       |       |      | rsha |      |      |
|       |      |       |       |       |       |       |       |       |      | lls, |      |      |
|       |      |       |       |       |       |       |       |       |      | Dick |      |      |
|       |      |       |       |       |       |       |       |       |      | 's S |      |      |
