+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| url       | Number | Number_li | Presiden | Name     | Prior_of | Party    | Term     | Vice_Pre |
| States#Pr |        |           |          |  [6][7][ |  Vice Pr |          |          |          |
| esidents  |        |           |          | 8]       | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 3      | https://e | March 4, | Thomas J | 2nd      | Democrat | (1800)   | Aaron    |
| n.wikiped |        | n.wikiped | 1801     | efferson |  Vice Pr | ic-      |  4       | Burr     |
| ia.org/wi |        | ia.org/wi |  –       |  1743–18 | esident  |  Republi |  (1801)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 26       | of the   | can      |          | 4, 1801  |
| f_Preside |        | ency_of_T | 4, 1809  |  (Lived: | United   |          |          | – March  |
| nts_of_th |        | homas_Jef |          | 83       | States;  |          |          | 4, 1805  |
| e_United_ |        | ferson    |          | years)   | 2nd      |          |          |          |
| States#Pr |        |           |          |  [9][10] |  Vice Pr |          |          |          |
| esidents  |        |           |          | [11]     | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 3      | https://e | March 4, | Thomas J | 2nd      | Democrat | (1804)   | George   |
| n.wikiped |        | n.wikiped | 1801     | efferson |  Vice Pr | ic-      |  5       | Clinton  |
| ia.org/wi |        | ia.org/wi |  –       |  1743–18 | esident  |  Republi |  (1805)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 26       | of the   | can      |          | 4, 1805  |
| f_Preside |        | ency_of_T | 4, 1809  |  (Lived: | United   |          |          | – March  |
| nts_of_th |        | homas_Jef |          | 83       | States;  |          |          | 4, 1809  |
| e_United_ |        | ferson    |          | years)   | 2nd      |          |          |          |
| States#Pr |        |           |          |  [9][10] |  Vice Pr |          |          |          |
| esidents  |        |           |          | [11]     | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 4      | https://e | March 4, | James    | 5th      | Democrat | (1808)   | George   |
| n.wikiped |        | n.wikiped | 1809     | Madison  |  United  | ic-      |  6       | Clinton  |
| ia.org/wi |        | ia.org/wi |  –       |  1751–18 | States S |  Republi |  (1809)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 36       | ecretary | can      |          | 4, 1809  |
| f_Preside |        | ency_of_J | 4, 1817  |  (Lived: | of State |          |          | – April  |
| nts_of_th |        | ames_Madi |          | 85       |  (1801–1 |          |          | 20, 1812 |
| e_United_ |        | son       |          | years)   | 809);    |          |          |  (Died   |
| States#Pr |        |           |          |  [12][13 | 5th      |          |          | in       |
| esidents  |        |           |          | ][14]    |  United  |          |          | office)  |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 4      | https://e | March 4, | James    | 5th      | Democrat | (1808)   | Office   |
| n.wikiped |        | n.wikiped | 1809     | Madison  |  United  | ic-      |  6       | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1751–18 | States S |  Republi |  (1809)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 36       | ecretary | can      |          | of Clint |
| f_Preside |        | ency_of_J | 4, 1817  |  (Lived: | of State |          |          | on's     |
| nts_of_th |        | ames_Madi |          | 85       |  (1801–1 |          |          | term)    |
| e_United_ |        | son       |          | years)   | 809);    |          |          |          |
| States#Pr |        |           |          |  [12][13 | 5th      |          |          |          |
| esidents  |        |           |          | ][14]    |  United  |          |          |          |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 4      | https://e | March 4, | James    | 5th      | Democrat | (1812)   | Elbridge |
| n.wikiped |        | n.wikiped | 1809     | Madison  |  United  | ic-      |  7       | Gerry    |
| ia.org/wi |        | ia.org/wi |  –       |  1751–18 | States S |  Republi |  (1813)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 36       | ecretary | can      |          | 4, 1813  |
| f_Preside |        | ency_of_J | 4, 1817  |  (Lived: | of State |          |          | –        |
| nts_of_th |        | ames_Madi |          | 85       |  (1801–1 |          |          | November |
| e_United_ |        | son       |          | years)   | 809);    |          |          | 23, 1814 |
| States#Pr |        |           |          |  [12][13 | 5th      |          |          |  (Died   |
| esidents  |        |           |          | ][14]    |  United  |          |          | in       |
|           |        |           |          |          | States S |          |          | office)  |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 4      | https://e | March 4, | James    | 5th      | Democrat | (1812)   | Office   |
| n.wikiped |        | n.wikiped | 1809     | Madison  |  United  | ic-      |  7       | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1751–18 | States S |  Republi |  (1813)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 36       | ecretary | can      |          | of       |
| f_Preside |        | ency_of_J | 4, 1817  |  (Lived: | of State |          |          | Gerry's  |
| nts_of_th |        | ames_Madi |          | 85       |  (1801–1 |          |          | term)    |
| e_United_ |        | son       |          | years)   | 809);    |          |          |          |
| States#Pr |        |           |          |  [12][13 | 5th      |          |          |          |
| esidents  |        |           |          | ][14]    |  United  |          |          |          |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 5      | https://e | March 4, | James    | 7th      | Democrat | (1816)   | Daniel   |
| n.wikiped |        | n.wikiped | 1817     | Monroe   |  United  | ic-      |  8       | D.       |
| ia.org/wi |        | ia.org/wi |  –       |  1758–18 | States S |  Republi |  (1817)  | Tompkins |
| ki/List_o |        | ki/Presid |  March   | 31       | ecretary | can      |          |          |
| f_Preside |        | ency_of_J | 4, 1825  |  (Lived: | of State |          |          |          |
| nts_of_th |        | ames_Monr |          | 73       |  (1811–1 |          |          |          |
| e_United_ |        | oe        |          | years)   | 817);    |          |          |          |
| States#Pr |        |           |          |  [15][16 | 7th      |          |          |          |
| esidents  |        |           |          | ][17]    |  United  |          |          |          |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 5      | https://e | March 4, | James    | 7th      | Democrat | (1820)   | Daniel   |
| n.wikiped |        | n.wikiped | 1817     | Monroe   |  United  | ic-      |  9       | D.       |
| ia.org/wi |        | ia.org/wi |  –       |  1758–18 | States S |  Republi |  (1821)  | Tompkins |
| ki/List_o |        | ki/Presid |  March   | 31       | ecretary | can      |          |          |
| f_Preside |        | ency_of_J | 4, 1825  |  (Lived: | of State |          |          |          |
| nts_of_th |        | ames_Monr |          | 73       |  (1811–1 |          |          |          |
| e_United_ |        | oe        |          | years)   | 817);    |          |          |          |
| States#Pr |        |           |          |  [15][16 | 7th      |          |          |          |
| esidents  |        |           |          | ][17]    |  United  |          |          |          |
|           |        |           |          |          | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 6      | https://e | March 4, | John     | 8th      | Democrat | (1824)   | John C.  |
| n.wikiped |        | n.wikiped | 1825     | Quincy   |  United  | ic-      |  10      | Calhoun  |
| ia.org/wi |        | ia.org/wi |  –       | Adams    | States S |  Republi |  (1825)  |          |
| ki/List_o |        | ki/Presid |  March   |  1767–18 | ecretary | can      |          |          |
| f_Preside |        | ency_of_J | 4, 1829  | 48       | of State |          |          |          |
| nts_of_th |        | ohn_Quinc |          |  (Lived: |  (1817–1 |          |          |          |
| e_United_ |        | y_Adams   |          | 80       | 825);    |          |          |          |
| States#Pr |        |           |          | years)   | 8th      |          |          |          |
| esidents  |        |           |          |  [18][19 |  United  |          |          |          |
|           |        |           |          | ][20]    | States S |          |          |          |
|           |        |           |          |          | ecretary |          |          |          |
|           |        |           |          |          | of State |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 7      | https://e | March 4, | Andrew   | U.S.     | Democrat | (1828)   | John C.  |
| n.wikiped |        | n.wikiped | 1829     | Jackson  | Senator  | ic       |  11      | Calhoun  |
| ia.org/wi |        | ia.org/wi |  –       |  1767–18 | (Class   |          |  (1829)  |  [i]     |
| ki/List_o |        | ki/Presid |  March   | 45       | 2) from  |          |          |  March   |
| f_Preside |        | ency_of_A | 4, 1837  |  (Lived: | Tennesse |          |          | 4, 1829  |
| nts_of_th |        | ndrew_Jac |          | 78       | e        |          |          | –        |
| e_United_ |        | kson      |          | years)   |  (1797–1 |          |          | December |
| States#Pr |        |           |          |  [21][22 | 798 & 18 |          |          | 28, 1832 |
| esidents  |        |           |          | ][23]    | 23–1825) |          |          |  (Resign |
|           |        |           |          |          | ; U.S.   |          |          | ed from  |
|           |        |           |          |          | Senator  |          |          | office)  |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 7      | https://e | March 4, | Andrew   | U.S.     | Democrat | (1828)   | Office   |
| n.wikiped |        | n.wikiped | 1829     | Jackson  | Senator  | ic       |  11      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1767–18 | (Class   |          |  (1829)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 45       | 2) from  |          |          | of Calho |
| f_Preside |        | ency_of_A | 4, 1837  |  (Lived: | Tennesse |          |          | un's     |
| nts_of_th |        | ndrew_Jac |          | 78       | e        |          |          | term)    |
| e_United_ |        | kson      |          | years)   |  (1797–1 |          |          |          |
| States#Pr |        |           |          |  [21][22 | 798 & 18 |          |          |          |
| esidents  |        |           |          | ][23]    | 23–1825) |          |          |          |
|           |        |           |          |          | ; U.S.   |          |          |          |
|           |        |           |          |          | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 7      | https://e | March 4, | Andrew   | U.S.     | Democrat | (1832)   | Martin   |
| n.wikiped |        | n.wikiped | 1829     | Jackson  | Senator  | ic       |  12      | Van      |
| ia.org/wi |        | ia.org/wi |  –       |  1767–18 | (Class   |          |  (1833)  | Buren    |
| ki/List_o |        | ki/Presid |  March   | 45       | 2) from  |          |          |  March   |
| f_Preside |        | ency_of_A | 4, 1837  |  (Lived: | Tennesse |          |          | 4, 1833  |
| nts_of_th |        | ndrew_Jac |          | 78       | e        |          |          | – March  |
| e_United_ |        | kson      |          | years)   |  (1797–1 |          |          | 4, 1837  |
| States#Pr |        |           |          |  [21][22 | 798 & 18 |          |          |          |
| esidents  |        |           |          | ][23]    | 23–1825) |          |          |          |
|           |        |           |          |          | ; U.S.   |          |          |          |
|           |        |           |          |          | Senator  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 8      | https://e | March 4, | Martin   | 8th      | Democrat | (1836)   | Richard  |
| n.wikiped |        | n.wikiped | 1837     | Van      |  Vice Pr | ic       |  13      | M.       |
| ia.org/wi |        | ia.org/wi |  –       | Buren    | esident  |          |  (1837)  | Johnson  |
| ki/List_o |        | ki/Presid |  March   |  1782–18 | of the   |          |          |          |
| f_Preside |        | ency_of_M | 4, 1841  | 62       | United   |          |          |          |
| nts_of_th |        | artin_Van |          |  (Lived: | States;  |          |          |          |
| e_United_ |        | _Buren    |          | 79       | 8th      |          |          |          |
| States#Pr |        |           |          | years)   |  Vice Pr |          |          |          |
| esidents  |        |           |          |  [24][25 | esident  |          |          |          |
|           |        |           |          | ][26]    | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e |        |           | March 4, | William  | United   | Whig     | (1840)   | John     |
| n.wikiped |        |           | 1841     | Henry    | States   |          |  14      | Tyler    |
| ia.org/wi |        |           |  –       | Harrison | Minister |          |  (1841)  |  (Succee |
| ki/List_o |        |           |  April   |  1773–18 | to       |          |  (1841)  | ded to p |
| f_Preside |        |           | 4, 1841  | 41       | Colombia |          |  [j]     | residenc |
| nts_of_th |        |           |  (Died   |  (Lived: |  (1828–1 |          |          | y)       |
| e_United_ |        |           | in       | 68       | 829);    |          |          |          |
| States#Pr |        |           | office)  | years)   | United   |          |          |          |
| esidents  |        |           |          |  [27][28 | States   |          |          |          |
|           |        |           |          | ][29]    | Minister |          |          |          |
|           |        |           |          |          | to       |          |          |          |
|           |        |           |          |          | Colombia |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 10     | https://e | April 4, | John     | 10th     | Whig     | (1840)   | Office   |
| n.wikiped |        | n.wikiped | 1841     | Tyler    |  Vice Pr |          |  14      | vacant   |
| ia.org/wi |        | ia.org/wi |  [k]     |  1790–18 | esident  |          |  (1841)  |          |
| ki/List_o |        | ki/Presid |  –       | 62       | of the   |          |  (1841)  |          |
| f_Preside |        | ency_of_J |  March   |  (Lived: | United   |          |  [j]     |          |
| nts_of_th |        | ohn_Tyler | 4, 1845  | 71       | States;  |          |          |          |
| e_United_ |        |           |          | years)   | 10th     |          |          |          |
| States#Pr |        |           |          |  [30][31 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][32]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 10     | https://e | April 4, | John     | 10th     | Unaffili | (1840)   | Office   |
| n.wikiped |        | n.wikiped | 1841     | Tyler    |  Vice Pr | ated     |  14      | vacant   |
| ia.org/wi |        | ia.org/wi |  [k]     |  1790–18 | esident  |  Septemb |  (1841)  |          |
| ki/List_o |        | ki/Presid |  –       | 62       | of the   | er 13,   |  (1841)  |          |
| f_Preside |        | ency_of_J |  March   |  (Lived: | United   | 1841 –   |  [j]     |          |
| nts_of_th |        | ohn_Tyler | 4, 1845  | 71       | States;  | March 4, |          |          |
| e_United_ |        |           |          | years)   | 10th     | 1845     |          |          |
| States#Pr |        |           |          |  [30][31 |  Vice Pr |  [l]     |          |          |
| esidents  |        |           |          | ][32]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 11     | https://e | March 4, | James K. | 9th      | Democrat | (1844)   | George   |
| n.wikiped |        | n.wikiped | 1845     | Polk     | Governor | ic       |  15      | M.       |
| ia.org/wi |        | ia.org/wi |  –       |  1795–18 | of Tenne |          |  (1845)  | Dallas   |
| ki/List_o |        | ki/Presid |  March   | 49       | ssee     |          |          |          |
| f_Preside |        | ency_of_J | 4, 1849  |  (Lived: |  (1839–1 |          |          |          |
| nts_of_th |        | ames_K._P |          | 53       | 841);    |          |          |          |
| e_United_ |        | olk       |          | years)   | 9th      |          |          |          |
| States#Pr |        |           |          |  [33][34 | Governor |          |          |          |
| esidents  |        |           |          | ][35]    | of Tenne |          |          |          |
|           |        |           |          |          | ssee     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e |        |           | March 4, | Zachary  | Major    | Whig     | (1848)   | Millard  |
| n.wikiped |        |           | 1849     | Taylor   | General  |          |  16      | Fillmore |
| ia.org/wi |        |           |  –       |  1784–18 | of the   |          |  (1849)  |  (Succee |
| ki/List_o |        |           |  July 9, | 50       | 1st      |          |  (1850)  | ded to p |
| f_Preside |        |           | 1850     |  (Lived: | Infantry |          |  [j]     | residenc |
| nts_of_th |        |           |  (Died   | 65       | Regiment |          |          | y)       |
| e_United_ |        |           | in       | years)   |  United  |          |          |          |
| States#Pr |        |           | office)  |  [36][37 | States   |          |          |          |
| esidents  |        |           |          | ][38]    | Army     |          |          |          |
|           |        |           |          |          |  (1846–1 |          |          |          |
|           |        |           |          |          | 849)     |          |          |          |
|           |        |           |          |          |  (No     |          |          |          |
|           |        |           |          |          | prior    |          |          |          |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | Major    |          |          |          |
|           |        |           |          |          | General  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 13     | https://e | July 9,  | Millard  | 12th     | Whig     | (1848)   | Office   |
| n.wikiped |        | n.wikiped | 1850     | Fillmore |  Vice Pr |          |  16      | vacant   |
| ia.org/wi |        | ia.org/wi |  [m]     |  1800–18 | esident  |          |  (1849)  |          |
| ki/List_o |        | ki/Presid |  –       | 74       | of the   |          |  (1850)  |          |
| f_Preside |        | ency_of_M |  March   |  (Lived: | United   |          |  [j]     |          |
| nts_of_th |        | illard_Fi | 4, 1853  | 74       | States;  |          |          |          |
| e_United_ |        | llmore    |          | years)   | 12th     |          |          |          |
| States#Pr |        |           |          |  [39][40 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][41]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 14     | https://e | March 4, | Franklin | Brigadie | Democrat | (1852)   | William  |
| n.wikiped |        | n.wikiped | 1853     | Pierce   | r        | ic       |  17      | R. King  |
| ia.org/wi |        | ia.org/wi |  –       |  1804–18 | General  |          |  (1853)  |  March 4 |
| ki/List_o |        | ki/Presid |  March   | 69       | of the   |          |          | – April  |
| f_Preside |        | ency_of_F | 4, 1857  |  (Lived: | 9th      |          |          | 18, 1853 |
| nts_of_th |        | ranklin_P |          | 64       | Infantry |          |          |  (Died   |
| e_United_ |        | ierce     |          | years)   |  United  |          |          | in       |
| States#Pr |        |           |          |  [42][43 | States   |          |          | office)  |
| esidents  |        |           |          | ][44]    | Army     |          |          |          |
|           |        |           |          |          |  (1847–1 |          |          |          |
|           |        |           |          |          | 848); Br |          |          |          |
|           |        |           |          |          | igadier  |          |          |          |
|           |        |           |          |          | General  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 14     | https://e | March 4, | Franklin | Brigadie | Democrat | (1852)   | Office   |
| n.wikiped |        | n.wikiped | 1853     | Pierce   | r        | ic       |  17      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1804–18 | General  |          |  (1853)  | (Balance |
| ki/List_o |        | ki/Presid |  March   | 69       | of the   |          |          | of       |
| f_Preside |        | ency_of_F | 4, 1857  |  (Lived: | 9th      |          |          | King's   |
| nts_of_th |        | ranklin_P |          | 64       | Infantry |          |          | term)    |
| e_United_ |        | ierce     |          | years)   |  United  |          |          |          |
| States#Pr |        |           |          |  [42][43 | States   |          |          |          |
| esidents  |        |           |          | ][44]    | Army     |          |          |          |
|           |        |           |          |          |  (1847–1 |          |          |          |
|           |        |           |          |          | 848); Br |          |          |          |
|           |        |           |          |          | igadier  |          |          |          |
|           |        |           |          |          | General  |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 15     | https://e | March 4, | James    | United   | Democrat | (1856)   | John C.  |
| n.wikiped |        | n.wikiped | 1857     | Buchanan | States   | ic       |  18      | Breckinr |
| ia.org/wi |        | ia.org/wi |  –       |  1791–18 | Minister |          |  (1857)  | idge     |
| ki/List_o |        | ki/Presid |  March   | 68       | to the   |          |          |          |
| f_Preside |        | ency_of_J | 4, 1861  |  (Lived: |  Court   |          |          |          |
| nts_of_th |        | ames_Buch |          | 77       | of St    |          |          |          |
| e_United_ |        | anan      |          | years)   | James's  |          |          |          |
| States#Pr |        |           |          |  [45][46 |  (1853–1 |          |          |          |
| esidents  |        |           |          | ][47]    | 856);    |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
|           |        |           |          |          | Minister |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 16     | https://e | March 4, | Abraham  | U.S. Rep | Republic | (1860)   | Hannibal |
| n.wikiped |        | n.wikiped | 1861     | Lincoln  | resentat | an       |  19      | Hamlin   |
| ia.org/wi |        | ia.org/wi |  –       |  1809–18 | ive for  |          |  (1861)  |  March   |
| ki/List_o |        | ki/Presid |  April   | 65       | Illinois |          |          | 4, 1861  |
| f_Preside |        | ency_of_A | 15, 1865 |  (Lived: | 's 7th   |          |          | – March  |
| nts_of_th |        | braham_Li |  (Died   | 56       | District |          |          | 4, 1865  |
| e_United_ |        | ncoln     | in       | years)   |  (1847–1 |          |          |          |
| States#Pr |        |           | office)  |  [48][49 | 849);    |          |          |          |
| esidents  |        |           |          | ][50]    | U.S. Rep |          |          |          |
|           |        |           |          |          | resentat |          |          |          |
|           |        |           |          |          | ive      |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 16     | https://e | March 4, | Abraham  | U.S. Rep | Republic | (1864)   | Andrew   |
| n.wikiped |        | n.wikiped | 1861     | Lincoln  | resentat | an       |  20      | Johnson  |
| ia.org/wi |        | ia.org/wi |  –       |  1809–18 | ive for  |          |  (1865)  |  March 4 |
| ki/List_o |        | ki/Presid |  April   | 65       | Illinois |          |  (1865)  | – April  |
| f_Preside |        | ency_of_A | 15, 1865 |  (Lived: | 's 7th   |          |  [j]     | 15, 1865 |
| nts_of_th |        | braham_Li |  (Died   | 56       | District |          |          |  (Succee |
| e_United_ |        | ncoln     | in       | years)   |  (1847–1 |          |          | ded to p |
| States#Pr |        |           | office)  |  [48][49 | 849);    |          |          | residenc |
| esidents  |        |           |          | ][50]    | U.S. Rep |          |          | y)       |
|           |        |           |          |          | resentat |          |          |          |
|           |        |           |          |          | ive      |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 17     | https://e | April    | Andrew   | 16th     | National | (1864)   | Office   |
| n.wikiped |        | n.wikiped | 15, 1865 | Johnson  |  Vice Pr | Union    |  20      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1808–18 | esident  |          |  (1865)  |          |
| ki/List_o |        | ki/Presid |  March   | 75       | of the   |          |  (1865)  |          |
| f_Preside |        | ency_of_A | 4, 1869  |  (Lived: | United   |          |  [j]     |          |
| nts_of_th |        | ndrew_Joh |          | 66       | States;  |          |          |          |
| e_United_ |        | nson      |          | years)   | 16th     |          |          |          |
| States#Pr |        |           |          |  [51][52 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][53]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 17     | https://e | April    | Andrew   | 16th     | Democrat | (1864)   | Office   |
| n.wikiped |        | n.wikiped | 15, 1865 | Johnson  |  Vice Pr | ic       |  20      | vacant   |
| ia.org/wi |        | ia.org/wi |  –       |  1808–18 | esident  |          |  (1865)  |          |
| ki/List_o |        | ki/Presid |  March   | 75       | of the   |          |  (1865)  |          |
| f_Preside |        | ency_of_A | 4, 1869  |  (Lived: | United   |          |  [j]     |          |
| nts_of_th |        | ndrew_Joh |          | 66       | States;  |          |          |          |
| e_United_ |        | nson      |          | years)   | 16th     |          |          |          |
| States#Pr |        |           |          |  [51][52 |  Vice Pr |          |          |          |
| esidents  |        |           |          | ][53]    | esident  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | United   |          |          |          |
|           |        |           |          |          | States   |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
| https://e | 18     | https://e | March 4, | Ulysses  | Commandi | Republic | (1868)   | Schuyler |
| n.wikiped |        | n.wikiped | 1869     | S. Grant | ng       | an       |  21      | Colfax   |
| ia.org/wi |        | ia.org/wi |  –       |  1822–18 | General  |          |  (1869)  |  March   |
| ki/List_o |        | ki/Presid |  March   | 85       | of the   |          |          | 4, 1869  |
| f_Preside |        | ency_of_U | 4, 1877  |  (Lived: | U.S.     |          |          | – March  |
| nts_of_th |        | lysses_S. |          | 63       | Army     |          |          | 4, 1873  |
| e_United_ |        | _Grant    |          | years)   |  (1864–1 |          |          |          |
| States#Pr |        |           |          |  [54][55 | 869)     |          |          |          |
| esidents  |        |           |          | ][56]    |  (No     |          |          |          |
|           |        |           |          |          | prior    |          |          |          |
|           |        |           |          |          | elected  |          |          |          |
|           |        |           |          |          | office); |          |          |          |
|           |        |           |          |          | Commandi |          |          |          |
|           |        |           |          |          | ng       |          |          |          |
|           |        |           |          |          | General  |          |          |          |
|           |        |           |          |          | of the   |          |          |          |
|           |        |           |          |          | U.S.     |          |          |          |
|           |        |           |          |          | Army     |          |          |          |
+-----------+--------+-----------+----------+----------+----------+----------+----------+----------+
