+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| url  | Numb | Pres | Pres | Pres | Pres | Date | Live | Prio | Par | Par | Beg | Ter | End | Vic |
| _of_ |      |      |      |      |      |      |      | 75–1 |     |     |     |     |     |     |
| the_ |      |      |      |      |      |      |      | 783) |     |     |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 2    | Marc | Marc | John | http | 1735 | (Liv | 1st  | Fed | htt | (17 | 3   | (17 | Tho |
| s:// |      | h 4, | h 4, | Adam | s:// | –182 | ed:  | Vice | era | ps: | 96) |     | 97) | mas |
| en.w |      | 1797 | 1801 | s    | en.w | 6    | 90 y | Pres | lis | //e |     |     |     | Jef |
| ikip |      |      |      |      | ikip |      | ears | iden | t   | n.w |     |     |     | fer |
| edia |      |      |      |      | edia |      | )    | t of |     | iki |     |     |     | son |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | [h] |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Jo |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | hn_A |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | dams |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      |      |      |      |      |     | Fed |     |     |     |     |
| ents |      |      |      |      |      |      |      |      |     | era |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | lis |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | t_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y   |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     |     |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 3    | Marc | Marc | Thom | http | 1743 | (Liv | 2nd  | Dem | htt | (18 | 4   | (18 | Aar |
| s:// |      | h 4, | h 4, | as J | s:// | –182 | ed:  | Vice | ocr | ps: | 00) |     | 01) | on  |
| en.w |      | 1801 | 1809 | effe | en.w | 6    | 83 y | Pres | ati | //e |     |     |     | Bur |
| ikip |      |      |      | rson | ikip |      | ears | iden | c-  | n.w |     |     |     | r   |
| edia |      |      |      |      | edia |      | )    | t of |  Re | iki |     |     |     |  Ma |
| .org |      |      |      |      | .org |      |      | the  | pub | ped |     |     |     | rch |
| /wik |      |      |      |      | /wik |      |      | Unit | lic | ia. |     |     |     | 4,  |
| i/Li |      |      |      |      | i/Th |      |      | ed S | an  | org |     |     |     | 180 |
| st_o |      |      |      |      | omas |      |      | tate |     | /wi |     |     |     | 1 – |
| f_Pr |      |      |      |      | _Jef |      |      | s    |     | ki/ |     |     |     | Mar |
| esid |      |      |      |      | fers |      |      |      |     | Dem |     |     |     | ch  |
| ents |      |      |      |      | on   |      |      |      |     | ocr |     |     |     | 4,  |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | 180 |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     | 5   |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 3    | Marc | Marc | Thom | http | 1743 | (Liv | 2nd  | Dem | htt | (18 | 5   | (18 | Geo |
| s:// |      | h 4, | h 4, | as J | s:// | –182 | ed:  | Vice | ocr | ps: | 04) |     | 05) | rge |
| en.w |      | 1801 | 1809 | effe | en.w | 6    | 83 y | Pres | ati | //e |     |     |     | Cli |
| ikip |      |      |      | rson | ikip |      | ears | iden | c-  | n.w |     |     |     | nto |
| edia |      |      |      |      | edia |      | )    | t of |  Re | iki |     |     |     | n   |
| .org |      |      |      |      | .org |      |      | the  | pub | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | Unit | lic | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Th |      |      | ed S | an  | org |     |     |     | 4,  |
| st_o |      |      |      |      | omas |      |      | tate |     | /wi |     |     |     | 180 |
| f_Pr |      |      |      |      | _Jef |      |      | s    |     | ki/ |     |     |     | 5 – |
| esid |      |      |      |      | fers |      |      |      |     | Dem |     |     |     | Mar |
| ents |      |      |      |      | on   |      |      |      |     | ocr |     |     |     | ch  |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | 4,  |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     | 180 |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     | 9   |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 4    | Marc | Marc | Jame | http | 1751 | (Liv | 5th  | Dem | htt | (18 | 6   | (18 | Geo |
| s:// |      | h 4, | h 4, | s Ma | s:// | –183 | ed:  |  Uni | ocr | ps: | 08) |     | 09) | rge |
| en.w |      | 1809 | 1817 | diso | en.w | 6    | 85 y | ted  | ati | //e |     |     |     | Cli |
| ikip |      |      |      | n    | ikip |      | ears | Stat | c-  | n.w |     |     |     | nto |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     | n   |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     | 4,  |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     | 180 |
| f_Pr |      |      |      |      | Madi |      |      |  (18 |     | ki/ |     |     |     | 9 – |
| esid |      |      |      |      | son  |      |      | 01–1 |     | Dem |     |     |     | Apr |
| ents |      |      |      |      |      |      |      | 809) |     | ocr |     |     |     | il  |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | 20, |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     | 181 |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     | 2   |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |  (D |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     | ied |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     | in  |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 4    | Marc | Marc | Jame | http | 1751 | (Liv | 5th  | Dem | htt | (18 | 6   | (18 | Off |
| s:// |      | h 4, | h 4, | s Ma | s:// | –183 | ed:  |  Uni | ocr | ps: | 08) |     | 09) | ice |
| en.w |      | 1809 | 1817 | diso | en.w | 6    | 85 y | ted  | ati | //e |     |     |     | vac |
| ikip |      |      |      | n    | ikip |      | ears | Stat | c-  | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     | of  |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     | Cli |
| f_Pr |      |      |      |      | Madi |      |      |  (18 |     | ki/ |     |     |     | nto |
| esid |      |      |      |      | son  |      |      | 01–1 |     | Dem |     |     |     | n's |
| ents |      |      |      |      |      |      |      | 809) |     | ocr |     |     |     | ter |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | m)  |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 4    | Marc | Marc | Jame | http | 1751 | (Liv | 5th  | Dem | htt | (18 | 7   | (18 | Elb |
| s:// |      | h 4, | h 4, | s Ma | s:// | –183 | ed:  |  Uni | ocr | ps: | 12) |     | 13) | rid |
| en.w |      | 1809 | 1817 | diso | en.w | 6    | 85 y | ted  | ati | //e |     |     |     | ge  |
| ikip |      |      |      | n    | ikip |      | ears | Stat | c-  | n.w |     |     |     | Ger |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     | ry  |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     | 4,  |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     | 181 |
| f_Pr |      |      |      |      | Madi |      |      |  (18 |     | ki/ |     |     |     | 3 – |
| esid |      |      |      |      | son  |      |      | 01–1 |     | Dem |     |     |     | Nov |
| ents |      |      |      |      |      |      |      | 809) |     | ocr |     |     |     | emb |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | er  |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     | 23, |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     | 181 |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     | 4   |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |  (D |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     | ied |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     | in  |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 4    | Marc | Marc | Jame | http | 1751 | (Liv | 5th  | Dem | htt | (18 | 7   | (18 | Off |
| s:// |      | h 4, | h 4, | s Ma | s:// | –183 | ed:  |  Uni | ocr | ps: | 12) |     | 13) | ice |
| en.w |      | 1809 | 1817 | diso | en.w | 6    | 85 y | ted  | ati | //e |     |     |     | vac |
| ikip |      |      |      | n    | ikip |      | ears | Stat | c-  | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     | of  |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     | Ger |
| f_Pr |      |      |      |      | Madi |      |      |  (18 |     | ki/ |     |     |     | ry' |
| esid |      |      |      |      | son  |      |      | 01–1 |     | Dem |     |     |     | s t |
| ents |      |      |      |      |      |      |      | 809) |     | ocr |     |     |     | erm |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     | )   |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 5    | Marc | Marc | Jame | http | 1758 | (Liv | 7th  | Dem | htt | (18 | 8   | (18 | Dan |
| s:// |      | h 4, | h 4, | s Mo | s:// | –183 | ed:  |  Uni | ocr | ps: | 16) |     | 17) | iel |
| en.w |      | 1817 | 1825 | nroe | en.w | 1    | 73 y | ted  | ati | //e |     |     |     | D.  |
| ikip |      |      |      |      | ikip |      | ears | Stat | c-  | n.w |     |     |     | Tom |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     | pki |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     | ns  |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     |     |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | Monr |      |      |  (18 |     | ki/ |     |     |     |     |
| esid |      |      |      |      | oe   |      |      | 11–1 |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      | 817) |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 5    | Marc | Marc | Jame | http | 1758 | (Liv | 7th  | Dem | htt | (18 | 9   | (18 | Dan |
| s:// |      | h 4, | h 4, | s Mo | s:// | –183 | ed:  |  Uni | ocr | ps: | 20) |     | 21) | iel |
| en.w |      | 1817 | 1825 | nroe | en.w | 1    | 73 y | ted  | ati | //e |     |     |     | D.  |
| ikip |      |      |      |      | ikip |      | ears | Stat | c-  | n.w |     |     |     | Tom |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     | pki |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     | ns  |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Ja |      |      | of S | an  | org |     |     |     |     |
| st_o |      |      |      |      | mes_ |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | Monr |      |      |  (18 |     | ki/ |     |     |     |     |
| esid |      |      |      |      | oe   |      |      | 11–1 |     | Dem |     |     |     |     |
| ents |      |      |      |      |      |      |      | 817) |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 6    | Marc | Marc | John | http | 1767 | (Liv | 8th  | Dem | htt | (18 | 10  | (18 | Joh |
| s:// |      | h 4, | h 4, | Quin | s:// | –184 | ed:  |  Uni | ocr | ps: | 24) |     | 25) | n   |
| en.w |      | 1825 | 1829 | cy A | en.w | 8    | 80 y | ted  | ati | //e |     |     |     | C.  |
| ikip |      |      |      | dams | ikip |      | ears | Stat | c-  | n.w |     |     |     | Cal |
| edia |      |      |      |      | edia |      | )    | es S |  Re | iki |     |     |     | hou |
| .org |      |      |      |      | .org |      |      | ecre | pub | ped |     |     |     | n   |
| /wik |      |      |      |      | /wik |      |      | tary | lic | ia. |     |     |     |     |
| i/Li |      |      |      |      | i/Jo |      |      | of S | an  | org |     |     |     |     |
| st_o |      |      |      |      | hn_Q |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | uinc |      |      |  (18 |     | ki/ |     |     |     |     |
| esid |      |      |      |      | y_Ad |      |      | 17–1 |     | Dem |     |     |     |     |
| ents |      |      |      |      | ams  |      |      | 825) |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c-R |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | epu |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | bli |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | can |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | _Pa |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | rty |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 7    | Marc | Marc | Andr | http | 1767 | (Liv | U.S. | Dem | htt | (18 | 11  | (18 | Joh |
| s:// |      | h 4, | h 4, | ew J | s:// | –184 | ed:  | Sena | ocr | ps: | 28) |     | 29) | n   |
| en.w |      | 1829 | 1837 | acks | en.w | 5    | 78 y | tor  | ati | //e |     |     |     | C.  |
| ikip |      |      |      | on   | ikip |      | ears | (Cla | c   | n.w |     |     |     | Cal |
| edia |      |      |      |      | edia |      | )    | ss   |     | iki |     |     |     | hou |
| .org |      |      |      |      | .org |      |      | 2)   |     | ped |     |     |     | n   |
| /wik |      |      |      |      | /wik |      |      | from |     | ia. |     |     |     | [i] |
| i/Li |      |      |      |      | i/An |      |      | Tenn |     | org |     |     |     |  Ma |
| st_o |      |      |      |      | drew |      |      | esse |     | /wi |     |     |     | rch |
| f_Pr |      |      |      |      | _Jac |      |      | e    |     | ki/ |     |     |     | 4,  |
| esid |      |      |      |      | kson |      |      |  (17 |     | Dem |     |     |     | 182 |
| ents |      |      |      |      |      |      |      | 97–1 |     | ocr |     |     |     | 9 – |
| _of_ |      |      |      |      |      |      |      | 798  |     | ati |     |     |     | Dec |
| the_ |      |      |      |      |      |      |      | & 18 |     | c_P |     |     |     | emb |
| Unit |      |      |      |      |      |      |      | 23–1 |     | art |     |     |     | er  |
| ed_S |      |      |      |      |      |      |      | 825) |     | y_( |     |     |     | 28, |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     | 183 |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     | 2   |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |  (R |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     | esi |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     | gne |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | d f |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | rom |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | off |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | ice |
|      |      |      |      |      |      |      |      |      |     |     |     |     |     | )   |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 7    | Marc | Marc | Andr | http | 1767 | (Liv | U.S. | Dem | htt | (18 | 11  | (18 | Off |
| s:// |      | h 4, | h 4, | ew J | s:// | –184 | ed:  | Sena | ocr | ps: | 28) |     | 29) | ice |
| en.w |      | 1829 | 1837 | acks | en.w | 5    | 78 y | tor  | ati | //e |     |     |     | vac |
| ikip |      |      |      | on   | ikip |      | ears | (Cla | c   | n.w |     |     |     | ant |
| edia |      |      |      |      | edia |      | )    | ss   |     | iki |     |     |     |  (B |
| .org |      |      |      |      | .org |      |      | 2)   |     | ped |     |     |     | ala |
| /wik |      |      |      |      | /wik |      |      | from |     | ia. |     |     |     | nce |
| i/Li |      |      |      |      | i/An |      |      | Tenn |     | org |     |     |     | of  |
| st_o |      |      |      |      | drew |      |      | esse |     | /wi |     |     |     | Cal |
| f_Pr |      |      |      |      | _Jac |      |      | e    |     | ki/ |     |     |     | hou |
| esid |      |      |      |      | kson |      |      |  (17 |     | Dem |     |     |     | n's |
| ents |      |      |      |      |      |      |      | 97–1 |     | ocr |     |     |     | ter |
| _of_ |      |      |      |      |      |      |      | 798  |     | ati |     |     |     | m)  |
| the_ |      |      |      |      |      |      |      | & 18 |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      | 23–1 |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      | 825) |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 7    | Marc | Marc | Andr | http | 1767 | (Liv | U.S. | Dem | htt | (18 | 12  | (18 | Mar |
| s:// |      | h 4, | h 4, | ew J | s:// | –184 | ed:  | Sena | ocr | ps: | 32) |     | 33) | tin |
| en.w |      | 1829 | 1837 | acks | en.w | 5    | 78 y | tor  | ati | //e |     |     |     | Van |
| ikip |      |      |      | on   | ikip |      | ears | (Cla | c   | n.w |     |     |     | Bur |
| edia |      |      |      |      | edia |      | )    | ss   |     | iki |     |     |     | en  |
| .org |      |      |      |      | .org |      |      | 2)   |     | ped |     |     |     |  Ma |
| /wik |      |      |      |      | /wik |      |      | from |     | ia. |     |     |     | rch |
| i/Li |      |      |      |      | i/An |      |      | Tenn |     | org |     |     |     | 4,  |
| st_o |      |      |      |      | drew |      |      | esse |     | /wi |     |     |     | 183 |
| f_Pr |      |      |      |      | _Jac |      |      | e    |     | ki/ |     |     |     | 3 – |
| esid |      |      |      |      | kson |      |      |  (17 |     | Dem |     |     |     | Mar |
| ents |      |      |      |      |      |      |      | 97–1 |     | ocr |     |     |     | ch  |
| _of_ |      |      |      |      |      |      |      | 798  |     | ati |     |     |     | 4,  |
| the_ |      |      |      |      |      |      |      | & 18 |     | c_P |     |     |     | 183 |
| Unit |      |      |      |      |      |      |      | 23–1 |     | art |     |     |     | 7   |
| ed_S |      |      |      |      |      |      |      | 825) |     | y_( |     |     |     |     |
| tate |      |      |      |      |      |      |      |      |     | Uni |     |     |     |     |
| s    |      |      |      |      |      |      |      |      |     | ted |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | _St |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | ate |     |     |     |     |
|      |      |      |      |      |      |      |      |      |     | s)  |     |     |     |     |
+------+------+------+------+------+------+------+------+------+-----+-----+-----+-----+-----+-----+
| http | 8    | Marc | Marc | Mart | http | 1782 | (Liv | 8th  | Dem | htt | (18 | 13  | (18 | Ric |
| s:// |      | h 4, | h 4, | in   | s:// | –186 | ed:  | Vice | ocr | ps: | 36) |     | 37) | har |
| en.w |      | 1837 | 1841 | Van  | en.w | 2    | 79 y | Pres | ati | //e |     |     |     | d   |
| ikip |      |      |      | Bure | ikip |      | ears | iden | c   | n.w |     |     |     | M.  |
| edia |      |      |      | n    | edia |      | )    | t of |     | iki |     |     |     | Joh |
| .org |      |      |      |      | .org |      |      | the  |     | ped |     |     |     | nso |
| /wik |      |      |      |      | /wik |      |      | Unit |     | ia. |     |     |     | n   |
| i/Li |      |      |      |      | i/Ma |      |      | ed S |     | org |     |     |     |     |
| st_o |      |      |      |      | rtin |      |      | tate |     | /wi |     |     |     |     |
| f_Pr |      |      |      |      | _Van |      |      | s    |     | ki/ |     |     |     |     |
| esid |      |      |      |      | _Bur |      |      |      |     | Dem |     |     |     |     |
| ents |      |      |      |      | en   |      |      |      |     | ocr |     |     |     |     |
| _of_ |      |      |      |      |      |      |      |      |     | ati |     |     |     |     |
| the_ |      |      |      |      |      |      |      |      |     | c_P |     |     |     |     |
| Unit |      |      |      |      |      |      |      |      |     | art |     |     |     |     |
| ed_S |      |      |      |      |      |      |      |      |     | y_( |     |     |     |     |
