+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| url      | keys     | mouses   | mouses_l | short_ex | short_ex | descript | price    | price_li |
|          |          |          |          |          |          | all day. |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Also     | Logitech | https:// | A great  | https:// | Logitech | $40; $40 | https:// |
| thewirec | great    | M585     | wclink.c | portable | wclink.c | M585     |          | wclink.c |
| utter.co |          | Multi-   | o/link/1 | mouse;   | o/link/1 | Multi-   |          | o/link/1 |
| m/review |          | Device;  | 9176/102 | Same     | 9176/102 | Device   |          | 9176/102 |
| s/best-w |          | M590     | 934/4/63 | great    | 934/4/63 |          |          | 934/4/63 |
| ireless- |          | Multi-   | 610; htt | portable | 610; htt |  A great |          | 610; htt |
| mouse/   |          | Device   | ps://wcl | mouse,   | ps://wcl | portable |          | ps://wcl |
|          |          | Silent   | ink.co/l | but      | ink.co/l | mouse    |          | ink.co/l |
|          |          |          | ink/2052 | quieter  | ink/2052 |          |          | ink/2052 |
|          |          |          | 1/109566 |          | 1/109566 |  The     |          | 1/109566 |
|          |          |          | /4/63611 |          | /4/63611 | Logitech |          | /4/63611 |
|          |          |          |          |          |          | M585 is  |          |          |
|          |          |          |          |          |          | less com |          |          |
|          |          |          |          |          |          | fortable |          |          |
|          |          |          |          |          |          | than our |          |          |
|          |          |          |          |          |          | other    |          |          |
|          |          |          |          |          |          | picks,   |          |          |
|          |          |          |          |          |          | but it   |          |          |
|          |          |          |          |          |          | supports |          |          |
|          |          |          |          |          |          | Bluetoot |          |          |
|          |          |          |          |          |          | h and is |          |          |
|          |          |          |          |          |          | more     |          |          |
|          |          |          |          |          |          | compact. |          |          |
|          |          |          |          |          |          |          |          |          |
|          |          |          |          |          |          |          |          |          |
|          |          |          |          |          |          |  $40     |          |          |
|          |          |          |          |          |          | from     |          |          |
|          |          |          |          |          |          | Amazon   |          |          |
|          |          |          |          |          |          |          |          |          |
|          |          |          |          |          |          |  $60     |          |          |
|          |          |          |          |          |          | from     |          |          |
|          |          |          |          |          |          | Amazon   |          |          |
|          |          |          |          |          |          |          |          |          |
|          |          |          |          |          |          |  Buy     |          |          |
|          |          |          |          |          |          | from     |          |          |
|          |          |          |          |          |          | Amazon   |          |          |
|          |          |          |          |          |          |          |          |          |
|          |          |          |          |          |          |  Buy     |          |          |
|          |          |          |          |          |          | from     |          |          |
|          |          |          |          |          |          | Amazon;  |          |          |
|          |          |          |          |          |          | The      |          |          |
|          |          |          |          |          |          | Logitech |          |          |
|          |          |          |          |          |          | M590 is  |          |          |
|          |          |          |          |          |          | identica |          |          |
|          |          |          |          |          |          | l to the |          |          |
|          |          |          |          |          |          | M585,    |          |          |
|          |          |          |          |          |          | but it   |          |          |
|          |          |          |          |          |          | has      |          |          |
|          |          |          |          |          |          | quiet    |          |          |
|          |          |          |          |          |          | left-    |          |          |
|          |          |          |          |          |          | and      |          |          |
|          |          |          |          |          |          | right-   |          |          |
|          |          |          |          |          |          | click    |          |          |
|          |          |          |          |          |          | buttons  |          |          |
|          |          |          |          |          |          | that     |          |          |
|          |          |          |          |          |          | provide  |          |          |
|          |          |          |          |          |          | tactile  |          |          |
|          |          |          |          |          |          | feedback |          |          |
|          |          |          |          |          |          | without  |          |          |
|          |          |          |          |          |          | a loud   |          |          |
|          |          |          |          |          |          | click.   |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
| https:// | Also     | Logitech | https:// | A mouse  | https:// | The Perf | $81      | https:// |
| thewirec | great    | Performa | wclink.c | for      | wclink.c | ormance  |          | wclink.c |
| utter.co |          | nce      | o/link/2 | larger   | o/link/2 | Mouse MX |          | o/link/2 |
| m/review |          | Mouse MX | 1/105522 | hands    | 1/105522 | is our   |          | 1/105522 |
| s/best-w |          |          | /4/63612 |          | /4/63612 | pick for |          | /4/63612 |
| ireless- |          |          |          |          |          | giant    |          |          |
| mouse/   |          |          |          |          |          | hands.   |          |          |
|          |          |          |          |          |          | It’s     |          |          |
|          |          |          |          |          |          | larger   |          |          |
|          |          |          |          |          |          | and      |          |          |
|          |          |          |          |          |          | cheaper  |          |          |
|          |          |          |          |          |          | than the |          |          |
|          |          |          |          |          |          | MX       |          |          |
|          |          |          |          |          |          | Master   |          |          |
|          |          |          |          |          |          | 2S, but  |          |          |
|          |          |          |          |          |          | it’s too |          |          |
|          |          |          |          |          |          | large    |          |          |
|          |          |          |          |          |          | for most |          |          |
|          |          |          |          |          |          | people.  |          |          |
+----------+----------+----------+----------+----------+----------+----------+----------+----------+
