+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| url    | Charac | Actor  | Actor_ | Rank1  | Rank2  | Rank2_ | Role1  | Role2  | Role2_ | Appear |
| M*A*S* | Henry  |        | McLean |        |        | Lieute | on     |        | Comman |        |
| H_(TV_ | Blake; |        | _Steve |        |        | nant_c |        |        | ding_o |        |
| series | (seaso |        | nson   |        |        | olonel |        |        | fficer |        |
| )      | ns     |        |        |        |        | _(Unit |        |        |        |        |
|        | 1–3)   |        |        |        |        | ed_Sta |        |        |        |        |
|        |        |        |        |        |        | tes)   |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | Frank  | Larry  | https: | Major, |        |        | Surgeo | execut | https: | 118    |
| //en.w | Burns  | Linvil | //en.w |  later |        |        | n, exe | ive of | //en.w |        |
| ikiped |  (seas | le     | ikiped | lieute |        |        | cutive | ficer  | ikiped |        |
| ia.org | ons    |        | ia.org | nant c |        |        | office |        | ia.org |        |
| /wiki/ | 1–5);  |        | /wiki/ | olonel |        |        | r      |        | /wiki/ |        |
| M*A*S* | Frank  |        | Larry_ | (off-s |        |        |  tempo |        | Execut |        |
| H_(TV_ | Burns; |        | Linvil | creen) |        |        | rary c |        | ive_of |        |
| series | (seaso |        | le     |        |        |        | ommand |        | ficer  |        |
| )      | ns     |        |        |        |        |        | ing of |        |        |        |
|        | 1–5)   |        |        |        |        |        | ficer  |        |        |        |
|        |        |        |        |        |        |        | (follo |        |        |        |
|        |        |        |        |        |        |        | wing   |        |        |        |
|        |        |        |        |        |        |        | the    |        |        |        |
|        |        |        |        |        |        |        | death  |        |        |        |
|        |        |        |        |        |        |        | of     |        |        |        |
|        |        |        |        |        |        |        | Henry  |        |        |        |
|        |        |        |        |        |        |        | Blake) |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | Radar  | Gary B | https: | Corpor | second | https: | Compan | bugler | https: | 156    |
| //en.w | O'Reil | urghof | //en.w | al     | lieute | //en.w | y      |        | //en.w |        |
| ikiped | ly     | f      | ikiped |  (one  | nant   | ikiped | clerk, |        | ikiped |        |
| ia.org |  (seas |        | ia.org | episod |        | ia.org | bugler |        | ia.org |        |
| /wiki/ | ons    |        | /wiki/ | e as   |        | /wiki/ |        |        | /wiki/ |        |
| M*A*S* | 1–8);  |        | Gary_B | second |        | Second |        |        | Bugler |        |
| H_(TV_ | Radar  |        | urghof | lieute |        | _lieut |        |        |        |        |
| series | O'Reil |        | f      | nant   |        | enant  |        |        |        |        |
| )      | ly; (s |        |        | due to |        |        |        |        |        |        |
|        | easons |        |        | falsif |        |        |        |        |        |        |
|        | 1–8)   |        |        | ied pr |        |        |        |        |        |        |
|        |        |        |        | omotio |        |        |        |        |        |        |
|        |        |        |        | n)     |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | B. J.  | Mike F | https: | Captai |        |        | Surgeo |        |        | 187    |
| //en.w | Hunnic | arrell | //en.w | n      |        |        | n      |        |        |        |
| ikiped | utt    |        | ikiped |        |        |        |        |        |        |        |
| ia.org |  (repl |        | ia.org |        |        |        |        |        |        |        |
| /wiki/ | aced T |        | /wiki/ |        |        |        |        |        |        |        |
| M*A*S* | rapper |        | Mike_F |        |        |        |        |        |        |        |
| H_(TV_ | ;      |        | arrell |        |        |        |        |        |        |        |
| series |  seaso |        |        |        |        |        |        |        |        |        |
| )      | ns     |        |        |        |        |        |        |        |        |        |
|        | 4–11); |        |        |        |        |        |        |        |        |        |
|        | B. J.  |        |        |        |        |        |        |        |        |        |
|        | Hunnic |        |        |        |        |        |        |        |        |        |
|        | utt; ( |        |        |        |        |        |        |        |        |        |
|        | replac |        |        |        |        |        |        |        |        |        |
|        | ed Tra |        |        |        |        |        |        |        |        |        |
|        | pper;; |        |        |        |        |        |        |        |        |        |
|        | season |        |        |        |        |        |        |        |        |        |
|        | s      |        |        |        |        |        |        |        |        |        |
|        | 4–11)  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | Sherma | Harry  | https: | Colone | Colone | https: | Comman |        |        | 188    |
| //en.w | n      | Morgan | //en.w | l      | l      | //en.w | ding o |        |        |        |
| ikiped | Potter |        | ikiped |        |        | ikiped | fficer |        |        |        |
| ia.org |  (repl |        | ia.org |        |        | ia.org | (after |        |        |        |
| /wiki/ | aced   |        | /wiki/ |        |        | /wiki/ | Lt.    |        |        |        |
| M*A*S* | Henry  |        | Harry_ |        |        | Colone | Col. B |        |        |        |
| H_(TV_ | Blake; |        | Morgan |        |        | l_(Uni | lake), |        |        |        |
| series |  Seaso |        |        |        |        | ted_St |  surge |        |        |        |
| )      | ns     |        |        |        |        | ates)  | on     |        |        |        |
|        | 4–11); |        |        |        |        |        |        |        |        |        |
|        | Sherma |        |        |        |        |        |        |        |        |        |
|        | n Pott |        |        |        |        |        |        |        |        |        |
|        | er; (r |        |        |        |        |        |        |        |        |        |
|        | eplace |        |        |        |        |        |        |        |        |        |
|        | d      |        |        |        |        |        |        |        |        |        |
|        | Henry  |        |        |        |        |        |        |        |        |        |
|        | Blake; |        |        |        |        |        |        |        |        |        |
|        | ; Seas |        |        |        |        |        |        |        |        |        |
|        | ons    |        |        |        |        |        |        |        |        |        |
|        | 4–11)  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | Charle | David  | https: | Major  |        |        | Surgeo |        |        | 137    |
| //en.w | s Emer | Ogden  | //en.w |        |        |        | n, exe |        |        |        |
| ikiped | son Wi | Stiers | ikiped |        |        |        | cutive |        |        |        |
| ia.org | nchest |        | ia.org |        |        |        | office |        |        |        |
| /wiki/ | er III |        | /wiki/ |        |        |        | r      |        |        |        |
| M*A*S* |  (repl |        | David_ |        |        |        | (after |        |        |        |
| H_(TV_ | aced   |        | Ogden_ |        |        |        | Major  |        |        |        |
| series | Frank  |        | Stiers |        |        |        | Burns) |        |        |        |
| )      | Burns; |        |        |        |        |        |        |        |        |        |
|        |  seaso |        |        |        |        |        |        |        |        |        |
|        | ns     |        |        |        |        |        |        |        |        |        |
|        | 6–11); |        |        |        |        |        |        |        |        |        |
|        | Charle |        |        |        |        |        |        |        |        |        |
|        | s Emer |        |        |        |        |        |        |        |        |        |
|        | son Wi |        |        |        |        |        |        |        |        |        |
|        | nchest |        |        |        |        |        |        |        |        |        |
|        | er     |        |        |        |        |        |        |        |        |        |
|        | III; ( |        |        |        |        |        |        |        |        |        |
|        | replac |        |        |        |        |        |        |        |        |        |
|        | ed     |        |        |        |        |        |        |        |        |        |
|        | Frank  |        |        |        |        |        |        |        |        |        |
|        | Burns; |        |        |        |        |        |        |        |        |        |
|        | ; seas |        |        |        |        |        |        |        |        |        |
|        | ons    |        |        |        |        |        |        |        |        |        |
|        | 6–11)  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
