+-----+-----+-----+-----+-----+-----+-----+-----+-----+----+----+----+----+----+----+----+----+----+
| Coo | Car | Cro | Loc | Oth | Mai | Tot | Wid | Hei | Lo | Cl | Cl | De | Co | Op | Da | To | Un |
| 4″W |  (7 | row | n I | rid | nel | m)  |     |     | ,2 | m) | 5  | ;  | 59 | 19 | 8) | ,  | rr |
| / 4 | lan | s   | sla | ge  | s   |     |     |     | 98 | (u | m) | Ot | ;  | 64 | [2 | 20 | ow |
| 0.6 | es  |     | nd– |  Ve |     |     |     |     | m) | pp | at | hm | 58 | ;  | ]  | 17 | s  |
| 063 | on  |     | Bro | rra |     |     |     |     |    | er | me | ar | ye | 53 |    | :  | Br |
| 9°N | upp |     | okl | zan |     |     |     |     |    | le | an | Am | ar | ye |    |  $ | id |
| 74. | er  |     | yn) | o B |     |     |     |     |    | ve | hi | ma | s  | ar |    | 11 | ge |
| 045 | lev |     | ,   | rid |     |     |     |     |    | l) | gh | nn | ag | s  |    | .5 |    |
| 56° | el: |     | New | ge  |     |     |     |     |    |  1 | wa |    | o  | ag |    | 2  |    |
| W / | 6 f |     | Yor |  Na |     |     |     |     |    | 4. | te |    | (1 | o  |    | (N |    |
| 40. | ixe |     | k,  | rro |     |     |     |     |    | 4  | r[ |    | 95 | (1 |    | ew | Lo |
| 606 | d-d |     | U.S | ws  |     |     |     |     |    | fe | 1] |    | 9- | 96 |    | Yo | ca |
| 39; | ire |     | .   | Bri |     |     |     |     |    | et |    |    | 08 | 4- |    | rk | ti |
| -74 | cti |     |     | dge |     |     |     |     |    | (4 |    |    | -1 | 11 |    | E- | on |
| .04 | on, |     |     |     |     |     |     |     |    | .3 |    |    | 3) | -2 |    | ZP |    |
| 556 | 1 r |     |     |     |     |     |     |     |    | 9  |    |    |    | 1) |    | as |    |
| Coo | eve |     |     |     |     |     |     |     |    | m) |    |    |    | (u |    | s  |    |
| rdi | rsi |     |     |     |     |     |     |     |    | (l |    |    |    | pp |    | us |    |
| nat | ble |     |     |     |     |     |     |     |    | ow |    |    |    | er |    | er |    |
| es: | HOV |     |     |     |     |     |     |     |    | er |    |    |    | le |    | s  |    |
| 40° | lan |     |     |     |     |     |     |     |    | le |    |    |    | ve |    | ou |    |
| 36′ | e;  |     |     |     |     |     |     |     |    | ve |    |    |    | l) |    | ts |    |
| 23″ |  6  |     |     |     |     |     |     |     |    | l) |    |    |    |  J |    | id |    |
| N 7 | lan |     |     |     |     |     |     |     |    |    |    |    |    | un |    | e  |    |
| 4°0 | es  |     |     |     |     |     |     |     |    |    |    |    |    | e  |    | St | Ve |
| 2′4 | on  |     |     |     |     |     |     |     |    |    |    |    |    | 28 |    | at | rr |
| 4″W | low |     |     |     |     |     |     |     |    |    |    |    |    | ,  |    | en | az |
| / 4 | er  |     |     |     |     |     |     |     |    |    |    |    |    | 19 |    | Is | an |
| 0.6 | lev |     |     |     |     |     |     |     |    |    |    |    |    | 69 |    | la | o- |
| 063 | el) |     |     |     |     |     |     |     |    |    |    |    |    | ;  |    | nd | Na |
| 9°N |     |     |     |     |     |     |     |     |    |    |    |    |    | 48 |    | )  | rr |
| 74. |     |     |     |     |     |     |     |     |    |    |    |    |    | ye |    |  $ | ow |
| 045 |     |     |     |     |     |     |     |     |    |    |    |    |    | ar |    | 5. | s  |
| 56° |     |     |     |     |     |     |     |     |    |    |    |    |    | s  |    | 50 | Br |
| W / |     |     |     |     |     |     |     |     |    |    |    |    |    | ag |    | (S | id |
| 40. |     |     |     |     |     |     |     |     |    |    |    |    |    | o  |    | ta | ge |
| 606 |     |     |     |     |     |     |     |     |    |    |    |    |    | (1 |    | te |    |
| 39; |     |     |     |     |     |     |     |     |    |    |    |    |    | 96 |    | n  |    |
| -74 |     |     |     |     |     |     |     |     |    |    |    |    |    | 9- |    | Is |    |
| .04 |     |     |     |     |     |     |     |     |    |    |    |    |    | 06 |    | la | Ve |
| 556 |     |     |     |     |     |     |     |     |    |    |    |    |    | -2 |    | nd | rr |
| ; 4 |     |     |     |     |     |     |     |     |    |    |    |    |    | 8) |    | re | az |
| 0°3 |     |     |     |     |     |     |     |     |    |    |    |    |    | (l |    | si | an |
| 6′2 |     |     |     |     |     |     |     |     |    |    |    |    |    | ow |    | de | o- |
| 3″N |     |     |     |     |     |     |     |     |    |    |    |    |    | er |    | nt | Na |
| ; 7 |     |     |     |     |     |     |     |     |    |    |    |    |    | le |    | s) | rr |
| 4°0 |     |     |     |     |     |     |     |     |    |    |    |    |    | ve |    |  $ | ow |
| 2′4 |     |     |     |     |     |     |     |     |    |    |    |    |    | l) |    | 17 | s  |
| 4″W |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | .0 | Br |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | 0  | id |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | (a | ge |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ll | (N |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ot | ew |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | he | Yo |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | rs | rk |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ;  | )  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | bi |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ll |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ed |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | by |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | ma |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | il |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    | )  |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Ve |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rr |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | az |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | an |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | o- |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Na |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rr |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ow |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | s  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Br |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | id |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ge |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Ve |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rr |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | az |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | an |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | o- |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Na |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rr |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ow |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | s  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Br |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | id |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ge |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | (t |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | he |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | US |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | )  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |    |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    |  S |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ho |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | w  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ma |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | p  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | of |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Ne |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | w  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Yo |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rk |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Ci |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ty |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Sh |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ow |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ma |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | p  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | of |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Ne |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | w  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Yo |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | rk |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Sh |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ow |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ma |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | p  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | of |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | th |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | e  |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | US |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | Sh |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | ow |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | al |
|     |     |     |     |     |     |     |     |     |    |    |    |    |    |    |    |    | l  |
+-----+-----+-----+-----+-----+-----+-----+-----+-----+----+----+----+----+----+----+----+----+----+
