+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| url    | Rank | Mounta | Height | Height | Promi | Range | Coord | Paren | First | Ascen | Count |
|        |      |        |        |        |       |       | / God |       |       |       |       |
|        |      |        |        |        |       |       | win A |       |       |       |       |
|        |      |        |        |        |       |       | usten |       |       |       |       |
|        |      |        |        |        |       |       | (8611 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 3    | Kangch | 8,586  | 28,169 | 3,922 | Kangc | 27°42 | Mount | 1955  | 38    | Nepal |
| //en.w |      | enjung |        |        |       | henju | ′12″N | Evere |       | (24)  | •     |
| ikiped |      | a      |        |        |       | nga H | 88°08 | st    |       |       | India |
| ia.org |      |        |        |        |       | imala | ′51″E |       |       |       |       |
| /wiki/ |      |        |        |        |       | ya    | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 70333 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 88 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1475 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.70 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 88.14 |       |       |       |       |
|        |      |        |        |        |       |       | 750   |       |       |       |       |
|        |      |        |        |        |       |       | (3. K |       |       |       |       |
|        |      |        |        |        |       |       | angch |       |       |       |       |
|        |      |        |        |        |       |       | enjun |       |       |       |       |
|        |      |        |        |        |       |       | ga    |       |       |       |       |
|        |      |        |        |        |       |       | (8586 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 4    | Lhotse | 8,516  | 27,940 | 610   | Mahal | 27°57 | Mount | 1956  | 26    | Nepal |
| //en.w |      |        |        |        |       | angur | ′42″N | Evere |       | (26)  | •     |
| ikiped |      |        |        |        |       | Himal | 86°55 | st    |       |       | China |
| ia.org |      |        |        |        |       | aya   | ′59″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 96167 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .9330 |       |       |       |       |
| untain |      |        |        |        |       |       | 6°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.96 |       |       |       |       |
| arth   |      |        |        |        |       |       | 167;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.93 |       |       |       |       |
|        |      |        |        |        |       |       | 306   |       |       |       |       |
|        |      |        |        |        |       |       | (4. L |       |       |       |       |
|        |      |        |        |        |       |       | hotse |       |       |       |       |
|        |      |        |        |        |       |       | (8516 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 5    | Makalu | 8,485  | 27,838 | 2,378 | Mahal | 27°53 | Mount | 1955  | 45    | Nepal |
| //en.w |      |        |        |        |       | angur | ′23″N | Evere |       | (52)  | •     |
| ikiped |      |        |        |        |       | Himal | 87°05 | st    |       |       | China |
| ia.org |      |        |        |        |       | aya   | ′20″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 27. |       |       |       |       |
| List_o |      |        |        |        |       |       | 88972 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 87 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .0888 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 27.88 |       |       |       |       |
| arth   |      |        |        |        |       |       | 972;  |       |       |       |       |
|        |      |        |        |        |       |       | 87.08 |       |       |       |       |
|        |      |        |        |        |       |       | 889   |       |       |       |       |
|        |      |        |        |        |       |       | (5. M |       |       |       |       |
|        |      |        |        |        |       |       | akalu |       |       |       |       |
|        |      |        |        |        |       |       | (8485 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 6    | Cho    | 8,188  | 26,864 | 2,340 | Mahal | 28°05 | Mount | 1954  | 79    | Nepal |
| //en.w |      | Oyu    |        |        |       | angur | ′39″N | Evere |       | (28)  | •     |
| ikiped |      | [10]   |        |        |       | Himal | 86°39 | st    |       |       | China |
| ia.org |      |        |        |        |       | aya   | ′39″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 09417 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6608 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.09 |       |       |       |       |
| arth   |      |        |        |        |       |       | 417;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.66 |       |       |       |       |
|        |      |        |        |        |       |       | 083   |       |       |       |       |
|        |      |        |        |        |       |       | (6.   |       |       |       |       |
|        |      |        |        |        |       |       | Cho   |       |       |       |       |
|        |      |        |        |        |       |       | Oyu   |       |       |       |       |
|        |      |        |        |        |       |       | (8188 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 7    | Dhaula | 8,167  | 26,795 | 3,357 | Dhaul | 28°41 | K2    | 1960  | 51    | Nepal |
| //en.w |      | giri I |        |        |       | agiri | ′48″N |       |       | (39)  |       |
| ikiped |      |        |        |        |       | Himal | 83°29 |       |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′35″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 69667 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .4930 |       |       |       |       |
| untain |      |        |        |        |       |       | 6°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.69 |       |       |       |       |
| arth   |      |        |        |        |       |       | 667;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.49 |       |       |       |       |
|        |      |        |        |        |       |       | 306   |       |       |       |       |
|        |      |        |        |        |       |       | (7. D |       |       |       |       |
|        |      |        |        |        |       |       | haula |       |       |       |       |
|        |      |        |        |        |       |       | giri  |       |       |       |       |
|        |      |        |        |        |       |       | I     |       |       |       |       |
|        |      |        |        |        |       |       | (8167 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 8    | Manasl | 8,163  | 26,781 | 3,092 | Manas | 28°33 | Cho   | 1956  | 49    | Nepal |
| //en.w |      | u      |        |        |       | lu Hi | ′00″N | Oyu   |       | (45)  |       |
| ikiped |      |        |        |        |       | malay | 84°33 |       |       |       |       |
| ia.org |      |        |        |        |       | a     | ′35″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 55000 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 84 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5597 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.55 |       |       |       |       |
| arth   |      |        |        |        |       |       | 000;  |       |       |       |       |
|        |      |        |        |        |       |       | 84.55 |       |       |       |       |
|        |      |        |        |        |       |       | 972   |       |       |       |       |
|        |      |        |        |        |       |       | (8. M |       |       |       |       |
|        |      |        |        |        |       |       | anasl |       |       |       |       |
|        |      |        |        |        |       |       | u     |       |       |       |       |
|        |      |        |        |        |       |       | (8163 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 9    | Nanga  | 8,126  | 26,660 | 4,608 | Nanga | 35°14 | Dhaul | 1953  | 52    | Pakis |
| //en.w |      | Parbat |        |        |       | Parba | ′14″N | agiri |       | (67)  | tan[d |
| ikiped |      |        |        |        |       | t Him | 74°35 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | alaya | ′21″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 23722 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 74 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5891 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.23 |       |       |       |       |
| arth   |      |        |        |        |       |       | 722;  |       |       |       |       |
|        |      |        |        |        |       |       | 74.58 |       |       |       |       |
|        |      |        |        |        |       |       | 917   |       |       |       |       |
|        |      |        |        |        |       |       | (9.   |       |       |       |       |
|        |      |        |        |        |       |       | Nanga |       |       |       |       |
|        |      |        |        |        |       |       | Parba |       |       |       |       |
|        |      |        |        |        |       |       | t     |       |       |       |       |
|        |      |        |        |        |       |       | (8126 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 10   | Annapu | 8,091  | 26,545 | 2,984 | Annap | 28°35 | Cho   | 1950  | 36    | Nepal |
| //en.w |      | rna I  |        |        |       | urna  | ′44″N | Oyu   |       | (47)  |       |
| ikiped |      |        |        |        |       | Himal | 83°49 |       |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′13″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 59556 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 83 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .8202 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.59 |       |       |       |       |
| arth   |      |        |        |        |       |       | 556;  |       |       |       |       |
|        |      |        |        |        |       |       | 83.82 |       |       |       |       |
|        |      |        |        |        |       |       | 028   |       |       |       |       |
|        |      |        |        |        |       |       | (10.  |       |       |       |       |
|        |      |        |        |        |       |       | Annap |       |       |       |       |
|        |      |        |        |        |       |       | urna  |       |       |       |       |
|        |      |        |        |        |       |       | I     |       |       |       |       |
|        |      |        |        |        |       |       | (8091 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 11   | Gasher | 8,080  | 26,509 | 2,155 | Balto | 35°43 | K2    | 1958  | 31    | Pakis |
| //en.w |      | brum I |        |        |       | ro Ka | ′28″N |       |       | (16)  | tan[d |
| ikiped |      | /      |        |        |       | rakor | 76°41 |       |       |       | p 1]  |
| ia.org |      | Hidden |        |        |       | am    | ′47″E |       |       |       | • Chi |
| /wiki/ |      | Peak / |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      | K5     |        |        |       |       | 72444 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6963 |       |       |       |       |
| untain |      |        |        |        |       |       | 9°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.72 |       |       |       |       |
| arth   |      |        |        |        |       |       | 444;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.69 |       |       |       |       |
|        |      |        |        |        |       |       | 639   |       |       |       |       |
|        |      |        |        |        |       |       | (11.  |       |       |       |       |
|        |      |        |        |        |       |       | Gashe |       |       |       |       |
|        |      |        |        |        |       |       | rbrum |       |       |       |       |
|        |      |        |        |        |       |       | I / H |       |       |       |       |
|        |      |        |        |        |       |       | idden |       |       |       |       |
|        |      |        |        |        |       |       | Peak  |       |       |       |       |
|        |      |        |        |        |       |       | / K5  |       |       |       |       |
|        |      |        |        |        |       |       | (8080 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 12   | Broad  | 8,051  | 26,414 | 1,701 | Balto | 35°48 | Gashe | 1957  | 39    | Pakis |
| //en.w |      | Peak   |        |        |       | ro Ka | ′38″N | rbrum |       | (19)  | tan[d |
| ikiped |      |        |        |        |       | rakor | 76°34 | I     |       |       | p 1]  |
| ia.org |      |        |        |        |       | am    | ′06″E |       |       |       | • Chi |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 81056 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .5683 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.81 |       |       |       |       |
| arth   |      |        |        |        |       |       | 056;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.56 |       |       |       |       |
|        |      |        |        |        |       |       | 833   |       |       |       |       |
|        |      |        |        |        |       |       | (12.  |       |       |       |       |
|        |      |        |        |        |       |       | Broad |       |       |       |       |
|        |      |        |        |        |       |       | Peak  |       |       |       |       |
|        |      |        |        |        |       |       | / K3  |       |       |       |       |
|        |      |        |        |        |       |       | (8051 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 13   | Gasher | 8,035  | 26,362 | 1,524 | Balto | 35°45 | Gashe | 1956  | 54    | Pakis |
| //en.w |      | brum   |        |        |       | ro Ka | ′28″N | rbrum |       | (12)  | tan[d |
| ikiped |      | II /   |        |        |       | rakor | 76°39 | I     |       |       | p 1]  |
| ia.org |      | K4     |        |        |       | am    | ′12″E |       |       |       | • Chi |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 75778 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6533 |       |       |       |       |
| untain |      |        |        |        |       |       | 3°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.75 |       |       |       |       |
| arth   |      |        |        |        |       |       | 778;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.65 |       |       |       |       |
|        |      |        |        |        |       |       | 333   |       |       |       |       |
|        |      |        |        |        |       |       | (13.  |       |       |       |       |
|        |      |        |        |        |       |       | Gashe |       |       |       |       |
|        |      |        |        |        |       |       | rbrum |       |       |       |       |
|        |      |        |        |        |       |       | II /  |       |       |       |       |
|        |      |        |        |        |       |       | K4    |       |       |       |       |
|        |      |        |        |        |       |       | (8035 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 14   | Shisha | 8,027  | 26,335 | 2,897 | Jugal | 28°21 | Cho   | 1964  | 43    | China |
| //en.w |      | pangma |        |        |       | Himal | ′12″N | Oyu   |       | (19)  |       |
| ikiped |      | / Gosa |        |        |       | aya   | 85°46 |       |       |       |       |
| ia.org |      | inthān |        |        |       |       | ′43″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 35333 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 85 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .7786 |       |       |       |       |
| untain |      |        |        |        |       |       | 1°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.35 |       |       |       |       |
| arth   |      |        |        |        |       |       | 333;  |       |       |       |       |
|        |      |        |        |        |       |       | 85.77 |       |       |       |       |
|        |      |        |        |        |       |       | 861   |       |       |       |       |
|        |      |        |        |        |       |       | (14.  |       |       |       |       |
|        |      |        |        |        |       |       | Shish |       |       |       |       |
|        |      |        |        |        |       |       | apang |       |       |       |       |
|        |      |        |        |        |       |       | ma    |       |       |       |       |
|        |      |        |        |        |       |       | (8027 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 15   | Gyachu | 7,952  | 26,089 | 672   | Mahal | 28°05 | Cho   | 1964  | 5 (3) | Nepal |
| //en.w |      | ng     |        |        |       | angur | ′53″N | Oyu   |       |       | •     |
| ikiped |      | Kang   |        |        |       | Himal | 86°44 |       |       |       | China |
| ia.org |      |        |        |        |       | aya   | ′42″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 09806 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 86 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .7450 |       |       |       |       |
| untain |      |        |        |        |       |       | 0°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.09 |       |       |       |       |
| arth   |      |        |        |        |       |       | 806;  |       |       |       |       |
|        |      |        |        |        |       |       | 86.74 |       |       |       |       |
|        |      |        |        |        |       |       | 500   |       |       |       |       |
|        |      |        |        |        |       |       | (15.  |       |       |       |       |
|        |      |        |        |        |       |       | Gyach |       |       |       |       |
|        |      |        |        |        |       |       | ung   |       |       |       |       |
|        |      |        |        |        |       |       | Kang  |       |       |       |       |
|        |      |        |        |        |       |       | (7952 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 110  | Gasher | 7,946  | 26,070 | 355   | Balto | 35°45 | Gashe | 1975  | 2 (2) | Pakis |
| //en.w |      | brum   |        |        |       | ro Ka | ′33″N | rbrum |       |       | tan[d |
| ikiped |      | III /  |        |        |       | rakor | 76°38 | II    |       |       | p 1]  |
| ia.org |      | K3a    |        |        |       | am    | ′30″E |       |       |       | • Chi |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       | na[dp |
| List_o |      |        |        |        |       |       | 75917 |       |       |       | 2]    |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6416 |       |       |       |       |
| untain |      |        |        |        |       |       | 7°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.75 |       |       |       |       |
| arth   |      |        |        |        |       |       | 917;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.64 |       |       |       |       |
|        |      |        |        |        |       |       | 167 ( |       |       |       |       |
|        |      |        |        |        |       |       | Gashe |       |       |       |       |
|        |      |        |        |        |       |       | rbrum |       |       |       |       |
|        |      |        |        |        |       |       | III   |       |       |       |       |
|        |      |        |        |        |       |       | (7946 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 16   | Annapu | 7,937  | 26,040 | 2,437 | Annap | 28°32 | Annap | 1960  | 6     | Nepal |
| //en.w |      | rna II |        |        |       | urna  | ′05″N | urna  |       | (19)  |       |
| ikiped |      |        |        |        |       | Himal | 84°07 | I     |       |       |       |
| ia.org |      |        |        |        |       | aya   | ′19″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 53472 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 84 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1219 |       |       |       |       |
| untain |      |        |        |        |       |       | 4°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.53 |       |       |       |       |
| arth   |      |        |        |        |       |       | 472;  |       |       |       |       |
|        |      |        |        |        |       |       | 84.12 |       |       |       |       |
|        |      |        |        |        |       |       | 194   |       |       |       |       |
|        |      |        |        |        |       |       | (16.  |       |       |       |       |
|        |      |        |        |        |       |       | Annap |       |       |       |       |
|        |      |        |        |        |       |       | urna  |       |       |       |       |
|        |      |        |        |        |       |       | II    |       |       |       |       |
|        |      |        |        |        |       |       | (7937 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 17   | Gasher | 7,932  | 26,024 | 712   | Balto | 35°45 | Gashe | 1958  | 4     | Pakis |
| //en.w |      | brum   |        |        |       | ro Ka | ′38″N | rbrum |       | (11)  | tan[d |
| ikiped |      | IV /   |        |        |       | rakor | 76°36 | III   |       |       | p 1]  |
| ia.org |      | K3     |        |        |       | am    | ′58″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 35. |       |       |       |       |
| List_o |      |        |        |        |       |       | 76056 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 76 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6161 |       |       |       |       |
| untain |      |        |        |        |       |       | 1°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 35.76 |       |       |       |       |
| arth   |      |        |        |        |       |       | 056;  |       |       |       |       |
|        |      |        |        |        |       |       | 76.61 |       |       |       |       |
|        |      |        |        |        |       |       | 611   |       |       |       |       |
|        |      |        |        |        |       |       | (17.  |       |       |       |       |
|        |      |        |        |        |       |       | Gashe |       |       |       |       |
|        |      |        |        |        |       |       | rbrum |       |       |       |       |
|        |      |        |        |        |       |       | IV    |       |       |       |       |
|        |      |        |        |        |       |       | (7932 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 18   | Himalc | 7,893  | 25,896 | 1,633 | Manas | 28°26 | Manas | 1960  | 6     | Nepal |
| //en.w |      | huli   |        |        |       | lu Hi | ′12″N | lu    |       | (12)  |       |
| ikiped |      |        |        |        |       | malay | 84°38 |       |       |       |       |
| ia.org |      |        |        |        |       | a     | ′23″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 28. |       |       |       |       |
| List_o |      |        |        |        |       |       | 43667 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 84 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .6397 |       |       |       |       |
| untain |      |        |        |        |       |       | 2°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 28.43 |       |       |       |       |
| arth   |      |        |        |        |       |       | 667;  |       |       |       |       |
|        |      |        |        |        |       |       | 84.63 |       |       |       |       |
|        |      |        |        |        |       |       | 972   |       |       |       |       |
|        |      |        |        |        |       |       | (18.  |       |       |       |       |
|        |      |        |        |        |       |       | Himal |       |       |       |       |
|        |      |        |        |        |       |       | chuli |       |       |       |       |
|        |      |        |        |        |       |       | (7893 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
| https: | 19   | Distag | 7,884  | 25,866 | 2,525 | Hispa | 36°19 | K2    | 1960  | 3 (5) | Pakis |
| //en.w |      | hil    |        |        |       | r Kar | ′33″N |       |       |       | tan[d |
| ikiped |      | Sar    |        |        |       | akora | 75°11 |       |       |       | p 1]  |
| ia.org |      |        |        |        |       | m     | ′16″E |       |       |       |       |
| /wiki/ |      |        |        |        |       |       | / 36. |       |       |       |       |
| List_o |      |        |        |        |       |       | 32583 |       |       |       |       |
| f_high |      |        |        |        |       |       | °N 75 |       |       |       |       |
| est_mo |      |        |        |        |       |       | .1877 |       |       |       |       |
| untain |      |        |        |        |       |       | 8°E / |       |       |       |       |
| s_on_E |      |        |        |        |       |       | 36.32 |       |       |       |       |
| arth   |      |        |        |        |       |       | 583;  |       |       |       |       |
|        |      |        |        |        |       |       | 75.18 |       |       |       |       |
|        |      |        |        |        |       |       | 778   |       |       |       |       |
|        |      |        |        |        |       |       | (19.  |       |       |       |       |
|        |      |        |        |        |       |       | Dista |       |       |       |       |
|        |      |        |        |        |       |       | ghil  |       |       |       |       |
|        |      |        |        |        |       |       | Sar   |       |       |       |       |
|        |      |        |        |        |       |       | (7884 |       |       |       |       |
|        |      |        |        |        |       |       | m))   |       |       |       |       |
+--------+------+--------+--------+--------+-------+-------+-------+-------+-------+-------+-------+
