+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| url        | Rank | Title     | Title_lin | Type | Opening_D | Closing_D | Performan | Comment   |
| .wikipedia |      | Saigon    | n.wikiped |      | 1991      | 28, 2001  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1991      |
| List_of_th |      |           | ki/Miss_S |      |           |           |           |  4 Drama  |
| e_longest- |      |           | aigon     |      |           |           |           | Desk      |
| running_Br |      |           |           |      |           |           |           | Awards in |
| oadway_sho |      |           |           |      |           |           |           | 1991      |
| ws         |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2017   |
|            |      |           |           |      |           |           |           | (340 perf |
|            |      |           |           |      |           |           |           | ormances) |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 14   | 42nd      | https://e | M    | August    | January   | 3,486     | 2 Tony    |
| .wikipedia |      | Street    | n.wikiped |      | 25, 1980  | 8, 1989   |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1981,     |
| List_of_th |      |           | ki/42nd_S |      |           |           |           | including |
| e_longest- |      |           | treet_(mu |      |           |           |           | Best      |
| running_Br |      |           | sical)    |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  2 Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 1981      |
|            |      |           |           |      |           |           |           |  Revival  |
|            |      |           |           |      |           |           |           | in 2001   |
|            |      |           |           |      |           |           |           | (1,524 pe |
|            |      |           |           |      |           |           |           | rformance |
|            |      |           |           |      |           |           |           | s)        |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 15   | Grease    | https://e | M    | February  | April 13, | 3,388     | 2 Drama   |
| .wikipedia |      |           | n.wikiped |      | 14, 1972  | 1980      |           | Desk      |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | Awards in |
| List_of_th |      |           | ki/Grease |      |           |           |           | 1972      |
| e_longest- |      |           | _(musical |      |           |           |           |  Revivals |
| running_Br |      |           | )         |      |           |           |           | in 1994   |
| oadway_sho |      |           |           |      |           |           |           | (1,505 pe |
| ws         |      |           |           |      |           |           |           | rformance |
|            |      |           |           |      |           |           |           | s) and    |
|            |      |           |           |      |           |           |           | 2007 (554 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 16   | Fiddler   | https://e | M    | September | July 2,   | 3,242     | 9 Tony    |
| .wikipedia |      | on the    | n.wikiped |      | 22, 1964  | 1972      |           | Awards in |
| .org/wiki/ |      | Roof      | ia.org/wi |      |           |           |           | 1965,     |
| List_of_th |      |           | ki/Fiddle |      |           |           |           | including |
| e_longest- |      |           | r_on_the_ |      |           |           |           | Best      |
| running_Br |      |           | Roof      |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  A        |
| ws         |      |           |           |      |           |           |           | Special   |
|            |      |           |           |      |           |           |           | Tony      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 1972 for  |
|            |      |           |           |      |           |           |           | becoming  |
|            |      |           |           |      |           |           |           | Broadway' |
|            |      |           |           |      |           |           |           | s         |
|            |      |           |           |      |           |           |           | longest-  |
|            |      |           |           |      |           |           |           | running   |
|            |      |           |           |      |           |           |           | musical   |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1976   |
|            |      |           |           |      |           |           |           | (167 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 1981    |
|            |      |           |           |      |           |           |           | (53 perfo |
|            |      |           |           |      |           |           |           | rmances), |
|            |      |           |           |      |           |           |           | 1990,     |
|            |      |           |           |      |           |           |           | (241 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , 2004    |
|            |      |           |           |      |           |           |           | (781 perf |
|            |      |           |           |      |           |           |           | ormances) |
|            |      |           |           |      |           |           |           | , and     |
|            |      |           |           |      |           |           |           | 2015 (431 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces)      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 17   | Life With | https://e | P    | November  | July 12,  | 3,224     | Broadway' |
| .wikipedia |      | Father    | n.wikiped |      | 8, 1939   | 1947      |           | s         |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | longest-  |
| List_of_th |      |           | ki/Life_W |      |           |           |           | running   |
| e_longest- |      |           | ith_Fathe |      |           |           |           | straight  |
| running_Br |      |           | r         |      |           |           |           | play      |
| oadway_sho |      |           |           |      |           |           |           |           |
| ws         |      |           |           |      |           |           |           |           |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 18   | Tobacco   | https://e | P    | December  | May 31,   | 3,182     | Revivals  |
| .wikipedia |      | Road      | n.wikiped |      | 4, 1933   | 1941      |           | in 1942   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | (34 perfo |
| List_of_th |      |           | ki/Tobacc |      |           |           |           | rmances), |
| e_longest- |      |           | o_Road_(p |      |           |           |           | 1943 (66  |
| running_Br |      |           | lay)      |      |           |           |           | performan |
| oadway_sho |      |           |           |      |           |           |           | ces), and |
| ws         |      |           |           |      |           |           |           | 1950 (7 p |
|            |      |           |           |      |           |           |           | erformanc |
|            |      |           |           |      |           |           |           | es)       |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 19   | The Book  | https://e | M    | March 24, |           | 2,970     | Currently |
| .wikipedia |      | of Mormon | n.wikiped |      | 2011      |           |           | running   |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | at the    |
| List_of_th |      |           | ki/The_Bo |      |           |           |           | Eugene    |
| e_longest- |      |           | ok_of_Mor |      |           |           |           | O'Neill   |
| running_Br |      |           | mon_(musi |      |           |           |           | Theatre   |
| oadway_sho |      |           | cal)      |      |           |           |           |  9 Tony   |
| ws         |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2011,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  5 Drama  |
|            |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Awards in |
|            |      |           |           |      |           |           |           | 2011,     |
|            |      |           |           |      |           |           |           | including |
|            |      |           |           |      |           |           |           | Outstandi |
|            |      |           |           |      |           |           |           | ng        |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           |  Grammy   |
|            |      |           |           |      |           |           |           | Award for |
|            |      |           |           |      |           |           |           | Best      |
|            |      |           |           |      |           |           |           | Musical   |
|            |      |           |           |      |           |           |           | Theater   |
|            |      |           |           |      |           |           |           | Album in  |
|            |      |           |           |      |           |           |           | 2012      |
+------------+------+-----------+-----------+------+-----------+-----------+-----------+-----------+
| https://en | 20   | Hello,    | https://e | M    | January   | December  | 2,844     | 10 Tony   |
| .wikipedia |      | Dolly!    | n.wikiped |      | 16, 1964  | 27, 1970  |           | Awards in |
| .org/wiki/ |      |           | ia.org/wi |      |           |           |           | 1964,     |
| List_of_th |      |           | ki/Hello, |      |           |           |           | including |
| e_longest- |      |           | _Dolly!_( |      |           |           |           | Best      |
| running_Br |      |           | musical)  |      |           |           |           | Musical   |
| oadway_sho |      |           |           |      |           |           |           |  A Drama  |
| ws         |      |           |           |      |           |           |           | Desk      |
|            |      |           |           |      |           |           |           | Award in  |
|            |      |           |           |      |           |           |           | 1970      |
|            |      |           |           |      |           |           |           |  Revivals |
|            |      |           |           |      |           |           |           | in 1975   |
|            |      |           |           |      |           |           |           | (42 perfo |
|            |      |           |           |      |           |           |           | rmances), |
|            |      |           |           |      |           |           |           | 1978 (147 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces),     |
|            |      |           |           |      |           |           |           | 1995 (116 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces), and |
|            |      |           |           |      |           |           |           | 2017 (414 |
|            |      |           |           |      |           |           |           | performan |
|            |      |           |           |      |           |           |           | ces,      |
