+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| url    | Produc | Produc | Produc | Regula | Produc | Produc | Coolin | Noise  | NVIDIA | AMD    |
|        | 0.png  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 250W   | 0.3    | GTX    | RX     |
| //www. | //stat | ro     | //www. | 59.99  | ro     | //www. |        | Sone @ | 1080,  | 460; , |
| arctic | ic.arc | Twin   | arctic |        | Twin   | arctic |        | 2,000  | 1070   | R9 380 |
| .ac/us | tic.ac | Turbo  | .ac/us |        | Turbo  | .ac/us |        | RPM    | (Ti),  | (X),   |
| _en/pr | /media | II     | _en/ac |        | II     | _en/ac |        |        | 1060;  | 370X,  |
| oducts | /catal |        | celero |        |        | celero |        |        | , 1050 | 285, 2 |
| /cooli | og/pro |        | -twin- |        |        | -twin- |        |        | (Ti),9 | 70(X), |
| ng/vga | duct/c |        | turbo- |        |        | turbo- |        |        | 80,    | R7     |
| .html  | ache/4 |        | ii.htm |        |        | ii.htm |        |        | 970,   | 370,   |
|        | /small |        | l      |        |        | l      |        |        | 960,   | 360,   |
|        | _image |        |        |        |        |        |        |        | 770,   | 265, 2 |
|        | /300x1 |        |        |        |        |        |        |        | 760, 7 | 60(X), |
|        | 50/9df |        |        |        |        |        |        |        | 50(Ti) | 250(X) |
|        | 78eab3 |        |        |        |        |        |        |        | , 680, | , 240, |
|        | 3525d0 |        |        |        |        |        |        |        | 670, 6 | HD     |
|        | 8d6e5f |        |        |        |        |        |        |        | 60(Ti) | 8870,  |
|        | b8d271 |        |        |        |        |        |        |        | , 650( | 8760,. |
|        | 36e95/ |        |        |        |        |        |        |        | Ti, Ti | ..     |
|        | a/c/ac |        |        |        |        |        |        |        | boost) |        |
|        | celero |        |        |        |        |        |        |        | ,      |        |
|        | _twin_ |        |        |        |        |        |        |        | 580,;  |        |
|        | turbo_ |        |        |        |        |        |        |        | …      |        |
|        | ii_b00 |        |        |        |        |        |        |        |        |        |
|        | .png   |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 400W   | 0.4    | HD     | HD     |
| //www. | //stat | ro     | //www. | 99.99  | ro     | //www. |        | Sone @ | 6990   | 6990   |
| arctic | ic.arc | Twin   | arctic |        | Twin   | arctic |        | 1,500  |        |        |
| .ac/us | tic.ac | Turbo  | .ac/us |        | Turbo  | .ac/us |        | RPM    |        |        |
| _en/pr | /media | 6990   | _en/ac |        | 6990   | _en/ac |        |        |        |        |
| oducts | /catal |        | celero |        |        | celero |        |        |        |        |
| /cooli | og/pro |        | -twin- |        |        | -twin- |        |        |        |        |
| ng/vga | duct/c |        | turbo- |        |        | turbo- |        |        |        |        |
| .html  | ache/4 |        | 6990.h |        |        | 6990.h |        |        |        |        |
|        | /small |        | tml    |        |        | tml    |        |        |        |        |
|        | _image |        |        |        |        |        |        |        |        |        |
|        | /300x1 |        |        |        |        |        |        |        |        |        |
|        | 50/9df |        |        |        |        |        |        |        |        |        |
|        | 78eab3 |        |        |        |        |        |        |        |        |        |
|        | 3525d0 |        |        |        |        |        |        |        |        |        |
|        | 8d6e5f |        |        |        |        |        |        |        |        |        |
|        | b8d271 |        |        |        |        |        |        |        |        |        |
|        | 36e95/ |        |        |        |        |        |        |        |        |        |
|        | a/c/ac |        |        |        |        |        |        |        |        |        |
|        | celero |        |        |        |        |        |        |        |        |        |
|        | _twint |        |        |        |        |        |        |        |        |        |
|        | urbo_6 |        |        |        |        |        |        |        |        |        |
|        | 990_b0 |        |        |        |        |        |        |        |        |        |
|        | 0.png  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 400W   | 0.4    | GTX    | GTX    |
| //www. | //stat | ro     | //www. | 99.99  | ro     | //www. |        | Sone @ | 690    | 690    |
| arctic | ic.arc | Twin   | arctic |        | Twin   | arctic |        | 1,500  |        |        |
| .ac/us | tic.ac | Turbo  | .ac/us |        | Turbo  | .ac/us |        | RPM    |        |        |
| _en/pr | /media | 690    | _en/ac |        | 690    | _en/ac |        |        |        |        |
| oducts | /catal |        | celero |        |        | celero |        |        |        |        |
| /cooli | og/pro |        | -twin- |        |        | -twin- |        |        |        |        |
| ng/vga | duct/c |        | turbo- |        |        | turbo- |        |        |        |        |
| .html  | ache/4 |        | 690.ht |        |        | 690.ht |        |        |        |        |
|        | /small |        | ml     |        |        | ml     |        |        |        |        |
|        | _image |        |        |        |        |        |        |        |        |        |
|        | /300x1 |        |        |        |        |        |        |        |        |        |
|        | 50/9df |        |        |        |        |        |        |        |        |        |
|        | 78eab3 |        |        |        |        |        |        |        |        |        |
|        | 3525d0 |        |        |        |        |        |        |        |        |        |
|        | 8d6e5f |        |        |        |        |        |        |        |        |        |
|        | b8d271 |        |        |        |        |        |        |        |        |        |
|        | 36e95/ |        |        |        |        |        |        |        |        |        |
|        | a/c/ac |        |        |        |        |        |        |        |        |        |
|        | celero |        |        |        |        |        |        |        |        |        |
|        | _twin_ |        |        |        |        |        |        |        |        |        |
|        | turbo_ |        |        |        |        |        |        |        |        |        |
|        | 690_b0 |        |        |        |        |        |        |        |        |        |
|        | 0.png  |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 135W   | 0 Sone | GTX    | RX     |
| //www. | //stat | ro S3  | //www. | 39.99  | ro S3  | //www. |        |        | 1070** | 580**, |
| arctic | ic.arc |        | arctic |        |        | arctic |        |        | (Ti**) | 570**, |
| .ac/us | tic.ac |        | .ac/us |        |        | .ac/us |        |        | ,      | 480**, |
| _en/pr | /media |        | _en/ac |        |        | _en/ac |        |        | 1060;  | 470*,  |
| oducts | /catal |        | celero |        |        | celero |        |        | , 1050 | 460; , |
| /cooli | og/pro |        | -s3.ht |        |        | -s3.ht |        |        | (Ti),  | R9 370 |
| ng/vga | duct/c |        | ml     |        |        | ml     |        |        | 960,   | X**,;  |
| .html  | ache/4 |        |        |        |        |        |        |        | 760**, | 280**; |
|        | /small |        |        |        |        |        |        |        | 750(Ti | , 270* |
|        | _image |        |        |        |        |        |        |        | ),     | *(X**) |
|        | /300x1 |        |        |        |        |        |        |        | 680**, | , R7   |
|        | 50/9df |        |        |        |        |        |        |        | 670**, | 370*,  |
|        | 78eab3 |        |        |        |        |        |        |        | 660(Ti | 360*,  |
|        | 3525d0 |        |        |        |        |        |        |        | **), 6 | 265**, |
|        | 8d6e5f |        |        |        |        |        |        |        | 50(Ti* | 260(X* |
|        | b8d271 |        |        |        |        |        |        |        | ,Ti bo | ), 250 |
|        | 36e95/ |        |        |        |        |        |        |        | ost**) | (X),   |
|        | a/c/ac |        |        |        |        |        |        |        | , 560* | 240,;  |
|        | celero |        |        |        |        |        |        |        | *(Ti** | ...    |
|        | _s3_b0 |        |        |        |        |        |        |        | ,SE**) |        |
|        | 0_2.pn |        |        |        |        |        |        |        | ,; ... |        |
|        | g      |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | S3     | https: | USD    | S3     | https: | 0.25   |        |        |        |
| //www. | //stat | Turbo  | //www. | 12.99  | Turbo  | //www. | Sone   |        |        |        |
| arctic | ic.arc | Module | arctic |        | Module | arctic |        |        |        |        |
| .ac/us | tic.ac |        | .ac/us |        |        | .ac/us |        |        |        |        |
| _en/pr | /media |        | _en/s3 |        |        | _en/s3 |        |        |        |        |
| oducts | /catal |        | -turbo |        |        | -turbo |        |        |        |        |
| /cooli | og/pro |        | -modul |        |        | -modul |        |        |        |        |
| ng/vga | duct/c |        | e.html |        |        | e.html |        |        |        |        |
| .html  | ache/4 |        |        |        |        |        |        |        |        |        |
|        | /small |        |        |        |        |        |        |        |        |        |
|        | _image |        |        |        |        |        |        |        |        |        |
|        | /300x1 |        |        |        |        |        |        |        |        |        |
|        | 50/9df |        |        |        |        |        |        |        |        |        |
|        | 78eab3 |        |        |        |        |        |        |        |        |        |
|        | 3525d0 |        |        |        |        |        |        |        |        |        |
|        | 8d6e5f |        |        |        |        |        |        |        |        |        |
|        | b8d271 |        |        |        |        |        |        |        |        |        |
|        | 36e95/ |        |        |        |        |        |        |        |        |        |
|        | s/3/s3 |        |        |        |        |        |        |        |        |        |
|        | _turbo |        |        |        |        |        |        |        |        |        |
|        | _modul |        |        |        |        |        |        |        |        |        |
|        | e_b00. |        |        |        |        |        |        |        |        |        |
|        | png    |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 200W   | 0.4    | GTX    | RX     |
| //www. | //stat | ro     | //www. | 54.99  | ro     | //www. |        | Sone @ | 1080,  | 460; , |
| arctic | ic.arc | Mono   | arctic |        | Mono   | arctic |        | 1,500  | 1070   | R9     |
| .ac/us | tic.ac | PLUS   | .ac/us |        | PLUS   | .ac/us |        | RPM    | (Ti),  | 380,   |
| _en/pr | /media |        | _en/ac |        |        | _en/ac |        |        | 1060;  | 370X,  |
| oducts | /catal |        | celero |        |        | celero |        |        | , 1050 | 285, 2 |
| /cooli | og/pro |        | -mono- |        |        | -mono- |        |        | (Ti),  | 70(X), |
| ng/vga | duct/c |        | plus.h |        |        | plus.h |        |        | 970,   | R7     |
| .html  | ache/4 |        | tml    |        |        | tml    |        |        | 960,   | 370,   |
|        | /small |        |        |        |        |        |        |        | 950,   | 360,   |
|        | _image |        |        |        |        |        |        |        | 760, 7 | 265, 2 |
|        | /300x1 |        |        |        |        |        |        |        | 50(Ti) | 60(X), |
|        | 50/9df |        |        |        |        |        |        |        | , 670, | 250(X) |
|        | 78eab3 |        |        |        |        |        |        |        | 660(Ti | ,      |
|        | 3525d0 |        |        |        |        |        |        |        | ), 650 | 240,HD |
|        | 8d6e5f |        |        |        |        |        |        |        | (Ti,   | 8870,  |
|        | b8d271 |        |        |        |        |        |        |        | Ti boo | 8760,; |
|        | 36e95/ |        |        |        |        |        |        |        | st),   | ...    |
|        | a/c/ac |        |        |        |        |        |        |        | 640, 5 |        |
|        | celero |        |        |        |        |        |        |        | 60(Ti, |        |
|        | _mono_ |        |        |        |        |        |        |        | SE),;  |        |
|        | plus_b |        |        |        |        |        |        |        | ...    |        |
|        | 00.png |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Accele | https: | USD    | Accele | https: | 120W   | 0.4    | GTX 10 | RX     |
| //www. | //stat | ro L2  | //www. | 21.99  | ro L2  | //www. |        | Sone @ | 50(Ti) | 460; , |
| arctic | ic.arc | PLUS   | arctic |        | PLUS   | arctic |        | 2,000  | , 750  | R7     |
| .ac/us | tic.ac |        | .ac/us |        |        | .ac/us |        | RPM    | (Ti),  | 370,   |
| _en/pr | /media |        | _en/ac |        |        | _en/ac |        |        | 650    | 360, 2 |
| oducts | /catal |        | celero |        |        | celero |        |        | (Ti),  | 60(X), |
| /cooli | og/pro |        | -l2-pl |        |        | -l2-pl |        |        | GTS    | 250(X) |
| ng/vga | duct/c |        | us.htm |        |        | us.htm |        |        | 450,   | , 240, |
| .html  | ache/4 |        | l      |        |        | l      |        |        | 240    | HD     |
|        | /small |        |        |        |        |        |        |        | (OEM), | 8760,  |
|        | _image |        |        |        |        |        |        |        | GT     | 8740,  |
|        | /300x1 |        |        |        |        |        |        |        | 740,   | 7850,  |
|        | 50/9df |        |        |        |        |        |        |        | 640,   | 7790,  |
|        | 78eab3 |        |        |        |        |        |        |        | 630,   | 7770(G |
|        | 3525d0 |        |        |        |        |        |        |        | 440,   | Hz),   |
|        | 8d6e5f |        |        |        |        |        |        |        | 340,   | 7750,  |
|        | b8d271 |        |        |        |        |        |        |        | 330,   | 7730,  |
|        | 36e95/ |        |        |        |        |        |        |        | 320,   | 6850,  |
|        | a/c/ac |        |        |        |        |        |        |        | 240,…  | 6770,  |
|        | celero |        |        |        |        |        |        |        |        | 6750,… |
|        | _l2_pl |        |        |        |        |        |        |        |        |        |
|        | us_b00 |        |        |        |        |        |        |        |        |        |
|        | .png   |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| https: | https: | Turbo  | https: | USD    | Turbo  | https: |        |        |        |        |
| //www. | //stat | Module | //www. | 9.99   | Module | //www. |        |        |        |        |
| arctic | ic.arc | V1     | arctic |        | V1     | arctic |        |        |        |        |
| .ac/us | tic.ac |        | .ac/us |        |        | .ac/us |        |        |        |        |
| _en/pr | /media |        | _en/tu |        |        | _en/tu |        |        |        |        |
| oducts | /catal |        | rbo-mo |        |        | rbo-mo |        |        |        |        |
| /cooli | og/pro |        | dule.h |        |        | dule.h |        |        |        |        |
| ng/vga | duct/c |        | tml    |        |        | tml    |        |        |        |        |
| .html  | ache/4 |        |        |        |        |        |        |        |        |        |
|        | /small |        |        |        |        |        |        |        |        |        |
|        | _image |        |        |        |        |        |        |        |        |        |
|        | /300x1 |        |        |        |        |        |        |        |        |        |
|        | 50/9df |        |        |        |        |        |        |        |        |        |
|        | 78eab3 |        |        |        |        |        |        |        |        |        |
|        | 3525d0 |        |        |        |        |        |        |        |        |        |
|        | 8d6e5f |        |        |        |        |        |        |        |        |        |
|        | b8d271 |        |        |        |        |        |        |        |        |        |
|        | 36e95/ |        |        |        |        |        |        |        |        |        |
|        | t/u/tu |        |        |        |        |        |        |        |        |        |
|        | rbo_mo |        |        |        |        |        |        |        |        |        |
|        | dule_b |        |        |        |        |        |        |        |        |        |
|        | 00.png |        |        |        |        |        |        |        |        |        |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
