+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| url        | No._overal | No._in_sea | Title     | Directed_ | Written_b | Original_ | Descripti |
|            |            |            |           |           |           |           | Simpson   |
|            |            |            |           |           |           |           | while     |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | gets      |
|            |            |            |           |           |           |           | Walker to |
|            |            |            |           |           |           |           | safety.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 16         | 3          | "AKA Sole | Mairzee   | Lisa      | March 8,  | Hogarth   |
| .wikipedia |            |            | Survivor" | Almas     | Randolph  | 2018      | is        |
| .org/wiki/ |            |            |           |           |           |           | diagnosed |
| Jessica_Jo |            |            |           |           |           |           | with ALS, |
| nes_(seaso |            |            |           |           |           |           | and her   |
| n_2)       |            |            |           |           |           |           | law-firm  |
|            |            |            |           |           |           |           | partners  |
|            |            |            |           |           |           |           | Steven    |
|            |            |            |           |           |           |           | Benowitz  |
|            |            |            |           |           |           |           | and Linda |
|            |            |            |           |           |           |           | Chou plan |
|            |            |            |           |           |           |           | to buy    |
|            |            |            |           |           |           |           | her out   |
|            |            |            |           |           |           |           | based on  |
|            |            |            |           |           |           |           | a clause  |
|            |            |            |           |           |           |           | in their  |
|            |            |            |           |           |           |           | contracts |
|            |            |            |           |           |           |           | . Jones   |
|            |            |            |           |           |           |           | agrees to |
|            |            |            |           |           |           |           | investiga |
|            |            |            |           |           |           |           | te the    |
|            |            |            |           |           |           |           | other     |
|            |            |            |           |           |           |           | partners  |
|            |            |            |           |           |           |           | to find   |
|            |            |            |           |           |           |           | blackmail |
|            |            |            |           |           |           |           | material  |
|            |            |            |           |           |           |           | for       |
|            |            |            |           |           |           |           | Hogarth.  |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | receives  |
|            |            |            |           |           |           |           | an        |
|            |            |            |           |           |           |           | eviction  |
|            |            |            |           |           |           |           | notice    |
|            |            |            |           |           |           |           | from her  |
|            |            |            |           |           |           |           | building' |
|            |            |            |           |           |           |           | s new sup |
|            |            |            |           |           |           |           | erintende |
|            |            |            |           |           |           |           | nt Oscar  |
|            |            |            |           |           |           |           | Arocho,   |
|            |            |            |           |           |           |           | who fears |
|            |            |            |           |           |           |           | Jones's a |
|            |            |            |           |           |           |           | bilities. |
|            |            |            |           |           |           |           | She also  |
|            |            |            |           |           |           |           | discovers |
|            |            |            |           |           |           |           | the name  |
|            |            |            |           |           |           |           | Leslie    |
|            |            |            |           |           |           |           | Hansen in |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | abandoned |
|            |            |            |           |           |           |           | IGH       |
|            |            |            |           |           |           |           | building. |
|            |            |            |           |           |           |           | Hansen    |
|            |            |            |           |           |           |           | was a     |
|            |            |            |           |           |           |           | doctor at |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | hospital  |
|            |            |            |           |           |           |           | where     |
|            |            |            |           |           |           |           | Jones was |
|            |            |            |           |           |           |           | taken     |
|            |            |            |           |           |           |           | following |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | accident  |
|            |            |            |           |           |           |           | that      |
|            |            |            |           |           |           |           | killed    |
|            |            |            |           |           |           |           | her       |
|            |            |            |           |           |           |           | family.   |
|            |            |            |           |           |           |           | Jones and |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | find      |
|            |            |            |           |           |           |           | Hansen's  |
|            |            |            |           |           |           |           | apartment |
|            |            |            |           |           |           |           | empty,    |
|            |            |            |           |           |           |           | and a     |
|            |            |            |           |           |           |           | charred   |
|            |            |            |           |           |           |           | human     |
|            |            |            |           |           |           |           | head in   |
|            |            |            |           |           |           |           | the       |
|            |            |            |           |           |           |           | basement. |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | uses her  |
|            |            |            |           |           |           |           | radio     |
|            |            |            |           |           |           |           | show to   |
|            |            |            |           |           |           |           | ask the   |
|            |            |            |           |           |           |           | public    |
|            |            |            |           |           |           |           | for infor |
|            |            |            |           |           |           |           | mation on |
|            |            |            |           |           |           |           | Hansen,   |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | receives  |
|            |            |            |           |           |           |           | a call    |
|            |            |            |           |           |           |           | from a    |
|            |            |            |           |           |           |           | woman     |
|            |            |            |           |           |           |           | claiming  |
|            |            |            |           |           |           |           | to be     |
|            |            |            |           |           |           |           | Hansen.   |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | meets     |
|            |            |            |           |           |           |           | with her, |
|            |            |            |           |           |           |           | and       |
|            |            |            |           |           |           |           | learns    |
|            |            |            |           |           |           |           | that she  |
|            |            |            |           |           |           |           | died      |
|            |            |            |           |           |           |           | after the |
|            |            |            |           |           |           |           | accident  |
|            |            |            |           |           |           |           | but was   |
|            |            |            |           |           |           |           | brought   |
|            |            |            |           |           |           |           | back to   |
|            |            |            |           |           |           |           | life by   |
|            |            |            |           |           |           |           | IGH; the  |
|            |            |            |           |           |           |           | superpowe |
|            |            |            |           |           |           |           | rs were a |
|            |            |            |           |           |           |           | side-     |
|            |            |            |           |           |           |           | effect.   |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | angers    |
|            |            |            |           |           |           |           | the woman |
|            |            |            |           |           |           |           | who       |
|            |            |            |           |           |           |           | escapes   |
|            |            |            |           |           |           |           | using     |
|            |            |            |           |           |           |           | abilities |
|            |            |            |           |           |           |           | similar   |
|            |            |            |           |           |           |           | to        |
|            |            |            |           |           |           |           | Jones'.   |
|            |            |            |           |           |           |           | DNA       |
|            |            |            |           |           |           |           | analysis  |
|            |            |            |           |           |           |           | shows     |
|            |            |            |           |           |           |           | that the  |
|            |            |            |           |           |           |           | charred   |
|            |            |            |           |           |           |           | head      |
|            |            |            |           |           |           |           | belongs   |
|            |            |            |           |           |           |           | to the    |
|            |            |            |           |           |           |           | real      |
|            |            |            |           |           |           |           | Leslie    |
|            |            |            |           |           |           |           | Hansen.   |
+------------+------------+------------+-----------+-----------+-----------+-----------+-----------+
| https://en | 17         | 4          | "AKA God  | Deborah   | Jack      | March 8,  | Hogarth   |
| .wikipedia |            |            | Help the  | Chow      | Kenny     | 2018      | looks     |
| .org/wiki/ |            |            | Hobo"     |           |           |           | into ways |
| Jessica_Jo |            |            |           |           |           |           | to painle |
| nes_(seaso |            |            |           |           |           |           | ssly end  |
| n_2)       |            |            |           |           |           |           | her life, |
|            |            |            |           |           |           |           | which her |
|            |            |            |           |           |           |           | doctor    |
|            |            |            |           |           |           |           | does not  |
|            |            |            |           |           |           |           | support.  |
|            |            |            |           |           |           |           | Cheng     |
|            |            |            |           |           |           |           | fires     |
|            |            |            |           |           |           |           | Hogarth   |
|            |            |            |           |           |           |           | for no    |
|            |            |            |           |           |           |           | longer pr |
|            |            |            |           |           |           |           | ioritizin |
|            |            |            |           |           |           |           | g him and |
|            |            |            |           |           |           |           | his       |
|            |            |            |           |           |           |           | lawsuit,  |
|            |            |            |           |           |           |           | and also  |
|            |            |            |           |           |           |           | offers    |
|            |            |            |           |           |           |           | Ducasse a |
|            |            |            |           |           |           |           | job at    |
|            |            |            |           |           |           |           | his       |
|            |            |            |           |           |           |           | company;  |
|            |            |            |           |           |           |           | Ducasse   |
|            |            |            |           |           |           |           | turns     |
|            |            |            |           |           |           |           | down the  |
|            |            |            |           |           |           |           | role, and |
|            |            |            |           |           |           |           | Jones     |
|            |            |            |           |           |           |           | promises  |
|            |            |            |           |           |           |           | to work   |
|            |            |            |           |           |           |           | with him  |
|            |            |            |           |           |           |           | better.   |
|            |            |            |           |           |           |           | Jones and |
|            |            |            |           |           |           |           | Walker    |
|            |            |            |           |           |           |           | try to    |
|            |            |            |           |           |           |           | find out  |
|            |            |            |           |           |           |           | who the m |
