+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| url   | State | State | Abbre | State | Capit | Capit | Area_ | Popu | Popu | Popu | Popu | Note |
|       |       |       |       |       |       |       |       |      |      |      |      | more |
|       |       |       |       |       |       |       |       |      |      |      |      | than |
|       |       |       |       |       |       |       |       |      |      |      |      | 1 mi |
|       |       |       |       |       |       |       |       |      |      |      |      | llio |
|       |       |       |       |       |       |       |       |      |      |      |      | n ci |
|       |       |       |       |       |       |       |       |      |      |      |      | tize |
|       |       |       |       |       |       |       |       |      |      |      |      | ns.  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Arkan | https | AR    | 1836  | Littl | 1821  | 116.2 | 193, | 877, | 1    | 117  |      |
| ://en | sas   | ://en |       |       | e     |       | 00    | 524  | 091  |      |      |      |
| .wiki |       | .wiki |       |       | Rock  |       |       |      |      |      |      |      |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      |      |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      |      |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      |      |
| List_ |       | Arkan |       |       |       |       |       |      |      |      |      |      |
| of_ca |       | sas   |       |       |       |       |       |      |      |      |      |      |
| pital |       |       |       |       |       |       |       |      |      |      |      |      |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Calif | https | CA    | 1850  | Sacra | 1854  | 97.20 | 466, | 2,52 | 6    | 35   | Supr |
| ://en | ornia | ://en |       |       | mento |       | 0     | 488  | 7,12 |      |      | eme  |
| .wiki |       | .wiki |       |       |       |       |       |      | 3    |      |      | Cour |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | t of |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | Cali |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | forn |
| List_ |       | Calif |       |       |       |       |       |      |      |      |      | ia   |
| of_ca |       | ornia |       |       |       |       |       |      |      |      |      | is h |
| pital |       |       |       |       |       |       |       |      |      |      |      | eadq |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | uart |
| the_U |       |       |       |       |       |       |       |      |      |      |      | ered |
| nited |       |       |       |       |       |       |       |      |      |      |      | in   |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | San  |
| es    |       |       |       |       |       |       |       |      |      |      |      | Fran |
|       |       |       |       |       |       |       |       |      |      |      |      | cisc |
|       |       |       |       |       |       |       |       |      |      |      |      | o.   |
|       |       |       |       |       |       |       |       |      |      |      |      | The  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | Los  |
|       |       |       |       |       |       |       |       |      |      |      |      | Ange |
|       |       |       |       |       |       |       |       |      |      |      |      | les. |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Color | https | CO    | 1876  | Denve | 1867  | 153.4 | 600, | 2,55 | 1    | 19   | Denv |
| ://en | ado   | ://en |       |       | r     |       | 00    | 158  | 2,19 |      |      | er   |
| .wiki |       | .wiki |       |       |       |       |       |      | 5    |      |      | was  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | call |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | ed D |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | enve |
| List_ |       | Color |       |       |       |       |       |      |      |      |      | r    |
| of_ca |       | ado   |       |       |       |       |       |      |      |      |      | City |
| pital |       |       |       |       |       |       |       |      |      |      |      | unti |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | l 18 |
| the_U |       |       |       |       |       |       |       |      |      |      |      | 82.  |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Conne | https | CT    | 1788  | Hartf | 1875  | 17.30 | 124, | 1,21 | 3    | 221  | Brid |
| ://en | cticu | ://en |       |       | ord   |       | 0     | 775  | 2,38 |      |      | gepo |
| .wiki | t     | .wiki |       |       |       |       |       |      | 1    |      |      | rt   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | Conne |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | cticu |       |       |       |       |       |      |      |      |      | larg |
| pital |       | t     |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | . Ha |
| nited |       |       |       |       |       |       |       |      |      |      |      | rtfo |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | rd,  |
| es    |       |       |       |       |       |       |       |      |      |      |      | howe |
|       |       |       |       |       |       |       |       |      |      |      |      | ver, |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | Metr |
|       |       |       |       |       |       |       |       |      |      |      |      | o ar |
|       |       |       |       |       |       |       |       |      |      |      |      | ea.  |
|       |       |       |       |       |       |       |       |      |      |      |      | Hart |
|       |       |       |       |       |       |       |       |      |      |      |      | ford |
|       |       |       |       |       |       |       |       |      |      |      |      | was  |
|       |       |       |       |       |       |       |       |      |      |      |      | also |
|       |       |       |       |       |       |       |       |      |      |      |      | form |
|       |       |       |       |       |       |       |       |      |      |      |      | erly |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Delaw | https | DE    | 1787  | Dover | 1777  | 22.40 | 36,0 | 162, | 2    |      | Long |
| ://en | are   | ://en |       |       |       |       | 0     | 47   | 310  |      |      | est- |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | serv |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | ing  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | capi |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | tal  |
| List_ |       | Delaw |       |       |       |       |       |      |      |      |      | in t |
| of_ca |       | are   |       |       |       |       |       |      |      |      |      | erms |
| pital |       |       |       |       |       |       |       |      |      |      |      | of s |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | tate |
| the_U |       |       |       |       |       |       |       |      |      |      |      | hood |
| nited |       |       |       |       |       |       |       |      |      |      |      | . Wi |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | lmin |
| es    |       |       |       |       |       |       |       |      |      |      |      | gton |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Flori | https | FL    | 1845  | Talla | 1824  | 95.70 | 190, | 379, | 7    | 126  | Jack |
| ://en | da    | ://en |       |       | hasse |       | 0     | 894  | 627  |      |      | sonv |
| .wiki |       | .wiki |       |       | e     |       |       |      |      |      |      | ille |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | larg |
| List_ |       | Flori |       |       |       |       |       |      |      |      |      | est  |
| of_ca |       | da    |       |       |       |       |       |      |      |      |      | city |
| pital |       |       |       |       |       |       |       |      |      |      |      | . Mi |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | ami  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | is   |
| nited |       |       |       |       |       |       |       |      |      |      |      | the  |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | larg |
| es    |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | metr |
|       |       |       |       |       |       |       |       |      |      |      |      | opol |
|       |       |       |       |       |       |       |       |      |      |      |      | itan |
|       |       |       |       |       |       |       |       |      |      |      |      | area |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Georg | https | GA    | 1788  | Atlan | 1868  | 131.7 | 420, | 5,78 | 1    | 38   | Stat |
| ://en | ia    | ://en |       |       | ta    |       | 00    | 003  | 9,70 |      |      | e ca |
| .wiki |       | .wiki |       |       |       |       |       |      | 0    |      |      | pita |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | l    |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | with |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | the  |
| List_ |       | Georg |       |       |       |       |       |      |      |      |      | most |
| of_ca |       | ia_(U |       |       |       |       |       |      |      |      |      | popu |
| pital |       | .S._s |       |       |       |       |       |      |      |      |      | lous |
| s_in_ |       | tate) |       |       |       |       |       |      |      |      |      | metr |
| the_U |       |       |       |       |       |       |       |      |      |      |      | o    |
| nited |       |       |       |       |       |       |       |      |      |      |      | area |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | in   |
| es    |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | U.S. |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Hawai | https | HI    | 1959  | Honol | 1845  | 85.70 | 337, | 953, | 1    | 55   |      |
| ://en | i     | ://en |       |       | ulu   |       | 0     | 256  | 207  |      |      |      |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      |      |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      |      |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      |      |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      |      |
| List_ |       | Hawai |       |       |       |       |       |      |      |      |      |      |
| of_ca |       | i     |       |       |       |       |       |      |      |      |      |      |
| pital |       |       |       |       |       |       |       |      |      |      |      |      |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Idaho | https | ID    | 1890  | Boise | 1865  | 63.80 | 205, | 616, | 1    | 99   |      |
| ://en |       | ://en |       |       |       |       | 0     | 671  | 561  |      |      |      |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      |      |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      |      |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      |      |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      |      |
| List_ |       | Idaho |       |       |       |       |       |      |      |      |      |      |
| of_ca |       |       |       |       |       |       |       |      |      |      |      |      |
| pital |       |       |       |       |       |       |       |      |      |      |      |      |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Illin | https | IL    | 1818  | Sprin | 1837  | 54    | 116, | 208, | 6    | 241  | Spri |
| ://en | ois   | ://en |       |       | gfiel |       |       | 250  | 182  |      |      | ngfi |
| .wiki |       | .wiki |       |       | d     |       |       |      |      |      |      | eld  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | was  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | once |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | home |
| List_ |       | Illin |       |       |       |       |       |      |      |      |      | to A |
| of_ca |       | ois   |       |       |       |       |       |      |      |      |      | brah |
| pital |       |       |       |       |       |       |       |      |      |      |      | am L |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | inco |
| the_U |       |       |       |       |       |       |       |      |      |      |      | ln.  |
| nited |       |       |       |       |       |       |       |      |      |      |      | Chic |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | ago  |
| es    |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | larg |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | city |
|       |       |       |       |       |       |       |       |      |      |      |      | .    |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | India | https | IN    | 1816  | India | 1825  | 361.5 | 829, | 1,75 | 1    | 15   |      |
| ://en | na    | ://en |       |       | napol |       | 00    | 718  | 6,22 |      |      |      |
| .wiki |       | .wiki |       |       | is    |       |       |      | 1    |      |      |      |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      |      |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      |      |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      |      |
| List_ |       | India |       |       |       |       |       |      |      |      |      |      |
| of_ca |       | na    |       |       |       |       |       |      |      |      |      |      |
| pital |       |       |       |       |       |       |       |      |      |      |      |      |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Iowa  | https | IA    | 1846  | Des M | 1857  | 75.80 | 203, | 580, | 1    | 102  |      |
| ://en |       | ://en |       |       | oines |       | 0     | 433  | 255  |      |      |      |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      |      |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      |      |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      |      |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      |      |
| List_ |       | Iowa  |       |       |       |       |       |      |      |      |      |      |
| of_ca |       |       |       |       |       |       |       |      |      |      |      |      |
| pital |       |       |       |       |       |       |       |      |      |      |      |      |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      |      |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Kansa | https | KS    | 1861  | Topek | 1856  | 56    | 127, | 230, | 4    | 217  | Wich |
| ://en | s     | ://en |       |       | a     |       |       | 473  | 824  |      |      | ita  |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | is   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | the  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | stat |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | e's  |
| List_ |       | Kansa |       |       |       |       |       |      |      |      |      | larg |
| of_ca |       | s     |       |       |       |       |       |      |      |      |      | est  |
| pital |       |       |       |       |       |       |       |      |      |      |      | city |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | .    |
| the_U |       |       |       |       |       |       |       |      |      |      |      |      |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Kentu | https | KY    | 1792  | Frank | 1792  | 14.70 | 25,5 | 70,7 | 14   |      | Loui |
| ://en | cky   | ://en |       |       | fort  |       | 0     | 27   | 58   |      |      | svil |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | le   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | Kentu |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | cky   |       |       |       |       |       |      |      |      |      | larg |
| pital |       |       |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | .    |
| nited |       |       |       |       |       |       |       |      |      |      |      |      |
| _Stat |       |       |       |       |       |       |       |      |      |      |      |      |
| es    |       |       |       |       |       |       |       |      |      |      |      |      |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Louis | https | LA    | 1812  | Baton | 1880  | 76.80 | 229, | 802, | 2    | 97   | New  |
| ://en | iana  | ://en |       |       | Rouge |       | 0     | 553  | 484  |      |      | Orle |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | ans  |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | is   |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | the  |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | stat |
| List_ |       | Louis |       |       |       |       |       |      |      |      |      | e's  |
| of_ca |       | iana  |       |       |       |       |       |      |      |      |      | larg |
| pital |       |       |       |       |       |       |       |      |      |      |      | est  |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | city |
| the_U |       |       |       |       |       |       |       |      |      |      |      | and  |
| nited |       |       |       |       |       |       |       |      |      |      |      | home |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | to   |
| es    |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | Loui |
|       |       |       |       |       |       |       |       |      |      |      |      | sian |
|       |       |       |       |       |       |       |       |      |      |      |      | a Su |
|       |       |       |       |       |       |       |       |      |      |      |      | prem |
|       |       |       |       |       |       |       |       |      |      |      |      | e Co |
|       |       |       |       |       |       |       |       |      |      |      |      | urt, |
|       |       |       |       |       |       |       |       |      |      |      |      | alth |
|       |       |       |       |       |       |       |       |      |      |      |      | ough |
|       |       |       |       |       |       |       |       |      |      |      |      | Bato |
|       |       |       |       |       |       |       |       |      |      |      |      | n Ro |
|       |       |       |       |       |       |       |       |      |      |      |      | uge  |
|       |       |       |       |       |       |       |       |      |      |      |      | is l |
|       |       |       |       |       |       |       |       |      |      |      |      | ocat |
|       |       |       |       |       |       |       |       |      |      |      |      | ed   |
|       |       |       |       |       |       |       |       |      |      |      |      | in   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e's  |
|       |       |       |       |       |       |       |       |      |      |      |      | most |
|       |       |       |       |       |       |       |       |      |      |      |      | popu |
|       |       |       |       |       |       |       |       |      |      |      |      | lous |
|       |       |       |       |       |       |       |       |      |      |      |      | pari |
|       |       |       |       |       |       |       |       |      |      |      |      | sh.  |
|       |       |       |       |       |       |       |       |      |      |      |      | It   |
|       |       |       |       |       |       |       |       |      |      |      |      | is   |
|       |       |       |       |       |       |       |       |      |      |      |      | also |
|       |       |       |       |       |       |       |       |      |      |      |      | home |
|       |       |       |       |       |       |       |       |      |      |      |      | to   |
|       |       |       |       |       |       |       |       |      |      |      |      | the  |
|       |       |       |       |       |       |       |       |      |      |      |      | tall |
|       |       |       |       |       |       |       |       |      |      |      |      | est  |
|       |       |       |       |       |       |       |       |      |      |      |      | stat |
|       |       |       |       |       |       |       |       |      |      |      |      | e ca |
|       |       |       |       |       |       |       |       |      |      |      |      | pito |
|       |       |       |       |       |       |       |       |      |      |      |      | l bu |
|       |       |       |       |       |       |       |       |      |      |      |      | ildi |
|       |       |       |       |       |       |       |       |      |      |      |      | ng.  |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Maine | https | ME    | 1820  | Augus | 1832  | 55.40 | 19,1 | 117, | 8    |      | Port |
| ://en |       | ://en |       |       | ta    |       | 0     | 36   | 114  |      |      | land |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | is   |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | the  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | stat |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | e's  |
| List_ |       | Maine |       |       |       |       |       |      |      |      |      | larg |
| of_ca |       |       |       |       |       |       |       |      |      |      |      | est  |
| pital |       |       |       |       |       |       |       |      |      |      |      | city |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | and  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | prev |
| nited |       |       |       |       |       |       |       |      |      |      |      | ious |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | capi |
| es    |       |       |       |       |       |       |       |      |      |      |      | tal. |
+-------+-------+-------+-------+-------+-------+-------+-------+------+------+------+------+------+
| https | Maryl | https | MD    | 1788  | Annap | 1694  | 6.730 | 38,3 |      | 7    |      | Smal |
| ://en | and   | ://en |       |       | olis  |       |       | 94   |      |      |      | lest |
| .wiki |       | .wiki |       |       |       |       |       |      |      |      |      | capi |
| pedia |       | pedia |       |       |       |       |       |      |      |      |      | tal  |
| .org/ |       | .org/ |       |       |       |       |       |      |      |      |      | by   |
| wiki/ |       | wiki/ |       |       |       |       |       |      |      |      |      | land |
| List_ |       | Maryl |       |       |       |       |       |      |      |      |      | area |
| of_ca |       | and   |       |       |       |       |       |      |      |      |      | . Ba |
| pital |       |       |       |       |       |       |       |      |      |      |      | ltim |
| s_in_ |       |       |       |       |       |       |       |      |      |      |      | ore  |
| the_U |       |       |       |       |       |       |       |      |      |      |      | is   |
| nited |       |       |       |       |       |       |       |      |      |      |      | the  |
| _Stat |       |       |       |       |       |       |       |      |      |      |      | stat |
| es    |       |       |       |       |       |       |       |      |      |      |      | e's  |
