Groundhog_Day
url,Year,Shadow
http://www.stormfax.com/ghogday.htm,1951,Shadow
http://www.stormfax.com/ghogday.htm,1952,Shadow
http://www.stormfax.com/ghogday.htm,1953,Shadow
http://www.stormfax.com/ghogday.htm,1954,Shadow
http://www.stormfax.com/ghogday.htm,1955,Shadow
http://www.stormfax.com/ghogday.htm,1956,Shadow
http://www.stormfax.com/ghogday.htm,1957,Shadow
http://www.stormfax.com/ghogday.htm,1958,Shadow
http://www.stormfax.com/ghogday.htm,1959,Shadow
http://www.stormfax.com/ghogday.htm,1960,Shadow
http://www.stormfax.com/ghogday.htm,1961,Shadow
http://www.stormfax.com/ghogday.htm,1962,Shadow
http://www.stormfax.com/ghogday.htm,1963,Shadow
http://www.stormfax.com/ghogday.htm,1964,Shadow
http://www.stormfax.com/ghogday.htm,1965,Shadow
http://www.stormfax.com/ghogday.htm,1966,Shadow
http://www.stormfax.com/ghogday.htm,1967,Shadow
http://www.stormfax.com/ghogday.htm,1968,Shadow
http://www.stormfax.com/ghogday.htm,1969,Shadow
http://www.stormfax.com/ghogday.htm,1970,NO
http://www.stormfax.com/ghogday.htm,1971,Shadow
http://www.stormfax.com/ghogday.htm,1972,Shadow
http://www.stormfax.com/ghogday.htm,1973,Shadow
http://www.stormfax.com/ghogday.htm,1974,Shadow
http://www.stormfax.com/ghogday.htm,1975,NO
http://www.stormfax.com/ghogday.htm,1976,Shadow
http://www.stormfax.com/ghogday.htm,1977,Shadow
http://www.stormfax.com/ghogday.htm,1978,Shadow
http://www.stormfax.com/ghogday.htm,1979,Shadow
http://www.stormfax.com/ghogday.htm,1980,Shadow
http://www.stormfax.com/ghogday.htm,1981,Shadow
http://www.stormfax.com/ghogday.htm,1982,Shadow
http://www.stormfax.com/ghogday.htm,1983,NO
http://www.stormfax.com/ghogday.htm,1984,Shadow
http://www.stormfax.com/ghogday.htm,1985,Shadow
http://www.stormfax.com/ghogday.htm,1986,NO
http://www.stormfax.com/ghogday.htm,1987,Shadow
http://www.stormfax.com/ghogday.htm,1988,NO
http://www.stormfax.com/ghogday.htm,1989,Shadow
http://www.stormfax.com/ghogday.htm,1990,NO
http://www.stormfax.com/ghogday.htm,1991,Shadow
http://www.stormfax.com/ghogday.htm,1992,Shadow
http://www.stormfax.com/ghogday.htm,1993,Shadow
http://www.stormfax.com/ghogday.htm,1994,Shadow
http://www.stormfax.com/ghogday.htm,1995,NO
http://www.stormfax.com/ghogday.htm,1996,Shadow
http://www.stormfax.com/ghogday.htm,1997,NO
http://www.stormfax.com/ghogday.htm,1998,Shadow
http://www.stormfax.com/ghogday.htm,1999,NO
http://www.stormfax.com/ghogday.htm,2000,Shadow
http://www.stormfax.com/ghogday.htm,2001,Shadow
http://www.stormfax.com/ghogday.htm,2002,Shadow
http://www.stormfax.com/ghogday.htm,2003,Shadow
http://www.stormfax.com/ghogday.htm,2004,Shadow
http://www.stormfax.com/ghogday.htm,2005,Shadow
http://www.stormfax.com/ghogday.htm,2006,Shadow
http://www.stormfax.com/ghogday.htm,2007,NO
http://www.stormfax.com/ghogday.htm,2008,Shadow
http://www.stormfax.com/ghogday.htm,2009,Shadow
http://www.stormfax.com/ghogday.htm,2010,Shadow
http://www.stormfax.com/ghogday.htm,2011,NO Shadow
http://www.stormfax.com/ghogday.htm,2012,Shadow
http://www.stormfax.com/ghogday.htm,2013,NO Shadow
http://www.stormfax.com/ghogday.htm,2014,Shadow
http://www.stormfax.com/ghogday.htm,2015,Shadow
http://www.stormfax.com/ghogday.htm,2016,NO Shadow
http://www.stormfax.com/ghogday.htm,2017,Shadow
http://www.stormfax.com/ghogday.htm,2018,Shadow
