National_Popular_Vote_-_Bills_receiving_floor_votes_in_previous_sessions
url,State,State_link,EVs,Session,Bill,Lower_house,Upper_house,Executive,Outcome
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Hawaii,https://en.wikipedia.org/wiki/Hawaii,4,2008,SB 2898,Passed 39–8,Passed 20–4,Vetoed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Hawaii,https://en.wikipedia.org/wiki/Hawaii,4,2008,SB 2898,Overrode 36–3,Overrode 20–4,Vetoed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Illinois,https://en.wikipedia.org/wiki/Illinois,21,2007–08,HB 858,Passed 65–50,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Illinois,https://en.wikipedia.org/wiki/Illinois,21,2007–08,HB 1685,Passed 64–50,Passed 37–22,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Louisiana,https://en.wikipedia.org/wiki/Louisiana,8,2012,HB 1095,Failed 29–64,—,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Maine,https://en.wikipedia.org/wiki/Maine,4,2007–08,LD 1744,Indefinitely postponed,Passed 18–17,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Maine,https://en.wikipedia.org/wiki/Maine,4,2013–14,LD 511,Failed 60–85,Failed 17–17,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Maryland,https://en.wikipedia.org/wiki/Maryland,10,2007,HB 148,Passed 85–54,Passed 29–17,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Maryland,https://en.wikipedia.org/wiki/Maryland,10,2007,SB 634,Passed 84–54,Passed 29–17,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts,12,2007–08,H 4952,Passed 116–37,Passed,—[128],Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts,12,2007–08,H 4952,Enacted,Enactment not voted,—[128],Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts,12,2009–10,H 4156,Passed 114–35,Passed 28–10,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Massachusetts,https://en.wikipedia.org/wiki/Massachusetts,12,2009–10,H 4156,Enacted 116–34,Enacted 28–9,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Michigan,https://en.wikipedia.org/wiki/Michigan,17,2007–08,HB 6610,Passed 65–36,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Minnesota,https://en.wikipedia.org/wiki/Minnesota,10,2013–14,HF 799,Failed 62–71,—,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Montana,https://en.wikipedia.org/wiki/Montana,3,2007,SB 290,—,Failed 20–30,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Nevada,https://en.wikipedia.org/wiki/Nevada,5,2009,AB 413,Passed 27–14,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New Jersey,https://en.wikipedia.org/wiki/New_Jersey,15,2006–07,A 4225,Passed 43–32,Passed 22–13,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New Mexico,https://en.wikipedia.org/wiki/New_Mexico,5,2009,HB 383,Passed 41–27,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New Mexico,https://en.wikipedia.org/wiki/New_Mexico,5,2017,SB 42,Died in committee,Passed 26–16,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New York,https://en.wikipedia.org/wiki/New_York_(state),31,2009–10,S02286,Not voted,Passed,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New York,https://en.wikipedia.org/wiki/New_York_(state),29,2011–12,S04208,Not voted,Passed,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New York,https://en.wikipedia.org/wiki/New_York_(state),29,2013–14,A04422,Passed 100–40,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,New York,https://en.wikipedia.org/wiki/New_York_(state),29,2013–14,S03149,Passed 102–33,Passed,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,North Carolina,https://en.wikipedia.org/wiki/North_Carolina,15,2007–08,S954,Died in committee,Passed 30–18,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,North Dakota,https://en.wikipedia.org/wiki/North_Dakota,3,2007,HB 1336,Failed 31–60,—,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Oklahoma,https://en.wikipedia.org/wiki/Oklahoma,7,2013–14,SB 906,Died in committee,Passed 28–18,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Oregon,https://en.wikipedia.org/wiki/Oregon,7,2009,HB 2588,Passed 39–19,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Oregon,https://en.wikipedia.org/wiki/Oregon,7,2013,HB 3077,Passed 38–21,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Oregon,https://en.wikipedia.org/wiki/Oregon,7,2015,HB 3475,Passed 37–21,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Oregon,https://en.wikipedia.org/wiki/Oregon,7,2017,HB 2927,Passed 34–23,Died in committee,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2008,H 7707,Passed 36–34,Passed,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2008,S 2112,Passed 34–28,Passed,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2009,H 5569,Failed 28–45,—,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2009,S 161,Died in committee,Passed,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2011,S 164,Died in committee,Passed,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2013,H 5575,Passed 41–31,Passed,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,4,2013,S 346,Passed 48–21,Passed,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Vermont,https://en.wikipedia.org/wiki/Vermont,3,2007–08,S 270,Passed,Passed 22–6,Vetoed,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Vermont,https://en.wikipedia.org/wiki/Vermont,3,2009–10,S 34,Died in committee,Passed 15–10,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Vermont,https://en.wikipedia.org/wiki/Vermont,3,2011–12,S 31,Passed 85–44,Passed,Signed,Law
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Washington,https://en.wikipedia.org/wiki/Washington_(state),11,2007–08,SB 5628,Died in committee,Passed 30–18,—,Failed
https://en.wikipedia.org/wiki/National_Popular_Vote_Interstate_Compact,Washington,https://en.wikipedia.org/wiki/Washington_(state),11,2009–10,SB 5599,Passed 52–42,Passed 28–21,Signed,Law
