Table_1
url,Food,Price
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McDouble,$1.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McChicken,$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,BBQ Ranch Burger,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Cheeseburger,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Double Cheeseburger,$1.69
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Daily Double,$1.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Bacon McDouble,$2.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,4 Pc. Chicken McNuggets,$1.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,20 Pc. Chicken McNuggets,$5.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Parfait,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Side Salad,$1.59
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,3 Cookies,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Cone,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Apple Slices,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McValue Breakfast Menu,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Burrito,$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage McMuffin,$1.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Biscuit,$1.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Hash Browns,$1.09
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Egg & Cheese Biscuit,$1.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Cinnamon Melt,$1.69
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McCafe Drinks,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Smoothie (Mango Pineapple, Strawberry Banana, or Blueberry Pomegranate)",$2.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Smoothie (Mango Pineapple, Strawberry Banana, or Blueberry Pomegranate)",$2.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Smoothie (Mango Pineapple, Strawberry Banana, or Blueberry Pomegranate)",$3.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Frappe (Mocha, Caramel, or Chocolate Chip)",$2.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Frappe (Mocha, Caramel, or Chocolate Chip)",$2.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Frappe (Mocha, Caramel, or Chocolate Chip)",$3.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Espresso & Chocolate (Mocha, Caramel Mocha, Iced Mocha, Iced Caramel Mocha, Latte, Hot Chocolate, White Chocolate Mocha or White Hot Chocolate)",$2.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Espresso & Chocolate (Mocha, Caramel Mocha, Iced Mocha, Iced Caramel Mocha, Latte, Hot Chocolate, White Chocolate Mocha or White Hot Chocolate)",$2.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Espresso & Chocolate (Mocha, Caramel Mocha, Iced Mocha, Iced Caramel Mocha, Latte, Hot Chocolate, White Chocolate Mocha or White Hot Chocolate)",$3.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium Roast Coffee,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium Roast Coffee,$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Premium Roast Coffee,$1.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Iced Coffee,$1.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Iced Coffee,$1.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Iced Coffee,$1.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sweet Tea,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sweet Tea,$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sweet Tea,$1.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Soft Drink,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Soft Drink,$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Soft Drink,$1.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Orange Juice,$1.59
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Orange Juice,$1.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Orange Juice,$2.09
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Milk,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Dasani Water,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sweet Treats,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Shake (Chocolate, Vanilla, or Strawberry)",$2.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Shake (Chocolate, Vanilla, or Strawberry)",$2.59
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Shake (Chocolate, Vanilla, or Strawberry)",$2.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Shamrock Shake (Limited Time),$2.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Shamrock Shake (Limited Time),$2.59
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Shamrock Shake (Limited Time),$2.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sundae (Hot Fudge or Caramel),$1.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Apple Pie,$0.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Cone (Vanilla),$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McFlurry,$1.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,McFlurry,$2.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Soft Baked Chocolate Chip Cookie,$0.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Soft Baked Chocolate Chip Cookie,$1.00
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Strawberry & Creme Pie (Limited Time),$0.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Happy Meal
Includes Kids French Fries, Side & Drink",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets,$3.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Hamburger,$2.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Cheeseburger,$2.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Mighty Kids Meal
Includes Small French Fries, Side & Drink",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Chicken McNuggets,$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Breakfast Meals
Meals Include Hash Browns and Small Coffee",
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Egg White Delight McMuffin,$2.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Egg White Delight McMuffin – Meal,$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Egg McMuffin,$2.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Egg McMuffin – Meal,$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage McMuffin with Egg,$2.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage McMuffin with Egg – Meal,$4.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese Biscuit",$3.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese Biscuit – Meal",$4.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Biscuit with Egg,$2.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Biscuit with Egg – Meal,$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Gravy & Biscuit,$2.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Gravy & Biscuit – Meal,$4.89
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese McGriddles",$3.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese McGriddles – Meal",$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Sausage, Egg & Cheese McGriddles",$3.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Sausage, Egg & Cheese McGriddles – Meal",$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage McGriddles,$2.79
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage McGriddles – Meal,$4.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese Bagel",$3.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Bacon, Egg & Cheese Bagel – Meal",$4.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Steak, Egg & Cheese Bagel",$3.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,"Steak, Egg & Cheese Bagel – Meal",$5.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,2 Sausage Burritos,$2.39
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,2 Sausage Burritos – Meal,$4.29
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Morning Platters,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Big Breakfast with Hot Cakes,$5.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Big Breakfast,$3.69
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Sausage Gravy & Biscuit,$2.99
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,3 Hot Cakes with Sausage,$3.19
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,3 Hot Cakes,$2.49
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Oatmeal,
https://www.fastfoodmenuprices.com/mcdonalds-prices/?redir,Fruit & Maple Oatmeal,$1.99
