Table_1
url,Position,Last_Week_Position,Song,Artist
https://www.billboard.com/charts/hot-100/2018-03-17,28,Last Week: 16,Gummo,6ix9ine
https://www.billboard.com/charts/hot-100/2018-03-17,29,Last Week: 26,Bartier Cardi,Cardi B Featuring 21 Savage
https://www.billboard.com/charts/hot-100/2018-03-17,30,Last Week: 32,Feel It Still,Portugal. The Man
https://www.billboard.com/charts/hot-100/2018-03-17,31,Last Week: 35,Outside Today,YoungBoy Never Broke Again
https://www.billboard.com/charts/hot-100/2018-03-17,32,Last Week: 29,Say Something,Justin Timberlake Featuring Chris Stapleton
https://www.billboard.com/charts/hot-100/2018-03-17,33,Last Week: 34,Marry Me,Thomas Rhett
https://www.billboard.com/charts/hot-100/2018-03-17,34,Last Week: 43,Whatever It Takes,Imagine Dragons
https://www.billboard.com/charts/hot-100/2018-03-17,35,Last Week: 30,MotorSport,"Migos, Nicki Minaj & Cardi B"
https://www.billboard.com/charts/hot-100/2018-03-17,36,Last Week: 31,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B
https://www.billboard.com/charts/hot-100/2018-03-17,37,Last Week: 27,How Long,Charlie Puth
https://www.billboard.com/charts/hot-100/2018-03-17,38,Last Week: 38,You Make It Easy,Jason Aldean
https://www.billboard.com/charts/hot-100/2018-03-17,39,Last Week: 39,Wait,Maroon 5
https://www.billboard.com/charts/hot-100/2018-03-17,40,Last Week: 33,Young Dumb & Broke,Khalid
https://www.billboard.com/charts/hot-100/2018-03-17,41,Last Week: 37,Sky Walker,Miguel Featuring Travis Scott
https://www.billboard.com/charts/hot-100/2018-03-17,42,Last Week: 44,Heaven,Kane Brown
https://www.billboard.com/charts/hot-100/2018-03-17,43,Last Week: --,Everyday,Logic & Marshmello
https://www.billboard.com/charts/hot-100/2018-03-17,44,Last Week: 42,New Freezer,Rich The Kid Featuring Kendrick Lamar
https://www.billboard.com/charts/hot-100/2018-03-17,45,Last Week: 41,Plain Jane,A$AP Ferg Featuring Nicki Minaj
https://www.billboard.com/charts/hot-100/2018-03-17,46,Last Week: --,No Excuses,Meghan Trainor
https://www.billboard.com/charts/hot-100/2018-03-17,47,Last Week: --,Changes,XXXTentacion
https://www.billboard.com/charts/hot-100/2018-03-17,48,Last Week: 55,Plug Walk,Rich The Kid
https://www.billboard.com/charts/hot-100/2018-03-17,49,Last Week: 45,Sorry Not Sorry,Demi Lovato
https://www.billboard.com/charts/hot-100/2018-03-17,50,Last Week: 48,Good Old Days,Macklemore Featuring Kesha
https://www.billboard.com/charts/hot-100/2018-03-17,51,Last Week: 49,Broken Halos,Chris Stapleton
https://www.billboard.com/charts/hot-100/2018-03-17,52,Last Week: 56,Friends,Marshmello & Anne-Marie
https://www.billboard.com/charts/hot-100/2018-03-17,53,Last Week: 60,Billy,6ix9ine
https://www.billboard.com/charts/hot-100/2018-03-17,54,Last Week: 50,Dura,Daddy Yankee
https://www.billboard.com/charts/hot-100/2018-03-17,55,Last Week: 47,Five More Minutes,Scotty McCreery
https://www.billboard.com/charts/hot-100/2018-03-17,56,Last Week: 51,Lemon,N*E*R*D & Rihanna
https://www.billboard.com/charts/hot-100/2018-03-17,57,Last Week: 57,Most People Are Good,Luke Bryan
https://www.billboard.com/charts/hot-100/2018-03-17,58,Last Week: 62,Nowadays,Lil Skies Featuring Landon Cube
https://www.billboard.com/charts/hot-100/2018-03-17,59,Last Week: 53,Walk It Talk It,Migos Featuring Drake
https://www.billboard.com/charts/hot-100/2018-03-17,60,Last Week: 87,This Is Me,Keala Settle & The Greatest Showman Ensemble
https://www.billboard.com/charts/hot-100/2018-03-17,61,Last Week: 46,River,Eminem Featuring Ed Sheeran
https://www.billboard.com/charts/hot-100/2018-03-17,62,Last Week: 68,Singles You Up,Jordan Davis
https://www.billboard.com/charts/hot-100/2018-03-17,63,Last Week: 54,Pick It Up,Famous Dex Featuring A$AP Rocky
https://www.billboard.com/charts/hot-100/2018-03-17,64,Last Week: 52,El Farsante,Ozuna & Romeo Santos
https://www.billboard.com/charts/hot-100/2018-03-17,65,Last Week: 22,44 More,Logic
https://www.billboard.com/charts/hot-100/2018-03-17,66,Last Week: 58,Love Lies,Khalid & Normani
https://www.billboard.com/charts/hot-100/2018-03-17,67,Last Week: 69,All On Me,Devin Dawson
https://www.billboard.com/charts/hot-100/2018-03-17,68,Last Week: 59,Written In The Sand,Old Dominion
https://www.billboard.com/charts/hot-100/2018-03-17,69,Last Week: 67,Hardaway,Derez De'Shon
https://www.billboard.com/charts/hot-100/2018-03-17,70,Last Week: --,The Champion,Carrie Underwood Featuring Ludacris
https://www.billboard.com/charts/hot-100/2018-03-17,71,Last Week: 78,IDGAF,Dua Lipa
https://www.billboard.com/charts/hot-100/2018-03-17,72,Last Week: 66,Betrayed,Lil Xan
https://www.billboard.com/charts/hot-100/2018-03-17,73,Last Week: 81,Booty,Blac Youngsta
https://www.billboard.com/charts/hot-100/2018-03-17,74,Last Week: 65,Narcos,Migos
https://www.billboard.com/charts/hot-100/2018-03-17,75,Last Week: 70,No Smoke,YoungBoy Never Broke Again
https://www.billboard.com/charts/hot-100/2018-03-17,76,Last Week: --,Powerglide,Rae Sremmurd & Juicy J
https://www.billboard.com/charts/hot-100/2018-03-17,77,Last Week: 75,The Long Way,Brett Eldredge
https://www.billboard.com/charts/hot-100/2018-03-17,78,Last Week: 77,Red Roses,Lil Skies Featuring Landon Cube
https://www.billboard.com/charts/hot-100/2018-03-17,79,Last Week: 91,When We,Tank
https://www.billboard.com/charts/hot-100/2018-03-17,80,Last Week: --,X,Nicky Jam x J Balvin
https://www.billboard.com/charts/hot-100/2018-03-17,81,Last Week: 83,Beautiful Trauma,P!nk
https://www.billboard.com/charts/hot-100/2018-03-17,82,Last Week: 71,Candy Paint,Post Malone
https://www.billboard.com/charts/hot-100/2018-03-17,83,Last Week: 80,La Modelo,Ozuna x Cardi B
https://www.billboard.com/charts/hot-100/2018-03-17,84,Last Week: 88,I Like Me Better,Lauv
https://www.billboard.com/charts/hot-100/2018-03-17,85,Last Week: 82,Dark Knight Dummo,Trippie Redd Featuring Travis Scott
https://www.billboard.com/charts/hot-100/2018-03-17,86,Last Week: 86,At The Club,Jacquees X Dej Loaf
https://www.billboard.com/charts/hot-100/2018-03-17,87,Last Week: 85,Rubbin Off The Paint,YBN Nahmir
https://www.billboard.com/charts/hot-100/2018-03-17,88,Last Week: 79,Echame La Culpa,Luis Fonsi & Demi Lovato
https://www.billboard.com/charts/hot-100/2018-03-17,89,Last Week: 64,X,"ScHoolboy Q, 2 Chainz & Saudi"
https://www.billboard.com/charts/hot-100/2018-03-17,90,Last Week: 63,Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie"
https://www.billboard.com/charts/hot-100/2018-03-17,91,Last Week: --,Stranger Things,Joyner Lucas & Chris Brown
https://www.billboard.com/charts/hot-100/2018-03-17,92,Last Week: 76,Paramedic!,SOB X RBE
https://www.billboard.com/charts/hot-100/2018-03-17,93,Last Week: 96,She's With Me,High Valley
https://www.billboard.com/charts/hot-100/2018-03-17,94,Last Week: 84,Tell Me You Love Me,Demi Lovato
https://www.billboard.com/charts/hot-100/2018-03-17,95,Last Week: 94,Get You,Daniel Caesar Featuring Kali Uchis
https://www.billboard.com/charts/hot-100/2018-03-17,96,Last Week: --,Tempo,Chris Brown
https://www.billboard.com/charts/hot-100/2018-03-17,97,Last Week: 93,Corazon,Maluma X Nego do Borel
https://www.billboard.com/charts/hot-100/2018-03-17,98,Last Week: --,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd
https://www.billboard.com/charts/hot-100/2018-03-17,99,Last Week: --,I Lived It,Blake Shelton
https://www.billboard.com/charts/hot-100/2018-03-17,100,Last Week: --,Broken Clocks,SZA
