Hypertension_Glossary
url,Term,Definition
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Corticosteroids,": Natural hormones, or a group of drugs that are similar to the natural hormones produced by the adrenal glands. There are 2 main types of corticosteroids: glucocorticoids, which have anti-inflammatory effects (help reduce swelling), and mineralocorticoids, which are necessary for salt and water balance."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Cyclosporine,: A drug that organ transplant patients take to suppress the immune system in order to keep their bodies from rejecting the transplant.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,DASH diet,": The Dietary Approaches to Stop Hypertension (DASH) diet. The DASH diet calls for a certain number of servings daily from various food groups, including more daily servings of fruits, vegetables, and whole grain foods."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Diastolic blood pressure,: The lowest pressure of blood against the walls of the arteries when the heart relaxes between beats.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Diuretics,": One kind of medicine used to treat hypertension. Diuretics act on the kidneys to remove excess salt from the blood. This increases the flow of urine and the need to urinate. This, in turn, reduces the amount of water in the body, which helps lower blood pressure."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Echocardiogram,: A test that uses a device to bounce sound waves off the heart to create an image. The image shows the blood flow in the heart’s chambers.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Electrocardiogram (EKG or ECG),": A diagnostic test that measures the electrical activity, rate, and rhythm of the heartbeat via electrodes that are attached to the patient’s arms, legs, and chest."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Essential hypertension,: High blood pressure that does not have an apparent cause. The vast majority (95%) of high blood pressure is essential hypertension.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Exercise stress test,: A test in which electrocardiogram readings are taken while the patient exercises on a treadmill or stationary bicycle to increase the heart rate to a predetermined point.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Erythropoietin,: A hormone that stimulates production of red blood cells. It is used to treat anemia caused by chronic (long-term) diseases.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Heart attack,: Damage to the heart muscle caused by loss of blood flow to the heart.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Hypertension,: High blood pressure.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Hypertensive emergency,": A severe elevation (rise) in blood pressure that can lead to organ damage, including encephalopathy (brain damage), heart attack, heart failure, hemorrhagic stroke (bleeding into the brain), eclampsia (a condition in which pregnant women retain water and have hypertension, protein in the urine, and seizures), and arterial bleeding."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Hypertensive retinopathy,": Damage, caused by hypertension, to the blood vessels in the retina (the area at the back of the eye that contains the cells that are sensitive to light)."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Hypertensive urgency,": A form of hypertensive crisis. Hypertensive urgency is a range of situations that includes high blood pressure and organ damage (already present, or getting worse) caused by high blood pressure."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Hypertrophic cardiomyopathy,": A condition in which the heart muscle becomes enlarged and too thick to function as it should. This thickening might reduce the size of the heart chambers, keep the heart valves from working properly, or block the flow of blood out of the heart."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Ischemic heart disease,": A condition caused by a decrease in blood flow to the heart. This decrease is usually the result of narrowed coronary arteries, which slows down the blood flow."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Kidney failure (end stage renal disease),: A condition in which the kidney cannot filter and excrete (get rid of) waste products.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Magnetic resonance imaging (MRI),": A medical test that uses magnets to study images of the body. As in a CT scan, a computer constructs an image of the body from the magnetic information. This test is particularly useful for studying soft tissues (such as organs in the body)."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Magnetic resonance arteriography (MRA),": A type of MRI test that provides detailed pictures of blood vessels, and can reveal where arteries might be narrowed or where blood flow is blocked."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Potassium,": An electrolyte that is used to make energy for all muscles, including heart muscles."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Proteinuria,: The presence of protein in the urine. This might indicate kidney disease or damage.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Secondary hypertension,": High blood pressure that is caused by conditions such as alcohol or drug abuse, pregnancy, kidney disorders, or taking certain medicines."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Sphygmomanometer,": A device that is used to measure blood pressure. The sphygmomanometer consists of an arm cuff, dial, pump, and valve."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Stent,: A metal device that is used to hold tissue in place. A stent can keep blood vessels open after a surgical procedure or heart catheterization.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Stroke,": An interruption of the blood supply in the brain that results in damaged brain tissue. An interruption can be caused by clots that block blood flow, or by bleeding in the brain from a ruptured blood vessel or a significant injury."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Systolic blood pressure,: The highest force of blood against the walls of the artery when the heart contracts or squeezes blood into the blood vessels.
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,TIA (transient ischemic attack),": A ""mini-stroke,"" or a warning of a potential stroke. A TIA takes place when blood flow to part of the brain is briefly interrupted."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,TPA,": A thrombolytic agent, or “clot buster” medicine. TPA might be used as a treatment for acute ischemic stroke (a stroke that happens suddenly and is caused by a clot that is blocking blood flow to part of the brain)."
https://my.clevelandclinic.org/health/articles/12273-hypertension-glossary,Ultrasound,: A test that uses high-frequency sound waves to create images of body organs and systems.
