National_Capitals
url,Capital_City,Country,Notes
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Caracas,Venezuela,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Castries,Saint Lucia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Charlotte Amalie,United States Virgin Islands,Territory of the U.S.
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Chișinău,Moldova,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Cockburn Town,Turks and Caicos Islands,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Conakry,Guinea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Copenhagen,Denmark,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Dakar,Senegal,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Damascus,Syria,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Dhaka,Bangladesh,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Dili,East Timor,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Djibouti,Djibouti,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Dodoma (official, legislative)",Tanzania,"Dar es Salaam, the former capital and largest city continues to serve as the de facto seat of government hosting the presidency, government ministries, judiciary and diplomatic missions."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Doha,Qatar,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Douglas,Isle of Man,British Crown Dependency
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Dublin,Ireland,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Dushanbe,Tajikistan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Edinburgh of the Seven Seas,Tristan da Cunha,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"El Aioun (declared)
 Tifariti (de facto)",Sahrawi Arab Democratic Republic,"The Sahrawi Republic, recognised by 82 states, claims the mostly Moroccan controlled Western Sahara. Moroccan controlled territory includes El Aaiún, and Morocco claims all Sahrawi controlled territory. Tifariti is now the temporary capital (instead of Bir Lehlou earlier) of the SADR. Some government and military structures reside in exile in Tindouf, Algeria.[1] See Politics of the Sahrawi Arab Democratic Republic."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Episkopi Cantonment,Akrotiri and Dhekelia,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Flying Fish Cove,Christmas Island,External territory of Australia
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Freetown,Sierra Leone,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Funafuti,Tuvalu,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Gaborone,Botswana,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,George Town,Cayman Islands,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Georgetown,Ascension Island,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Georgetown,Guyana,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Gibraltar,Gibraltar,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Guatemala City,Guatemala,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Gustavia,Saint Barthélemy,Overseas collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hagåtña,Guam,Territory of the United States
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hamilton,Bermuda,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hanga Roa,Easter Island,Special territory of Chile
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hanoi,Vietnam,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Harare,Zimbabwe,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hargeisa,Somaliland,"De facto independent state not diplomatically recognized by any other state, claimed in whole by the Somali Republic.[2]"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Havana,Cuba,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Helsinki,Finland,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Hong Kong,Hong Kong,"Special administrative region of the People's Republic of China functioning as a City-state,[3] former British dependent territory."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Honiara,Solomon Islands,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Islamabad,Pakistan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Jakarta,Indonesia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Jamestown,Saint Helena,"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Jerusalem,Israel,"Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"", and the city serves as the seat of the government, home to the president's residence, government offices, supreme court, and parliament. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. The United Nations and all member states currently maintain their embassies in other cities such as Tel Aviv, Ramat Gan, and Herzliya. The United States recognized Jerusalem as the capital and announced plans to move its embassy to Jerusalem in December 2017. [4] Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the Partition Plan of 1947.[5] The Palestinian National Authority claims East Jerusalem as the capital of a future Palestinian state. See Positions on Jerusalem."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Juba,South Sudan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kabul,Afghanistan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kampala,Uganda,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kathmandu,Nepal,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Khartoum,Sudan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kiev,Ukraine,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kigali,Rwanda,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,King Edward Point,South Georgia and the South Sandwich Islands,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kingston,Jamaica,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kingston,Norfolk Island,External territory of Australia
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kingstown,Saint Vincent and the Grenadines,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kinshasa,Democratic Republic of the Congo,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Kuala Lumpur (official, legislative and royal)
 Putrajaya (administrative and judicial)",Malaysia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Kuwait City,Kuwait,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Libreville,Gabon,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Lilongwe,Malawi,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Lima,Peru,"Cusco is declared as the ""Historical Capital"" (Spanish: Capital Historica), a merely symbolic statement, by Article 49 of the Peruvian Constitution."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Lisbon,Portugal,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ljubljana,Slovenia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Lomé,Togo,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,London,United Kingdom,"Prior to the Acts of Union in 1707, London was the capital of England only. Edinburgh was the capital of the Kingdom of Scotland"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Luanda,Angola,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Lusaka,Zambia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Luxembourg,Luxembourg,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Madrid,Spain,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Majuro,Marshall Islands,Self-governing in free association with United States.
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Malabo,Equatorial Guinea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Malé,Maldives,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Managua,Nicaragua,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Manama,Bahrain,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Manila,Philippines,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Maputo,Mozambique,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Marigot,Saint Martin,Overseas collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Maseru,Lesotho,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Mata-Utu,Wallis and Futuna,Overseas collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Mbabane (administrative)
 Lobamba (royal and legislative)",Swaziland,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Mexico City,Mexico,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Minsk,Belarus,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Mogadishu,Somalia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Monaco,Monaco,City-state
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Monrovia,Liberia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Montevideo,Uruguay,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Moroni,Comoros,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Moscow,Russia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Muscat,Oman,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nairobi,Kenya,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nassau,Bahamas,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Naypyidaw,Myanmar,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,N'Djamena,Chad,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,New Delhi,India,Kolkata was the capital of India until 1911 during the British Raj
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ngerulmud,Palau,Self-governing in free association with United States.
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Niamey,Niger,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nicosia,Cyprus,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nicosia,Northern Cyprus,De facto independent state that is recognised only by Turkey. Northern Cyprus is claimed in whole by the Republic of Cyprus.[6]
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nouakchott,Mauritania,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nouméa,New Caledonia,Sui generis collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nukuʻalofa,Tonga,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Nuuk,Greenland,Self-governing country within the Kingdom of Denmark
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Oranjestad,Aruba,Self-governing country within the Kingdom of the Netherlands
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Oslo,Norway,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ottawa,Canada,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ouagadougou,Burkina Faso,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Pago Pago,American Samoa,Territory of the United States
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Palikir,Federated States of Micronesia,Self-governing in free association with United States.
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Panama City,Panama,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Papeete,French Polynesia,Overseas collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Paramaribo,Suriname,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Paris,France,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Philipsburg,Sint Maarten,Self-governing country within the Kingdom of the Netherlands
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Phnom Penh,Cambodia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Plymouth (official)
 Brades Estate (de facto)",Montserrat,"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufriere Hills volcano in 1997. Government offices since then have been moved to Brades Estate, which is in the northwestern part of Montserrat."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Podgorica (official)
 Cetinje (Old Royal Capital, present seat of the President)",Montenegro,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Port Louis,Mauritius,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Port Moresby,Papua New Guinea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Port Vila,Vanuatu,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Port-au-Prince,Haiti,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Port of Spain,Trinidad and Tobago,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Porto-Novo (official)
 Cotonou (de facto)",Benin,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Prague,Czech Republic,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Praia,Cape Verde,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Pretoria (executive)
 Bloemfontein (judicial)
 Cape Town (legislative)",South Africa,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Pristina,Kosovo,"De facto independent state that is recognised by 113 UN member states and by Taiwan. Claimed in whole by the Republic of Serbia as part of its Autonomous Province of Kosovo and Metohija. Republic of Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Pyongyang,North Korea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Quito,Ecuador,"Highest official capital (2,850 m).[7]"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Rabat,Morocco,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Reykjavík,Iceland,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Riga,Latvia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Riyadh,Saudi Arabia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Road Town,British Virgin Islands,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Rome,Italy,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Roseau,Dominica,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Saipan,Northern Mariana Islands,Territory of the United States
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,San José,Costa Rica,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,San Juan,Puerto Rico,Territory of the United States
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,San Marino,San Marino,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,San Salvador,El Salvador,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Sana'a (de jure)
 Aden (de facto, seat of government)",Yemen,Sana'a has been occupied by Houthis rebels since February 2015. See also: Yemeni Civil War (2015–present).
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Santiago,Chile,The National Congress of Chile is located in Valparaíso
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Santo Domingo,Dominican Republic,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,São Tomé,São Tomé and Príncipe,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Sarajevo,Bosnia and Herzegovina,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Seoul,South Korea,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Singapore,Singapore,City-state
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Skopje,Republic of Macedonia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Sofia,Bulgaria,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Sri Jayawardenepura Kotte (official)
 Colombo (former capital; has some government offices)",Sri Lanka,"Also known as ""Kotte"". Until the 1980s, the capital was Colombo, where many important governmental institutions still remain and which is still designated as the commercial capital of Sri Lanka."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,St. George's,Grenada,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,St. Helier,Jersey,British Crown Dependency
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,St. John's,Antigua and Barbuda,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,St. Peter Port,Guernsey,British Crown Dependency
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,St. Pierre,Saint Pierre and Miquelon,Overseas collectivity of France
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Stanley,Falkland Islands,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Stepanakert,Artsakh,"The self-declared country remains diplomatically unrecognised by UN-member states, including Armenia. Transnistria, South Ossetia, and Abkhazia, all UN non-member states, recognise the state. Claimed in whole by Azerbaijan."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Stockholm,Sweden,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Sucre (constitutional)
 La Paz (administrative)",Bolivia,"La Paz is the highest administrative capital (3,650 m), higher than Quito.[7]"
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Sukhumi,Abkhazia,"De facto independent state recognised by Russia, Nauru, Nicaragua, Venezuela, South Ossetia and Transnistria. Claimed in whole by Republic of Georgia as the Autonomous Republic of Abkhazia."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Suva,Fiji,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Taipei,Taiwan,"Officially the Republic of China (ROC), it has been competing for recognition with the People's Republic of China (PRC) as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and its associated islands, Quemoy, Matsu, the Pratas, and part of the Spratly Islands[Note 1] The territory of Taiwan is claimed in whole by the People's Republic of China.[Note 2] The Republic of China participates in the World Health Organization and a number of non-UN international organizations such as the World Trade Organization, International Olympic Committee and others under a variety of pseudonyms, most commonly Chinese Taipei."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tallinn,Estonia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tarawa,Kiribati,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tashkent,Uzbekistan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,"Tbilisi (official)
 Kutaisi (legislative)",Georgia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tegucigalpa,Honduras,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tehran,Iran,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Thimphu,Bhutan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tirana,Albania,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tiraspol,Transnistria,"De facto independent state, not recognized by any UN-member, but by Abkhazia and South Ossetia. Claimed in whole by the Republic of Moldova as the Territorial Unit of Transnistria."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tokyo,Japan,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tórshavn,Faroe Islands,Self-governing country within the Kingdom of Denmark
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tripoli,Libya,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tskhinvali,South Ossetia,"De facto independent state recognised by Russia, Nicaragua, Nauru, Venezuela, Abkhazia and Transnistria. Claimed in whole by the Republic of Georgia as the Provisional Administrative Entity of South Ossetia."
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Tunis,Tunisia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Ulaanbaatar,Mongolia,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Vaduz,Liechtenstein,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Valletta,Malta,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,The Valley,Anguilla,British Overseas Territory
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Vatican City,Vatican City,City-state
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Victoria,Seychelles,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Vienna,Austria,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Vientiane,Laos,
https://en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order,Vilnius,Lithuania,
