Largest_Shopping_Malls_in_America
url,Rank,Mall_Name,Mall_Name_link,Location,Location_link,Metro_Area,Metro_Area_link,Retail_Space_(sq._ft_/_m^s),Stores,Anchor_Stores/Entertainment_Venues,Year_Opened,Ownership
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,11,Sawgrass Mills,https://en.wikipedia.org/wiki/Sawgrass_Mills,"Sunrise, Florida","https://en.wikipedia.org/wiki/Sunrise,_Florida",Fort Lauderdale,https://en.wikipedia.org/wiki/Fort_Lauderdale,"2,383,906 square feet (221,472.1 m",350; 350,"P.F. Chang's China Bistro, Villago, Grand Lux Cafe, Matchbox, Last Call by Neiman Marcus, Marshalls, Dick's Sporting Goods, Bloomingdale's - The Outlet Store, Rainforest Cafe, Century 21 Department Store, Off 5th Saks Fifth Avenue, Gap Outlet, Forever 21, Super Target, Brandsmart USA, Trendmax Outlet Store, Burlington Coat Factory, Regal Cinemas, IMAX.",1990,Simon Property Group
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,12,Woodfield Mall,https://en.wikipedia.org/wiki/Woodfield_Mall,"Schaumburg, Illinois","https://en.wikipedia.org/wiki/Schaumburg,_Illinois",Chicago,https://en.wikipedia.org/wiki/Chicago,"2,224,000 square feet (206,600 m",300; 300,"Sears, JCPenney, Macy's, Nordstrom, Lord & Taylor",1971,Simon Property Group
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,13,Palisades Center,https://en.wikipedia.org/wiki/Palisades_Center,"West Nyack, New York","https://en.wikipedia.org/wiki/West_Nyack,_New_York",New York City,https://en.wikipedia.org/wiki/New_York_metropolitan_area,"2,217,322 square feet (205,996.0 m",400; 400,"Lord & Taylor, Barnes & Noble, Macy's, Target, AMC Theaters",1998,The Pyramid Companies
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,14,Millcreek Mall,https://en.wikipedia.org/wiki/Millcreek_Mall,"Erie, Pennsylvania","https://en.wikipedia.org/wiki/Erie,_Pennsylvania",Erie County,"https://en.wikipedia.org/wiki/Erie_County,_Pennsylvania","2,200,000 square feet (200,000 m",175; 175,"Macy's, JCPenney, Boscov's, Bon-Ton, H&M",1975,Cafaro Company
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,15,Plaza Las Américas,https://en.wikipedia.org/wiki/Plaza_Las_Am%C3%A9ricas,"San Juan, Puerto Rico","https://en.wikipedia.org/wiki/San_Juan,_Puerto_Rico",San Juan,"https://en.wikipedia.org/wiki/San_Juan,_Puerto_Rico","2,173,000 square feet (201,900 m",300+; 300+,"Macy's, Sears, JCPenney, Old Navy, Caribbean Cinemas, Kmart, Toys ""R"" Us, Forever 21",1968,"Plaza Las Américas, Inc, Empresas Fonalledas, Inc."
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,16,South Shore Plaza,https://en.wikipedia.org/wiki/South_Shore_Plaza,"Braintree, Massachusetts","https://en.wikipedia.org/wiki/Braintree,_Massachusetts",Boston,https://en.wikipedia.org/wiki/Boston,"2,165,000 square feet (201,100 m",225; 225,"Macy's, Lord & Taylor, Sears, Nordstrom, Target",1961,Simon Property Group
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,17,Westfield Garden State Plaza,https://en.wikipedia.org/wiki/Westfield_Garden_State_Plaza,"Paramus, New Jersey","https://en.wikipedia.org/wiki/Paramus,_New_Jersey",New York City,https://en.wikipedia.org/wiki/New_York_metropolitan_area,"2,132,112 square feet (198,079.7 m",346; 346,"Macy’s, Nordstrom, Neiman Marcus, Lord & Taylor, AMC Theatres",1957,Westfield Corporation
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,18,Lakewood Center,https://en.wikipedia.org/wiki/Lakewood_Center,"Lakewood, California","https://en.wikipedia.org/wiki/Lakewood,_California",Los Angeles,https://en.wikipedia.org/wiki/Los_Angeles,"2,092,710 square feet (194,419 m",255; 255,"Macy's, Target, Forever 21, JCPenney, Pacific Theatres, Costco",1951,Macerich
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,19,Scottsdale Fashion Square,https://en.wikipedia.org/wiki/Scottsdale_Fashion_Square,"Scottsdale, Arizona","https://en.wikipedia.org/wiki/Scottsdale,_Arizona",Phoenix,"https://en.wikipedia.org/wiki/Phoenix,_Arizona","2,049,169 square feet (190,374.0 m",250+; 250+,"Macy’s, Dick's Sporting Goods, Dillard's, Forever 21, H&M, Nordstrom, Neiman Marcus",1961,Macerich
https://en.wikipedia.org/wiki/List_of_largest_shopping_malls_in_the_United_States,20,Oakbrook Center,https://en.wikipedia.org/wiki/Oakbrook_Center,"Oak Brook, Illinois","https://en.wikipedia.org/wiki/Oak_Brook,_Illinois",Chicago,https://en.wikipedia.org/wiki/Chicago,"2,018,000 square feet (187,500 m",175; 175,"Macy’s, Sears, Nordstrom, Neiman Marcus, Lord & Taylor",1962,"General Growth Properties, CalPERS"
