List_of_Presidents_of_the_United_States
url,Number,Presidency_-_begin,Presidency_-_end,President,President_link,Dates_birth_and_death,Lived,Prior_office,Party,Party_link,Begin_term,Term_number,End_term,Vice_President
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,5,"March 4, 1817","March 4, 1825",James Monroe,https://en.wikipedia.org/wiki/James_Monroe,1758–1831,(Lived: 73 years),"7th
 United States Secretary of State
 (1811–1817)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1820),9,(1821),Daniel D. Tompkins
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,6,"March 4, 1825","March 4, 1829",John Quincy Adams,https://en.wikipedia.org/wiki/John_Quincy_Adams,1767–1848,(Lived: 80 years),"8th
 United States Secretary of State
 (1817–1825)","Democratic-
 Republican",https://en.wikipedia.org/wiki/Democratic-Republican_Party,(1824),10,(1825),John C. Calhoun
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,7,"March 4, 1829","March 4, 1837",Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,1767–1845,(Lived: 78 years),"U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1828),11,(1829),"John C. Calhoun
 [i]
 March 4, 1829 – December 28, 1832
 (Resigned from office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,7,"March 4, 1829","March 4, 1837",Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,1767–1845,(Lived: 78 years),"U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1828),11,(1829),"Office vacant
 (Balance of Calhoun's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,7,"March 4, 1829","March 4, 1837",Andrew Jackson,https://en.wikipedia.org/wiki/Andrew_Jackson,1767–1845,(Lived: 78 years),"U.S. Senator (Class 2) from Tennessee
 (1797–1798 & 1823–1825)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1832),12,(1833),"Martin Van Buren
 March 4, 1833 – March 4, 1837"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,8,"March 4, 1837","March 4, 1841",Martin Van Buren,https://en.wikipedia.org/wiki/Martin_Van_Buren,1782–1862,(Lived: 79 years),"8th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1836),13,(1837),Richard M. Johnson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,9,"March 4, 1841","April 4, 1841",William Henry Harrison,https://en.wikipedia.org/wiki/William_Henry_Harrison,1773–1841,(Lived: 68 years),"United States Minister to Colombia
 (1828–1829)",Whig,https://en.wikipedia.org/wiki/Whig_Party_(United_States),(1840),14,"(1841)
 (1841)","John Tyler
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,10,"April 4, 1841
 [k]","March 4, 1845",John Tyler,https://en.wikipedia.org/wiki/John_Tyler,1790–1862,(Lived: 71 years),"10th
 Vice President of the United States",Whig,https://en.wikipedia.org/wiki/Whig_Party_(United_States),(1840),14,"(1841)
 (1841)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,10,"April 4, 1841
 [k]","March 4, 1845",John Tyler,https://en.wikipedia.org/wiki/John_Tyler,1790–1862,(Lived: 71 years),"10th
 Vice President of the United States",,,(1840),14,"(1841)
 (1841)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,11,"March 4, 1845","March 4, 1849",James K. Polk,https://en.wikipedia.org/wiki/James_K._Polk,1795–1849,(Lived: 53 years),"9th
 Governor of Tennessee
 (1839–1841)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1844),15,(1845),George M. Dallas
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,12,"March 4, 1849","July 9, 1850",Zachary Taylor,https://en.wikipedia.org/wiki/Zachary_Taylor,1784–1850,(Lived: 65 years),"Major General of the 1st Infantry Regiment
 United States Army
 (1846–1849)
 (No prior elected office)",Whig,https://en.wikipedia.org/wiki/Whig_Party_(United_States),(1848),16,"(1849)
 (1850)","Millard Fillmore
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,13,"July 9, 1850
 [m]","March 4, 1853",Millard Fillmore,https://en.wikipedia.org/wiki/Millard_Fillmore,1800–1874,(Lived: 74 years),"12th
 Vice President of the United States",Whig,https://en.wikipedia.org/wiki/Whig_Party_(United_States),(1848),16,"(1849)
 (1850)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,14,"March 4, 1853","March 4, 1857",Franklin Pierce,https://en.wikipedia.org/wiki/Franklin_Pierce,1804–1869,(Lived: 64 years),"Brigadier General of the 9th Infantry
 United States Army
 (1847–1848)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1852),17,(1853),"William R. King
 March 4 – April 18, 1853
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,14,"March 4, 1853","March 4, 1857",Franklin Pierce,https://en.wikipedia.org/wiki/Franklin_Pierce,1804–1869,(Lived: 64 years),"Brigadier General of the 9th Infantry
 United States Army
 (1847–1848)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1852),17,(1853),"Office vacant
 (Balance of King's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,15,"March 4, 1857","March 4, 1861",James Buchanan,https://en.wikipedia.org/wiki/James_Buchanan,1791–1868,(Lived: 77 years),"United States Minister to the
 Court of St James's
 (1853–1856)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1856),18,(1857),John C. Breckinridge
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,16,"March 4, 1861","April 15, 1865",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,1809–1865,(Lived: 56 years),"U.S. Representative for Illinois's 7th District
 (1847–1849)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1860),19,(1861),"Hannibal Hamlin
 March 4, 1861 – March 4, 1865"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,16,"March 4, 1861","April 15, 1865",Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,1809–1865,(Lived: 56 years),"U.S. Representative for Illinois's 7th District
 (1847–1849)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1864),20,"(1865)
 (1865)","Andrew Johnson
 March 4 – April 15, 1865
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,17,"April 15, 1865","March 4, 1869",Andrew Johnson,https://en.wikipedia.org/wiki/Andrew_Johnson,1808–1875,(Lived: 66 years),"16th
 Vice President of the United States",National Union,https://en.wikipedia.org/wiki/National_Union_Party_(United_States),(1864),20,"(1865)
 (1865)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,17,"April 15, 1865","March 4, 1869",Andrew Johnson,https://en.wikipedia.org/wiki/Andrew_Johnson,1808–1875,(Lived: 66 years),"16th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1864),20,"(1865)
 (1865)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,18,"March 4, 1869","March 4, 1877",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1822–1885,(Lived: 63 years),"Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1868),21,(1869),"Schuyler Colfax
 March 4, 1869 – March 4, 1873"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,18,"March 4, 1869","March 4, 1877",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1822–1885,(Lived: 63 years),"Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1872),22,(1873),"Henry Wilson
 March 4, 1873 – November 22, 1875
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,18,"March 4, 1869","March 4, 1877",Ulysses S. Grant,https://en.wikipedia.org/wiki/Ulysses_S._Grant,1822–1885,(Lived: 63 years),"Commanding General of the U.S. Army
 (1864–1869)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1872),22,(1873),"Office vacant
 (Balance of Wilson's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,19,"March 4, 1877","March 4, 1881",Rutherford B. Hayes,https://en.wikipedia.org/wiki/Rutherford_B._Hayes,1822–1893,(Lived: 70 years),"29th & 32nd
 Governor of Ohio
 (1868–1872 & 1876–1877)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1876),23,(1877),William A. Wheeler
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,20,"March 4, 1881","September 19, 1881",James A. Garfield,https://en.wikipedia.org/wiki/James_A._Garfield,1831–1881,(Lived: 49 years),"U.S. Representative for Ohio's 19th District
 (1863–1881)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1880),24,"(1881)
 (1881)","Chester A. Arthur
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,21,"September 19, 1881
 [p]","March 4, 1885",Chester A. Arthur,https://en.wikipedia.org/wiki/Chester_A._Arthur,1829–1886,(Lived: 57 years),"20th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1880),24,"(1881)
 (1881)",Office vacant
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,22,"March 4, 1885","March 4, 1889",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland,1837–1908,(Lived: 71 years),"28th
 Governor of New York
 (1883–1885)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1884),25,(1885),"Thomas A. Hendricks
 March 4 – November 25, 1885
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,22,"March 4, 1885","March 4, 1889",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland,1837–1908,(Lived: 71 years),"28th
 Governor of New York
 (1883–1885)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1884),25,(1885),"Office vacant
 (Balance of Hendricks's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,23,"March 4, 1889","March 4, 1893",Benjamin Harrison,https://en.wikipedia.org/wiki/Benjamin_Harrison,1833–1901,(Lived: 67 years),"U.S. Senator (Class 1) from Indiana
 (1881–1887)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1888),26,(1889),Levi P. Morton
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,24,"March 4, 1893","March 4, 1897",Grover Cleveland,https://en.wikipedia.org/wiki/Grover_Cleveland,1837–1908,(Lived: 71 years),"22nd
 President of the United States
 (1885–1889)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1892),27,(1893),Adlai Stevenson
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,25,"March 4, 1897","September 14, 1901",William McKinley,https://en.wikipedia.org/wiki/William_McKinley,1843–1901,(Lived: 58 years),"39th
 Governor of Ohio
 (1892–1896)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1896),28,(1897),"Garret Hobart
 March 4, 1897 – November 21, 1899
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,25,"March 4, 1897","September 14, 1901",William McKinley,https://en.wikipedia.org/wiki/William_McKinley,1843–1901,(Lived: 58 years),"39th
 Governor of Ohio
 (1892–1896)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1896),28,(1897),"Office vacant
 (Balance of Hobart's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,25,"March 4, 1897","September 14, 1901",William McKinley,https://en.wikipedia.org/wiki/William_McKinley,1843–1901,(Lived: 58 years),"39th
 Governor of Ohio
 (1892–1896)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1900),29,"(1901)
 (1901)","Theodore Roosevelt
 March 4 – September 14, 1901
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,26,"September 14, 1901","March 4, 1909",Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1858–1919,(Lived: 60 years),"25th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1900),29,"(1901)
 (1901)","Office vacant
 September 14, 1901 – March 4, 1905"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,26,"September 14, 1901","March 4, 1909",Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,1858–1919,(Lived: 60 years),"25th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1904),30,(1905),"Charles W. Fairbanks
 March 4, 1905 – March 4, 1909"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,27,"March 4, 1909","March 4, 1913",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft,1857–1930,(Lived: 72 years),"42nd
 United States Secretary of War
 (1904–1908)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1908),31,(1909),"James S. Sherman
 March 4, 1909 – October 30, 1912
 (Died in office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,27,"March 4, 1909","March 4, 1913",William Howard Taft,https://en.wikipedia.org/wiki/William_Howard_Taft,1857–1930,(Lived: 72 years),"42nd
 United States Secretary of War
 (1904–1908)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1908),31,(1909),"Office vacant
 (Balance of Sherman's term)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,28,"March 4, 1913","March 4, 1921",Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson,1856–1924,(Lived: 67 years),"34th
 Governor of New Jersey
 (1911–1913)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1912),32,(1913),Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,28,"March 4, 1913","March 4, 1921",Woodrow Wilson,https://en.wikipedia.org/wiki/Woodrow_Wilson,1856–1924,(Lived: 67 years),"34th
 Governor of New Jersey
 (1911–1913)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1916),33,(1917),Thomas R. Marshall
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,29,"March 4, 1921","August 2, 1923",Warren G. Harding,https://en.wikipedia.org/wiki/Warren_G._Harding,1865–1923,(Lived: 57 years),"U.S. Senator (Class 3) from Ohio
 (1915–1921)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1920),34,"(1921)
 (1923)","Calvin Coolidge
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,30,"August 2, 1923
 [q]","March 4, 1929",Calvin Coolidge,https://en.wikipedia.org/wiki/Calvin_Coolidge,1872–1933,(Lived: 60 years),"29th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1920),34,"(1921)
 (1923)","Office vacant
 August 2, 1923 – March 4, 1925"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,30,"August 2, 1923
 [q]","March 4, 1929",Calvin Coolidge,https://en.wikipedia.org/wiki/Calvin_Coolidge,1872–1933,(Lived: 60 years),"29th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1924),35,(1925),"Charles G. Dawes
 March 4, 1925 – March 4, 1929"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,31,"March 4, 1929","March 4, 1933",Herbert Hoover,https://en.wikipedia.org/wiki/Herbert_Hoover,1874–1964,(Lived: 90 years),"3rd
 United States Secretary of Commerce
 (1921–1928)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1928),36,(1929),Charles Curtis
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,32,,,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882–1945,(Lived: 63 years),"44th
 Governor of New York
 (1929–1932)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1932),37,(1933),"John N. Garner
 March 4, 1933 – January 20, 1941
 [r]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,32,,,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882–1945,(Lived: 63 years),"44th
 Governor of New York
 (1929–1932)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1936),38,(1937),"John N. Garner
 March 4, 1933 – January 20, 1941
 [r]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,32,,,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882–1945,(Lived: 63 years),"44th
 Governor of New York
 (1929–1932)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1940),39,(1941),"Henry A. Wallace
 January 20, 1941 – January 20, 1945"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,32,,,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,1882–1945,(Lived: 63 years),"44th
 Governor of New York
 (1929–1932)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1944),40,"(1945)
 (1945)","Harry S. Truman
 January 20 – April 12, 1945
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,33,"April 12, 1945","January 20, 1953",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman,1884–1972,(Lived: 88 years),"34th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1944),40,"(1945)
 (1945)","Office vacant
 April 12, 1945 – January 20, 1949"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,33,"April 12, 1945","January 20, 1953",Harry S. Truman,https://en.wikipedia.org/wiki/Harry_S._Truman,1884–1972,(Lived: 88 years),"34th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1948),41,(1949),"Alben W. Barkley
 January 20, 1949 – January 20, 1953"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,34,"January 20, 1953","January 20, 1961",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1890–1969,(Lived: 78 years),"Supreme Allied Commander Europe
 (1949–1952)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1952),42,(1953),Richard Nixon
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,34,"January 20, 1953","January 20, 1961",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1890–1969,(Lived: 78 years),"Supreme Allied Commander Europe
 (1949–1952)
 (No prior elected office)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1956),43,(1957),Richard Nixon
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,35,"January 20, 1961","November 22, 1963",John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,1917–1963,(Lived: 46 years),"U.S. Senator (Class 1) from Massachusetts
 (1953–1960)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1960),44,"(1961)
 (1963)","Lyndon B. Johnson
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,36,"November 22, 1963","January 20, 1969",Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1908–1973,(Lived: 64 years),"37th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1960),44,"(1961)
 (1963)","Office vacant
 November 22, 1963 – January 20, 1965"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,36,"November 22, 1963","January 20, 1969",Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,1908–1973,(Lived: 64 years),"37th
 Vice President of the United States",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1964),45,(1965),"Hubert Humphrey
 January 20, 1965 – January 20, 1969"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,37,"January 20, 1969","August 9, 1974",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,1913–,(Lived: 81 years),"36th
 Vice President of the United States
 (1953–1961)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1968),46,(1969),"Spiro Agnew
 January 20, 1969 – October 10, 1973
 (Resigned from office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,37,"January 20, 1969","August 9, 1974",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,1913–,(Lived: 81 years),"36th
 Vice President of the United States
 (1953–1961)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1972),47,"(1973)
 (1974)","Spiro Agnew
 January 20, 1969 – October 10, 1973
 (Resigned from office)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,37,"January 20, 1969","August 9, 1974",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,1913–,(Lived: 81 years),"36th
 Vice President of the United States
 (1953–1961)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1972),47,"(1973)
 (1974)","Office vacant
 October 10 – December 6, 1973"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,37,"January 20, 1969","August 9, 1974",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon,1913–,(Lived: 81 years),"36th
 Vice President of the United States
 (1953–1961)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1972),47,"(1973)
 (1974)","Gerald Ford
 December 6, 1973 – August 9, 1974
 (Succeeded to presidency)"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,38,"August 9, 1974","January 20, 1977",Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford,1913–,(Lived: 93 years),"40th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1972),47,"(1973)
 (1974)","Office vacant
 August 9 – December 19, 1974"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,38,"August 9, 1974","January 20, 1977",Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford,1913–,(Lived: 93 years),"40th
 Vice President of the United States",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),"December 19, 1974 – January 20, 1977",,"(1973)
 (1974)","(1972)
 47
 (1973)
 (1974)
 [j]"
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,39,"January 20, 1977","January 20, 1981",Jimmy Carter,https://en.wikipedia.org/wiki/Jimmy_Carter,Born 1924,(93 years old),"76th
 Governor of Georgia
 (1971–1975)",Democratic,https://en.wikipedia.org/wiki/Democratic_Party_(United_States),(1976),48,(1977),Walter Mondale
https://en.wikipedia.org/wiki/List_of_Presidents_of_the_United_States,40,"January 20, 1981","January 20, 1989",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,1911–,(Lived: 93 years),"33rd
 Governor of California
 (1967–1975)",Republican,https://en.wikipedia.org/wiki/Republican_Party_(United_States),(1980),49,(1981),George H. W. Bush
