Table_1
url,Title,Title_link,Company,Location,Rating,Description,Salary
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Wetland Scientist,https://www.simplyhired.com/job/Z6LSV4YXc1A2lBkZ5-hc-okodPYQICphw_jEGATiT-5l5bRquOtP4g,Fisher Associates,"Rochester, NY",,"Associates of Science in Surveying (or equivalent experience.). In Environmental Science , Biology, or related field required, M.S....","Estimated: $82,000 - $110,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,"CNO, Rochester Regional Health Medical Groups",https://www.simplyhired.com/job/uVpe2IEUM0hW9CoNkzTYmLMkdvS6F8cIQjiC659y_bgmyDakRYS32g,Rochester Regional Health,"Rochester, NY",,Facilitates both clinical education and clinical investigation to advance the art and science of professional nursing practices....,"Estimated: $65,000 - $82,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Entry Level Pharmaceutical Sales Representative,https://www.simplyhired.com/job/rJbUP2Drawh6a9-ChTvSe8Kr4MJBoLbEyPla0Zcv7WjRKIEX0BpJqw,Syneos Health Commerical Solutions,"Rochester, NY",,A competitive drive coupled with the exceptional ability to communicate the science behind our client's products and build lasting business relationships....,"Estimated: $58,000 - $77,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Scientist 1,https://www.simplyhired.com/job/WWwJrgx2fFgBGPqckxw_WHz8Ni5aJBf-wXFByzu85fd4Qa5NH7JtWg,Ortho Clinical Diagnostics,"Rochester, NY",,"A Bachelors Degree in Chemistry/Biology, Medical Technology or related sciences field is preferred. A minimum of an Associate degree in Chemistry/Biology or...","Estimated: $69,000 - $91,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Pathologist Assistant,https://www.simplyhired.com/job/fM4VEl-JNToqHws0nPP_itIuLatxj-LYNleAeZwiUHPpzCwVlTjgwQ,Rochester Regional Health,"Rochester, NY",,Bachelor's Degree in Biology or related sciences. BS degree in a related science and a graduate of accredited Pathologist Assistant Program with....,"Estimated: $50,000 - $69,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,SCIENCE TEACHER,https://www.simplyhired.com/job/vDVMJzDI2T4lZOZoZ034dESGGFoz8GSiwjCjMSadN0B4zFKTmC4sdA,Penfield Central School District,"Penfield, NY",,Must be NYS certified in Biology AND General Science. Bay Trail Middle School....,"Estimated: $40,000 - $53,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Research Technician,https://www.simplyhired.com/job/sR7mwaHJXM4kG9Ee1LJAvRKKsPgo6j-qe8cNgVQgpzQwp0o3rZotlQ,Rochester Institute of Technology,"Rochester, NY",,College of Imaging Arts and Sciences. IPI is an academic research laboratory within the College of Imaging Arts and Sciences at RIT focused on research that...,"Estimated: $23,000 - $32,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Quality Assurance Technician,https://www.simplyhired.com/job/-kBelNeun7VwgCxe8ppBJGb3nm8U29xzfNQHFT8om2qYlDq_RnbGzQ,DuPont,"Rochester, NY",,"You have a minimum of a Bachelors degree in biology or microbiology, chemistry (or equivalent) and at least 1-2 years related work experience....","Estimated: $38,000 - $52,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,R&D Lab Scientist,https://www.simplyhired.com/job/SNAhZ6BUSetnZIRCbYff2Z360xhqMa9JO033TIPUM6lkgMHPa10qQQ,Trison Business Solutions,"Rochester, NY",,"A Bachelor’s Degree in Chemistry/Biology, Medical Technology or related sciences field is preferred. A minimum of an Associate degree in Chemistry/Biology or...","Estimated: $38,000 - $51,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Records and Customer Service Representative,https://www.simplyhired.com/job/MEbmh4t-z5OCu_eI99Zark9OyYA7Ephufx-OCz9ixQO4D452I4l2_w,Rochester Institute of Technology,"Rochester, NY",,RIT has been named by the Chronicle of Higher Education as one of the “Great Colleges to Work For.” RIT is a National Science Foundation ADVANCE Institutional...,"Estimated: $33,000 - $43,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Quality Technician,https://www.simplyhired.com/job/wJA08lH6Z2pf6zf81tBc79cizoceq2yYkR2TuS4uL001MVdtgUbMOQ,"Love Beets Production, LLC","Rochester, NY",,*_JOB SUMMARY_* _: _ Provide support and direction to quality efforts for the Love Beets Production facility acting as primary technical consultant to the...,"Estimated: $49,000 - $65,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Laboratory Technician III (S),https://www.simplyhired.com/job/6Y58fe73O0n19pocu1iLN-ET_4x1qkaJLUot9IFwargbSonq4knUiA,University of Rochester,"Rochester, NY",,This position may entail prolonged periods of standing. The Department of Microbiology and Immunology is seeking a Full-Time Laboratory Technician III to work...,"Estimated: $32,000 - $44,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,BioTelemetry Research - Incoming Image Processing Technologist,https://www.simplyhired.com/job/b45WrBl7hKEEPiBvcqIk4GHh2xIk6eaDj9ytLp7dakHsVJ0q3Q9G_g,"BioTelemetry, Inc.","Rochester, NY",,O Two year degree in life sciences or data management. Incoming Image Processing Technologist....,"Estimated: $51,000 - $74,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Inside Sales/Application Engineer,https://www.simplyhired.com/job/9a0zh_hGKd1fjejQfHpFQMS5mfUyer3ZXZiw5IuShvv6JNW8a0xsow,Rotork Controls Inc,"Rochester, NY",,Bachelors of Sciences (B.S.). The Inside Sales / Applications engineer will be responsible for supporting the quotation process by reviewing customer requests...,"Estimated: $75,000 - $100,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Electrical Engineer- Hardware,https://www.simplyhired.com/job/uQM8AhqBcVcxoZsup-oGFVk-lXm_hK6nhn-Uv7G7xfDviStuZ16Z1w,D3 Engineering,"Rochester, NY",,Bachelor of Science in Electrical Engineering / Computer Engineering discipline along with 3+ years of directly related experience and/or equivalent combination...,"Estimated: $75,000 - $100,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
https://www.simplyhired.com/search?q=science&l=rochester%2C+ny&job=eN9qPX6REZIAFp0DShF5_0BRrY7v-QBpKTgg1ZScULkFlJDMAUTwbg,Senior Electrical Engineer- Hardware,https://www.simplyhired.com/job/q3-vuJCgB8Pl-exBxqUutG7SAjSNlLWPVarSza5IpL4EMd4UZMHw3Q,D3 Engineering,"Rochester, NY",,Bachelor of Science in Electrical Engineering / Computer Engineering discipline along with 7+ years of directly related experience and/or equivalent combination...,"Estimated: $110,000 - $140,000 a year
Please note that all salary figures are approximations based upon third party submissions to SimplyHired or its affiliates. These figures are given to the SimplyHired users for the purpose of generalized comparison only. Minimum wage may differ by jurisdiction and you should consult the employer for actual salary figures.
Send feedback or report inaccuracy"
