Native_Speaker_Ranking
url,Rank,Language,Native_Speakers_In_Millions,Fraction
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,21,Urdu,66,0.99%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,22,Turkish,63,0.95%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,23,Italian,59,0.90%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,24,Yue,59,0.89%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,25,Thai,56,0.85%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,26,Gujarati,49,0.74%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,27,Jin,48,0.72%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,28,Southern Min,47,0.71%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,29,Persian,45,0.68%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,30,Polish,40,0.61%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,31,Pashto,39,0.58%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,32,Kannada,38,0.58%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,33,Xiang,38,0.58%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,34,Malayalam,38,0.57%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,35,Sundanese,38,0.57%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,36,Hausa,34,0.52%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,37,Odia,33,0.50%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,38,Burmese,33,0.50%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,39,Hakka,31,0.46%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,40,Ukrainian,30,0.46%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,41,Bhojpuri,29[b],0.43%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,42,Tagalog,28,0.42%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,43,Yoruba,28,0.42%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,44,Maithili,27[b],0.41%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,45,Uzbek,26,0.39%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,46,Sindhi,26,0.39%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,47,Amharic,25,0.37%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,48,Fula,24,0.37%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,49,Romanian,24,0.37%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,50,Oromo,24,0.36%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,51,Igbo,24,0.36%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,52,Azerbaijani,23,0.34%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,53,Awadhi,22[b],0.33%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,54,Gan Chinese,22,0.33%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,55,Cebuano,21,0.32%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,56,Dutch,21,0.32%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,57,Kurdish,21,0.31%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,58,Serbo-Croatian,19,0.28%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,59,Malagasy,18,0.28%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,60,Saraiki,17[c],0.26%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,61,Nepali,17,0.25%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,62,Sinhalese,16,0.25%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,63,Chittagonian,16,0.24%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,64,Zhuang,16,0.24%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,65,Khmer,16,0.24%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,66,Turkmen,16,0.24%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,67,Assamese,15,0.23%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,68,Madurese,15,0.23%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,69,Somali,15,0.22%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,70,Marwari,14[b],0.21%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,71,Magahi,14[b],0.21%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,72,Haryanvi,14[b],0.21%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,73,Hungarian,13,0.19%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,74,Chhattisgarhi,12[b],0.19%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,75,Greek,12,0.18%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,76,Chewa,12,0.17%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,77,Deccan,11,0.17%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,78,Akan,11,0.17%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,79,Kazakh,11,0.17%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,80,Northern Min,10.9,0.16%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,81,Sylheti,10.7,0.16%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,82,Zulu,10.4,0.16%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,83,Czech,10.0,0.15%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,84,Kinyarwanda,9.8,0.15%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,85,Dhundhari,9.6[b],0.15%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,86,Haitian Creole,9.6,0.15%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,87,Eastern Min,9.5,0.14%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,88,Ilocano,9.1,0.14%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,89,Quechua,8.9,0.13%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,90,Kirundi,8.8,0.13%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,91,Swedish,8.7,0.13%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,92,Hmong,8.4,0.13%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,93,Shona,8.3,0.13%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,94,Uyghur,8.2,0.12%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,95,Hiligaynon/Ilonggo,8.2,0.12%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,96,Mossi,7.6,0.11%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,97,Xhosa,7.6,0.11%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,98,Belarusian,7.6[d],0.11%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,99,Balochi,7.6,0.11%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,100,Konkani,7.4,0.11%
https://en.wikipedia.org/wiki/List_of_languages_by_number_of_native_speakers,,,85%,
