Table_1
url,Rank,Game,Game_link,Publisher,Meta_Score
http://www.metacritic.com/feature/best-video-games-of-2017,30,Statik,http://www.metacritic.com/game/playstation-4/statik,Tarsier Studios,84
http://www.metacritic.com/feature/best-video-games-of-2017,31,Kingdom Hearts HD I.5 + II.5 Remix,http://www.metacritic.com/game/playstation-4/kingdom-hearts-hd-i5-+-ii5-remix,Square Enix,84
http://www.metacritic.com/feature/best-video-games-of-2017,32,DiRT 4,http://www.metacritic.com/game/playstation-4/dirt-4,Deep Silver,84
http://www.metacritic.com/feature/best-video-games-of-2017,33,Detention,http://www.metacritic.com/game/playstation-4/detention,Red Candle Game,84
http://www.metacritic.com/feature/best-video-games-of-2017,34,Polybius,http://www.metacritic.com/game/playstation-4/polybius,Llamasoft,84
http://www.metacritic.com/feature/best-video-games-of-2017,35,Uncharted: The Lost Legacy,http://www.metacritic.com/game/playstation-4/uncharted-the-lost-legacy,Sony,84
http://www.metacritic.com/feature/best-video-games-of-2017,36,Hatsune Miku: Project Diva Future Tone - Colorful Tone,http://www.metacritic.com/game/playstation-4/hatsune-miku-project-diva-future-tone---colorful-tone,Sega,84
http://www.metacritic.com/feature/best-video-games-of-2017,37,Hatsune Miku: Project Diva Future Tone - Future Sound,http://www.metacritic.com/game/playstation-4/hatsune-miku-project-diva-future-tone---future-sound,Sega,84
http://www.metacritic.com/feature/best-video-games-of-2017,38,FIFA 18,http://www.metacritic.com/game/playstation-4/fifa-18,Electronic Arts,84
http://www.metacritic.com/feature/best-video-games-of-2017,39,Pro Evolution Soccer 2018,http://www.metacritic.com/game/playstation-4/pro-evolution-soccer-2018,Konami,83
http://www.metacritic.com/feature/best-video-games-of-2017,40,Puyo Puyo Tetris,http://www.metacritic.com/game/playstation-4/puyo-puyo-tetris,Sega,83
http://www.metacritic.com/feature/best-video-games-of-2017,41,Horizon Zero Dawn: The Frozen Wilds,http://www.metacritic.com/game/playstation-4/horizon-zero-dawn-the-frozen-wilds,Sony,83
http://www.metacritic.com/feature/best-video-games-of-2017,42,Danganronpa 1-2 Reload,http://www.metacritic.com/game/playstation-4/danganronpa-1-2-reload,NIS America,83
http://www.metacritic.com/feature/best-video-games-of-2017,43,SUPERHOT,http://www.metacritic.com/game/playstation-4/superhot,SUPERHOT,83
http://www.metacritic.com/feature/best-video-games-of-2017,44,Hand of Fate 2,http://www.metacritic.com/game/playstation-4/hand-of-fate-2,Defiant Development,82
http://www.metacritic.com/feature/best-video-games-of-2017,45,Project CARS 2,http://www.metacritic.com/game/playstation-4/project-cars-2,Bandai Namco,82
http://www.metacritic.com/feature/best-video-games-of-2017,46,Madden NFL 18,http://www.metacritic.com/game/playstation-4/madden-nfl-18,Electronic Arts,82
http://www.metacritic.com/feature/best-video-games-of-2017,47,Dark Souls III: The Ringed City,http://www.metacritic.com/game/playstation-4/dark-souls-iii-the-ringed-city,Bandai Namco,82
http://www.metacritic.com/feature/best-video-games-of-2017,48,Dishonored: Death of the Outsider,http://www.metacritic.com/game/playstation-4/dishonored-death-of-the-outsider,Bethesda Softworks,82
http://www.metacritic.com/feature/best-video-games-of-2017,49,Tekken 7,http://www.metacritic.com/game/playstation-4/tekken-7,Bandai Namco,82
http://www.metacritic.com/feature/best-video-games-of-2017,50,Danganronpa V3: Killing Harmony,http://www.metacritic.com/game/playstation-4/danganronpa-v3-killing-harmony,NIS America,81
