Table_1
url,Product_Number,Product_Number_link,Title,Revision_Date,Posted_Date
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 51,https://www.irs.gov/pub/irs-pdf/p51.pdf,"Circular A, Agricultural Employer's Tax Guide",2018,02/01/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 51,https://www.irs.gov/pub/irs-pdf/p51_16.pdf,"Circular A, Agricultural Employer's Tax Guide",2016,12/31/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 54,https://www.irs.gov/pub/irs-pdf/p54.pdf,Tax Guide for U.S. Citizens and Resident Aliens Abroad,2017,12/12/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 55-B,https://www.irs.gov/pub/irs-pdf/p55b.pdf,Internal Revenue Service Data Book,0315,12/15/2015
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 56,https://www.irs.gov/pub/irs-pdf/f56.pdf,Notice Concerning Fiduciary Relationship,1117,10/31/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Inst 56,https://www.irs.gov/pub/irs-pdf/i56.pdf,"Instructions for Form 56, Notice Concerning Fiduciary Relationship",1117,10/26/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 56-F,https://www.irs.gov/pub/irs-pdf/f56f.pdf,Notice Concerning Fiduciary Relationship of Financial Institution,1209,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 80,https://www.irs.gov/pub/irs-pdf/p80.pdf,"Circular SS - Federal Tax Guide for Employers in the U.S. Virgin Islands, Guam, American Samoa, and the Commonwealth of the Northern Mariana Islands",2018,02/02/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 179,https://www.irs.gov/pub/irs-pdf/p179.pdf,Circular PR - Guia Contributiva Federal Para Patronos Puertorriquenos,2018,03/13/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 211,https://www.irs.gov/pub/irs-pdf/f211.pdf,Application for Reward for Original Information,0314,04/02/2014
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 211-A,https://www.irs.gov/pub/irs-pdf/f211a.pdf,State or Local Law Enforcement,0389,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 216,https://www.irs.gov/pub/irs-pdf/p216.pdf,Conferences and Practice Requirements,0392,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 225,https://www.irs.gov/pub/irs-pdf/p225.pdf,Farmer's Tax Guide,2017,10/20/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 334,https://www.irs.gov/pub/irs-pdf/p334.pdf,Tax Guide for Small Business (For Individuals Who Use Schedule C or C-EZ),2017,02/01/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-A,https://www.irs.gov/pub/irs-pdf/f433a.pdf,Collection Information Statement for Wage Earners and Self-Employed Individuals,1212,03/29/2013
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-A (OIC),https://www.irs.gov/pub/irs-pdf/f433aoi.pdf,Collection Information Statement for Wage Earners and Self-Employed Individuals,0318,03/25/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-A (SP),https://www.irs.gov/pub/irs-pdf/f433asp.pdf,Informacion de Cobro Para los Asalariados y los Individuos Autonomos,0313,04/23/2013
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-B,https://www.irs.gov/pub/irs-pdf/f433b.pdf,Collection Information Statement for Businesses,1212,12/05/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-B (OIC),https://www.irs.gov/pub/irs-pdf/f433boi.pdf,Collection Information Statement for Businesses,0318,03/25/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-B (SP),https://www.irs.gov/pub/irs-pdf/f433bsp.pdf,Informacion de Cobro Para los Negocios,0513,05/10/2013
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-D,https://www.irs.gov/pub/irs-pdf/f433d.pdf,Installment Agreement,0117,12/31/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-D (SP),https://www.irs.gov/pub/irs-pdf/f433dsp.pdf,Installment Agreement (Spanish version),0117,12/31/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-F,https://www.irs.gov/pub/irs-pdf/f433f.pdf,Collection Information Statement,0117,01/04/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Form 433-F (SP),https://www.irs.gov/pub/irs-pdf/f433fsp.pdf,Collection Information Statement (Spanish version),0313,12/13/2013
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 463,https://www.irs.gov/pub/irs-pdf/p463.pdf,"Travel, Entertainment, Gift, and Car Expenses",2017,01/22/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 487,https://www.irs.gov/pub/irs-pdf/p487.pdf,How to Prepare Application to Release Property Secured by Federal Tax Lien,0106,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 501,https://www.irs.gov/pub/irs-pdf/p501.pdf,"Exemptions, Standard Deduction, and Filing Information",2017,01/10/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 502,https://www.irs.gov/pub/irs-pdf/p502.pdf,Medical and Dental Expenses,2017,12/05/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 503,https://www.irs.gov/pub/irs-pdf/p503.pdf,Child and Dependent Care Expenses,2017,01/02/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 504,https://www.irs.gov/pub/irs-pdf/p504.pdf,Divorced or Separated Individuals,2017,12/22/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 505,https://www.irs.gov/pub/irs-pdf/p505.pdf,Tax Withholding and Estimated Tax,2018,04/01/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 509,https://www.irs.gov/pub/irs-pdf/p509.pdf,Tax Calendars,2018,12/07/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 510,https://www.irs.gov/pub/irs-pdf/p510.pdf,Excise Taxes,0318,03/14/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 514,https://www.irs.gov/pub/irs-pdf/p514.pdf,Foreign Tax Credit for Individuals,2017,03/13/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 515,https://www.irs.gov/pub/irs-pdf/p515.pdf,Withholding of Tax on Nonresident Aliens and Foreign Entities,2018,02/14/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 516,https://www.irs.gov/pub/irs-pdf/p516.pdf,U.S. Government Civilian Employees Stationed Abroad,0915,09/01/2015
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 517,https://www.irs.gov/pub/irs-pdf/p517.pdf,Social Security and Other Information for Members of the Clergy and Religious Workers,2017,01/10/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 519,https://www.irs.gov/pub/irs-pdf/p519.pdf,U.S. Tax Guide for Aliens,2017,02/28/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 521,https://www.irs.gov/pub/irs-pdf/p521.pdf,Moving Expenses,2017,01/04/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 523,https://www.irs.gov/pub/irs-pdf/p523.pdf,Selling Your Home,2017,02/07/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 524,https://www.irs.gov/pub/irs-pdf/p524.pdf,Credit for the Elderly or the Disabled,2017,11/30/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 525,https://www.irs.gov/pub/irs-pdf/p525.pdf,Taxable and Nontaxable Income,2017,01/16/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 526,https://www.irs.gov/pub/irs-pdf/p526.pdf,Charitable Contributions,2017,03/15/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 527,https://www.irs.gov/pub/irs-pdf/p527.pdf,Residential Rental Property (Including Rental of Vacation Homes),2017,02/26/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 529,https://www.irs.gov/pub/irs-pdf/p529.pdf,Miscellaneous Deductions,2017,01/28/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 530,https://www.irs.gov/pub/irs-pdf/p530.pdf,Tax Information for Homeowners,2017,01/12/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 531,https://www.irs.gov/pub/irs-pdf/p531.pdf,Reporting Tip Income,2017,12/28/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 534,https://www.irs.gov/pub/irs-pdf/p534.pdf,Depreciating Property Placed In Service Before 1987,1116,11/07/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 535,https://www.irs.gov/pub/irs-pdf/p535.pdf,Business Expenses,2017,03/16/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 536,https://www.irs.gov/pub/irs-pdf/p536.pdf,"Net Operating Losses (NOLs) for Individuals, Estates, and Trusts",2017,03/07/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 537,https://www.irs.gov/pub/irs-pdf/p537.pdf,Installment Sales,2017,12/22/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 538,https://www.irs.gov/pub/irs-pdf/p538.pdf,Accounting Periods and Methods,1216,02/10/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 541,https://www.irs.gov/pub/irs-pdf/p541.pdf,Partnerships,0116,01/12/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 542,https://www.irs.gov/pub/irs-pdf/p542.pdf,Corporations,1216,01/19/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 544,https://www.irs.gov/pub/irs-pdf/p544.pdf,Sales and other Dispositions of Assets,2017,03/13/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 547,https://www.irs.gov/pub/irs-pdf/p547.pdf,"Casualties, Disasters, and Thefts",2017,03/05/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 547 (SP),https://www.irs.gov/pub/irs-pdf/p547sp.pdf,"Casualties, Disasters, and Thefts (Spanish Version)",2017,04/11/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 550,https://www.irs.gov/pub/irs-pdf/p550.pdf,Investment Income and Expenses,2017,04/10/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 551,https://www.irs.gov/pub/irs-pdf/p551.pdf,Basis of Assets,1216,04/13/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 554,https://www.irs.gov/pub/irs-pdf/p554.pdf,Tax Guide for Seniors,2017,01/24/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 555,https://www.irs.gov/pub/irs-pdf/p555.pdf,Community Property,0216,03/03/2016
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 556,https://www.irs.gov/pub/irs-pdf/p556.pdf,"Examination of Returns, Appeal Rights, and Claims for Refund",0913,10/01/2013
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 557,https://www.irs.gov/pub/irs-pdf/p557.pdf,Tax-Exempt Status for Your Organization,0118,01/31/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 559,https://www.irs.gov/pub/irs-pdf/p559.pdf,"Survivors, Executors and Administrators",2017,02/01/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 560,https://www.irs.gov/pub/irs-pdf/p560.pdf,"Retirement Plans for Small Business (SEP, SIMPLE and Qualified Plans)",2017,03/15/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 561,https://www.irs.gov/pub/irs-pdf/p561.pdf,Determining the Value of Donated Property,0407,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 570,https://www.irs.gov/pub/irs-pdf/p570.pdf,Tax Guide for Individuals With Income from U.S. Possessions,2017,03/27/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 571,https://www.irs.gov/pub/irs-pdf/p571.pdf,Tax-Sheltered Annuity Plans (403(b) Plans) For Employees of Public Schools and Certain Tax-Exempt Organizations,0118,01/18/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 575,https://www.irs.gov/pub/irs-pdf/p575.pdf,Pension and Annuity Income,2017,03/05/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 583,https://www.irs.gov/pub/irs-pdf/p583.pdf,Starting a Business and Keeping Records,0115,01/15/2015
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 584,https://www.irs.gov/pub/irs-pdf/p584.pdf,"Casualty, Disaster, and Theft Loss Workbook (Personal-Use Property)",1017,10/20/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 584 (SP),https://www.irs.gov/pub/irs-pdf/p584sp.pdf,"Registro de Perdidas por Hechos Fortuitos (Imprevistos), Desastres y Robos (Propiedad de Uso Personal)",1117,11/08/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 584-B,https://www.irs.gov/pub/irs-pdf/p584b.pdf,"Business Casualty, Disaster, and Theft Loss Workbook",1017,10/17/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 587,https://www.irs.gov/pub/irs-pdf/p587.pdf,Business Use of Your Home (Including Use by Day-Care Providers),2017,02/27/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 590-A,https://www.irs.gov/pub/irs-pdf/p590a.pdf,Contributions to Individual Retirement Arrangements (IRAs),2017,03/01/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 590-B,https://www.irs.gov/pub/irs-pdf/p590b.pdf,Distributions from Individual Retirement Arrangements (IRAs),2017,02/06/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 594,https://www.irs.gov/pub/irs-pdf/p594.pdf,The IRS Collection Process,0317,10/06/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 594 (SP),https://www.irs.gov/pub/irs-pdf/p594sp.pdf,Comprendiendo el Proceso del Cobro,1215,12/17/2015
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 595,https://www.irs.gov/pub/irs-pdf/p595.pdf,Capital Construction Fund for Commercial Fishermen,0206,07/17/2012
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 596,https://www.irs.gov/pub/irs-pdf/p596.pdf,Earned Income Credit,2017,01/19/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 596 (SP),https://www.irs.gov/pub/irs-pdf/p596sp.pdf,Credito por Ingreso del Trabajo,2017,02/06/2018
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 597,https://www.irs.gov/pub/irs-pdf/p597.pdf,Information on the United States-Canada Income Tax Treaty,1015,10/07/2015
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 598,https://www.irs.gov/pub/irs-pdf/p598.pdf,Tax on Unrelated Business Income of Exempt Organizations,0117,01/09/2017
https://apps.irs.gov/app/picklist/list/formsPublications.html?indexOfFirstRow=0&sortColumn=sortOrder&value=&criteria=&resultsPerPage=200&isDescending=false,Publ 600,https://www.irs.gov/pub/irs-pdf/p600.pdf,State and Local General Sales Taxes,2006,07/17/2012
